# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,6.146728992462158203e-08,0.000000000000000000e+00,2.544300514273345470e-05
1.000000000000000000e+02,1.000000000000000000e+00,3.038439899682998657e-08,5.820766091346740723e-10,2.479201066307723522e-05
1.000000000000000000e+02,2.000000000000000000e+00,4.714820533990859985e-09,8.731149137020111084e-10,3.259000368416309357e-05
1.000000000000000000e+02,3.000000000000000000e+00,-7.904600352048873901e-08,8.149072527885437012e-10,2.459500683471560478e-05
1.000000000000000000e+02,4.000000000000000000e+00,-1.513399183750152588e-09,3.492459654808044434e-10,2.421598765067756176e-05
1.000000000000000000e+02,5.000000000000000000e+00,1.498847268521785736e-09,3.637978807091712952e-10,2.404701081104576588e-05
1.000000000000000000e+02,6.000000000000000000e+00,-5.669426172971725464e-08,8.149072527885437012e-10,2.433199551887810230e-05
1.000000000000000000e+02,7.000000000000000000e+00,-5.896436050534248352e-08,6.402842700481414795e-10,2.403699909336864948e-05
1.000000000000000000e+02,8.000000000000000000e+00,-1.664739102125167847e-08,1.164153218269348145e-10,2.385300467722117901e-05
1.000000000000000000e+02,9.000000000000000000e+00,1.319131115451455116e-08,1.527951098978519440e-10,2.410399611108005047e-05
1.000000000000000000e+02,1.000000000000000000e+01,4.621688276529312134e-08,3.492459654808044434e-10,3.314198693260550499e-05
1.000000000000000000e+02,1.100000000000000000e+01,-3.050081431865692139e-08,2.328306436538696289e-10,2.439299714751541615e-05
1.000000000000000000e+02,1.200000000000000000e+01,2.361775841563940048e-08,5.966285243630409241e-10,2.416499773971736431e-05
1.000000000000000000e+02,1.300000000000000000e+01,1.018651119011337869e-08,9.893597052723634988e-10,2.413801848888397217e-05
1.000000000000000000e+02,1.400000000000000000e+01,-5.663605406880378723e-08,1.105945557355880737e-09,2.434197813272476196e-05
1.000000000000000000e+02,1.500000000000000000e+01,-6.234040483832359314e-08,8.731149137020111084e-10,2.403001417405903339e-05
1.000000000000000000e+02,1.600000000000000000e+01,2.443266566842794418e-08,2.182787284255027771e-10,2.399401273578405380e-05
1.000000000000000000e+02,1.700000000000000000e+01,-5.238689482212066650e-09,3.492459654808044434e-10,3.519799793139100075e-05
1.000000000000000000e+02,1.800000000000000000e+01,5.040783435106277466e-08,1.164153218269348145e-10,2.486701123416423798e-05
1.000000000000000000e+02,1.900000000000000000e+01,-8.993083611130714417e-09,3.201421350240707397e-10,2.408600994385778904e-05
1.000000000000000000e+02,2.000000000000000000e+01,-4.167668521404266357e-08,1.164153218269348145e-09,2.418001531623303890e-05
1.000000000000000000e+02,2.100000000000000000e+01,3.523018676787614822e-08,1.600710675120353699e-10,2.380198566243052483e-05
