# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,6.146728992462158203e-08,0.000000000000000000e+00,2.647298970259726048e-05
1.000000000000000000e+02,1.000000000000000000e+00,3.038439899682998657e-08,5.820766091346740723e-10,5.588299245573580265e-05
1.000000000000000000e+02,2.000000000000000000e+00,4.714820533990859985e-09,8.731149137020111084e-10,2.495298394933342934e-05
1.000000000000000000e+02,3.000000000000000000e+00,-7.904600352048873901e-08,8.149072527885437012e-10,3.975801519118249416e-05
1.000000000000000000e+02,4.000000000000000000e+00,-1.513399183750152588e-09,3.492459654808044434e-10,2.687697997316718102e-05
1.000000000000000000e+02,5.000000000000000000e+00,1.498847268521785736e-09,3.637978807091712952e-10,2.514699008315801620e-05
1.000000000000000000e+02,6.000000000000000000e+00,-5.669426172971725464e-08,1.047737896442413330e-09,2.491401392035186291e-05
1.000000000000000000e+02,7.000000000000000000e+00,-5.896436050534248352e-08,6.402842700481414795e-10,2.478400710970163345e-05
1.000000000000000000e+02,8.000000000000000000e+00,-1.664739102125167847e-08,1.164153218269348145e-10,2.479099202901124954e-05
1.000000000000000000e+02,9.000000000000000000e+00,1.319131115451455116e-08,1.527951098978519440e-10,2.474000211805105209e-05
1.000000000000000000e+02,1.000000000000000000e+01,4.621688276529312134e-08,3.492459654808044434e-10,2.500900882296264172e-05
1.000000000000000000e+02,1.100000000000000000e+01,-3.050081431865692139e-08,2.328306436538696289e-10,2.456500078551471233e-05
1.000000000000000000e+02,1.200000000000000000e+01,2.361775841563940048e-08,1.266016624867916107e-09,7.269400521181523800e-05
1.000000000000000000e+02,1.300000000000000000e+01,1.018651119011337869e-08,8.732854439585935324e-10,2.705497900024056435e-05
1.000000000000000000e+02,1.400000000000000000e+01,-5.663605406880378723e-08,7.566995918750762939e-10,4.182101110927760601e-05
1.000000000000000000e+02,1.500000000000000000e+01,-6.234040483832359314e-08,8.731149137020111084e-10,2.468100865371525288e-05
1.000000000000000000e+02,1.600000000000000000e+01,2.443266566842794418e-08,2.182787284255027771e-10,2.485999721102416515e-05
1.000000000000000000e+02,1.700000000000000000e+01,-5.238689482212066650e-09,1.513399183750152588e-09,2.465597935952246189e-05
1.000000000000000000e+02,1.800000000000000000e+01,5.040783435106277466e-08,1.164153218269348145e-10,2.492102794349193573e-05
1.000000000000000000e+02,1.900000000000000000e+01,-8.993083611130714417e-09,1.542503014206886292e-09,2.453802153468132019e-05
1.000000000000000000e+02,2.000000000000000000e+01,-4.167668521404266357e-08,1.164153218269348145e-09,2.447800943627953529e-05
1.000000000000000000e+02,2.100000000000000000e+01,3.523018676787614822e-08,1.600710675120353699e-10,2.450399915687739849e-05
1.000000000000000000e+02,2.200000000000000000e+01,-2.028536982834339142e-08,2.037268131971359253e-10,2.479701652191579342e-05
1.000000000000000000e+02,2.300000000000000000e+01,-7.636117516085505486e-09,1.855369191616773605e-10,2.452000626362860203e-05
1.000000000000000000e+02,2.400000000000000000e+01,5.400215741246938705e-08,1.455191522836685181e-11,2.458097878843545914e-05
1.000000000000000000e+02,2.500000000000000000e+01,-3.208697307854890823e-09,5.165929906070232391e-10,6.465299520641565323e-05
1.000000000000000000e+02,2.600000000000000000e+01,2.255546860396862030e-09,3.929017111659049988e-10,2.485502045601606369e-05
1.000000000000000000e+02,2.700000000000000000e+01,3.296736394986510277e-08,5.602487362921237946e-10,2.469299943186342716e-05
1.000000000000000000e+02,2.800000000000000000e+01,1.259468263015151024e-08,4.438334144651889801e-10,2.461200347170233727e-05
1.000000000000000000e+02,2.900000000000000000e+01,5.157198756933212280e-08,1.280568540096282959e-09,2.453700290061533451e-05
1.000000000000000000e+02,3.000000000000000000e+01,-5.559419236078610993e-08,2.851621161426010076e-10,4.730999353341758251e-05
1.000000000000000000e+02,3.100000000000000000e+01,9.385985322296619415e-09,7.275957614183425903e-11,2.443799166940152645e-05
1.000000000000000000e+02,3.200000000000000000e+01,6.530899554491043091e-08,1.164153218269348145e-10,2.450298052281141281e-05
1.000000000000000000e+02,3.300000000000000000e+01,1.295120455324649811e-08,8.731149137020111084e-11,2.459099050611257553e-05
1.000000000000000000e+02,3.400000000000000000e+01,-6.689515430480241776e-08,1.600710675120353699e-10,2.486101584509015083e-05
1.000000000000000000e+02,3.500000000000000000e+01,3.597961040213704109e-09,1.273292582482099533e-10,2.444101846776902676e-05
1.000000000000000000e+02,3.600000000000000000e+01,4.889443516731262207e-09,6.984919309616088867e-10,2.448700251989066601e-05
1.000000000000000000e+02,3.700000000000000000e+01,-1.082662492990493774e-08,3.492459654808044434e-10,2.457300433889031410e-05
1.000000000000000000e+02,3.800000000000000000e+01,2.581509761512279510e-08,2.619344741106033325e-10,2.474299981258809566e-05
1.000000000000000000e+02,3.900000000000000000e+01,-8.927599992603063583e-09,3.856257535517215729e-10,2.494300133548676968e-05
1.000000000000000000e+02,4.000000000000000000e+01,-7.945345714688301086e-09,4.947651177644729614e-10,2.481002593412995338e-05
1.000000000000000000e+02,4.100000000000000000e+01,-2.719025360420346260e-08,1.113221514970064163e-09,2.447899896651506424e-05
1.000000000000000000e+02,4.200000000000000000e+01,1.792795956134796143e-08,6.984919309616088867e-10,2.502699499018490314e-05
1.000000000000000000e+02,4.300000000000000000e+01,2.807064447551965714e-08,1.309672370553016663e-10,5.421898094937205315e-05
1.000000000000000000e+02,4.400000000000000000e+01,-4.254980012774467468e-08,2.910383045673370361e-10,4.217401146888732910e-05
1.000000000000000000e+02,4.500000000000000000e+01,-9.400537237524986267e-09,8.731149137020111084e-11,6.376102101057767868e-05
1.000000000000000000e+02,4.600000000000000000e+01,-4.307366907596588135e-08,2.328306436538696289e-10,2.713900175876915455e-05
1.000000000000000000e+02,4.700000000000000000e+01,-4.912726581096649170e-08,6.984919309616088867e-10,6.819301052019000053e-05
1.000000000000000000e+02,4.800000000000000000e+01,2.584420144557952881e-08,1.629814505577087402e-09,5.342499935068190098e-05
1.000000000000000000e+02,4.900000000000000000e+01,-4.514004103839397430e-08,4.365574568510055542e-10,3.047901554964482784e-05
2.000000000000000000e+02,0.000000000000000000e+00,1.840817276388406754e-08,2.182787284255027771e-10,1.440579944755882025e-04
