# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,6.146728992462158203e-08,0.000000000000000000e+00,2.637601573951542377e-05
1.000000000000000000e+02,1.000000000000000000e+00,3.038439899682998657e-08,5.820766091346740723e-10,2.460801624692976475e-05
1.000000000000000000e+02,2.000000000000000000e+00,4.714820533990859985e-09,9.895302355289459229e-10,2.378699718974530697e-05
1.000000000000000000e+02,3.000000000000000000e+00,-7.904600352048873901e-08,8.149072527885437012e-10,2.422797842882573605e-05
1.000000000000000000e+02,4.000000000000000000e+00,-1.513399183750152588e-09,3.492459654808044434e-10,2.413097536191344261e-05
1.000000000000000000e+02,5.000000000000000000e+00,1.498847268521785736e-09,3.637978807091712952e-10,2.388498978689312935e-05
1.000000000000000000e+02,6.000000000000000000e+00,-5.669426172971725464e-08,8.149072527885437012e-10,2.434299676679074764e-05
1.000000000000000000e+02,7.000000000000000000e+00,-5.896436050534248352e-08,6.402842700481414795e-10,2.413699985481798649e-05
1.000000000000000000e+02,8.000000000000000000e+00,-1.664739102125167847e-08,1.164153218269348145e-10,2.378999488428235054e-05
1.000000000000000000e+02,9.000000000000000000e+00,1.319131115451455116e-08,1.527951098978519440e-10,2.402701647952198982e-05
1.000000000000000000e+02,1.000000000000000000e+01,4.621688276529312134e-08,3.492459654808044434e-10,4.532799357548356056e-05
1.000000000000000000e+02,1.100000000000000000e+01,-3.050081431865692139e-08,6.984919309616088867e-10,4.559001536108553410e-05
1.000000000000000000e+02,1.200000000000000000e+01,2.361775841563940048e-08,1.266016624867916107e-09,2.565598697401583195e-05
1.000000000000000000e+02,1.300000000000000000e+01,1.018651119011337869e-08,8.732854439585935324e-10,2.425099955871701241e-05
1.000000000000000000e+02,1.400000000000000000e+01,-5.663605406880378723e-08,1.105945557355880737e-09,2.437998773530125618e-05
1.000000000000000000e+02,1.500000000000000000e+01,-6.234040483832359314e-08,8.731149137020111084e-10,2.429299638606607914e-05
1.000000000000000000e+02,1.600000000000000000e+01,2.443266566842794418e-08,2.182787284255027771e-10,2.410999150015413761e-05
1.000000000000000000e+02,1.700000000000000000e+01,-5.238689482212066650e-09,3.492459654808044434e-10,2.410801243968307972e-05
1.000000000000000000e+02,1.800000000000000000e+01,5.040783435106277466e-08,1.164153218269348145e-10,6.120299804024398327e-05
1.000000000000000000e+02,1.900000000000000000e+01,-8.993083611130714417e-09,3.201421350240707397e-10,2.369401045143604279e-05
1.000000000000000000e+02,2.000000000000000000e+01,-4.167668521404266357e-08,6.984919309616088867e-10,2.398600918240845203e-05
1.000000000000000000e+02,2.100000000000000000e+01,3.523018676787614822e-08,1.600710675120353699e-10,5.368000711314380169e-05
1.000000000000000000e+02,2.200000000000000000e+01,-2.028536982834339142e-08,2.037268131971359253e-10,2.398199285380542278e-05
1.000000000000000000e+02,2.300000000000000000e+01,-7.636117516085505486e-09,1.855369191616773605e-10,2.410501474514603615e-05
1.000000000000000000e+02,2.400000000000000000e+01,5.400215741246938705e-08,1.455191522836685181e-11,2.515199594199657440e-05
1.000000000000000000e+02,2.500000000000000000e+01,-3.208697307854890823e-09,5.165929906070232391e-10,2.399299410171806812e-05
1.000000000000000000e+02,2.600000000000000000e+01,2.255546860396862030e-09,1.469743438065052032e-09,2.406199928373098373e-05
1.000000000000000000e+02,2.700000000000000000e+01,3.296736394986510277e-08,1.302396412938833237e-09,2.406799467280507088e-05
1.000000000000000000e+02,2.800000000000000000e+01,1.259468263015151024e-08,4.438334144651889801e-10,2.394200419075787067e-05
1.000000000000000000e+02,2.900000000000000000e+01,5.157198756933212280e-08,5.820766091346740723e-10,2.395099727436900139e-05
1.000000000000000000e+02,3.000000000000000000e+01,-5.559419236078610993e-08,2.851621161426010076e-10,5.260799662210047245e-05
1.000000000000000000e+02,3.100000000000000000e+01,9.385985322296619415e-09,7.275957614183425903e-11,4.020001506432890892e-05
1.000000000000000000e+02,3.200000000000000000e+01,6.530899554491043091e-08,1.164153218269348145e-10,2.397102070972323418e-05
1.000000000000000000e+02,3.300000000000000000e+01,1.295120455324649811e-08,8.731149137020111084e-11,2.402599784545600414e-05
1.000000000000000000e+02,3.400000000000000000e+01,-6.689515430480241776e-08,1.600710675120353699e-10,2.394500188529491425e-05
1.000000000000000000e+02,3.500000000000000000e+01,3.597961040213704109e-09,1.273292582482099533e-10,5.654498818330466747e-05
