# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,6.146728992462158203e-08,6.984919309616088867e-10,2.614301047287881374e-05
1.000000000000000000e+02,1.000000000000000000e+00,3.038439899682998657e-08,1.047737896442413330e-09,2.589300856925547123e-05
1.000000000000000000e+02,2.000000000000000000e+00,4.714820533990859985e-09,9.895302355289459229e-10,2.504797885194420815e-05
1.000000000000000000e+02,3.000000000000000000e+00,-7.904600352048873901e-08,8.149072527885437012e-10,2.654100535437464714e-05
1.000000000000000000e+02,4.000000000000000000e+00,-1.513399183750152588e-09,1.746229827404022217e-09,2.518101246096193790e-05
1.000000000000000000e+02,5.000000000000000000e+00,1.498847268521785736e-09,1.498847268521785736e-09,2.505900920368731022e-05
1.000000000000000000e+02,6.000000000000000000e+00,-5.669426172971725464e-08,3.608874976634979248e-09,2.547100302763283253e-05
1.000000000000000000e+02,7.000000000000000000e+00,-5.896436050534248352e-08,2.910383045673370361e-10,2.535199746489524841e-05
1.000000000000000000e+02,8.000000000000000000e+00,-1.664739102125167847e-08,1.047737896442413330e-09,2.552199293859302998e-05
1.000000000000000000e+02,9.000000000000000000e+00,1.319131115451455116e-08,2.015440259128808975e-09,2.596402191556990147e-05
1.000000000000000000e+02,1.000000000000000000e+01,4.621688276529312134e-08,5.820766091346740723e-10,2.573098754510283470e-05
1.000000000000000000e+02,1.100000000000000000e+01,-3.050081431865692139e-08,2.095475792884826660e-09,2.586300252005457878e-05
1.000000000000000000e+02,1.200000000000000000e+01,2.361775841563940048e-08,2.663000486791133881e-09,2.576300175860524178e-05
1.000000000000000000e+02,1.300000000000000000e+01,1.018651119011337869e-08,2.735930593189550564e-09,2.617901191115379333e-05
1.000000000000000000e+02,1.400000000000000000e+01,-5.663605406880378723e-08,7.566995918750762939e-10,2.576201222836971283e-05
1.000000000000000000e+02,1.500000000000000000e+01,-6.234040483832359314e-08,3.667082637548446655e-09,2.610700903460383415e-05
1.000000000000000000e+02,1.600000000000000000e+01,2.443266566842794418e-08,5.806214176118373871e-09,2.581399166956543922e-05
1.000000000000000000e+02,1.700000000000000000e+01,-5.238689482212066650e-09,1.047737896442413330e-09,2.541102003306150436e-05
1.000000000000000000e+02,1.800000000000000000e+01,5.040783435106277466e-08,3.608874976634979248e-09,2.500199479982256889e-05
1.000000000000000000e+02,1.900000000000000000e+01,-8.993083611130714417e-09,3.114109858870506287e-09,2.504297299310564995e-05
1.000000000000000000e+02,2.000000000000000000e+01,-4.167668521404266357e-08,3.055902197957038879e-09,2.496899105608463287e-05
1.000000000000000000e+02,2.100000000000000000e+01,3.523018676787614822e-08,1.236912794411182404e-09,2.472297637723386288e-05
1.000000000000000000e+02,2.200000000000000000e+01,-2.028536982834339142e-08,2.066371962428092957e-09,2.508700708858668804e-05
1.000000000000000000e+02,2.300000000000000000e+01,-7.636117516085505486e-09,2.979504643008112907e-09,5.757098551839590073e-05
1.000000000000000000e+02,2.400000000000000000e+01,5.400215741246938705e-08,1.877197064459323883e-09,2.522699651308357716e-05
1.000000000000000000e+02,2.500000000000000000e+01,-3.208697307854890823e-09,5.093170329928398132e-11,2.529399353079497814e-05
1.000000000000000000e+02,2.600000000000000000e+01,2.255546860396862030e-09,7.566995918750762939e-10,2.506998134776949883e-05
1.000000000000000000e+02,2.700000000000000000e+01,3.296736394986510277e-08,5.602487362921237946e-10,2.515601227059960365e-05
1.000000000000000000e+02,2.800000000000000000e+01,1.259468263015151024e-08,3.281456883996725082e-09,2.503601717762649059e-05
1.000000000000000000e+02,2.900000000000000000e+01,5.157198756933212280e-08,4.074536263942718506e-09,3.773698699660599232e-05
1.000000000000000000e+02,3.000000000000000000e+01,-5.559419236078610993e-08,2.147807265373558039e-09,3.157200990244746208e-05
1.000000000000000000e+02,3.100000000000000000e+01,9.385985322296619415e-09,8.585629984736442566e-10,2.426400897093117237e-05
1.000000000000000000e+02,3.200000000000000000e+01,6.530899554491043091e-08,2.677552402019500732e-09,2.397500793449580669e-05
1.000000000000000000e+02,3.300000000000000000e+01,1.295120455324649811e-08,2.415617927908897400e-09,2.408999716863036156e-05
1.000000000000000000e+02,3.400000000000000000e+01,-6.689515430480241776e-08,3.885361365973949432e-09,2.387701533734798431e-05
1.000000000000000000e+02,3.500000000000000000e+01,3.597961040213704109e-09,1.273292582482099533e-10,2.399200457148253918e-05
1.000000000000000000e+02,3.600000000000000000e+01,4.889443516731262207e-09,6.984919309616088867e-10,2.408897853456437588e-05
1.000000000000000000e+02,3.700000000000000000e+01,-1.082662492990493774e-08,1.513399183750152588e-09,2.405600389465689659e-05
1.000000000000000000e+02,3.800000000000000000e+01,2.581509761512279510e-08,2.532033249735832214e-09,2.591998782008886337e-05
1.000000000000000000e+02,3.900000000000000000e+01,-8.927599992603063583e-09,3.179593477398157120e-09,2.422800753265619278e-05
1.000000000000000000e+02,4.000000000000000000e+01,-7.945345714688301086e-09,1.367880031466484070e-09,2.398699871264398098e-05
1.000000000000000000e+02,4.100000000000000000e+01,-2.719025360420346260e-08,2.975866664201021194e-09,2.413900801911950111e-05
1.000000000000000000e+02,4.200000000000000000e+01,1.792795956134796143e-08,4.656612873077392578e-10,2.401997335255146027e-05
1.000000000000000000e+02,4.300000000000000000e+01,2.807064447551965714e-08,1.731677912175655365e-09,2.457300433889031410e-05
1.000000000000000000e+02,4.400000000000000000e+01,-4.254980012774467468e-08,1.571606844663619995e-09,2.539399429224431515e-05
1.000000000000000000e+02,4.500000000000000000e+01,-9.400537237524986267e-09,1.018634065985679626e-09,2.454701461829245090e-05
1.000000000000000000e+02,4.600000000000000000e+01,-4.307366907596588135e-08,2.095475792884826660e-09,2.455399953760206699e-05
1.000000000000000000e+02,4.700000000000000000e+01,-4.912726581096649170e-08,1.164153218269348145e-09,2.460699761286377907e-05
1.000000000000000000e+02,4.800000000000000000e+01,2.584420144557952881e-08,2.095475792884826660e-09,2.466700971126556396e-05
1.000000000000000000e+02,4.900000000000000000e+01,-4.514004103839397430e-08,1.426087692379951477e-09,2.414302434772253036e-05
2.000000000000000000e+02,0.000000000000000000e+00,1.840817276388406754e-08,3.943569026887416840e-09,4.875898594036698341e-05
