# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.725290298461914062e-09,2.429698361083865166e-05
1.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,2.328306436538696289e-09,2.407800639048218727e-05
1.000000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.359898644499480724e-05
1.000000000000000000e+02,3.000000000000000000e+00,0.000000000000000000e+00,9.313225746154785156e-10,2.405600389465689659e-05
1.000000000000000000e+02,4.000000000000000000e+00,0.000000000000000000e+00,8.149072527885437012e-10,2.334400778636336327e-05
1.000000000000000000e+02,5.000000000000000000e+00,0.000000000000000000e+00,1.862645149230957031e-09,2.322200452908873558e-05
1.000000000000000000e+02,6.000000000000000000e+00,0.000000000000000000e+00,1.862645149230957031e-09,2.445001155138015747e-05
1.000000000000000000e+02,7.000000000000000000e+00,0.000000000000000000e+00,1.862645149230957031e-09,2.364799729548394680e-05
1.000000000000000000e+02,8.000000000000000000e+00,0.000000000000000000e+00,1.862645149230957031e-09,2.356199547648429871e-05
1.000000000000000000e+02,9.000000000000000000e+00,0.000000000000000000e+00,7.450580596923828125e-09,2.361199585720896721e-05
1.000000000000000000e+02,1.000000000000000000e+01,0.000000000000000000e+00,2.095475792884826660e-09,5.088699981570243835e-05
1.000000000000000000e+02,1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.358699566684663296e-05
1.000000000000000000e+02,1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.344697713851928711e-05
1.000000000000000000e+02,1.300000000000000000e+01,0.000000000000000000e+00,9.313225746154785156e-10,2.340300125069916248e-05
1.000000000000000000e+02,1.400000000000000000e+01,0.000000000000000000e+00,1.862645149230957031e-09,2.343999221920967102e-05
1.000000000000000000e+02,1.500000000000000000e+01,0.000000000000000000e+00,1.862645149230957031e-09,2.341598155908286572e-05
1.000000000000000000e+02,1.600000000000000000e+01,0.000000000000000000e+00,9.313225746154785156e-10,2.343498636037111282e-05
1.000000000000000000e+02,1.700000000000000000e+01,0.000000000000000000e+00,9.313225746154785156e-10,2.352200681343674660e-05
1.000000000000000000e+02,1.800000000000000000e+01,0.000000000000000000e+00,4.423782229423522949e-09,2.342701191082596779e-05
1.000000000000000000e+02,1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.319397754035890102e-05
1.000000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,9.313225746154785156e-10,2.346100518479943275e-05
1.000000000000000000e+02,2.100000000000000000e+01,0.000000000000000000e+00,9.313225746154785156e-10,2.334499731659889221e-05
1.000000000000000000e+02,2.200000000000000000e+01,0.000000000000000000e+00,2.561137080192565918e-09,2.335300086997449398e-05
1.000000000000000000e+02,2.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.338201738893985748e-05
1.000000000000000000e+02,2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.326100366190075874e-05
1.000000000000000000e+02,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.325599780306220055e-05
1.000000000000000000e+02,2.600000000000000000e+01,0.000000000000000000e+00,9.313225746154785156e-10,2.337200567126274109e-05
1.000000000000000000e+02,2.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.341100480407476425e-05
1.000000000000000000e+02,2.800000000000000000e+01,0.000000000000000000e+00,9.313225746154785156e-10,2.335899625904858112e-05
1.000000000000000000e+02,2.900000000000000000e+01,0.000000000000000000e+00,3.725290298461914062e-09,2.361999941058456898e-05
1.000000000000000000e+02,3.000000000000000000e+01,0.000000000000000000e+00,9.313225746154785156e-10,2.339898492209613323e-05
1.000000000000000000e+02,3.100000000000000000e+01,0.000000000000000000e+00,3.725290298461914062e-09,2.323000808246433735e-05
1.000000000000000000e+02,3.200000000000000000e+01,0.000000000000000000e+00,4.656612873077392578e-10,2.339499769732356071e-05
1.000000000000000000e+02,3.300000000000000000e+01,0.000000000000000000e+00,9.313225746154785156e-10,2.330602728761732578e-05
1.000000000000000000e+02,3.400000000000000000e+01,0.000000000000000000e+00,6.984919309616088867e-10,2.348798443563282490e-05
1.000000000000000000e+02,3.500000000000000000e+01,0.000000000000000000e+00,4.656612873077392578e-09,2.342500374652445316e-05
1.000000000000000000e+02,3.600000000000000000e+01,0.000000000000000000e+00,5.587935447692871094e-09,2.336897887289524078e-05
1.000000000000000000e+02,3.700000000000000000e+01,0.000000000000000000e+00,3.376044332981109619e-09,2.342800144106149673e-05
1.000000000000000000e+02,3.800000000000000000e+01,0.000000000000000000e+00,1.862645149230957031e-09,2.323300577700138092e-05
1.000000000000000000e+02,3.900000000000000000e+01,0.000000000000000000e+00,3.725290298461914062e-09,2.336900797672569752e-05
1.000000000000000000e+02,4.000000000000000000e+01,0.000000000000000000e+00,4.656612873077392578e-10,2.353702438995242119e-05
1.000000000000000000e+02,4.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.345800749026238918e-05
1.000000000000000000e+02,4.200000000000000000e+01,0.000000000000000000e+00,1.833541318774223328e-09,2.333498559892177582e-05
1.000000000000000000e+02,4.300000000000000000e+01,0.000000000000000000e+00,9.313225746154785156e-10,2.337701153010129929e-05
1.000000000000000000e+02,4.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.338900230824947357e-05
1.000000000000000000e+02,4.500000000000000000e+01,0.000000000000000000e+00,1.979060471057891846e-09,2.349997521378099918e-05
1.000000000000000000e+02,4.600000000000000000e+01,0.000000000000000000e+00,2.328306436538696289e-09,2.364200190640985966e-05
1.000000000000000000e+02,4.700000000000000000e+01,0.000000000000000000e+00,2.793967723846435547e-09,2.394200419075787067e-05
1.000000000000000000e+02,4.800000000000000000e+01,0.000000000000000000e+00,1.862645149230957031e-09,2.374901669099926949e-05
1.000000000000000000e+02,4.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.334199962206184864e-05
2.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.313225746154785156e-10,4.589298623614013195e-05
2.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,5.122274160385131836e-09,4.606699803844094276e-05
2.000000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,3.725290298461914062e-09,4.652701318264007568e-05
2.000000000000000000e+02,3.000000000000000000e+00,0.000000000000000000e+00,6.984919309616088867e-09,4.619700484909117222e-05
2.000000000000000000e+02,4.000000000000000000e+00,0.000000000000000000e+00,4.656612873077392578e-10,4.614199860952794552e-05
2.000000000000000000e+02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.643600550480186939e-05
2.000000000000000000e+02,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.554001498036086559e-05
