# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,1.436801617529630560e+17,0.000000000000000000e+00,2.542498987168073654e-05
1.000000000000000000e+02,1.000000000000000000e+00,3.485786052982228400e+16,4.000000000000000000e+00,2.494599903002381325e-05
1.000000000000000000e+02,2.000000000000000000e+00,9.283393543295738000e+15,0.000000000000000000e+00,2.479800605215132236e-05
1.000000000000000000e+02,3.000000000000000000e+00,7.754763181983553536e+18,0.000000000000000000e+00,2.449800376780331135e-05
1.000000000000000000e+02,4.000000000000000000e+00,-1.696953319656212275e+19,0.000000000000000000e+00,2.428097650408744812e-05
1.000000000000000000e+02,5.000000000000000000e+00,3.396715341083664384e+18,0.000000000000000000e+00,2.440300886519253254e-05
1.000000000000000000e+02,6.000000000000000000e+00,1.141500947011899802e+19,0.000000000000000000e+00,2.440399839542806149e-05
1.000000000000000000e+02,7.000000000000000000e+00,6.473215499982864800e+16,8.000000000000000000e+00,2.667400985956192017e-05
1.000000000000000000e+02,8.000000000000000000e+00,1.392733188930961600e+17,0.000000000000000000e+00,4.881899803876876831e-05
1.000000000000000000e+02,9.000000000000000000e+00,-6.616273326038612992e+18,1.024000000000000000e+03,5.201299791224300861e-05
1.000000000000000000e+02,1.000000000000000000e+01,1.687991304100623616e+18,0.000000000000000000e+00,3.842500154860317707e-05
1.000000000000000000e+02,1.100000000000000000e+01,5.207157869179537408e+18,0.000000000000000000e+00,2.446002326905727386e-05
1.000000000000000000e+02,1.200000000000000000e+01,5.182324802168692480e+17,0.000000000000000000e+00,2.462900010868906975e-05
1.000000000000000000e+02,1.300000000000000000e+01,1.776353912580294451e+19,0.000000000000000000e+00,2.439998206682503223e-05
1.000000000000000000e+02,1.400000000000000000e+01,-1.300871445649094656e+19,0.000000000000000000e+00,3.961799666285514832e-05
1.000000000000000000e+02,1.500000000000000000e+01,2.208512637043944448e+18,0.000000000000000000e+00,2.427501021884381771e-05
1.000000000000000000e+02,1.600000000000000000e+01,6.798121549735666688e+18,1.024000000000000000e+03,2.614100230857729912e-05
1.000000000000000000e+02,1.700000000000000000e+01,-9.234450098411997184e+18,0.000000000000000000e+00,3.910998930223286152e-05
1.000000000000000000e+02,1.800000000000000000e+01,8.612483461007268864e+18,0.000000000000000000e+00,2.421499812044203281e-05
1.000000000000000000e+02,1.900000000000000000e+01,5.769634004789411840e+18,0.000000000000000000e+00,2.436400973238050938e-05
1.000000000000000000e+02,2.000000000000000000e+01,5.094653230049203840e+17,6.400000000000000000e+01,2.438199589960277081e-05
1.000000000000000000e+02,2.100000000000000000e+01,-1.062003113499361485e+19,0.000000000000000000e+00,2.433499321341514587e-05
