# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,1.436801617529630560e+17,0.000000000000000000e+00,6.572602433152496815e-05
1.000000000000000000e+02,1.000000000000000000e+00,3.485786052982228400e+16,0.000000000000000000e+00,2.407099236734211445e-05
1.000000000000000000e+02,2.000000000000000000e+00,9.283393543295738000e+15,0.000000000000000000e+00,2.347800182178616524e-05
1.000000000000000000e+02,3.000000000000000000e+00,7.754763181983553536e+18,0.000000000000000000e+00,2.339898492209613323e-05
1.000000000000000000e+02,4.000000000000000000e+00,-1.696953319656212275e+19,0.000000000000000000e+00,2.325800596736371517e-05
1.000000000000000000e+02,5.000000000000000000e+00,3.396715341083664384e+18,0.000000000000000000e+00,2.281801425851881504e-05
1.000000000000000000e+02,6.000000000000000000e+00,1.141500947011899802e+19,0.000000000000000000e+00,2.336499164812266827e-05
1.000000000000000000e+02,7.000000000000000000e+00,6.473215499982864800e+16,0.000000000000000000e+00,2.323099761269986629e-05
1.000000000000000000e+02,8.000000000000000000e+00,1.392733188930961600e+17,0.000000000000000000e+00,2.327398397028446198e-05
1.000000000000000000e+02,9.000000000000000000e+00,-6.616273326038612992e+18,1.024000000000000000e+03,2.337398473173379898e-05
1.000000000000000000e+02,1.000000000000000000e+01,1.687991304100623616e+18,0.000000000000000000e+00,2.309199771843850613e-05
1.000000000000000000e+02,1.100000000000000000e+01,5.207157869179537408e+18,0.000000000000000000e+00,2.328300615772604942e-05
1.000000000000000000e+02,1.200000000000000000e+01,5.182324802168692480e+17,0.000000000000000000e+00,2.334997407160699368e-05
1.000000000000000000e+02,1.300000000000000000e+01,1.776353912580294451e+19,0.000000000000000000e+00,2.785600372590124607e-05
1.000000000000000000e+02,1.400000000000000000e+01,-1.300871445649094656e+19,0.000000000000000000e+00,2.300299820490181446e-05
1.000000000000000000e+02,1.500000000000000000e+01,2.208512637043944448e+18,0.000000000000000000e+00,2.394898911006748676e-05
1.000000000000000000e+02,1.600000000000000000e+01,6.798121549735666688e+18,0.000000000000000000e+00,2.336699981242418289e-05
1.000000000000000000e+02,1.700000000000000000e+01,-9.234450098411997184e+18,0.000000000000000000e+00,2.328699338249862194e-05
1.000000000000000000e+02,1.800000000000000000e+01,8.612483461007268864e+18,0.000000000000000000e+00,2.296300954185426235e-05
1.000000000000000000e+02,1.900000000000000000e+01,5.769634004789411840e+18,0.000000000000000000e+00,2.300401683896780014e-05
1.000000000000000000e+02,2.000000000000000000e+01,5.094653230049203840e+17,0.000000000000000000e+00,2.316097379662096500e-05
1.000000000000000000e+02,2.100000000000000000e+01,-1.062003113499361485e+19,0.000000000000000000e+00,2.343099913559854031e-05
1.000000000000000000e+02,2.200000000000000000e+01,6.836724908341138432e+18,0.000000000000000000e+00,2.317701000720262527e-05
1.000000000000000000e+02,2.300000000000000000e+01,-1.525857884318773453e+19,0.000000000000000000e+00,2.312901779077947140e-05
1.000000000000000000e+02,2.400000000000000000e+01,1.133168828244550560e+17,0.000000000000000000e+00,2.311202115379273891e-05
1.000000000000000000e+02,2.500000000000000000e+01,2.989371462635728000e+17,0.000000000000000000e+00,2.312398282811045647e-05
1.000000000000000000e+02,2.600000000000000000e+01,2.117343590316254720e+17,0.000000000000000000e+00,2.368498826399445534e-05
1.000000000000000000e+02,2.700000000000000000e+01,1.093917395906412339e+19,0.000000000000000000e+00,2.371700247749686241e-05
1.000000000000000000e+02,2.800000000000000000e+01,2.835493790388858368e+18,0.000000000000000000e+00,2.300899359397590160e-05
1.000000000000000000e+02,2.900000000000000000e+01,-6.498928146929266688e+18,0.000000000000000000e+00,2.311600837856531143e-05
1.000000000000000000e+02,3.000000000000000000e+01,3.676949500193540096e+18,0.000000000000000000e+00,2.308998955413699150e-05
1.000000000000000000e+02,3.100000000000000000e+01,1.426850262619722496e+18,0.000000000000000000e+00,2.330000279471278191e-05
1.000000000000000000e+02,3.200000000000000000e+01,1.366918982197706957e+19,0.000000000000000000e+00,2.312799915671348572e-05
1.000000000000000000e+02,3.300000000000000000e+01,-1.746932308309775360e+18,0.000000000000000000e+00,2.288600080646574497e-05
1.000000000000000000e+02,3.400000000000000000e+01,2.575956869966893056e+18,0.000000000000000000e+00,2.292799763381481171e-05
1.000000000000000000e+02,3.500000000000000000e+01,-1.174297177691290214e+19,0.000000000000000000e+00,2.310797572135925293e-05
1.000000000000000000e+02,3.600000000000000000e+01,-9.473801594198939648e+18,0.000000000000000000e+00,2.337200567126274109e-05
1.000000000000000000e+02,3.700000000000000000e+01,5.260099926941820928e+18,0.000000000000000000e+00,2.325998502783477306e-05
1.000000000000000000e+02,3.800000000000000000e+01,1.376687486533856256e+19,0.000000000000000000e+00,2.304799272678792477e-05
1.000000000000000000e+02,3.900000000000000000e+01,4.287680135397499520e+17,0.000000000000000000e+00,2.306699752807617188e-05
1.000000000000000000e+02,4.000000000000000000e+01,-1.702198478597029069e+19,0.000000000000000000e+00,2.308699185959994793e-05
1.000000000000000000e+02,4.100000000000000000e+01,-2.975060926353152819e+19,0.000000000000000000e+00,2.739098272286355495e-05
1.000000000000000000e+02,4.200000000000000000e+01,1.549108046284176589e+19,0.000000000000000000e+00,2.301600761711597443e-05
1.000000000000000000e+02,4.300000000000000000e+01,8.460692702059624000e+16,0.000000000000000000e+00,2.313702134415507317e-05
1.000000000000000000e+02,4.400000000000000000e+01,1.681128161796410880e+18,0.000000000000000000e+00,2.312098513357341290e-05
1.000000000000000000e+02,4.500000000000000000e+01,8.534980303933027328e+18,0.000000000000000000e+00,2.303300425410270691e-05
1.000000000000000000e+02,4.600000000000000000e+01,-1.656036208789614387e+19,0.000000000000000000e+00,2.337899059057235718e-05
1.000000000000000000e+02,4.700000000000000000e+01,9.052409319439964160e+17,0.000000000000000000e+00,2.325500827282667160e-05
