# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,1.436801617529630560e+17,0.000000000000000000e+00,2.535400562919676304e-05
1.000000000000000000e+02,1.000000000000000000e+00,3.485786052982228400e+16,4.000000000000000000e+00,2.525298623368144035e-05
1.000000000000000000e+02,2.000000000000000000e+00,9.283393543295738000e+15,0.000000000000000000e+00,2.487798337824642658e-05
1.000000000000000000e+02,3.000000000000000000e+00,7.754763181983553536e+18,0.000000000000000000e+00,2.480900730006396770e-05
1.000000000000000000e+02,4.000000000000000000e+00,-1.696953319656212275e+19,0.000000000000000000e+00,2.460399991832673550e-05
1.000000000000000000e+02,5.000000000000000000e+00,3.396715341083664384e+18,0.000000000000000000e+00,2.437699004076421261e-05
1.000000000000000000e+02,6.000000000000000000e+00,1.141500947011899802e+19,0.000000000000000000e+00,2.445399877615272999e-05
1.000000000000000000e+02,7.000000000000000000e+00,6.473215499982864800e+16,8.000000000000000000e+00,2.471098559908568859e-05
1.000000000000000000e+02,8.000000000000000000e+00,1.392733188930961600e+17,0.000000000000000000e+00,2.458001836203038692e-05
1.000000000000000000e+02,9.000000000000000000e+00,-6.616273326038612992e+18,0.000000000000000000e+00,2.902100095525383949e-05
1.000000000000000000e+02,1.000000000000000000e+01,1.687991304100623616e+18,0.000000000000000000e+00,2.431799657642841339e-05
1.000000000000000000e+02,1.100000000000000000e+01,5.207157869179537408e+18,0.000000000000000000e+00,2.437600051052868366e-05
1.000000000000000000e+02,1.200000000000000000e+01,5.182324802168692480e+17,0.000000000000000000e+00,2.466200385242700577e-05
1.000000000000000000e+02,1.300000000000000000e+01,1.776353912580294451e+19,0.000000000000000000e+00,2.424701233394443989e-05
1.000000000000000000e+02,1.400000000000000000e+01,-1.300871445649094656e+19,0.000000000000000000e+00,2.444899291731417179e-05
1.000000000000000000e+02,1.500000000000000000e+01,2.208512637043944448e+18,0.000000000000000000e+00,2.410798333585262299e-05
1.000000000000000000e+02,1.600000000000000000e+01,6.798121549735666688e+18,1.024000000000000000e+03,2.421098179183900356e-05
1.000000000000000000e+02,1.700000000000000000e+01,-9.234450098411997184e+18,0.000000000000000000e+00,2.460301038809120655e-05
1.000000000000000000e+02,1.800000000000000000e+01,8.612483461007268864e+18,0.000000000000000000e+00,2.439800300635397434e-05
1.000000000000000000e+02,1.900000000000000000e+01,5.769634004789411840e+18,0.000000000000000000e+00,2.425897400826215744e-05
1.000000000000000000e+02,2.000000000000000000e+01,5.094653230049203840e+17,6.400000000000000000e+01,2.438802039250731468e-05
1.000000000000000000e+02,2.100000000000000000e+01,-1.062003113499361485e+19,0.000000000000000000e+00,2.459200914017856121e-05
1.000000000000000000e+02,2.200000000000000000e+01,6.836724908341138432e+18,0.000000000000000000e+00,2.459200914017856121e-05
1.000000000000000000e+02,2.300000000000000000e+01,-1.525857884318773453e+19,0.000000000000000000e+00,2.444299752824008465e-05
1.000000000000000000e+02,2.400000000000000000e+01,1.133168828244550560e+17,0.000000000000000000e+00,2.446500002406537533e-05
1.000000000000000000e+02,2.500000000000000000e+01,2.989371462635728000e+17,0.000000000000000000e+00,2.444098936393857002e-05
1.000000000000000000e+02,2.600000000000000000e+01,2.117343590316254720e+17,0.000000000000000000e+00,2.457399386912584305e-05
1.000000000000000000e+02,2.700000000000000000e+01,1.093917395906412339e+19,0.000000000000000000e+00,2.482099807821214199e-05
1.000000000000000000e+02,2.800000000000000000e+01,2.835493790388858368e+18,0.000000000000000000e+00,2.466500154696404934e-05
1.000000000000000000e+02,2.900000000000000000e+01,-6.498928146929266688e+18,0.000000000000000000e+00,2.446700818836688995e-05
1.000000000000000000e+02,3.000000000000000000e+01,3.676949500193540096e+18,0.000000000000000000e+00,2.434197813272476196e-05
1.000000000000000000e+02,3.100000000000000000e+01,1.426850262619722496e+18,0.000000000000000000e+00,2.445600694045424461e-05
1.000000000000000000e+02,3.200000000000000000e+01,1.366918982197706957e+19,0.000000000000000000e+00,2.462402335368096828e-05
1.000000000000000000e+02,3.300000000000000000e+01,-1.746932308309775360e+18,0.000000000000000000e+00,2.435900387354195118e-05
1.000000000000000000e+02,3.400000000000000000e+01,2.575956869966893056e+18,0.000000000000000000e+00,2.428301377221941948e-05
1.000000000000000000e+02,3.500000000000000000e+01,-1.174297177691290214e+19,0.000000000000000000e+00,2.516701351851224899e-05
1.000000000000000000e+02,3.600000000000000000e+01,-9.473801594198939648e+18,0.000000000000000000e+00,2.424902049824595451e-05
1.000000000000000000e+02,3.700000000000000000e+01,5.260099926941820928e+18,0.000000000000000000e+00,2.460100222378969193e-05
1.000000000000000000e+02,3.800000000000000000e+01,1.376687486533856256e+19,2.048000000000000000e+03,2.432899782434105873e-05
1.000000000000000000e+02,3.900000000000000000e+01,4.287680135397499520e+17,0.000000000000000000e+00,2.445597783662378788e-05
1.000000000000000000e+02,4.000000000000000000e+01,-1.702198478597029069e+19,0.000000000000000000e+00,2.432899782434105873e-05
1.000000000000000000e+02,4.100000000000000000e+01,-2.975060926353152819e+19,0.000000000000000000e+00,2.438799128867685795e-05
1.000000000000000000e+02,4.200000000000000000e+01,1.549108046284176589e+19,0.000000000000000000e+00,2.451598993502557278e-05
1.000000000000000000e+02,4.300000000000000000e+01,8.460692702059624000e+16,0.000000000000000000e+00,2.427599974907934666e-05
1.000000000000000000e+02,4.400000000000000000e+01,1.681128161796410880e+18,0.000000000000000000e+00,2.430900349281728268e-05
1.000000000000000000e+02,4.500000000000000000e+01,8.534980303933027328e+18,0.000000000000000000e+00,2.420999226160347462e-05
1.000000000000000000e+02,4.600000000000000000e+01,-1.656036208789614387e+19,0.000000000000000000e+00,2.438598312437534332e-05
1.000000000000000000e+02,4.700000000000000000e+01,9.052409319439964160e+17,0.000000000000000000e+00,2.453400520607829094e-05
1.000000000000000000e+02,4.800000000000000000e+01,-1.834475642829806720e+17,3.200000000000000000e+02,2.440300886519253254e-05
1.000000000000000000e+02,4.900000000000000000e+01,-1.929613659577270272e+19,0.000000000000000000e+00,2.478700480423867702e-05
2.000000000000000000e+02,0.000000000000000000e+00,7.020415269959422400e+16,0.000000000000000000e+00,5.133700324222445488e-05
2.000000000000000000e+02,1.000000000000000000e+00,1.510099938747019264e+19,0.000000000000000000e+00,4.823200288228690624e-05
2.000000000000000000e+02,2.000000000000000000e+00,1.144995775138385920e+19,0.000000000000000000e+00,4.921900108456611633e-05
2.000000000000000000e+02,3.000000000000000000e+00,6.152494552043504640e+18,1.024000000000000000e+03,4.871198325417935848e-05
2.000000000000000000e+02,4.000000000000000000e+00,-2.893887471873401651e+19,0.000000000000000000e+00,4.879100015386939049e-05
2.000000000000000000e+02,5.000000000000000000e+00,1.028990990542543667e+19,0.000000000000000000e+00,4.863998037762939930e-05
2.000000000000000000e+02,6.000000000000000000e+00,4.397124917475326464e+18,0.000000000000000000e+00,4.799800808541476727e-05
2.000000000000000000e+02,7.000000000000000000e+00,1.135778547967046451e+19,0.000000000000000000e+00,4.855898441746830940e-05
2.000000000000000000e+02,8.000000000000000000e+00,-5.961318343965599744e+18,0.000000000000000000e+00,4.792498657479882240e-05
2.000000000000000000e+02,9.000000000000000000e+00,-8.134500841397450752e+18,0.000000000000000000e+00,5.193700781092047691e-05
2.000000000000000000e+02,1.000000000000000000e+01,-6.505313900547742720e+18,0.000000000000000000e+00,4.649200127460062504e-05
2.000000000000000000e+02,1.100000000000000000e+01,-2.656739727995482112e+18,0.000000000000000000e+00,4.822900518774986267e-05
2.000000000000000000e+02,1.200000000000000000e+01,-9.925337325195393024e+18,0.000000000000000000e+00,4.856000305153429508e-05
2.000000000000000000e+02,1.300000000000000000e+01,1.289540151402174259e+19,0.000000000000000000e+00,4.736499977298080921e-05
2.000000000000000000e+02,1.400000000000000000e+01,5.215770712438395904e+18,1.024000000000000000e+03,4.817999433726072311e-05
2.000000000000000000e+02,1.500000000000000000e+01,7.302753146797126656e+18,0.000000000000000000e+00,4.797798465006053448e-05
2.000000000000000000e+02,1.600000000000000000e+01,1.298055910475286323e+19,2.048000000000000000e+03,4.782498581334948540e-05
2.000000000000000000e+02,1.700000000000000000e+01,1.383646192713940224e+18,2.560000000000000000e+02,4.849600372835993767e-05
2.000000000000000000e+02,1.800000000000000000e+01,2.043719800101307187e+19,0.000000000000000000e+00,4.790100501850247383e-05
2.000000000000000000e+02,1.900000000000000000e+01,7.397228954197113856e+18,0.000000000000000000e+00,4.837501910515129566e-05
2.000000000000000000e+02,2.000000000000000000e+01,1.258033502413227827e+19,0.000000000000000000e+00,4.811602411791682243e-05
2.000000000000000000e+02,2.100000000000000000e+01,-1.574044845238576947e+19,0.000000000000000000e+00,4.804399213753640652e-05
