# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,1.436801617529630560e+17,0.000000000000000000e+00,2.561000292189419270e-05
1.000000000000000000e+02,1.000000000000000000e+00,3.485786052982228400e+16,4.000000000000000000e+00,2.491899067535996437e-05
1.000000000000000000e+02,2.000000000000000000e+00,9.283393543295738000e+15,0.000000000000000000e+00,3.692001337185502052e-05
1.000000000000000000e+02,3.000000000000000000e+00,7.754763181983553536e+18,0.000000000000000000e+00,2.470100298523902893e-05
1.000000000000000000e+02,4.000000000000000000e+00,-1.696953319656212275e+19,2.048000000000000000e+03,2.506398595869541168e-05
1.000000000000000000e+02,5.000000000000000000e+00,3.396715341083664384e+18,5.120000000000000000e+02,2.428700099699199200e-05
1.000000000000000000e+02,6.000000000000000000e+00,1.141500947011899802e+19,0.000000000000000000e+00,2.446401049382984638e-05
1.000000000000000000e+02,7.000000000000000000e+00,6.473215499982864800e+16,0.000000000000000000e+00,2.462000702507793903e-05
1.000000000000000000e+02,8.000000000000000000e+00,1.392733188930961600e+17,0.000000000000000000e+00,2.462099655531346798e-05
1.000000000000000000e+02,9.000000000000000000e+00,-6.616273326038612992e+18,0.000000000000000000e+00,2.438400406390428543e-05
1.000000000000000000e+02,1.000000000000000000e+01,1.687991304100623616e+18,0.000000000000000000e+00,2.442800905555486679e-05
1.000000000000000000e+02,1.100000000000000000e+01,5.207157869179537408e+18,0.000000000000000000e+00,2.431299071758985519e-05
1.000000000000000000e+02,1.200000000000000000e+01,5.182324802168692480e+17,0.000000000000000000e+00,2.450300962664186954e-05
1.000000000000000000e+02,1.300000000000000000e+01,1.776353912580294451e+19,0.000000000000000000e+00,2.508299075998365879e-05
1.000000000000000000e+02,1.400000000000000000e+01,-1.300871445649094656e+19,0.000000000000000000e+00,2.441598917357623577e-05
1.000000000000000000e+02,1.500000000000000000e+01,2.208512637043944448e+18,2.560000000000000000e+02,2.438799128867685795e-05
1.000000000000000000e+02,1.600000000000000000e+01,6.798121549735666688e+18,0.000000000000000000e+00,2.470999606885015965e-05
1.000000000000000000e+02,1.700000000000000000e+01,-9.234450098411997184e+18,2.048000000000000000e+03,2.432201290503144264e-05
1.000000000000000000e+02,1.800000000000000000e+01,8.612483461007268864e+18,0.000000000000000000e+00,2.409200533293187618e-05
1.000000000000000000e+02,1.900000000000000000e+01,5.769634004789411840e+18,0.000000000000000000e+00,2.439299714751541615e-05
1.000000000000000000e+02,2.000000000000000000e+01,5.094653230049203840e+17,6.400000000000000000e+01,2.438598312437534332e-05
1.000000000000000000e+02,2.100000000000000000e+01,-1.062003113499361485e+19,0.000000000000000000e+00,2.418499207124114037e-05
1.000000000000000000e+02,2.200000000000000000e+01,6.836724908341138432e+18,0.000000000000000000e+00,2.452300395816564560e-05
1.000000000000000000e+02,2.300000000000000000e+01,-1.525857884318773453e+19,0.000000000000000000e+00,2.435501664876937866e-05
1.000000000000000000e+02,2.400000000000000000e+01,1.133168828244550560e+17,0.000000000000000000e+00,2.443100675009191036e-05
1.000000000000000000e+02,2.500000000000000000e+01,2.989371462635728000e+17,0.000000000000000000e+00,2.453100751154124737e-05
1.000000000000000000e+02,2.600000000000000000e+01,2.117343590316254720e+17,0.000000000000000000e+00,2.430702443234622478e-05
1.000000000000000000e+02,2.700000000000000000e+01,1.093917395906412339e+19,0.000000000000000000e+00,2.427599974907934666e-05
1.000000000000000000e+02,2.800000000000000000e+01,2.835493790388858368e+18,0.000000000000000000e+00,2.448199666105210781e-05
1.000000000000000000e+02,2.900000000000000000e+01,-6.498928146929266688e+18,1.024000000000000000e+03,2.443100675009191036e-05
1.000000000000000000e+02,3.000000000000000000e+01,3.676949500193540096e+18,0.000000000000000000e+00,3.615900641307234764e-05
1.000000000000000000e+02,3.100000000000000000e+01,1.426850262619722496e+18,0.000000000000000000e+00,2.499000402167439461e-05
1.000000000000000000e+02,3.200000000000000000e+01,1.366918982197706957e+19,0.000000000000000000e+00,2.468400634825229645e-05
1.000000000000000000e+02,3.300000000000000000e+01,-1.746932308309775360e+18,7.680000000000000000e+02,2.431499888189136982e-05
1.000000000000000000e+02,3.400000000000000000e+01,2.575956869966893056e+18,0.000000000000000000e+00,2.429602318443357944e-05
1.000000000000000000e+02,3.500000000000000000e+01,-1.174297177691290214e+19,2.048000000000000000e+03,2.423598198220133781e-05
1.000000000000000000e+02,3.600000000000000000e+01,-9.473801594198939648e+18,2.048000000000000000e+03,2.443199628032743931e-05
1.000000000000000000e+02,3.700000000000000000e+01,5.260099926941820928e+18,0.000000000000000000e+00,2.438999945297837257e-05
1.000000000000000000e+02,3.800000000000000000e+01,1.376687486533856256e+19,0.000000000000000000e+00,2.426200080662965775e-05
1.000000000000000000e+02,3.900000000000000000e+01,4.287680135397499520e+17,0.000000000000000000e+00,2.428397419862449169e-05
1.000000000000000000e+02,4.000000000000000000e+01,-1.702198478597029069e+19,0.000000000000000000e+00,2.448901068419218063e-05
1.000000000000000000e+02,4.100000000000000000e+01,-2.975060926353152819e+19,0.000000000000000000e+00,2.453601337037980556e-05
1.000000000000000000e+02,4.200000000000000000e+01,1.549108046284176589e+19,0.000000000000000000e+00,2.422500983811914921e-05
1.000000000000000000e+02,4.300000000000000000e+01,8.460692702059624000e+16,0.000000000000000000e+00,2.407201100140810013e-05
1.000000000000000000e+02,4.400000000000000000e+01,1.681128161796410880e+18,2.560000000000000000e+02,6.954901618883013725e-05
1.000000000000000000e+02,4.500000000000000000e+01,8.534980303933027328e+18,1.024000000000000000e+03,2.852801117114722729e-05
