# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,7.755850421008074480e-02,0.000000000000000000e+00,2.818999928422272205e-05
1.000000000000000000e+02,1.000000000000000000e+00,1.048755324120187182e-01,0.000000000000000000e+00,2.283899812027812004e-05
1.000000000000000000e+02,2.000000000000000000e+00,1.369233632308091975e-01,0.000000000000000000e+00,2.208800287917256355e-05
1.000000000000000000e+02,3.000000000000000000e+00,1.966298643928320322e-01,0.000000000000000000e+00,2.248198143206536770e-05
1.000000000000000000e+02,4.000000000000000000e+00,7.008855384148847401e-02,0.000000000000000000e+00,2.197700086981058121e-05
1.000000000000000000e+02,5.000000000000000000e+00,6.024652371483683183e-02,0.000000000000000000e+00,2.192502142861485481e-05
1.000000000000000000e+02,6.000000000000000000e+00,3.324772972051137643e-01,0.000000000000000000e+00,2.206099452450871468e-05
1.000000000000000000e+02,7.000000000000000000e+00,9.700319890995177941e-02,0.000000000000000000e+00,2.210400998592376709e-05
1.000000000000000000e+02,8.000000000000000000e+00,7.403212063029551704e-02,0.000000000000000000e+00,2.217199653387069702e-05
1.000000000000000000e+02,9.000000000000000000e+00,7.059660820546267979e-02,0.000000000000000000e+00,2.219699672423303127e-05
1.000000000000000000e+02,1.000000000000000000e+01,8.319556124631589944e-02,0.000000000000000000e+00,2.214801497757434845e-05
1.000000000000000000e+02,1.100000000000000000e+01,2.867412624874664528e-01,0.000000000000000000e+00,2.218200825154781342e-05
1.000000000000000000e+02,1.200000000000000000e+01,1.329179962296393458e-01,0.000000000000000000e+00,2.210898674093186855e-05
1.000000000000000000e+02,1.300000000000000000e+01,3.826390576926444465e-01,5.551115123125782702e-17,2.589100040495395660e-05
1.000000000000000000e+02,1.400000000000000000e+01,2.028182064254165640e-01,0.000000000000000000e+00,2.212601248174905777e-05
1.000000000000000000e+02,1.500000000000000000e+01,8.101742690593484453e-02,0.000000000000000000e+00,2.235200372524559498e-05
1.000000000000000000e+02,1.600000000000000000e+01,1.083423967485351164e-01,1.387778780781445676e-17,2.207598299719393253e-05
1.000000000000000000e+02,1.700000000000000000e+01,1.796190873559075640e-01,0.000000000000000000e+00,2.243201015517115593e-05
1.000000000000000000e+02,1.800000000000000000e+01,5.538037564666774271e-02,0.000000000000000000e+00,2.212901017628610134e-05
1.000000000000000000e+02,1.900000000000000000e+01,6.488085788689670896e-02,0.000000000000000000e+00,2.225898788310587406e-05
1.000000000000000000e+02,2.000000000000000000e+01,3.067734761986920522e-01,5.551115123125782702e-17,2.202301402576267719e-05
1.000000000000000000e+02,2.100000000000000000e+01,1.335074851257788131e-01,0.000000000000000000e+00,2.207999932579696178e-05
1.000000000000000000e+02,2.200000000000000000e+01,1.718270320170911247e-01,0.000000000000000000e+00,2.260401379317045212e-05
1.000000000000000000e+02,2.300000000000000000e+01,3.432468986941467071e-01,0.000000000000000000e+00,2.225200296379625797e-05
1.000000000000000000e+02,2.400000000000000000e+01,6.566675920857024951e-02,0.000000000000000000e+00,2.211102400906383991e-05
1.000000000000000000e+02,2.500000000000000000e+01,8.756278986090676453e-02,0.000000000000000000e+00,2.213200787082314491e-05
1.000000000000000000e+02,2.600000000000000000e+01,4.382777091309500439e-01,5.551115123125782702e-17,2.208500518463551998e-05
1.000000000000000000e+02,2.700000000000000000e+01,3.319051924387231844e-01,0.000000000000000000e+00,2.239801688119769096e-05
1.000000000000000000e+02,2.800000000000000000e+01,9.729612151593430847e-02,0.000000000000000000e+00,2.208101795986294746e-05
1.000000000000000000e+02,2.900000000000000000e+01,1.804527785253123850e-01,0.000000000000000000e+00,2.234001294709742069e-05
1.000000000000000000e+02,3.000000000000000000e+01,3.300192720459435014e-01,0.000000000000000000e+00,2.215997665189206600e-05
1.000000000000000000e+02,3.100000000000000000e+01,8.330257323236446576e-02,0.000000000000000000e+00,2.208800287917256355e-05
1.000000000000000000e+02,3.200000000000000000e+01,1.231278441368119925e-01,0.000000000000000000e+00,2.201800816692411900e-05
1.000000000000000000e+02,3.300000000000000000e+01,8.207508833080315314e-02,0.000000000000000000e+00,2.228000084869563580e-05
1.000000000000000000e+02,3.400000000000000000e+01,8.310899903832313917e-02,0.000000000000000000e+00,2.217601286247372627e-05
1.000000000000000000e+02,3.500000000000000000e+01,1.447117722379231419e-01,0.000000000000000000e+00,2.235599095001816750e-05
1.000000000000000000e+02,3.600000000000000000e+01,5.025712310609522504e-01,0.000000000000000000e+00,2.197799040004611015e-05
