# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,7.755850421008074480e-02,0.000000000000000000e+00,2.318999031558632851e-05
1.000000000000000000e+02,1.000000000000000000e+00,1.048755324120187182e-01,0.000000000000000000e+00,2.361799124628305435e-05
1.000000000000000000e+02,2.000000000000000000e+00,1.369233632308091975e-01,0.000000000000000000e+00,2.240101457573473454e-05
1.000000000000000000e+02,3.000000000000000000e+00,1.966298643928320322e-01,0.000000000000000000e+00,2.246600342914462090e-05
1.000000000000000000e+02,4.000000000000000000e+00,7.008855384148847401e-02,0.000000000000000000e+00,2.221198519691824913e-05
1.000000000000000000e+02,5.000000000000000000e+00,6.024652371483683183e-02,0.000000000000000000e+00,2.199600567109882832e-05
1.000000000000000000e+02,6.000000000000000000e+00,3.324772972051137643e-01,0.000000000000000000e+00,2.229301026090979576e-05
1.000000000000000000e+02,7.000000000000000000e+00,9.700319890995177941e-02,0.000000000000000000e+00,2.235302235931158066e-05
1.000000000000000000e+02,8.000000000000000000e+00,7.403212063029551704e-02,0.000000000000000000e+00,2.220302121713757515e-05
1.000000000000000000e+02,9.000000000000000000e+00,7.059660820546267979e-02,0.000000000000000000e+00,2.209498779848217964e-05
1.000000000000000000e+02,1.000000000000000000e+01,8.319556124631589944e-02,0.000000000000000000e+00,2.235799911431968212e-05
1.000000000000000000e+02,1.100000000000000000e+01,2.867412624874664528e-01,0.000000000000000000e+00,2.222700277343392372e-05
1.000000000000000000e+02,1.200000000000000000e+01,1.329179962296393458e-01,0.000000000000000000e+00,2.236399450339376926e-05
1.000000000000000000e+02,1.300000000000000000e+01,3.826390576926444465e-01,0.000000000000000000e+00,2.224300988018512726e-05
1.000000000000000000e+02,1.400000000000000000e+01,2.028182064254165640e-01,0.000000000000000000e+00,2.212901017628610134e-05
1.000000000000000000e+02,1.500000000000000000e+01,8.101742690593484453e-02,0.000000000000000000e+00,2.212898107245564461e-05
1.000000000000000000e+02,1.600000000000000000e+01,1.083423967485351164e-01,0.000000000000000000e+00,2.240197500213980675e-05
1.000000000000000000e+02,1.700000000000000000e+01,1.796190873559075640e-01,0.000000000000000000e+00,2.220302121713757515e-05
1.000000000000000000e+02,1.800000000000000000e+01,5.538037564666774271e-02,0.000000000000000000e+00,2.216800930909812450e-05
1.000000000000000000e+02,1.900000000000000000e+01,6.488085788689670896e-02,0.000000000000000000e+00,2.243500784970819950e-05
1.000000000000000000e+02,2.000000000000000000e+01,3.067734761986920522e-01,0.000000000000000000e+00,2.236600266769528389e-05
1.000000000000000000e+02,2.100000000000000000e+01,1.335074851257788131e-01,0.000000000000000000e+00,2.216099528595805168e-05
1.000000000000000000e+02,2.200000000000000000e+01,1.718270320170911247e-01,0.000000000000000000e+00,2.212999970652163029e-05
1.000000000000000000e+02,2.300000000000000000e+01,3.432468986941467071e-01,0.000000000000000000e+00,2.689301618374884129e-05
1.000000000000000000e+02,2.400000000000000000e+01,6.566675920857024951e-02,0.000000000000000000e+00,2.207999932579696178e-05
1.000000000000000000e+02,2.500000000000000000e+01,8.756278986090676453e-02,0.000000000000000000e+00,2.204798511229455471e-05
1.000000000000000000e+02,2.600000000000000000e+01,4.382777091309500439e-01,0.000000000000000000e+00,2.215299173258244991e-05
1.000000000000000000e+02,2.700000000000000000e+01,3.319051924387231844e-01,0.000000000000000000e+00,2.218098961748182774e-05
1.000000000000000000e+02,2.800000000000000000e+01,9.729612151593430847e-02,0.000000000000000000e+00,2.216099528595805168e-05
1.000000000000000000e+02,2.900000000000000000e+01,1.804527785253123850e-01,0.000000000000000000e+00,2.212202525697648525e-05
1.000000000000000000e+02,3.000000000000000000e+01,3.300192720459435014e-01,0.000000000000000000e+00,2.214399864897131920e-05
1.000000000000000000e+02,3.100000000000000000e+01,8.330257323236446576e-02,0.000000000000000000e+00,2.216501161456108093e-05
1.000000000000000000e+02,3.200000000000000000e+01,1.231278441368119925e-01,0.000000000000000000e+00,2.220101305283606052e-05
1.000000000000000000e+02,3.300000000000000000e+01,8.207508833080315314e-02,0.000000000000000000e+00,2.216201392002403736e-05
1.000000000000000000e+02,3.400000000000000000e+01,8.310899903832313917e-02,0.000000000000000000e+00,2.224999479949474335e-05
1.000000000000000000e+02,3.500000000000000000e+01,1.447117722379231419e-01,0.000000000000000000e+00,2.225101343356072903e-05
1.000000000000000000e+02,3.600000000000000000e+01,5.025712310609522504e-01,0.000000000000000000e+00,2.215499989688396454e-05
1.000000000000000000e+02,3.700000000000000000e+01,1.283831473740523477e-01,0.000000000000000000e+00,2.230599056929349899e-05
1.000000000000000000e+02,3.800000000000000000e+01,7.253388807488775347e-02,0.000000000000000000e+00,2.213599509559571743e-05
1.000000000000000000e+02,3.900000000000000000e+01,9.793559397403686639e-02,0.000000000000000000e+00,2.217100700363516808e-05
1.000000000000000000e+02,4.000000000000000000e+01,8.069916406187004065e-02,0.000000000000000000e+00,2.208800287917256355e-05
1.000000000000000000e+02,4.100000000000000000e+01,5.724916778710067294e-02,0.000000000000000000e+00,2.214399864897131920e-05
1.000000000000000000e+02,4.200000000000000000e+01,6.167488595860497469e-01,0.000000000000000000e+00,2.278899773955345154e-05
1.000000000000000000e+02,4.300000000000000000e+01,7.091080691434938077e-02,0.000000000000000000e+00,2.227400545962154865e-05
1.000000000000000000e+02,4.400000000000000000e+01,3.095355114561064713e-01,0.000000000000000000e+00,2.208401565439999104e-05
1.000000000000000000e+02,4.500000000000000000e+01,1.450051378592851214e-01,0.000000000000000000e+00,2.210299135185778141e-05
1.000000000000000000e+02,4.600000000000000000e+01,1.063414728106508861e-01,0.000000000000000000e+00,2.221800968982279301e-05
1.000000000000000000e+02,4.700000000000000000e+01,6.141542685877051516e-02,0.000000000000000000e+00,2.226201468147337437e-05
1.000000000000000000e+02,4.800000000000000000e+01,8.876145936814468229e-02,0.000000000000000000e+00,2.215598942711949348e-05
1.000000000000000000e+02,4.900000000000000000e+01,2.700815731891926252e-01,0.000000000000000000e+00,2.250200486741960049e-05
2.000000000000000000e+02,0.000000000000000000e+00,8.826984203713103549e-02,0.000000000000000000e+00,4.886399256065487862e-05
2.000000000000000000e+02,1.000000000000000000e+00,9.175184475399182638e-02,0.000000000000000000e+00,4.371401155367493629e-05
2.000000000000000000e+02,2.000000000000000000e+00,1.382542659660641604e-01,0.000000000000000000e+00,4.374198033474385738e-05
2.000000000000000000e+02,3.000000000000000000e+00,1.332902668584437511e-01,0.000000000000000000e+00,4.398199962452054024e-05
2.000000000000000000e+02,4.000000000000000000e+00,8.103539567722981007e-02,0.000000000000000000e+00,4.362300387583673000e-05
2.000000000000000000e+02,5.000000000000000000e+00,1.698458987387226893e-01,0.000000000000000000e+00,4.390499088913202286e-05
2.000000000000000000e+02,6.000000000000000000e+00,1.194615596763620585e-01,0.000000000000000000e+00,4.295899998396635056e-05
2.000000000000000000e+02,7.000000000000000000e+00,1.372552346457709405e-01,0.000000000000000000e+00,4.385798820294439793e-05
2.000000000000000000e+02,8.000000000000000000e+00,7.811816780862941567e-02,0.000000000000000000e+00,4.383499617688357830e-05
2.000000000000000000e+02,9.000000000000000000e+00,1.221787067545360428e-01,0.000000000000000000e+00,4.459297633729875088e-05
2.000000000000000000e+02,1.000000000000000000e+01,8.394238108093220185e-02,0.000000000000000000e+00,4.428101237863302231e-05
2.000000000000000000e+02,1.100000000000000000e+01,1.441988297771574778e-01,0.000000000000000000e+00,4.351200186647474766e-05
2.000000000000000000e+02,1.200000000000000000e+01,1.605626325283657785e-01,0.000000000000000000e+00,4.423098289407789707e-05
2.000000000000000000e+02,1.300000000000000000e+01,8.446253336454681571e-02,0.000000000000000000e+00,4.262299626134335995e-05
2.000000000000000000e+02,1.400000000000000000e+01,2.161814418761967282e-01,0.000000000000000000e+00,4.358901060186326504e-05
2.000000000000000000e+02,1.500000000000000000e+01,4.241662372727149632e-01,0.000000000000000000e+00,4.421101766638457775e-05
2.000000000000000000e+02,1.600000000000000000e+01,7.513678929461720113e-02,0.000000000000000000e+00,4.452699795365333557e-05
2.000000000000000000e+02,1.700000000000000000e+01,7.689348432359954799e-02,0.000000000000000000e+00,4.422498750500380993e-05
2.000000000000000000e+02,1.800000000000000000e+01,8.516215567865662028e-02,0.000000000000000000e+00,4.301700391806662083e-05
2.000000000000000000e+02,1.900000000000000000e+01,1.537865767246903159e-01,0.000000000000000000e+00,4.427999374456703663e-05
2.000000000000000000e+02,2.000000000000000000e+01,1.991168411726354781e-01,0.000000000000000000e+00,4.513500607572495937e-05
2.000000000000000000e+02,2.100000000000000000e+01,1.843214575889856321e-01,0.000000000000000000e+00,4.429300315678119659e-05
2.000000000000000000e+02,2.200000000000000000e+01,9.918788554206578456e-02,0.000000000000000000e+00,4.493401502259075642e-05
2.000000000000000000e+02,2.300000000000000000e+01,1.142221775678298329e-01,0.000000000000000000e+00,4.465499660000205040e-05
2.000000000000000000e+02,2.400000000000000000e+01,1.808729530360305426e-01,0.000000000000000000e+00,4.429099499247968197e-05
2.000000000000000000e+02,2.500000000000000000e+01,1.213970325707967174e-01,0.000000000000000000e+00,4.409099346958100796e-05
2.000000000000000000e+02,2.600000000000000000e+01,8.406195218482213904e-02,0.000000000000000000e+00,4.410298424772918224e-05
2.000000000000000000e+02,2.700000000000000000e+01,1.170442471251255112e-01,0.000000000000000000e+00,4.436000017449259758e-05
2.000000000000000000e+02,2.800000000000000000e+01,1.150897821990077702e-01,0.000000000000000000e+00,4.427999374456703663e-05
