# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,7.755850421008074480e-02,0.000000000000000000e+00,2.388498978689312935e-05
1.000000000000000000e+02,1.000000000000000000e+00,1.048755324120187182e-01,0.000000000000000000e+00,2.374200266785919666e-05
1.000000000000000000e+02,2.000000000000000000e+00,1.369233632308091975e-01,0.000000000000000000e+00,2.274499274790287018e-05
1.000000000000000000e+02,3.000000000000000000e+00,1.966298643928320322e-01,0.000000000000000000e+00,2.310299896635115147e-05
1.000000000000000000e+02,4.000000000000000000e+00,7.008855384148847401e-02,0.000000000000000000e+00,2.285800292156636715e-05
1.000000000000000000e+02,5.000000000000000000e+00,6.024652371483683183e-02,0.000000000000000000e+00,2.268300158903002739e-05
1.000000000000000000e+02,6.000000000000000000e+00,3.324772972051137643e-01,0.000000000000000000e+00,2.266501542180776596e-05
1.000000000000000000e+02,7.000000000000000000e+00,9.700319890995177941e-02,0.000000000000000000e+00,2.291100099682807922e-05
1.000000000000000000e+02,8.000000000000000000e+00,7.403212063029551704e-02,0.000000000000000000e+00,2.272400888614356518e-05
1.000000000000000000e+02,9.000000000000000000e+00,7.059660820546267979e-02,0.000000000000000000e+00,2.271000994369387627e-05
1.000000000000000000e+02,1.000000000000000000e+01,8.319556124631589944e-02,0.000000000000000000e+00,4.120598896406590939e-05
1.000000000000000000e+02,1.100000000000000000e+01,2.867412624874664528e-01,0.000000000000000000e+00,2.284100628457963467e-05
1.000000000000000000e+02,1.200000000000000000e+01,1.329179962296393458e-01,0.000000000000000000e+00,2.271600533276796341e-05
1.000000000000000000e+02,1.300000000000000000e+01,3.826390576926444465e-01,5.551115123125782702e-17,2.293399302288889885e-05
1.000000000000000000e+02,1.400000000000000000e+01,2.028182064254165640e-01,0.000000000000000000e+00,2.254699938930571079e-05
1.000000000000000000e+02,1.500000000000000000e+01,8.101742690593484453e-02,0.000000000000000000e+00,2.262301859445869923e-05
1.000000000000000000e+02,1.600000000000000000e+01,1.083423967485351164e-01,1.387778780781445676e-17,2.257700543850660324e-05
1.000000000000000000e+02,1.700000000000000000e+01,1.796190873559075640e-01,0.000000000000000000e+00,2.267499803565442562e-05
1.000000000000000000e+02,1.800000000000000000e+01,5.538037564666774271e-02,0.000000000000000000e+00,2.244600909762084484e-05
1.000000000000000000e+02,1.900000000000000000e+01,6.488085788689670896e-02,0.000000000000000000e+00,2.292700810357928276e-05
1.000000000000000000e+02,2.000000000000000000e+01,3.067734761986920522e-01,5.551115123125782702e-17,2.276399754919111729e-05
1.000000000000000000e+02,2.100000000000000000e+01,1.335074851257788131e-01,0.000000000000000000e+00,2.329199924133718014e-05
1.000000000000000000e+02,2.200000000000000000e+01,1.718270320170911247e-01,0.000000000000000000e+00,2.269298420287668705e-05
1.000000000000000000e+02,2.300000000000000000e+01,3.432468986941467071e-01,0.000000000000000000e+00,3.519401070661842823e-05
1.000000000000000000e+02,2.400000000000000000e+01,6.566675920857024951e-02,0.000000000000000000e+00,2.289901021867990494e-05
1.000000000000000000e+02,2.500000000000000000e+01,8.756278986090676453e-02,0.000000000000000000e+00,2.292700810357928276e-05
1.000000000000000000e+02,2.600000000000000000e+01,4.382777091309500439e-01,5.551115123125782702e-17,2.260899054817855358e-05
1.000000000000000000e+02,2.700000000000000000e+01,3.319051924387231844e-01,0.000000000000000000e+00,2.280698390677571297e-05
1.000000000000000000e+02,2.800000000000000000e+01,9.729612151593430847e-02,0.000000000000000000e+00,2.258401946164667606e-05
1.000000000000000000e+02,2.900000000000000000e+01,1.804527785253123850e-01,0.000000000000000000e+00,2.269601100124418736e-05
1.000000000000000000e+02,3.000000000000000000e+01,3.300192720459435014e-01,0.000000000000000000e+00,2.261000918224453926e-05
1.000000000000000000e+02,3.100000000000000000e+01,8.330257323236446576e-02,0.000000000000000000e+00,2.281801425851881504e-05
1.000000000000000000e+02,3.200000000000000000e+01,1.231278441368119925e-01,0.000000000000000000e+00,2.268800744786858559e-05
1.000000000000000000e+02,3.300000000000000000e+01,8.207508833080315314e-02,0.000000000000000000e+00,2.264900831505656242e-05
1.000000000000000000e+02,3.400000000000000000e+01,8.310899903832313917e-02,0.000000000000000000e+00,2.275698352605104446e-05
