# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,7.755850421008074480e-02,0.000000000000000000e+00,2.760198549367487431e-05
1.000000000000000000e+02,1.000000000000000000e+00,1.048755324120187182e-01,0.000000000000000000e+00,2.500001573935151100e-05
1.000000000000000000e+02,2.000000000000000000e+00,1.369233632308091975e-01,0.000000000000000000e+00,4.253600491210818291e-05
1.000000000000000000e+02,3.000000000000000000e+00,1.966298643928320322e-01,0.000000000000000000e+00,7.223099237307906151e-05
1.000000000000000000e+02,4.000000000000000000e+00,7.008855384148847401e-02,0.000000000000000000e+00,2.317898906767368317e-05
1.000000000000000000e+02,5.000000000000000000e+00,6.024652371483683183e-02,0.000000000000000000e+00,2.295098965987563133e-05
1.000000000000000000e+02,6.000000000000000000e+00,3.324772972051137643e-01,0.000000000000000000e+00,2.276699524372816086e-05
1.000000000000000000e+02,7.000000000000000000e+00,9.700319890995177941e-02,0.000000000000000000e+00,2.277301973663270473e-05
1.000000000000000000e+02,8.000000000000000000e+00,7.403212063029551704e-02,1.387778780781445676e-17,2.264199429191648960e-05
1.000000000000000000e+02,9.000000000000000000e+00,7.059660820546267979e-02,0.000000000000000000e+00,2.271300763823091984e-05
1.000000000000000000e+02,1.000000000000000000e+01,8.319556124631589944e-02,0.000000000000000000e+00,2.298399340361356735e-05
1.000000000000000000e+02,1.100000000000000000e+01,2.867412624874664528e-01,0.000000000000000000e+00,2.279799082316458225e-05
1.000000000000000000e+02,1.200000000000000000e+01,1.329179962296393458e-01,2.775557561562891351e-17,2.250698162242770195e-05
1.000000000000000000e+02,1.300000000000000000e+01,3.826390576926444465e-01,0.000000000000000000e+00,2.258701715618371964e-05
1.000000000000000000e+02,1.400000000000000000e+01,2.028182064254165640e-01,0.000000000000000000e+00,2.263899659737944603e-05
1.000000000000000000e+02,1.500000000000000000e+01,8.101742690593484453e-02,0.000000000000000000e+00,2.277799649164080620e-05
1.000000000000000000e+02,1.600000000000000000e+01,1.083423967485351164e-01,1.387778780781445676e-17,2.260899054817855358e-05
1.000000000000000000e+02,1.700000000000000000e+01,1.796190873559075640e-01,0.000000000000000000e+00,3.661998198367655277e-05
1.000000000000000000e+02,1.800000000000000000e+01,5.538037564666774271e-02,0.000000000000000000e+00,2.257199957966804504e-05
1.000000000000000000e+02,1.900000000000000000e+01,6.488085788689670896e-02,0.000000000000000000e+00,2.273698919452726841e-05
1.000000000000000000e+02,2.000000000000000000e+01,3.067734761986920522e-01,5.551115123125782702e-17,2.282499917782843113e-05
1.000000000000000000e+02,2.100000000000000000e+01,1.335074851257788131e-01,0.000000000000000000e+00,2.295800368301570415e-05
1.000000000000000000e+02,2.200000000000000000e+01,1.718270320170911247e-01,0.000000000000000000e+00,2.241798210889101028e-05
1.000000000000000000e+02,2.300000000000000000e+01,3.432468986941467071e-01,0.000000000000000000e+00,2.297197352163493633e-05
1.000000000000000000e+02,2.400000000000000000e+01,6.566675920857024951e-02,0.000000000000000000e+00,2.265800139866769314e-05
1.000000000000000000e+02,2.500000000000000000e+01,8.756278986090676453e-02,1.387778780781445676e-17,2.263399073854088783e-05
1.000000000000000000e+02,2.600000000000000000e+01,4.382777091309500439e-01,5.551115123125782702e-17,2.272697747685015202e-05
1.000000000000000000e+02,2.700000000000000000e+01,3.319051924387231844e-01,0.000000000000000000e+00,2.277101157233119011e-05
1.000000000000000000e+02,2.800000000000000000e+01,9.729612151593430847e-02,0.000000000000000000e+00,2.249501994810998440e-05
1.000000000000000000e+02,2.900000000000000000e+01,1.804527785253123850e-01,0.000000000000000000e+00,2.251900150440633297e-05
1.000000000000000000e+02,3.000000000000000000e+01,3.300192720459435014e-01,0.000000000000000000e+00,3.650999860838055611e-05
1.000000000000000000e+02,3.100000000000000000e+01,8.330257323236446576e-02,0.000000000000000000e+00,2.264598151668906212e-05
1.000000000000000000e+02,3.200000000000000000e+01,1.231278441368119925e-01,0.000000000000000000e+00,2.303600194863975048e-05
