# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,9.877387588948598918e+00,0.000000000000000000e+00,2.370899892412126064e-05
1.000000000000000000e+02,1.000000000000000000e+00,4.944568585557916229e+00,0.000000000000000000e+00,2.346598193980753422e-05
1.000000000000000000e+02,2.000000000000000000e+00,1.440949838882364498e+00,0.000000000000000000e+00,2.293000579811632633e-05
1.000000000000000000e+02,3.000000000000000000e+00,-6.677079570965295474e+00,0.000000000000000000e+00,2.285101800225675106e-05
1.000000000000000000e+02,4.000000000000000000e+00,3.451032749956279844e+00,0.000000000000000000e+00,2.332500298507511616e-05
1.000000000000000000e+02,5.000000000000000000e+00,-1.731373760313745125e+00,0.000000000000000000e+00,2.265701186843216419e-05
1.000000000000000000e+02,6.000000000000000000e+00,-1.624935951877333196e-01,0.000000000000000000e+00,2.294799196533858776e-05
1.000000000000000000e+02,7.000000000000000000e+00,-3.865599286916999944e+00,0.000000000000000000e+00,2.286498784087598324e-05
1.000000000000000000e+02,8.000000000000000000e+00,-3.634718141367674349e+00,0.000000000000000000e+00,2.283498179167509079e-05
1.000000000000000000e+02,9.000000000000000000e+00,4.385935548645711890e+00,0.000000000000000000e+00,2.286297967657446861e-05
1.000000000000000000e+02,1.000000000000000000e+01,5.481567835779477704e+00,0.000000000000000000e+00,2.291399869136512280e-05
1.000000000000000000e+02,1.100000000000000000e+01,-1.181157948297590643e+01,0.000000000000000000e+00,2.286100061610341072e-05
1.000000000000000000e+02,1.200000000000000000e+01,3.339866240278829501e+00,0.000000000000000000e+00,2.280800254084169865e-05
1.000000000000000000e+02,1.300000000000000000e+01,-3.248267462016460883e+00,0.000000000000000000e+00,2.277200110256671906e-05
1.000000000000000000e+02,1.400000000000000000e+01,-7.588084077000435634e+00,0.000000000000000000e+00,2.279199543409049511e-05
1.000000000000000000e+02,1.500000000000000000e+01,-9.536717635636435819e-01,0.000000000000000000e+00,2.273800782859325409e-05
