# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,9.877387588948598918e+00,0.000000000000000000e+00,2.411598688922822475e-05
1.000000000000000000e+02,1.000000000000000000e+00,4.944568585557916229e+00,0.000000000000000000e+00,2.531800419092178345e-05
1.000000000000000000e+02,2.000000000000000000e+00,1.440949838882364498e+00,0.000000000000000000e+00,2.351999864913523197e-05
1.000000000000000000e+02,3.000000000000000000e+00,-6.677079570965295474e+00,0.000000000000000000e+00,2.353900345042347908e-05
1.000000000000000000e+02,4.000000000000000000e+00,3.451032749956279844e+00,0.000000000000000000e+00,2.333798329345881939e-05
1.000000000000000000e+02,5.000000000000000000e+00,-1.731373760313745125e+00,0.000000000000000000e+00,2.301999484188854694e-05
1.000000000000000000e+02,6.000000000000000000e+00,-1.624935951877333196e-01,0.000000000000000000e+00,2.795900218188762665e-05
1.000000000000000000e+02,7.000000000000000000e+00,-3.865599286916999944e+00,0.000000000000000000e+00,2.318600309081375599e-05
1.000000000000000000e+02,8.000000000000000000e+00,-3.634718141367674349e+00,0.000000000000000000e+00,2.326798858121037483e-05
1.000000000000000000e+02,9.000000000000000000e+00,4.385935548645711890e+00,0.000000000000000000e+00,2.332200529053807259e-05
1.000000000000000000e+02,1.000000000000000000e+01,5.481567835779477704e+00,0.000000000000000000e+00,2.337599289603531361e-05
1.000000000000000000e+02,1.100000000000000000e+01,-1.181157948297590643e+01,0.000000000000000000e+00,2.323600347153842449e-05
1.000000000000000000e+02,1.200000000000000000e+01,3.339866240278829501e+00,0.000000000000000000e+00,2.315398887731134892e-05
1.000000000000000000e+02,1.300000000000000000e+01,-3.248267462016460883e+00,0.000000000000000000e+00,2.331999712623655796e-05
1.000000000000000000e+02,1.400000000000000000e+01,-7.588084077000435634e+00,0.000000000000000000e+00,2.322898944839835167e-05
1.000000000000000000e+02,1.500000000000000000e+01,-9.536717635636435819e-01,0.000000000000000000e+00,2.329901326447725296e-05
1.000000000000000000e+02,1.600000000000000000e+01,4.117023220426838215e+00,0.000000000000000000e+00,2.343000960536301136e-05
1.000000000000000000e+02,1.700000000000000000e+01,-1.937210051788147203e+00,0.000000000000000000e+00,2.335401950404047966e-05
1.000000000000000000e+02,1.800000000000000000e+01,6.609915372579624027e+00,0.000000000000000000e+00,2.335800672881305218e-05
1.000000000000000000e+02,1.900000000000000000e+01,-8.162036139696662307e-01,0.000000000000000000e+00,2.335401950404047966e-05
1.000000000000000000e+02,2.000000000000000000e+01,-9.522987151820043294e+00,0.000000000000000000e+00,2.334901364520192146e-05
1.000000000000000000e+02,2.100000000000000000e+01,-2.587478094410395890e+00,0.000000000000000000e+00,2.343501546420156956e-05
1.000000000000000000e+02,2.200000000000000000e+01,1.526869829910336485e+00,0.000000000000000000e+00,2.325998502783477306e-05
1.000000000000000000e+02,2.300000000000000000e+01,-4.025887630627234870e+00,0.000000000000000000e+00,2.324199886061251163e-05
1.000000000000000000e+02,2.400000000000000000e+01,6.169117834520463362e+00,0.000000000000000000e+00,2.349301939830183983e-05
1.000000000000000000e+02,2.500000000000000000e+01,-1.749565699749953573e+00,0.000000000000000000e+00,2.326400135643780231e-05
1.000000000000000000e+02,2.600000000000000000e+01,-3.757159908092020828e+00,0.000000000000000000e+00,2.312200376763939857e-05
