# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,9.877387588948598918e+00,0.000000000000000000e+00,2.642499748617410660e-05
1.000000000000000000e+02,1.000000000000000000e+00,4.944568585557916229e+00,0.000000000000000000e+00,2.628800575621426105e-05
1.000000000000000000e+02,2.000000000000000000e+00,1.440949838882364498e+00,0.000000000000000000e+00,2.532399957999587059e-05
1.000000000000000000e+02,3.000000000000000000e+00,-6.677079570965295474e+00,0.000000000000000000e+00,2.554300590418279171e-05
1.000000000000000000e+02,4.000000000000000000e+00,3.451032749956279844e+00,0.000000000000000000e+00,2.527199103496968746e-05
1.000000000000000000e+02,5.000000000000000000e+00,-1.731373760313745125e+00,0.000000000000000000e+00,2.499300171621143818e-05
1.000000000000000000e+02,6.000000000000000000e+00,-1.624935951877333196e-01,0.000000000000000000e+00,2.538698026910424232e-05
1.000000000000000000e+02,7.000000000000000000e+00,-3.865599286916999944e+00,0.000000000000000000e+00,2.538898843340575695e-05
1.000000000000000000e+02,8.000000000000000000e+00,-3.634718141367674349e+00,0.000000000000000000e+00,2.520898124203085899e-05
1.000000000000000000e+02,9.000000000000000000e+00,4.385935548645711890e+00,0.000000000000000000e+00,2.542699803598225117e-05
1.000000000000000000e+02,1.000000000000000000e+01,5.481567835779477704e+00,0.000000000000000000e+00,2.513799699954688549e-05
1.000000000000000000e+02,1.100000000000000000e+01,-1.181157948297590643e+01,0.000000000000000000e+00,2.528299228288233280e-05
1.000000000000000000e+02,1.200000000000000000e+01,3.339866240278829501e+00,0.000000000000000000e+00,2.513799699954688549e-05
1.000000000000000000e+02,1.300000000000000000e+01,-3.248267462016460883e+00,0.000000000000000000e+00,2.535397652536630630e-05
1.000000000000000000e+02,1.400000000000000000e+01,-7.588084077000435634e+00,0.000000000000000000e+00,2.508799661882221699e-05
1.000000000000000000e+02,1.500000000000000000e+01,-9.536717635636435819e-01,0.000000000000000000e+00,2.535598468966782093e-05
1.000000000000000000e+02,1.600000000000000000e+01,4.117023220426838215e+00,0.000000000000000000e+00,2.510700142011046410e-05
1.000000000000000000e+02,1.700000000000000000e+01,-1.937210051788147203e+00,0.000000000000000000e+00,2.516500535421073437e-05
1.000000000000000000e+02,1.800000000000000000e+01,6.609915372579624027e+00,0.000000000000000000e+00,2.513098297640681267e-05
1.000000000000000000e+02,1.900000000000000000e+01,-8.162036139696662307e-01,0.000000000000000000e+00,2.526197931729257107e-05
1.000000000000000000e+02,2.000000000000000000e+01,-9.522987151820043294e+00,0.000000000000000000e+00,2.494899672456085682e-05
1.000000000000000000e+02,2.100000000000000000e+01,-2.587478094410395890e+00,0.000000000000000000e+00,2.600200241431593895e-05
1.000000000000000000e+02,2.200000000000000000e+01,1.526869829910336485e+00,0.000000000000000000e+00,2.534998930059373379e-05
1.000000000000000000e+02,2.300000000000000000e+01,-4.025887630627234870e+00,0.000000000000000000e+00,2.515301457606256008e-05
1.000000000000000000e+02,2.400000000000000000e+01,6.169117834520463362e+00,0.000000000000000000e+00,2.529198536649346352e-05
1.000000000000000000e+02,2.500000000000000000e+01,-1.749565699749953573e+00,0.000000000000000000e+00,2.543398295529186726e-05
1.000000000000000000e+02,2.600000000000000000e+01,-3.757159908092020828e+00,0.000000000000000000e+00,2.505700103938579559e-05
1.000000000000000000e+02,2.700000000000000000e+01,2.980049902853472599e+00,0.000000000000000000e+00,2.534998930059373379e-05
1.000000000000000000e+02,2.800000000000000000e+01,-8.185723914435634185e-01,0.000000000000000000e+00,3.706000279635190964e-05
1.000000000000000000e+02,2.900000000000000000e+01,2.453090551131509311e+00,0.000000000000000000e+00,2.369499998167157173e-05
1.000000000000000000e+02,3.000000000000000000e+01,-1.392287519577902799e+01,0.000000000000000000e+00,2.398600918240845203e-05
1.000000000000000000e+02,3.100000000000000000e+01,3.319878308269585077e+00,0.000000000000000000e+00,2.414800110273063183e-05
1.000000000000000000e+02,3.200000000000000000e+01,1.313107110484767759e+01,0.000000000000000000e+00,2.379599027335643768e-05
1.000000000000000000e+02,3.300000000000000000e+01,7.233491257549143683e+00,0.000000000000000000e+00,2.397000207565724850e-05
1.000000000000000000e+02,3.400000000000000000e+01,-1.003943691711425279e+00,0.000000000000000000e+00,2.381700323894619942e-05
1.000000000000000000e+02,3.500000000000000000e+01,7.904392411553079256e+00,0.000000000000000000e+00,2.397000207565724850e-05
1.000000000000000000e+02,3.600000000000000000e+01,-1.097343254354519182e-01,0.000000000000000000e+00,2.385300467722117901e-05
1.000000000000000000e+02,3.700000000000000000e+01,-3.503592480646342988e+00,0.000000000000000000e+00,2.418601070530712605e-05
1.000000000000000000e+02,3.800000000000000000e+01,2.474055163017127690e+00,0.000000000000000000e+00,2.403699909336864948e-05
1.000000000000000000e+02,3.900000000000000000e+01,-1.647599254959192461e+00,0.000000000000000000e+00,2.391001908108592033e-05
1.000000000000000000e+02,4.000000000000000000e+01,3.930900541113069302e+00,0.000000000000000000e+00,2.412300091236829758e-05
1.000000000000000000e+02,4.100000000000000000e+01,-3.140905805321870137e+00,0.000000000000000000e+00,2.407399006187915802e-05
1.000000000000000000e+02,4.200000000000000000e+01,3.707749313652819900e+00,0.000000000000000000e+00,2.807899727486073971e-05
1.000000000000000000e+02,4.300000000000000000e+01,-2.660971819795597604e+00,0.000000000000000000e+00,2.786802360787987709e-05
1.000000000000000000e+02,4.400000000000000000e+01,-4.125093752993938878e+00,0.000000000000000000e+00,3.162698703818023205e-05
1.000000000000000000e+02,4.500000000000000000e+01,3.593197938900829502e+00,0.000000000000000000e+00,2.763801603578031063e-05
1.000000000000000000e+02,4.600000000000000000e+01,-6.741641710392062947e+00,0.000000000000000000e+00,2.765899989753961563e-05
1.000000000000000000e+02,4.700000000000000000e+01,1.178270449619981397e+00,0.000000000000000000e+00,2.703399513848125935e-05
1.000000000000000000e+02,4.800000000000000000e+01,-3.366696958869526135e+00,0.000000000000000000e+00,2.701100311242043972e-05
1.000000000000000000e+02,4.900000000000000000e+01,-8.931199920467404851e+00,0.000000000000000000e+00,2.607199712656438351e-05
2.000000000000000000e+02,0.000000000000000000e+00,4.967764324456837244e+00,0.000000000000000000e+00,5.032098852097988129e-05
2.000000000000000000e+02,1.000000000000000000e+00,-1.458377077175088843e+01,0.000000000000000000e+00,4.976699710823595524e-05
2.000000000000000000e+02,2.000000000000000000e+00,1.945881376367140092e-01,0.000000000000000000e+00,4.966199048794806004e-05
2.000000000000000000e+02,3.000000000000000000e+00,-8.631632922747195735e+00,0.000000000000000000e+00,4.999298835173249245e-05
2.000000000000000000e+02,4.000000000000000000e+00,-3.143992885353415367e+00,0.000000000000000000e+00,4.971300950273871422e-05
2.000000000000000000e+02,5.000000000000000000e+00,-1.550414299220041059e+01,0.000000000000000000e+00,4.984499537386000156e-05
2.000000000000000000e+02,6.000000000000000000e+00,1.002473394200508494e+01,0.000000000000000000e+00,5.001100362278521061e-05
2.000000000000000000e+02,7.000000000000000000e+00,9.407885748464668296e+00,0.000000000000000000e+00,5.018702358938753605e-05
2.000000000000000000e+02,8.000000000000000000e+00,1.292399601506174101e+01,0.000000000000000000e+00,5.012500332668423653e-05
2.000000000000000000e+02,9.000000000000000000e+00,1.234785713998491019e+01,0.000000000000000000e+00,5.013498594053089619e-05
2.000000000000000000e+02,1.000000000000000000e+01,8.678554457105612130e+00,0.000000000000000000e+00,4.984700353816151619e-05
2.000000000000000000e+02,1.100000000000000000e+01,-3.283945652976234530e-01,0.000000000000000000e+00,5.016199429519474506e-05
2.000000000000000000e+02,1.200000000000000000e+01,-1.204920242807710595e+00,0.000000000000000000e+00,4.996100324206054211e-05
2.000000000000000000e+02,1.300000000000000000e+01,1.453809515672118202e+01,0.000000000000000000e+00,4.939900827594101429e-05
2.000000000000000000e+02,1.400000000000000000e+01,8.872122773668477791e+00,0.000000000000000000e+00,5.002800025977194309e-05
2.000000000000000000e+02,1.500000000000000000e+01,8.516052945637616389e+00,0.000000000000000000e+00,4.988501314073801041e-05
2.000000000000000000e+02,1.600000000000000000e+01,-4.443079872726945823e+00,0.000000000000000000e+00,5.787299596704542637e-05
2.000000000000000000e+02,1.700000000000000000e+01,6.660858584631322188e+00,0.000000000000000000e+00,6.901400047354400158e-05
2.000000000000000000e+02,1.800000000000000000e+01,-3.837167304920541255e-02,0.000000000000000000e+00,1.169659954030066729e-04
2.000000000000000000e+02,1.900000000000000000e+01,4.186737764614800739e+00,0.000000000000000000e+00,8.664999040775001049e-05
2.000000000000000000e+02,2.000000000000000000e+01,3.796075179295292923e+00,0.000000000000000000e+00,4.788598744198679924e-05
2.000000000000000000e+02,2.100000000000000000e+01,4.113650218214873533e+00,0.000000000000000000e+00,4.707300104200839996e-05
2.000000000000000000e+02,2.200000000000000000e+01,1.432354331902763001e+01,0.000000000000000000e+00,4.730198998004198074e-05
2.000000000000000000e+02,2.300000000000000000e+01,-5.892326866169223187e+00,0.000000000000000000e+00,4.723202437162399292e-05
2.000000000000000000e+02,2.400000000000000000e+01,3.976362848305567965e-01,0.000000000000000000e+00,4.757900023832917213e-05
2.000000000000000000e+02,2.500000000000000000e+01,-3.955513281322413199e+00,0.000000000000000000e+00,4.678699770011007786e-05
2.000000000000000000e+02,2.600000000000000000e+01,2.399287844244388346e+00,0.000000000000000000e+00,4.811398684978485107e-05
