# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,9.877387588948598918e+00,0.000000000000000000e+00,2.666300861164927483e-05
1.000000000000000000e+02,1.000000000000000000e+00,4.944568585557916229e+00,0.000000000000000000e+00,2.648698864504694939e-05
1.000000000000000000e+02,2.000000000000000000e+00,1.440949838882364498e+00,0.000000000000000000e+00,2.481401315890252590e-05
1.000000000000000000e+02,3.000000000000000000e+00,-6.677079570965295474e+00,0.000000000000000000e+00,2.421400859020650387e-05
1.000000000000000000e+02,4.000000000000000000e+00,3.451032749956279844e+00,0.000000000000000000e+00,2.414302434772253036e-05
1.000000000000000000e+02,5.000000000000000000e+00,-1.731373760313745125e+00,0.000000000000000000e+00,2.389599103480577469e-05
1.000000000000000000e+02,6.000000000000000000e+00,-1.624935951877333196e-01,0.000000000000000000e+00,2.386499545536935329e-05
1.000000000000000000e+02,7.000000000000000000e+00,-3.865599286916999944e+00,0.000000000000000000e+00,2.392998430877923965e-05
1.000000000000000000e+02,8.000000000000000000e+00,-3.634718141367674349e+00,0.000000000000000000e+00,2.374299219809472561e-05
1.000000000000000000e+02,9.000000000000000000e+00,4.385935548645711890e+00,0.000000000000000000e+00,2.367098932154476643e-05
1.000000000000000000e+02,1.000000000000000000e+01,5.481567835779477704e+00,0.000000000000000000e+00,2.408702857792377472e-05
1.000000000000000000e+02,1.100000000000000000e+01,-1.181157948297590643e+01,0.000000000000000000e+00,2.399401273578405380e-05
1.000000000000000000e+02,1.200000000000000000e+01,3.339866240278829501e+00,0.000000000000000000e+00,2.413199399597942829e-05
1.000000000000000000e+02,1.300000000000000000e+01,-3.248267462016460883e+00,0.000000000000000000e+00,2.393100294284522533e-05
1.000000000000000000e+02,1.400000000000000000e+01,-7.588084077000435634e+00,0.000000000000000000e+00,2.382200909778475761e-05
1.000000000000000000e+02,1.500000000000000000e+01,-9.536717635636435819e-01,0.000000000000000000e+00,2.372599556110799313e-05
1.000000000000000000e+02,1.600000000000000000e+01,4.117023220426838215e+00,0.000000000000000000e+00,5.397698259912431240e-05
1.000000000000000000e+02,1.700000000000000000e+01,-1.937210051788147203e+00,0.000000000000000000e+00,2.404098631814122200e-05
1.000000000000000000e+02,1.800000000000000000e+01,6.609915372579624027e+00,0.000000000000000000e+00,2.382800448685884476e-05
1.000000000000000000e+02,1.900000000000000000e+01,-8.162036139696662307e-01,0.000000000000000000e+00,2.366598346270620823e-05
1.000000000000000000e+02,2.000000000000000000e+01,-9.522987151820043294e+00,0.000000000000000000e+00,2.418601070530712605e-05
1.000000000000000000e+02,2.100000000000000000e+01,-2.587478094410395890e+00,0.000000000000000000e+00,2.412902540527284145e-05
1.000000000000000000e+02,2.200000000000000000e+01,1.526869829910336485e+00,0.000000000000000000e+00,2.408100408501923084e-05
1.000000000000000000e+02,2.300000000000000000e+01,-4.025887630627234870e+00,0.000000000000000000e+00,2.397000207565724850e-05
1.000000000000000000e+02,2.400000000000000000e+01,6.169117834520463362e+00,0.000000000000000000e+00,2.390000736340880394e-05
1.000000000000000000e+02,2.500000000000000000e+01,-1.749565699749953573e+00,0.000000000000000000e+00,2.395600313320755959e-05
1.000000000000000000e+02,2.600000000000000000e+01,-3.757159908092020828e+00,0.000000000000000000e+00,2.394098555669188499e-05
1.000000000000000000e+02,2.700000000000000000e+01,2.980049902853472599e+00,0.000000000000000000e+00,2.387800486758351326e-05
1.000000000000000000e+02,2.800000000000000000e+01,-8.185723914435634185e-01,0.000000000000000000e+00,2.378501812927424908e-05
1.000000000000000000e+02,2.900000000000000000e+01,2.453090551131509311e+00,0.000000000000000000e+00,2.362299710512161255e-05
1.000000000000000000e+02,3.000000000000000000e+01,-1.392287519577902799e+01,0.000000000000000000e+00,2.383900573477149010e-05
1.000000000000000000e+02,3.100000000000000000e+01,3.319878308269585077e+00,0.000000000000000000e+00,2.377899363636970520e-05
1.000000000000000000e+02,3.200000000000000000e+01,1.313107110484767759e+01,0.000000000000000000e+00,2.409500302746891975e-05
1.000000000000000000e+02,3.300000000000000000e+01,7.233491257549143683e+00,0.000000000000000000e+00,3.968298551626503468e-05
1.000000000000000000e+02,3.400000000000000000e+01,-1.003943691711425279e+00,0.000000000000000000e+00,2.395900082774460316e-05
1.000000000000000000e+02,3.500000000000000000e+01,7.904392411553079256e+00,0.000000000000000000e+00,6.775799556635320187e-05
1.000000000000000000e+02,3.600000000000000000e+01,-1.097343254354519182e-01,0.000000000000000000e+00,5.658599548041820526e-05
1.000000000000000000e+02,3.700000000000000000e+01,-3.503592480646342988e+00,0.000000000000000000e+00,3.928199294023215771e-05
1.000000000000000000e+02,3.800000000000000000e+01,2.474055163017127690e+00,0.000000000000000000e+00,5.857201176695525646e-05
1.000000000000000000e+02,3.900000000000000000e+01,-1.647599254959192461e+00,0.000000000000000000e+00,2.394401235505938530e-05
1.000000000000000000e+02,4.000000000000000000e+01,3.930900541113069302e+00,0.000000000000000000e+00,2.473700442351400852e-05
1.000000000000000000e+02,4.100000000000000000e+01,-3.140905805321870137e+00,0.000000000000000000e+00,2.392500755377113819e-05
1.000000000000000000e+02,4.200000000000000000e+01,3.707749313652819900e+00,0.000000000000000000e+00,2.438601222820580006e-05
1.000000000000000000e+02,4.300000000000000000e+01,-2.660971819795597604e+00,0.000000000000000000e+00,2.376100746914744377e-05
1.000000000000000000e+02,4.400000000000000000e+01,-4.125093752993938878e+00,0.000000000000000000e+00,2.393897739239037037e-05
1.000000000000000000e+02,4.500000000000000000e+01,3.593197938900829502e+00,0.000000000000000000e+00,2.370800939388573170e-05
1.000000000000000000e+02,4.600000000000000000e+01,-6.741641710392062947e+00,0.000000000000000000e+00,2.402398968115448952e-05
1.000000000000000000e+02,4.700000000000000000e+01,1.178270449619981397e+00,0.000000000000000000e+00,2.412300091236829758e-05
1.000000000000000000e+02,4.800000000000000000e+01,-3.366696958869526135e+00,0.000000000000000000e+00,2.390300505794584751e-05
1.000000000000000000e+02,4.900000000000000000e+01,-8.931199920467404851e+00,0.000000000000000000e+00,2.431898610666394234e-05
2.000000000000000000e+02,0.000000000000000000e+00,4.967764324456837244e+00,0.000000000000000000e+00,1.009620027616620064e-04
