# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,6.146728992462158203e-08,0.000000000000000000e+00,1.116900239139795303e-05
1.000000000000000000e+02,1.000000000000000000e+00,3.038439899682998657e-08,5.820766091346740723e-10,1.051899744197726250e-05
1.000000000000000000e+02,2.000000000000000000e+00,4.714820533990859985e-09,9.895302355289459229e-10,1.025298843160271645e-05
1.000000000000000000e+02,3.000000000000000000e+00,-7.904600352048873901e-08,8.149072527885437012e-10,9.884999599307775497e-06
1.000000000000000000e+02,4.000000000000000000e+00,-1.513399183750152588e-09,3.492459654808044434e-10,9.739014785736799240e-06
1.000000000000000000e+02,5.000000000000000000e+00,1.498847268521785736e-09,1.498847268521785736e-09,1.003299257718026638e-05
1.000000000000000000e+02,6.000000000000000000e+00,-5.669426172971725464e-08,8.149072527885437012e-10,9.635987225919961929e-06
1.000000000000000000e+02,7.000000000000000000e+00,-5.896436050534248352e-08,1.222360879182815552e-09,9.520997991785407066e-06
1.000000000000000000e+02,8.000000000000000000e+00,-1.664739102125167847e-08,1.164153218269348145e-10,9.740004315972328186e-06
1.000000000000000000e+02,9.000000000000000000e+00,1.319131115451455116e-08,1.527951098978519440e-10,9.746989235281944275e-06
1.000000000000000000e+02,1.000000000000000000e+01,4.621688276529312134e-08,3.492459654808044434e-10,9.483977919444441795e-06
1.000000000000000000e+02,1.100000000000000000e+01,-3.050081431865692139e-08,2.328306436538696289e-10,9.974988643079996109e-06
1.000000000000000000e+02,1.200000000000000000e+01,2.361775841563940048e-08,5.966285243630409241e-10,9.529001545161008835e-06
1.000000000000000000e+02,1.300000000000000000e+01,1.018651119011337869e-08,8.732854439585935324e-10,9.612995199859142303e-06
1.000000000000000000e+02,1.400000000000000000e+01,-5.663605406880378723e-08,1.105945557355880737e-09,9.564973879605531693e-06
1.000000000000000000e+02,1.500000000000000000e+01,-6.234040483832359314e-08,8.731149137020111084e-10,9.632989531382918358e-06
1.000000000000000000e+02,1.600000000000000000e+01,2.443266566842794418e-08,2.182787284255027771e-10,9.456998668611049652e-06
1.000000000000000000e+02,1.700000000000000000e+01,-5.238689482212066650e-09,3.492459654808044434e-10,9.687995770946145058e-06
1.000000000000000000e+02,1.800000000000000000e+01,5.040783435106277466e-08,1.164153218269348145e-10,9.577022865414619446e-06
1.000000000000000000e+02,1.900000000000000000e+01,-8.993083611130714417e-09,3.201421350240707397e-10,9.387003956362605095e-06
1.000000000000000000e+02,2.000000000000000000e+01,-4.167668521404266357e-08,6.984919309616088867e-10,9.581010090187191963e-06
1.000000000000000000e+02,2.100000000000000000e+01,3.523018676787614822e-08,1.600710675120353699e-10,9.604002116248011589e-06
