# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,6.146728992462158203e-08,7.450580596923828125e-09,1.069399877451360226e-05
1.000000000000000000e+02,1.000000000000000000e+00,3.038439899682998657e-08,6.577465683221817017e-08,9.931012755259871483e-06
1.000000000000000000e+02,2.000000000000000000e+00,4.714820533990859985e-09,5.861511453986167908e-08,9.488023351877927780e-06
1.000000000000000000e+02,3.000000000000000000e+00,-7.904600352048873901e-08,6.635673344135284424e-09,9.389012120664119720e-06
1.000000000000000000e+02,4.000000000000000000e+00,-1.513399183750152588e-09,3.201421350240707397e-08,9.494979167357087135e-06
1.000000000000000000e+02,5.000000000000000000e+00,1.498847268521785736e-09,4.806497599929571152e-08,9.568990208208560944e-06
1.000000000000000000e+02,6.000000000000000000e+00,-5.669426172971725464e-08,1.218868419528007507e-07,9.283976396545767784e-06
1.000000000000000000e+02,7.000000000000000000e+00,-5.896436050534248352e-08,6.228219717741012573e-09,9.301002137362957001e-06
1.000000000000000000e+02,8.000000000000000000e+00,-1.664739102125167847e-08,7.334165275096893311e-09,9.267998393625020981e-06
1.000000000000000000e+02,9.000000000000000000e+00,1.319131115451455116e-08,1.132866600528359413e-08,9.384006261825561523e-06
1.000000000000000000e+02,1.000000000000000000e+01,4.621688276529312134e-08,1.419102773070335388e-07,9.463983587920665741e-06
1.000000000000000000e+02,1.100000000000000000e+01,-3.050081431865692139e-08,1.234002411365509033e-08,9.301002137362957001e-06
1.000000000000000000e+02,1.200000000000000000e+01,2.361775841563940048e-08,7.763446774333715439e-08,9.122013580054044724e-06
1.000000000000000000e+02,1.300000000000000000e+01,1.018651119011337869e-08,1.183360041068226565e-07,9.268027497455477715e-06
1.000000000000000000e+02,1.400000000000000000e+01,-5.663605406880378723e-08,2.310844138264656067e-08,9.132985724136233330e-06
1.000000000000000000e+02,1.500000000000000000e+01,-6.234040483832359314e-08,7.549533620476722717e-08,9.183015208691358566e-06
1.000000000000000000e+02,1.600000000000000000e+01,2.443266566842794418e-08,2.399610821157693863e-08,9.311013855040073395e-06
1.000000000000000000e+02,1.700000000000000000e+01,-5.238689482212066650e-09,4.807952791452407837e-08,9.183015208691358566e-06
1.000000000000000000e+02,1.800000000000000000e+01,5.040783435106277466e-08,9.138602763414382935e-08,9.060982847586274147e-06
1.000000000000000000e+02,1.900000000000000000e+01,-8.993083611130714417e-09,1.493317540735006332e-07,9.262003004550933838e-06
1.000000000000000000e+02,2.000000000000000000e+01,-4.167668521404266357e-08,1.087319105863571167e-07,9.103008778765797615e-06
1.000000000000000000e+02,2.100000000000000000e+01,3.523018676787614822e-08,1.283624442294239998e-07,9.037990821525454521e-06
