# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,6.146728992462158203e-08,5.587935447692871094e-09,1.066501135937869549e-05
1.000000000000000000e+02,1.000000000000000000e+00,3.038439899682998657e-08,3.038439899682998657e-08,1.017301110550761223e-05
1.000000000000000000e+02,2.000000000000000000e+00,4.714820533990859985e-09,9.959330782294273376e-08,9.650015272200107574e-06
1.000000000000000000e+02,3.000000000000000000e+00,-7.904600352048873901e-08,2.677552402019500732e-09,9.414012311026453972e-06
1.000000000000000000e+02,4.000000000000000000e+00,-1.513399183750152588e-09,4.319008439779281616e-08,9.356008376926183701e-06
1.000000000000000000e+02,5.000000000000000000e+00,1.498847268521785736e-09,9.835639502853155136e-08,9.587005479261279106e-06
1.000000000000000000e+02,6.000000000000000000e+00,-5.669426172971725464e-08,1.479638740420341492e-07,9.282986866310238838e-06
1.000000000000000000e+02,7.000000000000000000e+00,-5.896436050534248352e-08,3.230525180697441101e-08,9.247014531865715981e-06
1.000000000000000000e+02,8.000000000000000000e+00,-1.664739102125167847e-08,3.841705620288848877e-09,9.187002433463931084e-06
1.000000000000000000e+02,9.000000000000000000e+00,1.319131115451455116e-08,3.368040779605507851e-08,9.353010682389140129e-06
1.000000000000000000e+02,1.000000000000000000e+01,4.621688276529312134e-08,1.549487933516502380e-07,9.048002539202570915e-06
1.000000000000000000e+02,1.100000000000000000e+01,-3.050081431865692139e-08,4.493631422519683838e-08,9.314011549577116966e-06
1.000000000000000000e+02,1.200000000000000000e+01,2.361775841563940048e-08,1.092994352802634239e-07,9.361014235764741898e-06
1.000000000000000000e+02,1.300000000000000000e+01,1.018651119011337869e-08,1.052974880622059572e-07,9.298004442825913429e-06
1.000000000000000000e+02,1.400000000000000000e+01,-5.663605406880378723e-08,6.344635039567947388e-09,9.306997526437044144e-06
1.000000000000000000e+02,1.500000000000000000e+01,-6.234040483832359314e-08,1.425505615770816803e-07,9.182025678455829620e-06
1.000000000000000000e+02,1.600000000000000000e+01,2.443266566842794418e-08,2.182787284255027771e-10,9.151000995188951492e-06
1.000000000000000000e+02,1.700000000000000000e+01,-5.238689482212066650e-09,3.317836672067642212e-08,9.134004358202219009e-06
1.000000000000000000e+02,1.800000000000000000e+01,5.040783435106277466e-08,6.530899554491043091e-08,9.131996193900704384e-06
1.000000000000000000e+02,1.900000000000000000e+01,-8.993083611130714417e-09,6.178743205964565277e-08,9.332987247034907341e-06
1.000000000000000000e+02,2.000000000000000000e+01,-4.167668521404266357e-08,5.844049155712127686e-08,9.183015208691358566e-06
1.000000000000000000e+02,2.100000000000000000e+01,3.523018676787614822e-08,1.134612830355763435e-07,9.168026736006140709e-06
1.000000000000000000e+02,2.200000000000000000e+01,-2.028536982834339142e-08,9.333598427474498749e-08,9.084993507713079453e-06
1.000000000000000000e+02,2.300000000000000000e+01,-7.636117516085505486e-09,6.686968845315277576e-08,9.160023182630538940e-06
1.000000000000000000e+02,2.400000000000000000e+01,5.400215741246938705e-08,1.508597051724791527e-07,9.334995411336421967e-06
1.000000000000000000e+02,2.500000000000000000e+01,-3.208697307854890823e-09,4.241883289068937302e-09,9.354989742860198021e-06
1.000000000000000000e+02,2.600000000000000000e+01,2.255546860396862030e-09,6.558548193424940109e-08,9.172013960778713226e-06
1.000000000000000000e+02,2.700000000000000000e+01,3.296736394986510277e-08,3.967579687014222145e-08,9.228999260812997818e-06
1.000000000000000000e+02,2.800000000000000000e+01,1.259468263015151024e-08,4.142202669754624367e-08,9.081995813176035881e-06
1.000000000000000000e+02,2.900000000000000000e+01,5.157198756933212280e-08,8.032657206058502197e-09,9.169016266241669655e-06
1.000000000000000000e+02,3.000000000000000000e+01,-5.559419236078610993e-08,6.490741810694089509e-08,9.092007530853152275e-06
1.000000000000000000e+02,3.100000000000000000e+01,9.385985322296619415e-09,1.482840161770582199e-08,9.101000614464282990e-06
1.000000000000000000e+02,3.200000000000000000e+01,6.530899554491043091e-08,8.579809218645095825e-08,9.139010217040777206e-06
1.000000000000000000e+02,3.300000000000000000e+01,1.295120455324649811e-08,5.500623956322669983e-09,9.111012332141399384e-06
1.000000000000000000e+02,3.400000000000000000e+01,-6.689515430480241776e-08,6.875779945403337479e-08,9.271985618397593498e-06
1.000000000000000000e+02,3.500000000000000000e+01,3.597961040213704109e-09,1.130320015363395214e-08,9.190989658236503601e-06
1.000000000000000000e+02,3.600000000000000000e+01,4.889443516731262207e-09,9.010545909404754639e-08,9.145995136350393295e-06
1.000000000000000000e+02,3.700000000000000000e+01,-1.082662492990493774e-08,2.945307642221450806e-08,9.213981684297323227e-06
1.000000000000000000e+02,3.800000000000000000e+01,2.581509761512279510e-08,1.516309566795825958e-08,9.159004548564553261e-06
1.000000000000000000e+02,3.900000000000000000e+01,-8.927599992603063583e-09,1.661610440351068974e-07,9.092997061088681221e-06
1.000000000000000000e+02,4.000000000000000000e+01,-7.945345714688301086e-09,1.644075382500886917e-07,1.511900336481630802e-05
1.000000000000000000e+02,4.100000000000000000e+01,-2.719025360420346260e-08,3.241439117118716240e-08,9.320996468886733055e-06
1.000000000000000000e+02,4.200000000000000000e+01,1.792795956134796143e-08,5.285255610942840576e-08,9.112001862376928329e-06
1.000000000000000000e+02,4.300000000000000000e+01,2.807064447551965714e-08,7.319613359868526459e-09,9.251991286873817444e-06
1.000000000000000000e+02,4.400000000000000000e+01,-4.254980012774467468e-08,9.528594091534614563e-08,9.180977940559387207e-06
1.000000000000000000e+02,4.500000000000000000e+01,-9.400537237524986267e-09,1.023581717163324356e-07,9.155017323791980743e-06
1.000000000000000000e+02,4.600000000000000000e+01,-4.307366907596588135e-08,6.309710443019866943e-08,9.221985237672924995e-06
1.000000000000000000e+02,4.700000000000000000e+01,-4.912726581096649170e-08,9.941868484020233154e-08,9.203009540215134621e-06
1.000000000000000000e+02,4.800000000000000000e+01,2.584420144557952881e-08,1.280568540096282959e-08,9.231996955350041389e-06
1.000000000000000000e+02,4.900000000000000000e+01,-4.514004103839397430e-08,1.187727320939302444e-07,8.900999091565608978e-06
2.000000000000000000e+02,0.000000000000000000e+00,1.840817276388406754e-08,6.311165634542703629e-08,1.577599323354661465e-05
2.000000000000000000e+02,1.000000000000000000e+00,-1.032021827995777130e-07,4.173489287495613098e-08,1.588402665220201015e-05
2.000000000000000000e+02,2.000000000000000000e+00,-5.750916898250579834e-08,2.956949174404144287e-08,1.580698881298303604e-05
2.000000000000000000e+02,3.000000000000000000e+00,-2.643355401232838631e-08,1.523803803138434887e-07,1.570300082676112652e-05
2.000000000000000000e+02,4.000000000000000000e+00,-2.532033249735832214e-09,1.981970854103565216e-08,1.576798968017101288e-05
2.000000000000000000e+02,5.000000000000000000e+00,8.149072527885437012e-10,2.153683453798294067e-08,1.589499879628419876e-05
2.000000000000000000e+02,6.000000000000000000e+00,8.588540367782115936e-08,9.109498932957649231e-09,1.565800630487501621e-05
2.000000000000000000e+02,7.000000000000000000e+00,6.306800059974193573e-08,5.326000973582267761e-09,1.581397373229265213e-05
2.000000000000000000e+02,8.000000000000000000e+00,1.320295268669724464e-07,3.144668880850076675e-08,1.570198219269514084e-05
2.000000000000000000e+02,9.000000000000000000e+00,3.137029125355184078e-08,3.430614015087485313e-09,1.937500201165676117e-05
2.000000000000000000e+02,1.000000000000000000e+01,4.569301381707191467e-08,6.618211045861244202e-08,1.580800744704902172e-05
2.000000000000000000e+02,1.100000000000000000e+01,3.090826794505119324e-08,7.374910637736320496e-08,1.579101081006228924e-05
2.000000000000000000e+02,1.200000000000000000e+01,-3.293507688795216382e-08,3.079289854213129729e-07,1.576298382133245468e-05
2.000000000000000000e+02,1.300000000000000000e+01,3.488094080239534378e-08,4.028406692668795586e-07,1.572401379235088825e-05
2.000000000000000000e+02,1.400000000000000000e+01,2.675369614735245705e-08,1.185253495350480080e-08,1.592800254002213478e-05
2.000000000000000000e+02,1.500000000000000000e+01,1.939770299941301346e-08,7.900234777480363846e-08,1.581400283612310886e-05
2.000000000000000000e+02,1.600000000000000000e+01,1.442094799131155014e-08,1.373555278405547142e-07,1.585501013323664665e-05
2.000000000000000000e+02,1.700000000000000000e+01,1.469743438065052032e-08,5.794572643935680389e-08,1.589299063198268414e-05
2.000000000000000000e+02,1.800000000000000000e+01,-2.879824023693799973e-08,1.575972419232130051e-08,1.584200072102248669e-05
2.000000000000000000e+02,1.900000000000000000e+01,-4.060711944475769997e-08,7.115158950909972191e-08,1.635501394048333168e-05
