# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,6.146728992462158203e-08,6.752088665962219238e-09,1.095200423151254654e-05
1.000000000000000000e+02,1.000000000000000000e+00,3.038439899682998657e-08,4.307366907596588135e-09,9.782990673556923866e-06
1.000000000000000000e+02,2.000000000000000000e+00,4.714820533990859985e-09,6.461050361394882202e-09,9.537005098536610603e-06
1.000000000000000000e+02,3.000000000000000000e+00,-7.904600352048873901e-08,6.635673344135284424e-09,9.404000593349337578e-06
1.000000000000000000e+02,4.000000000000000000e+00,-1.513399183750152588e-09,1.478474587202072144e-08,9.198993211612105370e-06
1.000000000000000000e+02,5.000000000000000000e+00,1.498847268521785736e-09,1.526495907455682755e-08,9.401002898812294006e-06
1.000000000000000000e+02,6.000000000000000000e+00,-5.669426172971725464e-08,3.841705620288848877e-09,9.139999747276306152e-06
1.000000000000000000e+02,7.000000000000000000e+00,-5.896436050534248352e-08,1.274747774004936218e-08,8.920003892853856087e-06
1.000000000000000000e+02,8.000000000000000000e+00,-1.664739102125167847e-08,9.429641067981719971e-09,9.212002623826265335e-06
1.000000000000000000e+02,9.000000000000000000e+00,1.319131115451455116e-08,1.527951098978519440e-10,9.223003871738910675e-06
1.000000000000000000e+02,1.000000000000000000e+01,4.621688276529312134e-08,8.963979780673980713e-09,9.139999747276306152e-06
1.000000000000000000e+02,1.100000000000000000e+01,-3.050081431865692139e-08,1.047737896442413330e-08,9.190989658236503601e-06
1.000000000000000000e+02,1.200000000000000000e+01,2.361775841563940048e-08,8.250935934484004974e-09,9.314011549577116966e-06
1.000000000000000000e+02,1.300000000000000000e+01,1.018651119011337869e-08,7.392543466266943142e-09,9.099021553993225098e-06
1.000000000000000000e+02,1.400000000000000000e+01,-5.663605406880378723e-08,2.968590706586837769e-09,9.055016562342643738e-06
1.000000000000000000e+02,1.500000000000000000e+01,-6.234040483832359314e-08,2.852175384759902954e-09,9.305978892371058464e-06
1.000000000000000000e+02,1.600000000000000000e+01,2.443266566842794418e-08,1.698208507150411606e-08,9.026000043377280235e-06
1.000000000000000000e+02,1.700000000000000000e+01,-5.238689482212066650e-09,8.265487849712371826e-09,9.064009645953774452e-06
1.000000000000000000e+02,1.800000000000000000e+01,5.040783435106277466e-08,8.265487849712371826e-09,9.003997547551989555e-06
1.000000000000000000e+02,1.900000000000000000e+01,-8.993083611130714417e-09,6.199115887284278870e-09,8.956005331128835678e-06
1.000000000000000000e+02,2.000000000000000000e+01,-4.167668521404266357e-08,2.532033249735832214e-09,9.099981980398297310e-06
1.000000000000000000e+02,2.100000000000000000e+01,3.523018676787614822e-08,6.213667802512645721e-09,8.973991498351097107e-06
1.000000000000000000e+02,2.200000000000000000e+01,-2.028536982834339142e-08,1.469743438065052032e-08,9.123003110289573669e-06
1.000000000000000000e+02,2.300000000000000000e+01,-7.636117516085505486e-09,2.905653673224151134e-08,9.050010703504085541e-06
1.000000000000000000e+02,2.400000000000000000e+01,5.400215741246938705e-08,7.465132512152194977e-09,9.060982847586274147e-06
1.000000000000000000e+02,2.500000000000000000e+01,-3.208697307854890823e-09,1.811713445931673050e-09,9.026000043377280235e-06
1.000000000000000000e+02,2.600000000000000000e+01,2.255546860396862030e-09,2.968590706586837769e-09,9.057985153049230576e-06
1.000000000000000000e+02,2.700000000000000000e+01,3.296736394986510277e-08,6.148184183984994888e-09,9.076000424101948738e-06
1.000000000000000000e+02,2.800000000000000000e+01,1.259468263015151024e-08,4.169123712927103043e-09,9.159004548564553261e-06
1.000000000000000000e+02,2.900000000000000000e+01,5.157198756933212280e-08,2.211891114711761475e-09,9.137002052739262581e-06
1.000000000000000000e+02,3.000000000000000000e+01,-5.559419236078610993e-08,8.667065287681907648e-09,9.164010407403111458e-06
1.000000000000000000e+02,3.100000000000000000e+01,9.385985322296619415e-09,1.004082150757312775e-09,9.031005902215838432e-06
1.000000000000000000e+02,3.200000000000000000e+01,6.530899554491043091e-08,2.677552402019500732e-09,8.934992365539073944e-06
1.000000000000000000e+02,3.300000000000000000e+01,1.295120455324649811e-08,1.807347871363162994e-08,9.006005711853504181e-06
1.000000000000000000e+02,3.400000000000000000e+01,-6.689515430480241776e-08,1.319858711212873459e-08,9.053008398041129112e-06
1.000000000000000000e+02,3.500000000000000000e+01,3.597961040213704109e-09,1.409716787748038769e-08,9.026989573612809181e-06
1.000000000000000000e+02,3.600000000000000000e+01,4.889443516731262207e-09,1.629814505577087402e-09,9.163981303572654724e-06
1.000000000000000000e+02,3.700000000000000000e+01,-1.082662492990493774e-08,1.920852810144424438e-08,9.037001291289925575e-06
1.000000000000000000e+02,3.800000000000000000e+01,2.581509761512279510e-08,1.193257048726081848e-09,9.267998393625020981e-06
1.000000000000000000e+02,3.900000000000000000e+01,-8.927599992603063583e-09,7.996277417987585068e-09,9.001989383250474930e-06
1.000000000000000000e+02,4.000000000000000000e+01,-7.945345714688301086e-09,8.818460628390312195e-09,9.060982847586274147e-06
1.000000000000000000e+02,4.100000000000000000e+01,-2.719025360420346260e-08,2.612068783491849899e-09,9.047013008967041969e-06
1.000000000000000000e+02,4.200000000000000000e+01,1.792795956134796143e-08,2.561137080192565918e-08,9.063980542123317719e-06
1.000000000000000000e+02,4.300000000000000000e+01,2.807064447551965714e-08,9.444192983210086823e-09,9.719980880618095398e-06
1.000000000000000000e+02,4.400000000000000000e+01,-4.254980012774467468e-08,2.910383045673370361e-10,1.614098437130451202e-05
1.000000000000000000e+02,4.500000000000000000e+01,-9.400537237524986267e-09,1.775333657860755920e-09,9.025010513141751289e-06
1.000000000000000000e+02,4.600000000000000000e+01,-4.307366907596588135e-08,1.792795956134796143e-08,8.956994861364364624e-06
1.000000000000000000e+02,4.700000000000000000e+01,-4.912726581096649170e-08,1.629814505577087402e-09,9.043986210599541664e-06
1.000000000000000000e+02,4.800000000000000000e+01,2.584420144557952881e-08,1.466833055019378662e-08,9.135983418673276901e-06
1.000000000000000000e+02,4.900000000000000000e+01,-4.514004103839397430e-08,1.426087692379951477e-09,8.720002369955182076e-06
2.000000000000000000e+02,0.000000000000000000e+00,1.840817276388406754e-08,2.865272108465433121e-08,1.587401493452489376e-05
2.000000000000000000e+02,1.000000000000000000e+00,-1.032021827995777130e-07,2.590240910649299622e-08,1.587797305546700954e-05
2.000000000000000000e+02,2.000000000000000000e+00,-5.750916898250579834e-08,4.423782229423522949e-09,1.559598604217171669e-05
2.000000000000000000e+02,3.000000000000000000e+00,-2.643355401232838631e-08,1.375883584842085838e-08,1.590300234965980053e-05
2.000000000000000000e+02,4.000000000000000000e+00,-2.532033249735832214e-09,1.283478923141956329e-08,1.565201091580092907e-05
2.000000000000000000e+02,5.000000000000000000e+00,8.149072527885437012e-10,1.385342329740524292e-08,1.566900755278766155e-05
2.000000000000000000e+02,6.000000000000000000e+00,8.588540367782115936e-08,3.704917617142200470e-08,1.569700543768703938e-05
2.000000000000000000e+02,7.000000000000000000e+00,6.306800059974193573e-08,3.987224772572517395e-09,1.566199352964758873e-05
2.000000000000000000e+02,8.000000000000000000e+00,1.320295268669724464e-07,3.507011570036411285e-09,1.564502599649131298e-05
2.000000000000000000e+02,9.000000000000000000e+00,3.137029125355184078e-08,4.019966581836342812e-09,1.568399602547287941e-05
2.000000000000000000e+02,1.000000000000000000e+01,4.569301381707191467e-08,1.332955434918403625e-08,1.548498403280973434e-05
2.000000000000000000e+02,1.100000000000000000e+01,3.090826794505119324e-08,5.529727786779403687e-09,1.569601590745151043e-05
2.000000000000000000e+02,1.200000000000000000e+01,-3.293507688795216382e-08,5.249148671282455325e-09,1.568597508594393730e-05
2.000000000000000000e+02,1.300000000000000000e+01,3.488094080239534378e-08,3.674358595162630081e-08,1.567599247209727764e-05
2.000000000000000000e+02,1.400000000000000000e+01,2.675369614735245705e-08,2.209708327427506447e-08,1.564802369102835655e-05
2.000000000000000000e+02,1.500000000000000000e+01,1.939770299941301346e-08,4.206958692520856857e-08,1.564901322126388550e-05
2.000000000000000000e+02,1.600000000000000000e+01,1.442094799131155014e-08,1.538137439638376236e-08,1.568297739140689373e-05
2.000000000000000000e+02,1.700000000000000000e+01,1.469743438065052032e-08,3.521563485264778137e-09,1.567401341162621975e-05
2.000000000000000000e+02,1.800000000000000000e+01,-2.879824023693799973e-08,7.523340173065662384e-09,1.579499803483486176e-05
2.000000000000000000e+02,1.900000000000000000e+01,-4.060711944475769997e-08,1.918670022860169411e-08,1.627099118195474148e-05
2.000000000000000000e+02,2.000000000000000000e+01,4.142930265516042709e-08,2.655724529176950455e-08,1.565300044603645802e-05
2.000000000000000000e+02,2.100000000000000000e+01,-3.422610461711883545e-08,2.351589500904083252e-08,1.566798891872167587e-05
2.000000000000000000e+02,2.200000000000000000e+01,6.232994564925320446e-08,1.217586031998507679e-08,1.585501013323664665e-05
