# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.091498415917158127e-05
1.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.436102320440113544e-05
1.000000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.668001439422369003e-06
1.000000000000000000e+02,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.628012776374816895e-06
1.000000000000000000e+02,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.267998393625020981e-06
1.000000000000000000e+02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.360985131934285164e-06
1.000000000000000000e+02,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.126990335062146187e-06
1.000000000000000000e+02,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.262992534786462784e-06
1.000000000000000000e+02,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.274983312934637070e-06
1.000000000000000000e+02,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.530020179226994514e-06
1.000000000000000000e+02,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.315990610048174858e-06
1.000000000000000000e+02,1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.320006938651204109e-06
1.000000000000000000e+02,1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.367999155074357986e-06
1.000000000000000000e+02,1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.284995030611753464e-06
1.000000000000000000e+02,1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.137002052739262581e-06
1.000000000000000000e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.260984370484948158e-06
1.000000000000000000e+02,1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.169016266241669655e-06
1.000000000000000000e+02,1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.187991963699460030e-06
1.000000000000000000e+02,1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.085983037948608398e-06
1.000000000000000000e+02,1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.150011464953422546e-06
1.000000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.281997336074709892e-06
1.000000000000000000e+02,2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.131006663665175438e-06
1.000000000000000000e+02,2.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.034993126988410950e-06
1.000000000000000000e+02,2.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.469018550589680672e-06
1.000000000000000000e+02,2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.078998118638992310e-06
1.000000000000000000e+02,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.262003004550933838e-06
1.000000000000000000e+02,2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.304989362135529518e-06
1.000000000000000000e+02,2.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.292009053751826286e-06
1.000000000000000000e+02,2.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.087991202250123024e-06
1.000000000000000000e+02,2.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.215000318363308907e-06
1.000000000000000000e+02,3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.111012332141399384e-06
