# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.774199962615966797e-08,1.060700742527842522e-05
1.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,2.421438694000244141e-08,9.976007277145981789e-06
1.000000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,1.490116119384765625e-08,9.640003554522991180e-06
1.000000000000000000e+02,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.625015081837773323e-06
1.000000000000000000e+02,4.000000000000000000e+00,0.000000000000000000e+00,1.490116119384765625e-08,9.321985999122262001e-06
1.000000000000000000e+02,5.000000000000000000e+00,0.000000000000000000e+00,1.862645149230957031e-08,9.496987331658601761e-06
1.000000000000000000e+02,6.000000000000000000e+00,0.000000000000000000e+00,1.862645149230957031e-08,1.955000334419310093e-05
1.000000000000000000e+02,7.000000000000000000e+00,0.000000000000000000e+00,7.450580596923828125e-09,9.434996172785758972e-06
1.000000000000000000e+02,8.000000000000000000e+00,0.000000000000000000e+00,3.166496753692626953e-08,9.569979738444089890e-06
1.000000000000000000e+02,9.000000000000000000e+00,0.000000000000000000e+00,1.862645149230957031e-09,9.279989171773195267e-06
1.000000000000000000e+02,1.000000000000000000e+01,0.000000000000000000e+00,4.656612873077392578e-08,9.337993105873465538e-06
1.000000000000000000e+02,1.100000000000000000e+01,0.000000000000000000e+00,9.313225746154785156e-09,9.289011359214782715e-06
1.000000000000000000e+02,1.200000000000000000e+01,0.000000000000000000e+00,6.891787052154541016e-08,9.428011253476142883e-06
1.000000000000000000e+02,1.300000000000000000e+01,0.000000000000000000e+00,2.793967723846435547e-08,9.159994078800082207e-06
1.000000000000000000e+02,1.400000000000000000e+01,0.000000000000000000e+00,2.048909664154052734e-08,9.268987923860549927e-06
1.000000000000000000e+02,1.500000000000000000e+01,0.000000000000000000e+00,2.421438694000244141e-08,9.444978786632418633e-06
1.000000000000000000e+02,1.600000000000000000e+01,0.000000000000000000e+00,1.303851604461669922e-08,9.132985724136233330e-06
1.000000000000000000e+02,1.700000000000000000e+01,0.000000000000000000e+00,3.539025783538818359e-08,9.120994945988059044e-06
1.000000000000000000e+02,1.800000000000000000e+01,0.000000000000000000e+00,2.980232238769531250e-08,9.000010322779417038e-06
1.000000000000000000e+02,1.900000000000000000e+01,0.000000000000000000e+00,2.793967723846435547e-08,9.029987268149852753e-06
1.000000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.725290298461914062e-09,9.039998985826969147e-06
1.000000000000000000e+02,2.100000000000000000e+01,0.000000000000000000e+00,1.862645149230957031e-09,8.978007826954126358e-06
1.000000000000000000e+02,2.200000000000000000e+01,0.000000000000000000e+00,6.705522537231445312e-08,9.033974492922425270e-06
1.000000000000000000e+02,2.300000000000000000e+01,0.000000000000000000e+00,3.725290298461914062e-09,9.275012416765093803e-06
1.000000000000000000e+02,2.400000000000000000e+01,0.000000000000000000e+00,1.303851604461669922e-08,9.132985724136233330e-06
1.000000000000000000e+02,2.500000000000000000e+01,0.000000000000000000e+00,7.450580596923828125e-09,9.239010978490114212e-06
1.000000000000000000e+02,2.600000000000000000e+01,0.000000000000000000e+00,2.235174179077148438e-08,2.258998574689030647e-05
1.000000000000000000e+02,2.700000000000000000e+01,0.000000000000000000e+00,5.401670932769775391e-08,9.385024895891547203e-06
1.000000000000000000e+02,2.800000000000000000e+01,0.000000000000000000e+00,1.490116119384765625e-08,9.041017619892954826e-06
1.000000000000000000e+02,2.900000000000000000e+01,0.000000000000000000e+00,1.210719347000122070e-07,9.087991202250123024e-06
1.000000000000000000e+02,3.000000000000000000e+01,0.000000000000000000e+00,1.490116119384765625e-08,9.062001481652259827e-06
1.000000000000000000e+02,3.100000000000000000e+01,0.000000000000000000e+00,5.587935447692871094e-09,9.012990631163120270e-06
1.000000000000000000e+02,3.200000000000000000e+01,0.000000000000000000e+00,5.774199962615966797e-08,9.192008292302489281e-06
1.000000000000000000e+02,3.300000000000000000e+01,0.000000000000000000e+00,3.725290298461914062e-09,9.074021363630890846e-06
1.000000000000000000e+02,3.400000000000000000e+01,0.000000000000000000e+00,1.117587089538574219e-08,9.184994269162416458e-06
1.000000000000000000e+02,3.500000000000000000e+01,0.000000000000000000e+00,9.313225746154785156e-09,9.014009265229105949e-06
1.000000000000000000e+02,3.600000000000000000e+01,0.000000000000000000e+00,1.117587089538574219e-08,9.202980436384677887e-06
1.000000000000000000e+02,3.700000000000000000e+01,0.000000000000000000e+00,1.862645149230957031e-09,9.084003977477550507e-06
1.000000000000000000e+02,3.800000000000000000e+01,0.000000000000000000e+00,4.470348358154296875e-08,8.856004569679498672e-06
1.000000000000000000e+02,3.900000000000000000e+01,0.000000000000000000e+00,1.862645149230957031e-08,9.004026651382446289e-06
1.000000000000000000e+02,4.000000000000000000e+01,0.000000000000000000e+00,2.048909664154052734e-08,9.109993698075413704e-06
1.000000000000000000e+02,4.100000000000000000e+01,0.000000000000000000e+00,3.352761268615722656e-08,9.267998393625020981e-06
1.000000000000000000e+02,4.200000000000000000e+01,0.000000000000000000e+00,1.303851604461669922e-08,9.031995432451367378e-06
1.000000000000000000e+02,4.300000000000000000e+01,0.000000000000000000e+00,3.725290298461914062e-09,9.161012712866067886e-06
1.000000000000000000e+02,4.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.967996109277009964e-06
1.000000000000000000e+02,4.500000000000000000e+01,0.000000000000000000e+00,2.235174179077148438e-08,8.987000910565257072e-06
1.000000000000000000e+02,4.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.138981113210320473e-06
1.000000000000000000e+02,4.700000000000000000e+01,0.000000000000000000e+00,1.862645149230957031e-09,9.328010492026805878e-06
1.000000000000000000e+02,4.800000000000000000e+01,0.000000000000000000e+00,5.587935447692871094e-09,9.109004167839884758e-06
1.000000000000000000e+02,4.900000000000000000e+01,0.000000000000000000e+00,3.725290298461914062e-09,9.076000424101948738e-06
2.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.862645149230957031e-09,1.582998083904385567e-05
2.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,5.587935447692871094e-09,1.579397940076887608e-05
2.000000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,7.450580596923828125e-09,1.571900793351233006e-05
2.000000000000000000e+02,3.000000000000000000e+00,0.000000000000000000e+00,2.235174179077148438e-08,1.573699410073459148e-05
2.000000000000000000e+02,4.000000000000000000e+00,0.000000000000000000e+00,9.872019290924072266e-08,1.580500975251197815e-05
2.000000000000000000e+02,5.000000000000000000e+00,0.000000000000000000e+00,1.676380634307861328e-08,1.577500370331108570e-05
2.000000000000000000e+02,6.000000000000000000e+00,0.000000000000000000e+00,1.136213541030883789e-07,1.571400207467377186e-05
2.000000000000000000e+02,7.000000000000000000e+00,0.000000000000000000e+00,3.725290298461914062e-09,1.574400812387466431e-05
2.000000000000000000e+02,8.000000000000000000e+00,0.000000000000000000e+00,5.774199962615966797e-08,1.571199391037225723e-05
2.000000000000000000e+02,9.000000000000000000e+00,0.000000000000000000e+00,4.097819328308105469e-08,1.574700581841170788e-05
2.000000000000000000e+02,1.000000000000000000e+01,0.000000000000000000e+00,1.862645149230957031e-09,1.586199505254626274e-05
2.000000000000000000e+02,1.100000000000000000e+01,0.000000000000000000e+00,2.421438694000244141e-08,1.559298834763467312e-05
2.000000000000000000e+02,1.200000000000000000e+01,0.000000000000000000e+00,2.793967723846435547e-08,1.573300687596201897e-05
2.000000000000000000e+02,1.300000000000000000e+01,0.000000000000000000e+00,3.725290298461914062e-08,1.571999746374785900e-05
2.000000000000000000e+02,1.400000000000000000e+01,0.000000000000000000e+00,5.029141902923583984e-08,1.567098661325871944e-05
2.000000000000000000e+02,1.500000000000000000e+01,0.000000000000000000e+00,2.980232238769531250e-08,2.119300188496708870e-05
2.000000000000000000e+02,1.600000000000000000e+01,0.000000000000000000e+00,5.215406417846679688e-08,1.581801916472613811e-05
2.000000000000000000e+02,1.700000000000000000e+01,0.000000000000000000e+00,5.587935447692871094e-09,1.583600533194839954e-05
2.000000000000000000e+02,1.800000000000000000e+01,0.000000000000000000e+00,2.607703208923339844e-08,1.594601781107485294e-05
2.000000000000000000e+02,1.900000000000000000e+01,0.000000000000000000e+00,5.587935447692871094e-09,1.560099190101027489e-05
2.000000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,1.490116119384765625e-08,1.604700810275971889e-05
2.000000000000000000e+02,2.100000000000000000e+01,0.000000000000000000e+00,3.539025783538818359e-08,1.557799987494945526e-05
2.000000000000000000e+02,2.200000000000000000e+01,0.000000000000000000e+00,1.303851604461669922e-08,1.570701715536415577e-05
2.000000000000000000e+02,2.300000000000000000e+01,0.000000000000000000e+00,3.725290298461914062e-08,1.573900226503610611e-05
2.000000000000000000e+02,2.400000000000000000e+01,0.000000000000000000e+00,1.676380634307861328e-08,1.573900226503610611e-05
2.000000000000000000e+02,2.500000000000000000e+01,0.000000000000000000e+00,7.450580596923828125e-09,1.574898487888276577e-05
2.000000000000000000e+02,2.600000000000000000e+01,0.000000000000000000e+00,4.097819328308105469e-08,1.579700619913637638e-05
2.000000000000000000e+02,2.700000000000000000e+01,0.000000000000000000e+00,2.607703208923339844e-08,1.580698881298303604e-05
2.000000000000000000e+02,2.800000000000000000e+01,0.000000000000000000e+00,3.352761268615722656e-08,1.579700619913637638e-05
2.000000000000000000e+02,2.900000000000000000e+01,0.000000000000000000e+00,4.284083843231201172e-08,1.564199919812381268e-05
2.000000000000000000e+02,3.000000000000000000e+01,0.000000000000000000e+00,2.980232238769531250e-08,1.568699372000992298e-05
2.000000000000000000e+02,3.100000000000000000e+01,0.000000000000000000e+00,3.166496753692626953e-08,1.580099342390894890e-05
2.000000000000000000e+02,3.200000000000000000e+01,0.000000000000000000e+00,8.381903171539306641e-08,1.565201091580092907e-05
2.000000000000000000e+02,3.300000000000000000e+01,0.000000000000000000e+00,7.450580596923828125e-09,1.593498745933175087e-05
2.000000000000000000e+02,3.400000000000000000e+01,0.000000000000000000e+00,9.313225746154785156e-09,1.580399111844599247e-05
2.000000000000000000e+02,3.500000000000000000e+01,0.000000000000000000e+00,1.117587089538574219e-07,1.573999179527163506e-05
2.000000000000000000e+02,3.600000000000000000e+01,0.000000000000000000e+00,1.229345798492431641e-07,1.580300158821046352e-05
2.000000000000000000e+02,3.700000000000000000e+01,0.000000000000000000e+00,1.862645149230957031e-09,1.595201320014894009e-05
2.000000000000000000e+02,3.800000000000000000e+01,0.000000000000000000e+00,1.862645149230957031e-08,1.576999784447252750e-05
