# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.774199962615966797e-08,1.152200275100767612e-05
1.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,2.421438694000244141e-08,3.840500721707940102e-05
1.000000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,1.490116119384765625e-08,9.564013453200459480e-06
1.000000000000000000e+02,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.488983778282999992e-06
1.000000000000000000e+02,4.000000000000000000e+00,0.000000000000000000e+00,1.490116119384765625e-08,9.735987987369298935e-06
1.000000000000000000e+02,5.000000000000000000e+00,0.000000000000000000e+00,1.862645149230957031e-08,9.872979717329144478e-06
1.000000000000000000e+02,6.000000000000000000e+00,0.000000000000000000e+00,1.862645149230957031e-08,9.244016837328672409e-06
1.000000000000000000e+02,7.000000000000000000e+00,0.000000000000000000e+00,7.450580596923828125e-09,9.241979569196701050e-06
1.000000000000000000e+02,8.000000000000000000e+00,0.000000000000000000e+00,3.166496753692626953e-08,9.270006557926535606e-06
1.000000000000000000e+02,9.000000000000000000e+00,0.000000000000000000e+00,1.862645149230957031e-09,9.408016921952366829e-06
1.000000000000000000e+02,1.000000000000000000e+01,0.000000000000000000e+00,4.656612873077392578e-08,9.078008588403463364e-06
1.000000000000000000e+02,1.100000000000000000e+01,0.000000000000000000e+00,9.313225746154785156e-09,9.113020496442914009e-06
1.000000000000000000e+02,1.200000000000000000e+01,0.000000000000000000e+00,6.891787052154541016e-08,9.270996088162064552e-06
1.000000000000000000e+02,1.300000000000000000e+01,0.000000000000000000e+00,2.793967723846435547e-08,9.266979759559035301e-06
1.000000000000000000e+02,1.400000000000000000e+01,0.000000000000000000e+00,2.048909664154052734e-08,9.001989383250474930e-06
1.000000000000000000e+02,1.500000000000000000e+01,0.000000000000000000e+00,2.421438694000244141e-08,9.184004738926887512e-06
1.000000000000000000e+02,1.600000000000000000e+01,0.000000000000000000e+00,1.303851604461669922e-08,9.095994755625724792e-06
1.000000000000000000e+02,1.700000000000000000e+01,0.000000000000000000e+00,3.539025783538818359e-08,9.127019438892602921e-06
1.000000000000000000e+02,1.800000000000000000e+01,0.000000000000000000e+00,2.980232238769531250e-08,9.034003596752882004e-06
1.000000000000000000e+02,1.900000000000000000e+01,0.000000000000000000e+00,2.793967723846435547e-08,9.064999176189303398e-06
1.000000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.725290298461914062e-09,9.045994374901056290e-06
1.000000000000000000e+02,2.100000000000000000e+01,0.000000000000000000e+00,1.862645149230957031e-09,8.957984391599893570e-06
1.000000000000000000e+02,2.200000000000000000e+01,0.000000000000000000e+00,6.705522537231445312e-08,9.092997061088681221e-06
1.000000000000000000e+02,2.300000000000000000e+01,0.000000000000000000e+00,3.725290298461914062e-09,9.053997928276658058e-06
1.000000000000000000e+02,2.400000000000000000e+01,0.000000000000000000e+00,1.303851604461669922e-08,9.027018677443265915e-06
1.000000000000000000e+02,2.500000000000000000e+01,0.000000000000000000e+00,7.450580596923828125e-09,9.120005415752530098e-06
1.000000000000000000e+02,2.600000000000000000e+01,0.000000000000000000e+00,2.235174179077148438e-08,9.230978321284055710e-06
1.000000000000000000e+02,2.700000000000000000e+01,0.000000000000000000e+00,5.401670932769775391e-08,9.094015695154666901e-06
1.000000000000000000e+02,2.800000000000000000e+01,0.000000000000000000e+00,1.490116119384765625e-08,1.462001819163560867e-05
1.000000000000000000e+02,2.900000000000000000e+01,0.000000000000000000e+00,1.210719347000122070e-07,2.913799835368990898e-05
1.000000000000000000e+02,3.000000000000000000e+01,0.000000000000000000e+00,1.490116119384765625e-08,9.020994184538722038e-06
1.000000000000000000e+02,3.100000000000000000e+01,0.000000000000000000e+00,5.587935447692871094e-09,8.953007636591792107e-06
1.000000000000000000e+02,3.200000000000000000e+01,0.000000000000000000e+00,5.774199962615966797e-08,9.016017429530620575e-06
1.000000000000000000e+02,3.300000000000000000e+01,0.000000000000000000e+00,3.725290298461914062e-09,9.033974492922425270e-06
1.000000000000000000e+02,3.400000000000000000e+01,0.000000000000000000e+00,1.117587089538574219e-08,8.989998605102300644e-06
1.000000000000000000e+02,3.500000000000000000e+01,0.000000000000000000e+00,9.313225746154785156e-09,8.993985829874873161e-06
1.000000000000000000e+02,3.600000000000000000e+01,0.000000000000000000e+00,1.117587089538574219e-08,9.115989087149500847e-06
