# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.862645149230957031e-09,1.062100636772811413e-05
1.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,1.629814505577087402e-08,9.910989319905638695e-06
1.000000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,1.862645149230957031e-09,9.517010767012834549e-06
1.000000000000000000e+02,3.000000000000000000e+00,0.000000000000000000e+00,9.313225746154785156e-10,9.129988029599189758e-06
1.000000000000000000e+02,4.000000000000000000e+00,0.000000000000000000e+00,1.746229827404022217e-09,9.053997928276658058e-06
1.000000000000000000e+02,5.000000000000000000e+00,0.000000000000000000e+00,8.381903171539306641e-09,9.283976396545767784e-06
1.000000000000000000e+02,6.000000000000000000e+00,0.000000000000000000e+00,3.725290298461914062e-09,9.187002433463931084e-06
1.000000000000000000e+02,7.000000000000000000e+00,0.000000000000000000e+00,1.117587089538574219e-08,8.998991688713431358e-06
1.000000000000000000e+02,8.000000000000000000e+00,0.000000000000000000e+00,6.519258022308349609e-09,9.106006473302841187e-06
1.000000000000000000e+02,9.000000000000000000e+00,0.000000000000000000e+00,2.793967723846435547e-09,9.029987268149852753e-06
1.000000000000000000e+02,1.000000000000000000e+01,0.000000000000000000e+00,2.630986273288726807e-08,9.064009645953774452e-06
1.000000000000000000e+02,1.100000000000000000e+01,0.000000000000000000e+00,1.862645149230957031e-09,9.045004844665527344e-06
1.000000000000000000e+02,1.200000000000000000e+01,0.000000000000000000e+00,3.725290298461914062e-09,9.352021152153611183e-06
1.000000000000000000e+02,1.300000000000000000e+01,0.000000000000000000e+00,4.656612873077392578e-09,9.014009265229105949e-06
1.000000000000000000e+02,1.400000000000000000e+01,0.000000000000000000e+00,1.396983861923217773e-09,9.039998985826969147e-06
1.000000000000000000e+02,1.500000000000000000e+01,0.000000000000000000e+00,5.587935447692871094e-09,8.974981028586626053e-06
1.000000000000000000e+02,1.600000000000000000e+01,0.000000000000000000e+00,1.862645149230957031e-09,8.823990356177091599e-06
1.000000000000000000e+02,1.700000000000000000e+01,0.000000000000000000e+00,3.259629011154174805e-08,8.918024832382798195e-06
1.000000000000000000e+02,1.800000000000000000e+01,0.000000000000000000e+00,2.025626599788665771e-08,8.750008419156074524e-06
1.000000000000000000e+02,1.900000000000000000e+01,0.000000000000000000e+00,1.862645149230957031e-09,8.927017915993928909e-06
1.000000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,2.793967723846435547e-09,8.906994480639696121e-06
1.000000000000000000e+02,2.100000000000000000e+01,0.000000000000000000e+00,4.656612873077392578e-09,8.965987944975495338e-06
1.000000000000000000e+02,2.200000000000000000e+01,0.000000000000000000e+00,1.094304025173187256e-08,8.937990060076117516e-06
1.000000000000000000e+02,2.300000000000000000e+01,0.000000000000000000e+00,2.607703208923339844e-08,8.992996299639344215e-06
1.000000000000000000e+02,2.400000000000000000e+01,0.000000000000000000e+00,3.911554813385009766e-08,9.190989658236503601e-06
1.000000000000000000e+02,2.500000000000000000e+01,0.000000000000000000e+00,5.587935447692871094e-09,8.881994290277361870e-06
1.000000000000000000e+02,2.600000000000000000e+01,0.000000000000000000e+00,6.519258022308349609e-09,8.962000720202922821e-06
1.000000000000000000e+02,2.700000000000000000e+01,0.000000000000000000e+00,7.450580596923828125e-09,9.020994184538722038e-06
1.000000000000000000e+02,2.800000000000000000e+01,0.000000000000000000e+00,1.303851604461669922e-08,8.967996109277009964e-06
1.000000000000000000e+02,2.900000000000000000e+01,0.000000000000000000e+00,7.450580596923828125e-09,9.027018677443265915e-06
1.000000000000000000e+02,3.000000000000000000e+01,0.000000000000000000e+00,1.862645149230957031e-09,8.931994671002030373e-06
1.000000000000000000e+02,3.100000000000000000e+01,0.000000000000000000e+00,3.725290298461914062e-09,9.003008017316460609e-06
1.000000000000000000e+02,3.200000000000000000e+01,0.000000000000000000e+00,6.053596735000610352e-09,8.913979399949312210e-06
1.000000000000000000e+02,3.300000000000000000e+01,0.000000000000000000e+00,1.769512891769409180e-08,9.028997737914323807e-06
1.000000000000000000e+02,3.400000000000000000e+01,0.000000000000000000e+00,2.095475792884826660e-09,9.014009265229105949e-06
1.000000000000000000e+02,3.500000000000000000e+01,0.000000000000000000e+00,4.656612873077392578e-09,8.937000529840588570e-06
1.000000000000000000e+02,3.600000000000000000e+01,0.000000000000000000e+00,1.862645149230957031e-09,8.964998414739966393e-06
1.000000000000000000e+02,3.700000000000000000e+01,0.000000000000000000e+00,4.074536263942718506e-09,8.820003131404519081e-06
1.000000000000000000e+02,3.800000000000000000e+01,0.000000000000000000e+00,2.048909664154052734e-08,8.899980457499623299e-06
1.000000000000000000e+02,3.900000000000000000e+01,0.000000000000000000e+00,3.725290298461914062e-09,8.881004760041832924e-06
1.000000000000000000e+02,4.000000000000000000e+01,0.000000000000000000e+00,4.656612873077392578e-10,8.944014552980661392e-06
1.000000000000000000e+02,4.100000000000000000e+01,0.000000000000000000e+00,1.862645149230957031e-08,9.059993317350745201e-06
1.000000000000000000e+02,4.200000000000000000e+01,0.000000000000000000e+00,1.114676706492900848e-08,9.004987077787518501e-06
1.000000000000000000e+02,4.300000000000000000e+01,0.000000000000000000e+00,8.381903171539306641e-09,9.013019734993577003e-06
1.000000000000000000e+02,4.400000000000000000e+01,0.000000000000000000e+00,1.117587089538574219e-08,9.068986400961875916e-06
1.000000000000000000e+02,4.500000000000000000e+01,0.000000000000000000e+00,1.164153218269348145e-10,9.373005013912916183e-06
1.000000000000000000e+02,4.600000000000000000e+01,0.000000000000000000e+00,4.656612873077392578e-10,9.029987268149852753e-06
1.000000000000000000e+02,4.700000000000000000e+01,0.000000000000000000e+00,2.793967723846435547e-09,9.073002729564905167e-06
1.000000000000000000e+02,4.800000000000000000e+01,0.000000000000000000e+00,2.235174179077148438e-08,8.815986802801489830e-06
1.000000000000000000e+02,4.900000000000000000e+01,0.000000000000000000e+00,9.313225746154785156e-10,8.695991709828376770e-06
2.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.583248376846313477e-08,1.564598642289638519e-05
2.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,1.629814505577087402e-08,1.557401265017688274e-05
2.000000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,1.676380634307861328e-08,1.581598189659416676e-05
2.000000000000000000e+02,3.000000000000000000e+00,0.000000000000000000e+00,6.053596735000610352e-09,1.548900036141276360e-05
2.000000000000000000e+02,4.000000000000000000e+00,0.000000000000000000e+00,4.796311259269714355e-08,1.552698086015880108e-05
2.000000000000000000e+02,5.000000000000000000e+00,0.000000000000000000e+00,1.722946763038635254e-08,1.546699786558747292e-05
2.000000000000000000e+02,6.000000000000000000e+00,0.000000000000000000e+00,2.793967723846435547e-09,1.522997627034783363e-05
2.000000000000000000e+02,7.000000000000000000e+00,0.000000000000000000e+00,9.313225746154785156e-10,1.568699372000992298e-05
2.000000000000000000e+02,8.000000000000000000e+00,0.000000000000000000e+00,6.705522537231445312e-08,1.567500294186174870e-05
2.000000000000000000e+02,9.000000000000000000e+00,0.000000000000000000e+00,3.259629011154174805e-09,1.542302197776734829e-05
2.000000000000000000e+02,1.000000000000000000e+01,0.000000000000000000e+00,9.313225746154785156e-10,1.560599775984883308e-05
2.000000000000000000e+02,1.100000000000000000e+01,0.000000000000000000e+00,2.328306436538696289e-09,1.567701110616326332e-05
2.000000000000000000e+02,1.200000000000000000e+01,0.000000000000000000e+00,4.656612873077392578e-09,1.576900831423699856e-05
2.000000000000000000e+02,1.300000000000000000e+01,0.000000000000000000e+00,2.700835466384887695e-08,1.555899507366120815e-05
2.000000000000000000e+02,1.400000000000000000e+01,0.000000000000000000e+00,2.235174179077148438e-08,1.551499008201062679e-05
