# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,1.436801617529630560e+17,0.000000000000000000e+00,1.152299228124320507e-05
1.000000000000000000e+02,1.000000000000000000e+00,3.485786052982228400e+16,0.000000000000000000e+00,1.070302096195518970e-05
1.000000000000000000e+02,2.000000000000000000e+00,9.283393543295738000e+15,0.000000000000000000e+00,1.026797690428793430e-05
1.000000000000000000e+02,3.000000000000000000e+00,7.754763181983553536e+18,0.000000000000000000e+00,1.876402529887855053e-05
1.000000000000000000e+02,4.000000000000000000e+00,-1.696953319656212275e+19,0.000000000000000000e+00,9.865994798019528389e-06
1.000000000000000000e+02,5.000000000000000000e+00,3.396715341083664384e+18,0.000000000000000000e+00,1.012600841931998730e-05
1.000000000000000000e+02,6.000000000000000000e+00,1.141500947011899802e+19,0.000000000000000000e+00,9.862997103482484818e-06
1.000000000000000000e+02,7.000000000000000000e+00,6.473215499982864800e+16,8.000000000000000000e+00,9.990006219595670700e-06
1.000000000000000000e+02,8.000000000000000000e+00,1.392733188930961600e+17,0.000000000000000000e+00,9.601004421710968018e-06
1.000000000000000000e+02,9.000000000000000000e+00,-6.616273326038612992e+18,1.024000000000000000e+03,9.810988558456301689e-06
1.000000000000000000e+02,1.000000000000000000e+01,1.687991304100623616e+18,0.000000000000000000e+00,9.666022378951311111e-06
1.000000000000000000e+02,1.100000000000000000e+01,5.207157869179537408e+18,0.000000000000000000e+00,9.843992302194237709e-06
1.000000000000000000e+02,1.200000000000000000e+01,5.182324802168692480e+17,0.000000000000000000e+00,9.746989235281944275e-06
1.000000000000000000e+02,1.300000000000000000e+01,1.776353912580294451e+19,0.000000000000000000e+00,9.816983947530388832e-06
1.000000000000000000e+02,1.400000000000000000e+01,-1.300871445649094656e+19,0.000000000000000000e+00,9.690003935247659683e-06
1.000000000000000000e+02,1.500000000000000000e+01,2.208512637043944448e+18,0.000000000000000000e+00,9.654002496972680092e-06
1.000000000000000000e+02,1.600000000000000000e+01,6.798121549735666688e+18,1.024000000000000000e+03,9.560986654832959175e-06
1.000000000000000000e+02,1.700000000000000000e+01,-9.234450098411997184e+18,0.000000000000000000e+00,9.829003829509019852e-06
1.000000000000000000e+02,1.800000000000000000e+01,8.612483461007268864e+18,0.000000000000000000e+00,9.631010470911860466e-06
1.000000000000000000e+02,1.900000000000000000e+01,5.769634004789411840e+18,0.000000000000000000e+00,9.961979230865836143e-06
1.000000000000000000e+02,2.000000000000000000e+01,5.094653230049203840e+17,6.400000000000000000e+01,9.768002200871706009e-06
1.000000000000000000e+02,2.100000000000000000e+01,-1.062003113499361485e+19,0.000000000000000000e+00,9.732990292832255363e-06
1.000000000000000000e+02,2.200000000000000000e+01,6.836724908341138432e+18,0.000000000000000000e+00,9.525014320388436317e-06
1.000000000000000000e+02,2.300000000000000000e+01,-1.525857884318773453e+19,0.000000000000000000e+00,9.670999133959412575e-06
1.000000000000000000e+02,2.400000000000000000e+01,1.133168828244550560e+17,0.000000000000000000e+00,9.603012586012482643e-06
1.000000000000000000e+02,2.500000000000000000e+01,2.989371462635728000e+17,0.000000000000000000e+00,9.798008250072598457e-06
1.000000000000000000e+02,2.600000000000000000e+01,2.117343590316254720e+17,0.000000000000000000e+00,9.807990863919258118e-06
1.000000000000000000e+02,2.700000000000000000e+01,1.093917395906412339e+19,0.000000000000000000e+00,9.865994798019528389e-06
1.000000000000000000e+02,2.800000000000000000e+01,2.835493790388858368e+18,0.000000000000000000e+00,9.709998266771435738e-06
1.000000000000000000e+02,2.900000000000000000e+01,-6.498928146929266688e+18,0.000000000000000000e+00,9.663024684414267540e-06
1.000000000000000000e+02,3.000000000000000000e+01,3.676949500193540096e+18,0.000000000000000000e+00,9.801005944609642029e-06
1.000000000000000000e+02,3.100000000000000000e+01,1.426850262619722496e+18,0.000000000000000000e+00,9.804003639146685600e-06
1.000000000000000000e+02,3.200000000000000000e+01,1.366918982197706957e+19,2.048000000000000000e+03,9.718001820147037506e-06
1.000000000000000000e+02,3.300000000000000000e+01,-1.746932308309775360e+18,0.000000000000000000e+00,9.759009117260575294e-06
1.000000000000000000e+02,3.400000000000000000e+01,2.575956869966893056e+18,0.000000000000000000e+00,9.807001333683729172e-06
1.000000000000000000e+02,3.500000000000000000e+01,-1.174297177691290214e+19,0.000000000000000000e+00,1.012900611385703087e-05
1.000000000000000000e+02,3.600000000000000000e+01,-9.473801594198939648e+18,0.000000000000000000e+00,1.011000131256878376e-05
1.000000000000000000e+02,3.700000000000000000e+01,5.260099926941820928e+18,0.000000000000000000e+00,9.823008440434932709e-06
1.000000000000000000e+02,3.800000000000000000e+01,1.376687486533856256e+19,2.048000000000000000e+03,9.659997886046767235e-06
1.000000000000000000e+02,3.900000000000000000e+01,4.287680135397499520e+17,0.000000000000000000e+00,9.771989425644278526e-06
1.000000000000000000e+02,4.000000000000000000e+01,-1.702198478597029069e+19,0.000000000000000000e+00,9.752984624356031418e-06
1.000000000000000000e+02,4.100000000000000000e+01,-2.975060926353152819e+19,0.000000000000000000e+00,9.821000276133418083e-06
1.000000000000000000e+02,4.200000000000000000e+01,1.549108046284176589e+19,0.000000000000000000e+00,9.699986549094319344e-06
1.000000000000000000e+02,4.300000000000000000e+01,8.460692702059624000e+16,0.000000000000000000e+00,9.725015843287110329e-06
1.000000000000000000e+02,4.400000000000000000e+01,1.681128161796410880e+18,0.000000000000000000e+00,9.784009307622909546e-06
1.000000000000000000e+02,4.500000000000000000e+01,8.534980303933027328e+18,0.000000000000000000e+00,9.635026799514889717e-06
1.000000000000000000e+02,4.600000000000000000e+01,-1.656036208789614387e+19,0.000000000000000000e+00,9.490991942584514618e-06
1.000000000000000000e+02,4.700000000000000000e+01,9.052409319439964160e+17,0.000000000000000000e+00,9.887007763609290123e-06
1.000000000000000000e+02,4.800000000000000000e+01,-1.834475642829806720e+17,3.200000000000000000e+02,9.662995580583810806e-06
1.000000000000000000e+02,4.900000000000000000e+01,-1.929613659577270272e+19,0.000000000000000000e+00,1.040598726831376553e-05
2.000000000000000000e+02,0.000000000000000000e+00,7.020415269959422400e+16,0.000000000000000000e+00,1.722099841572344303e-05
2.000000000000000000e+02,1.000000000000000000e+00,1.510099938747019264e+19,0.000000000000000000e+00,1.658700057305395603e-05
2.000000000000000000e+02,2.000000000000000000e+00,1.144995775138385920e+19,0.000000000000000000e+00,1.677399268373847008e-05
2.000000000000000000e+02,3.000000000000000000e+00,6.152494552043504640e+18,1.024000000000000000e+03,1.642099232412874699e-05
2.000000000000000000e+02,4.000000000000000000e+00,-2.893887471873401651e+19,0.000000000000000000e+00,1.668400363996624947e-05
2.000000000000000000e+02,5.000000000000000000e+00,1.028990990542543667e+19,0.000000000000000000e+00,1.658799010328948498e-05
2.000000000000000000e+02,6.000000000000000000e+00,4.397124917475326464e+18,0.000000000000000000e+00,3.123297938145697117e-05
2.000000000000000000e+02,7.000000000000000000e+00,1.135778547967046451e+19,0.000000000000000000e+00,1.668400363996624947e-05
2.000000000000000000e+02,8.000000000000000000e+00,-5.961318343965599744e+18,0.000000000000000000e+00,1.661502756178379059e-05
2.000000000000000000e+02,9.000000000000000000e+00,-8.134500841397450752e+18,0.000000000000000000e+00,1.656898530200123787e-05
2.000000000000000000e+02,1.000000000000000000e+01,-6.505313900547742720e+18,1.024000000000000000e+03,1.654098741710186005e-05
2.000000000000000000e+02,1.100000000000000000e+01,-2.656739727995482112e+18,0.000000000000000000e+00,2.278399188071489334e-05
2.000000000000000000e+02,1.200000000000000000e+01,-9.925337325195393024e+18,0.000000000000000000e+00,1.669902121648192406e-05
2.000000000000000000e+02,1.300000000000000000e+01,1.289540151402174259e+19,0.000000000000000000e+00,1.672300277277827263e-05
2.000000000000000000e+02,1.400000000000000000e+01,5.215770712438395904e+18,1.024000000000000000e+03,1.658001565374433994e-05
2.000000000000000000e+02,1.500000000000000000e+01,7.302753146797126656e+18,1.024000000000000000e+03,1.660900306887924671e-05
2.000000000000000000e+02,1.600000000000000000e+01,1.298055910475286323e+19,2.048000000000000000e+03,1.653301296755671501e-05
2.000000000000000000e+02,1.700000000000000000e+01,1.383646192713940224e+18,2.560000000000000000e+02,1.649299520067870617e-05
2.000000000000000000e+02,1.800000000000000000e+01,2.043719800101307187e+19,0.000000000000000000e+00,1.673001679591834545e-05
2.000000000000000000e+02,1.900000000000000000e+01,7.397228954197113856e+18,0.000000000000000000e+00,1.664200681261718273e-05
2.000000000000000000e+02,2.000000000000000000e+01,1.258033502413227827e+19,2.048000000000000000e+03,1.657599932514131069e-05
2.000000000000000000e+02,2.100000000000000000e+01,-1.574044845238576947e+19,0.000000000000000000e+00,1.641100971028208733e-05
2.000000000000000000e+02,2.200000000000000000e+01,-2.787595954813600973e+19,0.000000000000000000e+00,1.657698885537683964e-05
2.000000000000000000e+02,2.300000000000000000e+01,2.243107159014565888e+19,4.096000000000000000e+03,1.693502417765557766e-05
2.000000000000000000e+02,2.400000000000000000e+01,5.587522492465684480e+18,0.000000000000000000e+00,1.645099837332963943e-05
2.000000000000000000e+02,2.500000000000000000e+01,1.522241867533160243e+19,0.000000000000000000e+00,1.712600351311266422e-05
2.000000000000000000e+02,2.600000000000000000e+01,1.877381873544347648e+19,0.000000000000000000e+00,1.649698242545127869e-05
2.000000000000000000e+02,2.700000000000000000e+01,8.612383489542658048e+18,0.000000000000000000e+00,1.713199890218675137e-05
2.000000000000000000e+02,2.800000000000000000e+01,5.212100268851096960e+17,0.000000000000000000e+00,1.655600499361753464e-05
2.000000000000000000e+02,2.900000000000000000e+01,-2.480530019628632883e+19,4.096000000000000000e+03,1.679899287410080433e-05
2.000000000000000000e+02,3.000000000000000000e+01,8.747073182428518400e+18,0.000000000000000000e+00,1.650900230742990971e-05
2.000000000000000000e+02,3.100000000000000000e+01,1.456381894583445709e+19,2.048000000000000000e+03,1.666901516728103161e-05
2.000000000000000000e+02,3.200000000000000000e+01,-8.062650717867746304e+18,0.000000000000000000e+00,1.661799615249037743e-05
2.000000000000000000e+02,3.300000000000000000e+01,8.646646933173064960e+17,1.280000000000000000e+02,1.653100480325520039e-05
2.000000000000000000e+02,3.400000000000000000e+01,1.065578459483188224e+19,2.048000000000000000e+03,2.048700116574764252e-05
2.000000000000000000e+02,3.500000000000000000e+01,1.791984592928123085e+19,0.000000000000000000e+00,1.935500768013298512e-05
2.000000000000000000e+02,3.600000000000000000e+01,1.083882170380412518e+19,0.000000000000000000e+00,3.512899274937808514e-05
2.000000000000000000e+02,3.700000000000000000e+01,2.032041310835825869e+19,0.000000000000000000e+00,1.660297857597470284e-05
2.000000000000000000e+02,3.800000000000000000e+01,6.443017142651308032e+18,0.000000000000000000e+00,1.632602652534842491e-05
2.000000000000000000e+02,3.900000000000000000e+01,1.189651746425776538e+19,0.000000000000000000e+00,1.658100518397986889e-05
2.000000000000000000e+02,4.000000000000000000e+01,1.249225017312846438e+19,0.000000000000000000e+00,1.642000279389321804e-05
2.000000000000000000e+02,4.100000000000000000e+01,2.118039297678518272e+18,0.000000000000000000e+00,1.651101047173142433e-05
2.000000000000000000e+02,4.200000000000000000e+01,-8.938862896615656448e+18,0.000000000000000000e+00,4.601001273840665817e-05
