# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,1.436801617529630560e+17,1.600000000000000000e+01,1.098800566978752613e-05
1.000000000000000000e+02,1.000000000000000000e+00,3.485786052982228400e+16,8.000000000000000000e+00,1.005799276754260063e-05
1.000000000000000000e+02,2.000000000000000000e+00,9.283393543295738000e+15,4.000000000000000000e+00,9.814015356823801994e-06
1.000000000000000000e+02,3.000000000000000000e+00,7.754763181983553536e+18,1.024000000000000000e+03,9.732000762596726418e-06
1.000000000000000000e+02,4.000000000000000000e+00,-1.696953319656212275e+19,0.000000000000000000e+00,9.545998182147741318e-06
1.000000000000000000e+02,5.000000000000000000e+00,3.396715341083664384e+18,0.000000000000000000e+00,9.833980584517121315e-06
1.000000000000000000e+02,6.000000000000000000e+00,1.141500947011899802e+19,2.048000000000000000e+03,9.524985216557979584e-06
1.000000000000000000e+02,7.000000000000000000e+00,6.473215499982864800e+16,0.000000000000000000e+00,9.359995601698756218e-06
1.000000000000000000e+02,8.000000000000000000e+00,1.392733188930961600e+17,3.200000000000000000e+01,9.455019608139991760e-06
1.000000000000000000e+02,9.000000000000000000e+00,-6.616273326038612992e+18,3.072000000000000000e+03,9.648007107898592949e-06
1.000000000000000000e+02,1.000000000000000000e+01,1.687991304100623616e+18,2.560000000000000000e+02,9.429990313947200775e-06
1.000000000000000000e+02,1.100000000000000000e+01,5.207157869179537408e+18,2.048000000000000000e+03,9.501993190497159958e-06
1.000000000000000000e+02,1.200000000000000000e+01,5.182324802168692480e+17,6.400000000000000000e+01,9.492010576650500298e-06
1.000000000000000000e+02,1.300000000000000000e+01,1.776353912580294451e+19,0.000000000000000000e+00,9.470997611060738564e-06
1.000000000000000000e+02,1.400000000000000000e+01,-1.300871445649094656e+19,0.000000000000000000e+00,9.665993275120854378e-06
1.000000000000000000e+02,1.500000000000000000e+01,2.208512637043944448e+18,7.680000000000000000e+02,3.828702028840780258e-05
1.000000000000000000e+02,1.600000000000000000e+01,6.798121549735666688e+18,3.072000000000000000e+03,3.763200948014855385e-05
1.000000000000000000e+02,1.700000000000000000e+01,-9.234450098411997184e+18,0.000000000000000000e+00,3.163999645039439201e-05
1.000000000000000000e+02,1.800000000000000000e+01,8.612483461007268864e+18,0.000000000000000000e+00,9.633979061618447304e-06
1.000000000000000000e+02,1.900000000000000000e+01,5.769634004789411840e+18,2.048000000000000000e+03,9.465002221986651421e-06
1.000000000000000000e+02,2.000000000000000000e+01,5.094653230049203840e+17,6.400000000000000000e+01,9.417010005563497543e-06
1.000000000000000000e+02,2.100000000000000000e+01,-1.062003113499361485e+19,0.000000000000000000e+00,2.889000461436808109e-05
1.000000000000000000e+02,2.200000000000000000e+01,6.836724908341138432e+18,1.024000000000000000e+03,9.432988008484244347e-06
1.000000000000000000e+02,2.300000000000000000e+01,-1.525857884318773453e+19,0.000000000000000000e+00,9.532988769933581352e-06
1.000000000000000000e+02,2.400000000000000000e+01,1.133168828244550560e+17,3.200000000000000000e+01,9.337003575637936592e-06
1.000000000000000000e+02,2.500000000000000000e+01,2.989371462635728000e+17,6.400000000000000000e+01,9.481009328737854958e-06
1.000000000000000000e+02,2.600000000000000000e+01,2.117343590316254720e+17,3.200000000000000000e+01,9.612995199859142303e-06
1.000000000000000000e+02,2.700000000000000000e+01,1.093917395906412339e+19,0.000000000000000000e+00,9.565992513671517372e-06
1.000000000000000000e+02,2.800000000000000000e+01,2.835493790388858368e+18,5.120000000000000000e+02,9.451003279536962509e-06
1.000000000000000000e+02,2.900000000000000000e+01,-6.498928146929266688e+18,0.000000000000000000e+00,9.239010978490114212e-06
1.000000000000000000e+02,3.000000000000000000e+01,3.676949500193540096e+18,1.536000000000000000e+03,9.485986083745956421e-06
1.000000000000000000e+02,3.100000000000000000e+01,1.426850262619722496e+18,0.000000000000000000e+00,9.464012691751122475e-06
1.000000000000000000e+02,3.200000000000000000e+01,1.366918982197706957e+19,2.048000000000000000e+03,3.870698856189846992e-05
1.000000000000000000e+02,3.300000000000000000e+01,-1.746932308309775360e+18,1.024000000000000000e+03,9.580980986356735229e-06
1.000000000000000000e+02,3.400000000000000000e+01,2.575956869966893056e+18,1.024000000000000000e+03,9.365990990772843361e-06
1.000000000000000000e+02,3.500000000000000000e+01,-1.174297177691290214e+19,2.048000000000000000e+03,9.646988473832607269e-06
1.000000000000000000e+02,3.600000000000000000e+01,-9.473801594198939648e+18,0.000000000000000000e+00,9.434006642550230026e-06
1.000000000000000000e+02,3.700000000000000000e+01,5.260099926941820928e+18,0.000000000000000000e+00,9.464012691751122475e-06
1.000000000000000000e+02,3.800000000000000000e+01,1.376687486533856256e+19,0.000000000000000000e+00,9.590992704033851624e-06
1.000000000000000000e+02,3.900000000000000000e+01,4.287680135397499520e+17,0.000000000000000000e+00,9.373005013912916183e-06
1.000000000000000000e+02,4.000000000000000000e+01,-1.702198478597029069e+19,0.000000000000000000e+00,9.453011443838477135e-06
1.000000000000000000e+02,4.100000000000000000e+01,-2.975060926353152819e+19,0.000000000000000000e+00,9.660987416282296181e-06
1.000000000000000000e+02,4.200000000000000000e+01,1.549108046284176589e+19,0.000000000000000000e+00,9.289011359214782715e-06
1.000000000000000000e+02,4.300000000000000000e+01,8.460692702059624000e+16,0.000000000000000000e+00,9.623996447771787643e-06
1.000000000000000000e+02,4.400000000000000000e+01,1.681128161796410880e+18,5.120000000000000000e+02,9.390001650899648666e-06
1.000000000000000000e+02,4.500000000000000000e+01,8.534980303933027328e+18,0.000000000000000000e+00,9.356008376926183701e-06
1.000000000000000000e+02,4.600000000000000000e+01,-1.656036208789614387e+19,0.000000000000000000e+00,9.396986570209264755e-06
