# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,1.436801617529630560e+17,0.000000000000000000e+00,1.127700670622289181e-05
1.000000000000000000e+02,1.000000000000000000e+00,3.485786052982228400e+16,0.000000000000000000e+00,1.012199209071695805e-05
1.000000000000000000e+02,2.000000000000000000e+00,9.283393543295738000e+15,0.000000000000000000e+00,9.988987585529685020e-06
1.000000000000000000e+02,3.000000000000000000e+00,7.754763181983553536e+18,0.000000000000000000e+00,9.740004315972328186e-06
1.000000000000000000e+02,4.000000000000000000e+00,-1.696953319656212275e+19,0.000000000000000000e+00,9.675975888967514038e-06
1.000000000000000000e+02,5.000000000000000000e+00,3.396715341083664384e+18,0.000000000000000000e+00,9.868002962321043015e-06
1.000000000000000000e+02,6.000000000000000000e+00,1.141500947011899802e+19,0.000000000000000000e+00,9.551993571221828461e-06
1.000000000000000000e+02,7.000000000000000000e+00,6.473215499982864800e+16,8.000000000000000000e+00,9.604991646483540535e-06
1.000000000000000000e+02,8.000000000000000000e+00,1.392733188930961600e+17,0.000000000000000000e+00,9.695999324321746826e-06
1.000000000000000000e+02,9.000000000000000000e+00,-6.616273326038612992e+18,3.072000000000000000e+03,9.807001333683729172e-06
1.000000000000000000e+02,1.000000000000000000e+01,1.687991304100623616e+18,0.000000000000000000e+00,9.807001333683729172e-06
1.000000000000000000e+02,1.100000000000000000e+01,5.207157869179537408e+18,0.000000000000000000e+00,9.871990187093615532e-06
1.000000000000000000e+02,1.200000000000000000e+01,5.182324802168692480e+17,0.000000000000000000e+00,9.612005669623613358e-06
1.000000000000000000e+02,1.300000000000000000e+01,1.776353912580294451e+19,0.000000000000000000e+00,9.769981261342763901e-06
1.000000000000000000e+02,1.400000000000000000e+01,-1.300871445649094656e+19,6.144000000000000000e+03,9.594979928806424141e-06
1.000000000000000000e+02,1.500000000000000000e+01,2.208512637043944448e+18,0.000000000000000000e+00,9.620009222999215126e-06
1.000000000000000000e+02,1.600000000000000000e+01,6.798121549735666688e+18,1.024000000000000000e+03,9.650015272200107574e-06
1.000000000000000000e+02,1.700000000000000000e+01,-9.234450098411997184e+18,1.024000000000000000e+04,9.515992132946848869e-06
1.000000000000000000e+02,1.800000000000000000e+01,8.612483461007268864e+18,0.000000000000000000e+00,9.515992132946848869e-06
1.000000000000000000e+02,1.900000000000000000e+01,5.769634004789411840e+18,0.000000000000000000e+00,9.448995115235447884e-06
1.000000000000000000e+02,2.000000000000000000e+01,5.094653230049203840e+17,6.400000000000000000e+01,9.632989531382918358e-06
1.000000000000000000e+02,2.100000000000000000e+01,-1.062003113499361485e+19,0.000000000000000000e+00,9.384006261825561523e-06
1.000000000000000000e+02,2.200000000000000000e+01,6.836724908341138432e+18,0.000000000000000000e+00,9.312992915511131287e-06
1.000000000000000000e+02,2.300000000000000000e+01,-1.525857884318773453e+19,0.000000000000000000e+00,9.370996849611401558e-06
1.000000000000000000e+02,2.400000000000000000e+01,1.133168828244550560e+17,0.000000000000000000e+00,9.424984455108642578e-06
1.000000000000000000e+02,2.500000000000000000e+01,2.989371462635728000e+17,0.000000000000000000e+00,9.772018529474735260e-06
1.000000000000000000e+02,2.600000000000000000e+01,2.117343590316254720e+17,0.000000000000000000e+00,9.451003279536962509e-06
1.000000000000000000e+02,2.700000000000000000e+01,1.093917395906412339e+19,0.000000000000000000e+00,9.430019417777657509e-06
1.000000000000000000e+02,2.800000000000000000e+01,2.835493790388858368e+18,0.000000000000000000e+00,9.432988008484244347e-06
1.000000000000000000e+02,2.900000000000000000e+01,-6.498928146929266688e+18,0.000000000000000000e+00,9.415001841261982918e-06
1.000000000000000000e+02,3.000000000000000000e+01,3.676949500193540096e+18,0.000000000000000000e+00,9.412004146724939346e-06
1.000000000000000000e+02,3.100000000000000000e+01,1.426850262619722496e+18,0.000000000000000000e+00,9.449024219065904617e-06
