# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,1.436801617529630560e+17,0.000000000000000000e+00,1.103000249713659286e-05
1.000000000000000000e+02,1.000000000000000000e+00,3.485786052982228400e+16,4.000000000000000000e+00,1.029699342325329781e-05
1.000000000000000000e+02,2.000000000000000000e+00,9.283393543295738000e+15,0.000000000000000000e+00,9.804993169382214546e-06
1.000000000000000000e+02,3.000000000000000000e+00,7.754763181983553536e+18,1.024000000000000000e+03,9.393988875672221184e-06
1.000000000000000000e+02,4.000000000000000000e+00,-1.696953319656212275e+19,0.000000000000000000e+00,9.346986189484596252e-06
1.000000000000000000e+02,5.000000000000000000e+00,3.396715341083664384e+18,0.000000000000000000e+00,9.401992429047822952e-06
1.000000000000000000e+02,6.000000000000000000e+00,1.141500947011899802e+19,2.048000000000000000e+03,9.214010788127779961e-06
1.000000000000000000e+02,7.000000000000000000e+00,6.473215499982864800e+16,0.000000000000000000e+00,9.265990229323506355e-06
1.000000000000000000e+02,8.000000000000000000e+00,1.392733188930961600e+17,1.600000000000000000e+01,9.438983397558331490e-06
1.000000000000000000e+02,9.000000000000000000e+00,-6.616273326038612992e+18,1.024000000000000000e+03,9.353010682389140129e-06
1.000000000000000000e+02,1.000000000000000000e+01,1.687991304100623616e+18,0.000000000000000000e+00,9.198993211612105370e-06
1.000000000000000000e+02,1.100000000000000000e+01,5.207157869179537408e+18,1.024000000000000000e+03,9.312992915511131287e-06
1.000000000000000000e+02,1.200000000000000000e+01,5.182324802168692480e+17,0.000000000000000000e+00,9.158975444734096527e-06
1.000000000000000000e+02,1.300000000000000000e+01,1.776353912580294451e+19,0.000000000000000000e+00,9.328010492026805878e-06
1.000000000000000000e+02,1.400000000000000000e+01,-1.300871445649094656e+19,4.096000000000000000e+03,9.562994819134473801e-06
1.000000000000000000e+02,1.500000000000000000e+01,2.208512637043944448e+18,7.680000000000000000e+02,9.356008376926183701e-06
1.000000000000000000e+02,1.600000000000000000e+01,6.798121549735666688e+18,3.072000000000000000e+03,9.078008588403463364e-06
1.000000000000000000e+02,1.700000000000000000e+01,-9.234450098411997184e+18,8.192000000000000000e+03,9.153998689725995064e-06
1.000000000000000000e+02,1.800000000000000000e+01,8.612483461007268864e+18,0.000000000000000000e+00,5.546599277295172215e-05
1.000000000000000000e+02,1.900000000000000000e+01,5.769634004789411840e+18,0.000000000000000000e+00,9.381998097524046898e-06
1.000000000000000000e+02,2.000000000000000000e+01,5.094653230049203840e+17,6.400000000000000000e+01,9.231996955350041389e-06
1.000000000000000000e+02,2.100000000000000000e+01,-1.062003113499361485e+19,0.000000000000000000e+00,9.072013199329376221e-06
1.000000000000000000e+02,2.200000000000000000e+01,6.836724908341138432e+18,1.024000000000000000e+03,9.142997441813349724e-06
1.000000000000000000e+02,2.300000000000000000e+01,-1.525857884318773453e+19,0.000000000000000000e+00,9.164999937638640404e-06
1.000000000000000000e+02,2.400000000000000000e+01,1.133168828244550560e+17,1.600000000000000000e+01,9.103998309001326561e-06
1.000000000000000000e+02,2.500000000000000000e+01,2.989371462635728000e+17,0.000000000000000000e+00,9.236013283953070641e-06
1.000000000000000000e+02,2.600000000000000000e+01,2.117343590316254720e+17,0.000000000000000000e+00,9.379989933222532272e-06
1.000000000000000000e+02,2.700000000000000000e+01,1.093917395906412339e+19,2.048000000000000000e+03,9.161012712866067886e-06
1.000000000000000000e+02,2.800000000000000000e+01,2.835493790388858368e+18,5.120000000000000000e+02,9.089999366551637650e-06
1.000000000000000000e+02,2.900000000000000000e+01,-6.498928146929266688e+18,1.024000000000000000e+03,9.034993126988410950e-06
1.000000000000000000e+02,3.000000000000000000e+01,3.676949500193540096e+18,1.536000000000000000e+03,9.223993401974439621e-06
1.000000000000000000e+02,3.100000000000000000e+01,1.426850262619722496e+18,5.120000000000000000e+02,9.182986104860901833e-06
1.000000000000000000e+02,3.200000000000000000e+01,1.366918982197706957e+19,2.048000000000000000e+03,9.332987247034907341e-06
1.000000000000000000e+02,3.300000000000000000e+01,-1.746932308309775360e+18,1.024000000000000000e+03,9.273993782699108124e-06
1.000000000000000000e+02,3.400000000000000000e+01,2.575956869966893056e+18,1.024000000000000000e+03,9.301991667598485947e-06
1.000000000000000000e+02,3.500000000000000000e+01,-1.174297177691290214e+19,2.048000000000000000e+03,9.193987352773547173e-06
1.000000000000000000e+02,3.600000000000000000e+01,-9.473801594198939648e+18,0.000000000000000000e+00,2.326699905097484589e-05
1.000000000000000000e+02,3.700000000000000000e+01,5.260099926941820928e+18,1.024000000000000000e+03,9.106996003538370132e-06
1.000000000000000000e+02,3.800000000000000000e+01,1.376687486533856256e+19,4.096000000000000000e+03,9.212002623826265335e-06
1.000000000000000000e+02,3.900000000000000000e+01,4.287680135397499520e+17,0.000000000000000000e+00,8.970004273578524590e-06
1.000000000000000000e+02,4.000000000000000000e+01,-1.702198478597029069e+19,2.048000000000000000e+03,9.064999176189303398e-06
1.000000000000000000e+02,4.100000000000000000e+01,-2.975060926353152819e+19,8.192000000000000000e+03,9.067996870726346970e-06
1.000000000000000000e+02,4.200000000000000000e+01,1.549108046284176589e+19,0.000000000000000000e+00,8.968985639512538910e-06
1.000000000000000000e+02,4.300000000000000000e+01,8.460692702059624000e+16,1.600000000000000000e+01,9.281007805839180946e-06
1.000000000000000000e+02,4.400000000000000000e+01,1.681128161796410880e+18,2.560000000000000000e+02,9.165989467874169350e-06
1.000000000000000000e+02,4.500000000000000000e+01,8.534980303933027328e+18,0.000000000000000000e+00,9.145005606114864349e-06
1.000000000000000000e+02,4.600000000000000000e+01,-1.656036208789614387e+19,2.048000000000000000e+03,9.126000804826617241e-06
1.000000000000000000e+02,4.700000000000000000e+01,9.052409319439964160e+17,0.000000000000000000e+00,9.041978046298027039e-06
1.000000000000000000e+02,4.800000000000000000e+01,-1.834475642829806720e+17,1.920000000000000000e+03,9.131006663665175438e-06
1.000000000000000000e+02,4.900000000000000000e+01,-1.929613659577270272e+19,8.192000000000000000e+03,8.775998139753937721e-06
2.000000000000000000e+02,0.000000000000000000e+00,7.020415269959422400e+16,2.400000000000000000e+01,1.596700167283415794e-05
2.000000000000000000e+02,1.000000000000000000e+00,1.510099938747019264e+19,2.048000000000000000e+03,1.575698843225836754e-05
2.000000000000000000e+02,2.000000000000000000e+00,1.144995775138385920e+19,6.144000000000000000e+03,1.582599361427128315e-05
2.000000000000000000e+02,3.000000000000000000e+00,6.152494552043504640e+18,0.000000000000000000e+00,5.384598625823855400e-05
2.000000000000000000e+02,4.000000000000000000e+00,-2.893887471873401651e+19,0.000000000000000000e+00,1.587500446476042271e-05
2.000000000000000000e+02,5.000000000000000000e+00,1.028990990542543667e+19,2.048000000000000000e+03,1.582200638949871063e-05
2.000000000000000000e+02,6.000000000000000000e+00,4.397124917475326464e+18,5.120000000000000000e+02,1.567599247209727764e-05
2.000000000000000000e+02,7.000000000000000000e+00,1.135778547967046451e+19,0.000000000000000000e+00,1.586499274708330631e-05
2.000000000000000000e+02,8.000000000000000000e+00,-5.961318343965599744e+18,2.048000000000000000e+03,1.563699333928525448e-05
2.000000000000000000e+02,9.000000000000000000e+00,-8.134500841397450752e+18,0.000000000000000000e+00,1.574997440911829472e-05
2.000000000000000000e+02,1.000000000000000000e+01,-6.505313900547742720e+18,2.048000000000000000e+03,1.566897844895720482e-05
2.000000000000000000e+02,1.100000000000000000e+01,-2.656739727995482112e+18,2.048000000000000000e+03,1.576798968017101288e-05
2.000000000000000000e+02,1.200000000000000000e+01,-9.925337325195393024e+18,2.048000000000000000e+03,1.583897392265498638e-05
2.000000000000000000e+02,1.300000000000000000e+01,1.289540151402174259e+19,4.096000000000000000e+03,1.576301292516291142e-05
2.000000000000000000e+02,1.400000000000000000e+01,5.215770712438395904e+18,1.024000000000000000e+03,1.564298872835934162e-05
2.000000000000000000e+02,1.500000000000000000e+01,7.302753146797126656e+18,2.048000000000000000e+03,1.588699524290859699e-05
2.000000000000000000e+02,1.600000000000000000e+01,1.298055910475286323e+19,0.000000000000000000e+00,1.590300234965980053e-05
2.000000000000000000e+02,1.700000000000000000e+01,1.383646192713940224e+18,5.120000000000000000e+02,2.083598519675433636e-05
