# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,7.755850421008074480e-02,1.387778780781445676e-17,1.082898234017193317e-05
1.000000000000000000e+02,1.000000000000000000e+00,1.048755324120187182e-01,1.387778780781445676e-17,1.019900082610547543e-05
1.000000000000000000e+02,2.000000000000000000e+00,1.369233632308091975e-01,0.000000000000000000e+00,9.691022569313645363e-06
1.000000000000000000e+02,3.000000000000000000e+00,1.966298643928320322e-01,0.000000000000000000e+00,9.492010576650500298e-06
1.000000000000000000e+02,4.000000000000000000e+00,7.008855384148847401e-02,0.000000000000000000e+00,9.748007869347929955e-06
1.000000000000000000e+02,5.000000000000000000e+00,6.024652371483683183e-02,6.938893903907228378e-18,9.639974450692534447e-06
1.000000000000000000e+02,6.000000000000000000e+00,3.324772972051137643e-01,0.000000000000000000e+00,9.518989827483892441e-06
1.000000000000000000e+02,7.000000000000000000e+00,9.700319890995177941e-02,1.387778780781445676e-17,9.398005204275250435e-06
1.000000000000000000e+02,8.000000000000000000e+00,7.403212063029551704e-02,2.775557561562891351e-17,9.284995030611753464e-06
1.000000000000000000e+02,9.000000000000000000e+00,7.059660820546267979e-02,0.000000000000000000e+00,9.255978511646389961e-06
1.000000000000000000e+02,1.000000000000000000e+01,8.319556124631589944e-02,1.387778780781445676e-17,9.337993105873465538e-06
1.000000000000000000e+02,1.100000000000000000e+01,2.867412624874664528e-01,0.000000000000000000e+00,9.727024007588624954e-06
1.000000000000000000e+02,1.200000000000000000e+01,1.329179962296393458e-01,0.000000000000000000e+00,9.388022590428590775e-06
1.000000000000000000e+02,1.300000000000000000e+01,3.826390576926444465e-01,0.000000000000000000e+00,9.367009624838829041e-06
1.000000000000000000e+02,1.400000000000000000e+01,2.028182064254165640e-01,2.775557561562891351e-17,9.651994332671165466e-06
1.000000000000000000e+02,1.500000000000000000e+01,8.101742690593484453e-02,0.000000000000000000e+00,9.317998774349689484e-06
1.000000000000000000e+02,1.600000000000000000e+01,1.083423967485351164e-01,0.000000000000000000e+00,9.150011464953422546e-06
1.000000000000000000e+02,1.700000000000000000e+01,1.796190873559075640e-01,2.775557561562891351e-17,9.360985131934285164e-06
1.000000000000000000e+02,1.800000000000000000e+01,5.538037564666774271e-02,6.938893903907228378e-18,9.273004252463579178e-06
1.000000000000000000e+02,1.900000000000000000e+01,6.488085788689670896e-02,1.387778780781445676e-17,9.326002327725291252e-06
1.000000000000000000e+02,2.000000000000000000e+01,3.067734761986920522e-01,0.000000000000000000e+00,9.329000022262334824e-06
1.000000000000000000e+02,2.100000000000000000e+01,1.335074851257788131e-01,0.000000000000000000e+00,9.353010682389140129e-06
1.000000000000000000e+02,2.200000000000000000e+01,1.718270320170911247e-01,2.775557561562891351e-17,9.436014806851744652e-06
1.000000000000000000e+02,2.300000000000000000e+01,3.432468986941467071e-01,5.551115123125782702e-17,9.490991942584514618e-06
1.000000000000000000e+02,2.400000000000000000e+01,6.566675920857024951e-02,1.387778780781445676e-17,9.354000212624669075e-06
1.000000000000000000e+02,2.500000000000000000e+01,8.756278986090676453e-02,2.775557561562891351e-17,9.423005394637584686e-06
1.000000000000000000e+02,2.600000000000000000e+01,4.382777091309500439e-01,5.551115123125782702e-17,9.386014426127076149e-06
1.000000000000000000e+02,2.700000000000000000e+01,3.319051924387231844e-01,5.551115123125782702e-17,9.440002031624317169e-06
1.000000000000000000e+02,2.800000000000000000e+01,9.729612151593430847e-02,0.000000000000000000e+00,9.361014235764741898e-06
1.000000000000000000e+02,2.900000000000000000e+01,1.804527785253123850e-01,0.000000000000000000e+00,9.153998689725995064e-06
1.000000000000000000e+02,3.000000000000000000e+01,3.300192720459435014e-01,0.000000000000000000e+00,2.237100852653384209e-05
1.000000000000000000e+02,3.100000000000000000e+01,8.330257323236446576e-02,1.387778780781445676e-17,9.054987458512187004e-06
1.000000000000000000e+02,3.200000000000000000e+01,1.231278441368119925e-01,0.000000000000000000e+00,9.056995622813701630e-06
1.000000000000000000e+02,3.300000000000000000e+01,8.207508833080315314e-02,0.000000000000000000e+00,9.167008101940155029e-06
1.000000000000000000e+02,3.400000000000000000e+01,8.310899903832313917e-02,0.000000000000000000e+00,9.080016752704977989e-06
1.000000000000000000e+02,3.500000000000000000e+01,1.447117722379231419e-01,0.000000000000000000e+00,9.037001291289925575e-06
1.000000000000000000e+02,3.600000000000000000e+01,5.025712310609522504e-01,0.000000000000000000e+00,8.945004083216190338e-06
1.000000000000000000e+02,3.700000000000000000e+01,1.283831473740523477e-01,0.000000000000000000e+00,9.080977179110050201e-06
1.000000000000000000e+02,3.800000000000000000e+01,7.253388807488775347e-02,0.000000000000000000e+00,8.925999281927943230e-06
1.000000000000000000e+02,3.900000000000000000e+01,9.793559397403686639e-02,1.387778780781445676e-17,9.263982065021991730e-06
1.000000000000000000e+02,4.000000000000000000e+01,8.069916406187004065e-02,1.387778780781445676e-17,8.945993613451719284e-06
1.000000000000000000e+02,4.100000000000000000e+01,5.724916778710067294e-02,0.000000000000000000e+00,8.928996976464986801e-06
1.000000000000000000e+02,4.200000000000000000e+01,6.167488595860497469e-01,0.000000000000000000e+00,8.960021659731864929e-06
1.000000000000000000e+02,4.300000000000000000e+01,7.091080691434938077e-02,0.000000000000000000e+00,9.151990525424480438e-06
1.000000000000000000e+02,4.400000000000000000e+01,3.095355114561064713e-01,0.000000000000000000e+00,8.974020602181553841e-06
1.000000000000000000e+02,4.500000000000000000e+01,1.450051378592851214e-01,0.000000000000000000e+00,9.020004654303193092e-06
1.000000000000000000e+02,4.600000000000000000e+01,1.063414728106508861e-01,2.775557561562891351e-17,9.173993021249771118e-06
1.000000000000000000e+02,4.700000000000000000e+01,6.141542685877051516e-02,0.000000000000000000e+00,9.325973223894834518e-06
1.000000000000000000e+02,4.800000000000000000e+01,8.876145936814468229e-02,1.387778780781445676e-17,9.140989277511835098e-06
1.000000000000000000e+02,4.900000000000000000e+01,2.700815731891926252e-01,5.551115123125782702e-17,8.970004273578524590e-06
2.000000000000000000e+02,0.000000000000000000e+00,8.826984203713103549e-02,0.000000000000000000e+00,1.656700624153017998e-05
2.000000000000000000e+02,1.000000000000000000e+00,9.175184475399182638e-02,0.000000000000000000e+00,1.653999788686633110e-05
2.000000000000000000e+02,2.000000000000000000e+00,1.382542659660641604e-01,0.000000000000000000e+00,1.653097569942474365e-05
2.000000000000000000e+02,3.000000000000000000e+00,1.332902668584437511e-01,2.775557561562891351e-17,2.095900708809494972e-05
2.000000000000000000e+02,4.000000000000000000e+00,8.103539567722981007e-02,1.387778780781445676e-17,1.645699376240372658e-05
2.000000000000000000e+02,5.000000000000000000e+00,1.698458987387226893e-01,2.775557561562891351e-17,1.633397187106311321e-05
2.000000000000000000e+02,6.000000000000000000e+00,1.194615596763620585e-01,2.775557561562891351e-17,1.633301144465804100e-05
2.000000000000000000e+02,7.000000000000000000e+00,1.372552346457709405e-01,0.000000000000000000e+00,1.643400173634290695e-05
2.000000000000000000e+02,8.000000000000000000e+00,7.811816780862941567e-02,0.000000000000000000e+00,1.634302316233515739e-05
2.000000000000000000e+02,9.000000000000000000e+00,1.221787067545360428e-01,0.000000000000000000e+00,1.659101690165698528e-05
2.000000000000000000e+02,1.000000000000000000e+01,8.394238108093220185e-02,1.387778780781445676e-17,1.619700924493372440e-05
2.000000000000000000e+02,1.100000000000000000e+01,1.441988297771574778e-01,2.775557561562891351e-17,1.632698695175349712e-05
2.000000000000000000e+02,1.200000000000000000e+01,1.605626325283657785e-01,2.775557561562891351e-17,1.642201095819473267e-05
2.000000000000000000e+02,1.300000000000000000e+01,8.446253336454681571e-02,1.387778780781445676e-17,1.645801239646971226e-05
2.000000000000000000e+02,1.400000000000000000e+01,2.161814418761967282e-01,0.000000000000000000e+00,1.634898944757878780e-05
2.000000000000000000e+02,1.500000000000000000e+01,4.241662372727149632e-01,0.000000000000000000e+00,1.641502603888511658e-05
2.000000000000000000e+02,1.600000000000000000e+01,7.513678929461720113e-02,0.000000000000000000e+00,1.644698204472661018e-05
2.000000000000000000e+02,1.700000000000000000e+01,7.689348432359954799e-02,0.000000000000000000e+00,1.647399039939045906e-05
2.000000000000000000e+02,1.800000000000000000e+01,8.516215567865662028e-02,2.775557561562891351e-17,1.632899511605501175e-05
2.000000000000000000e+02,1.900000000000000000e+01,1.537865767246903159e-01,0.000000000000000000e+00,1.701098517514765263e-05
2.000000000000000000e+02,2.000000000000000000e+01,1.991168411726354781e-01,2.775557561562891351e-17,1.640699338167905807e-05
2.000000000000000000e+02,2.100000000000000000e+01,1.843214575889856321e-01,2.775557561562891351e-17,1.698898267932236195e-05
