# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,7.755850421008074480e-02,1.387778780781445676e-17,1.013698056340217590e-05
1.000000000000000000e+02,1.000000000000000000e+00,1.048755324120187182e-01,2.775557561562891351e-17,9.731011232361197472e-06
1.000000000000000000e+02,2.000000000000000000e+00,1.369233632308091975e-01,5.551115123125782702e-17,9.569979738444089890e-06
1.000000000000000000e+02,3.000000000000000000e+00,1.966298643928320322e-01,8.326672684688674053e-17,9.360024705529212952e-06
1.000000000000000000e+02,4.000000000000000000e+00,7.008855384148847401e-02,0.000000000000000000e+00,9.207986295223236084e-06
1.000000000000000000e+02,5.000000000000000000e+00,6.024652371483683183e-02,3.469446951953614189e-17,9.260023944079875946e-06
1.000000000000000000e+02,6.000000000000000000e+00,3.324772972051137643e-01,1.110223024625156540e-16,9.245006367564201355e-06
1.000000000000000000e+02,7.000000000000000000e+00,9.700319890995177941e-02,1.387778780781445676e-17,9.142007911577820778e-06
1.000000000000000000e+02,8.000000000000000000e+00,7.403212063029551704e-02,1.387778780781445676e-17,9.150011464953422546e-06
1.000000000000000000e+02,9.000000000000000000e+00,7.059660820546267979e-02,5.551115123125782702e-17,9.159004548564553261e-06
1.000000000000000000e+02,1.000000000000000000e+01,8.319556124631589944e-02,2.775557561562891351e-17,9.007984772324562073e-06
1.000000000000000000e+02,1.100000000000000000e+01,2.867412624874664528e-01,0.000000000000000000e+00,9.484996553510427475e-06
1.000000000000000000e+02,1.200000000000000000e+01,1.329179962296393458e-01,1.110223024625156540e-16,9.326991857960820198e-06
1.000000000000000000e+02,1.300000000000000000e+01,3.826390576926444465e-01,2.220446049250313081e-16,3.657100023701786995e-05
1.000000000000000000e+02,1.400000000000000000e+01,2.028182064254165640e-01,2.775557561562891351e-17,9.259994840249419212e-06
1.000000000000000000e+02,1.500000000000000000e+01,8.101742690593484453e-02,1.387778780781445676e-17,9.362003766000270844e-06
1.000000000000000000e+02,1.600000000000000000e+01,1.083423967485351164e-01,0.000000000000000000e+00,9.183975635096430779e-06
1.000000000000000000e+02,1.700000000000000000e+01,1.796190873559075640e-01,0.000000000000000000e+00,9.323994163423776627e-06
1.000000000000000000e+02,1.800000000000000000e+01,5.538037564666774271e-02,4.857225732735059864e-17,9.312992915511131287e-06
1.000000000000000000e+02,1.900000000000000000e+01,6.488085788689670896e-02,4.163336342344337027e-17,9.274022886529564857e-06
1.000000000000000000e+02,2.000000000000000000e+01,3.067734761986920522e-01,2.220446049250313081e-16,9.154988219961524010e-06
1.000000000000000000e+02,2.100000000000000000e+01,1.335074851257788131e-01,1.110223024625156540e-16,9.156006854027509689e-06
1.000000000000000000e+02,2.200000000000000000e+01,1.718270320170911247e-01,8.326672684688674053e-17,9.354000212624669075e-06
1.000000000000000000e+02,2.300000000000000000e+01,3.432468986941467071e-01,2.220446049250313081e-16,9.302020771428942680e-06
1.000000000000000000e+02,2.400000000000000000e+01,6.566675920857024951e-02,1.387778780781445676e-17,9.248993592336773872e-06
1.000000000000000000e+02,2.500000000000000000e+01,8.756278986090676453e-02,0.000000000000000000e+00,9.156006854027509689e-06
1.000000000000000000e+02,2.600000000000000000e+01,4.382777091309500439e-01,2.220446049250313081e-16,9.615003364160656929e-06
1.000000000000000000e+02,2.700000000000000000e+01,3.319051924387231844e-01,0.000000000000000000e+00,9.305018465965986252e-06
1.000000000000000000e+02,2.800000000000000000e+01,9.729612151593430847e-02,1.387778780781445676e-17,9.267008863389492035e-06
1.000000000000000000e+02,2.900000000000000000e+01,1.804527785253123850e-01,8.326672684688674053e-17,9.448005584999918938e-06
1.000000000000000000e+02,3.000000000000000000e+01,3.300192720459435014e-01,5.551115123125782702e-17,9.263982065021991730e-06
1.000000000000000000e+02,3.100000000000000000e+01,8.330257323236446576e-02,4.163336342344337027e-17,9.308976586908102036e-06
1.000000000000000000e+02,3.200000000000000000e+01,1.231278441368119925e-01,1.387778780781445676e-17,9.276991477236151695e-06
1.000000000000000000e+02,3.300000000000000000e+01,8.207508833080315314e-02,2.775557561562891351e-17,9.277020581066608429e-06
1.000000000000000000e+02,3.400000000000000000e+01,8.310899903832313917e-02,1.387778780781445676e-17,9.210983989760279655e-06
1.000000000000000000e+02,3.500000000000000000e+01,1.447117722379231419e-01,2.775557561562891351e-17,9.383016731590032578e-06
1.000000000000000000e+02,3.600000000000000000e+01,5.025712310609522504e-01,3.330669073875469621e-16,9.075010893866419792e-06
1.000000000000000000e+02,3.700000000000000000e+01,1.283831473740523477e-01,5.551115123125782702e-17,9.201990906149148941e-06
1.000000000000000000e+02,3.800000000000000000e+01,7.253388807488775347e-02,4.163336342344337027e-17,9.420997230336070061e-06
1.000000000000000000e+02,3.900000000000000000e+01,9.793559397403686639e-02,1.387778780781445676e-17,9.378010872751474380e-06
1.000000000000000000e+02,4.000000000000000000e+01,8.069916406187004065e-02,2.775557561562891351e-17,9.245995897799730301e-06
1.000000000000000000e+02,4.100000000000000000e+01,5.724916778710067294e-02,6.938893903907228378e-18,9.518989827483892441e-06
1.000000000000000000e+02,4.200000000000000000e+01,6.167488595860497469e-01,1.110223024625156540e-16,9.379989933222532272e-06
1.000000000000000000e+02,4.300000000000000000e+01,7.091080691434938077e-02,2.775557561562891351e-17,9.381008567288517952e-06
1.000000000000000000e+02,4.400000000000000000e+01,3.095355114561064713e-01,2.775557561562891351e-16,2.200002199970185757e-05
1.000000000000000000e+02,4.500000000000000000e+01,1.450051378592851214e-01,2.775557561562891351e-17,8.940987754613161087e-06
1.000000000000000000e+02,4.600000000000000000e+01,1.063414728106508861e-01,1.387778780781445676e-17,8.869013981893658638e-06
1.000000000000000000e+02,4.700000000000000000e+01,6.141542685877051516e-02,2.081668171172168513e-17,9.065988706424832344e-06
1.000000000000000000e+02,4.800000000000000000e+01,8.876145936814468229e-02,0.000000000000000000e+00,8.939998224377632141e-06
1.000000000000000000e+02,4.900000000000000000e+01,2.700815731891926252e-01,5.551115123125782702e-17,8.939998224377632141e-06
2.000000000000000000e+02,0.000000000000000000e+00,8.826984203713103549e-02,5.551115123125782702e-17,1.642300048843026161e-05
2.000000000000000000e+02,1.000000000000000000e+00,9.175184475399182638e-02,1.387778780781445676e-17,1.634602085687220097e-05
2.000000000000000000e+02,2.000000000000000000e+00,1.382542659660641604e-01,5.551115123125782702e-17,1.618399983271956444e-05
2.000000000000000000e+02,3.000000000000000000e+00,1.332902668584437511e-01,8.326672684688674053e-17,1.636499655432999134e-05
2.000000000000000000e+02,4.000000000000000000e+00,8.103539567722981007e-02,4.163336342344337027e-17,1.634799991734325886e-05
2.000000000000000000e+02,5.000000000000000000e+00,1.698458987387226893e-01,5.551115123125782702e-17,1.627800520509481430e-05
2.000000000000000000e+02,6.000000000000000000e+00,1.194615596763620585e-01,4.163336342344337027e-17,1.630900078453123569e-05
2.000000000000000000e+02,7.000000000000000000e+00,1.372552346457709405e-01,0.000000000000000000e+00,1.671499921940267086e-05
2.000000000000000000e+02,8.000000000000000000e+00,7.811816780862941567e-02,1.387778780781445676e-17,1.668700133450329304e-05
2.000000000000000000e+02,9.000000000000000000e+00,1.221787067545360428e-01,1.387778780781445676e-16,1.662800787016749382e-05
2.000000000000000000e+02,1.000000000000000000e+01,8.394238108093220185e-02,2.775557561562891351e-17,1.672300277277827263e-05
2.000000000000000000e+02,1.100000000000000000e+01,1.441988297771574778e-01,5.551115123125782702e-17,1.666799653321504593e-05
2.000000000000000000e+02,1.200000000000000000e+01,1.605626325283657785e-01,1.665334536937734811e-16,1.663499278947710991e-05
2.000000000000000000e+02,1.300000000000000000e+01,8.446253336454681571e-02,5.551115123125782702e-17,1.665702438913285732e-05
2.000000000000000000e+02,1.400000000000000000e+01,2.161814418761967282e-01,0.000000000000000000e+00,1.658897963352501392e-05
2.000000000000000000e+02,1.500000000000000000e+01,4.241662372727149632e-01,0.000000000000000000e+00,1.656400854699313641e-05
2.000000000000000000e+02,1.600000000000000000e+01,7.513678929461720113e-02,4.163336342344337027e-17,1.679599517956376076e-05
2.000000000000000000e+02,1.700000000000000000e+01,7.689348432359954799e-02,1.387778780781445676e-17,1.653400249779224396e-05
2.000000000000000000e+02,1.800000000000000000e+01,8.516215567865662028e-02,2.775557561562891351e-17,1.704902388155460358e-05
2.000000000000000000e+02,1.900000000000000000e+01,1.537865767246903159e-01,0.000000000000000000e+00,1.664200681261718273e-05
2.000000000000000000e+02,2.000000000000000000e+01,1.991168411726354781e-01,0.000000000000000000e+00,1.651298953220248222e-05
2.000000000000000000e+02,2.100000000000000000e+01,1.843214575889856321e-01,5.551115123125782702e-17,1.667201286181807518e-05
2.000000000000000000e+02,2.200000000000000000e+01,9.918788554206578456e-02,5.551115123125782702e-17,1.657402026467025280e-05
2.000000000000000000e+02,2.300000000000000000e+01,1.142221775678298329e-01,0.000000000000000000e+00,1.660999259911477566e-05
2.000000000000000000e+02,2.400000000000000000e+01,1.808729530360305426e-01,2.220446049250313081e-16,2.004898851737380028e-05
2.000000000000000000e+02,2.500000000000000000e+01,1.213970325707967174e-01,2.775557561562891351e-17,1.663001603446900845e-05
2.000000000000000000e+02,2.600000000000000000e+01,8.406195218482213904e-02,5.551115123125782702e-17,1.674998202361166477e-05
2.000000000000000000e+02,2.700000000000000000e+01,1.170442471251255112e-01,5.551115123125782702e-17,2.992499503307044506e-05
2.000000000000000000e+02,2.800000000000000000e+01,1.150897821990077702e-01,0.000000000000000000e+00,1.644500298425555229e-05
2.000000000000000000e+02,2.900000000000000000e+01,6.470920873960039899e-02,1.387778780781445676e-17,1.629602047614753246e-05
2.000000000000000000e+02,3.000000000000000000e+01,4.660470782668333367e-01,5.551115123125782702e-17,1.623301068320870399e-05
2.000000000000000000e+02,3.100000000000000000e+01,7.684248663927670253e-02,0.000000000000000000e+00,1.626598532311618328e-05
2.000000000000000000e+02,3.200000000000000000e+01,9.058689822176604900e-02,8.326672684688674053e-17,1.639701076783239841e-05
2.000000000000000000e+02,3.300000000000000000e+01,1.840634173176036448e-01,2.775557561562891351e-17,1.639101537875831127e-05
2.000000000000000000e+02,3.400000000000000000e+01,1.096380473222191565e-01,1.387778780781445676e-17,1.619700924493372440e-05
2.000000000000000000e+02,3.500000000000000000e+01,4.133233370355731684e-01,6.106226635438360972e-16,1.652599894441664219e-05
2.000000000000000000e+02,3.600000000000000000e+01,1.397569992195186461e-01,2.775557561562891351e-17,2.973497612401843071e-05
2.000000000000000000e+02,3.700000000000000000e+01,3.779934355504923627e-01,0.000000000000000000e+00,1.677600084803998470e-05
2.000000000000000000e+02,3.800000000000000000e+01,8.508097962511304568e-02,5.551115123125782702e-17,1.662300201132893562e-05
2.000000000000000000e+02,3.900000000000000000e+01,5.064799574768085177e-01,1.110223024625156540e-16,1.669899211265146732e-05
2.000000000000000000e+02,4.000000000000000000e+01,7.121741910009617982e-01,0.000000000000000000e+00,1.660099951550364494e-05
2.000000000000000000e+02,4.100000000000000000e+01,1.819570871752407837e-01,5.551115123125782702e-17,1.659899135120213032e-05
2.000000000000000000e+02,4.200000000000000000e+01,1.606374218795874054e-01,5.551115123125782702e-17,1.662599970586597919e-05
2.000000000000000000e+02,4.300000000000000000e+01,8.004388689005571822e-02,4.163336342344337027e-17,1.677198451943695545e-05
2.000000000000000000e+02,4.400000000000000000e+01,2.116672508405485487e-01,2.775557561562891351e-17,1.660099951550364494e-05
2.000000000000000000e+02,4.500000000000000000e+01,1.273679671301251592e-01,2.775557561562891351e-17,1.660597627051174641e-05
2.000000000000000000e+02,4.600000000000000000e+01,1.882591872153542290e-01,8.326672684688674053e-17,1.673097722232341766e-05
2.000000000000000000e+02,4.700000000000000000e+01,7.824760971383531993e-02,5.551115123125782702e-17,1.658897963352501392e-05
2.000000000000000000e+02,4.800000000000000000e+01,8.239247366258918570e-02,6.938893903907228378e-17,1.661200076341629028e-05
2.000000000000000000e+02,4.900000000000000000e+01,6.034583690072364143e-02,6.938893903907228378e-18,1.674701343290507793e-05
5.000000000000000000e+02,0.000000000000000000e+00,8.774037660974905173e-02,0.000000000000000000e+00,3.927102079614996910e-05
5.000000000000000000e+02,1.000000000000000000e+00,9.497591332775932871e-02,1.387778780781445676e-16,3.979698522016406059e-05
5.000000000000000000e+02,2.000000000000000000e+00,2.244768260165514451e-01,5.551115123125782702e-17,3.919200389645993710e-05
5.000000000000000000e+02,3.000000000000000000e+00,2.315001131401866752e-01,2.775557561562891351e-16,3.912800457328557968e-05
5.000000000000000000e+02,4.000000000000000000e+00,1.677805899158612890e+00,8.881784197001252323e-16,3.975300933234393597e-05
5.000000000000000000e+02,5.000000000000000000e+00,9.165704114759473664e-02,1.387778780781445676e-17,3.954500425606966019e-05
5.000000000000000000e+02,6.000000000000000000e+00,1.803397667687002270e-01,1.942890293094023946e-16,3.907500649802386761e-05
5.000000000000000000e+02,7.000000000000000000e+00,2.625162966542575749e-01,1.665334536937734811e-16,4.356898716650903225e-05
5.000000000000000000e+02,8.000000000000000000e+00,2.163787342840782779e-01,8.326672684688674053e-17,3.938801819458603859e-05
5.000000000000000000e+02,9.000000000000000000e+00,9.182092915272752065e-02,5.551115123125782702e-17,3.836301038973033428e-05
5.000000000000000000e+02,1.000000000000000000e+01,1.399017787009335101e-01,3.053113317719180486e-16,3.826900501735508442e-05
5.000000000000000000e+02,1.100000000000000000e+01,1.254003235052918164e-01,2.775557561562891351e-17,4.012000863440334797e-05
5.000000000000000000e+02,1.200000000000000000e+01,1.197901371492029882e-01,3.469446951953614189e-16,4.217101377435028553e-05
5.000000000000000000e+02,1.300000000000000000e+01,2.238333118625857598e-01,5.551115123125782702e-17,5.225397762842476368e-05
5.000000000000000000e+02,1.400000000000000000e+01,8.754693733470275685e-02,1.249000902703301108e-16,3.934500273317098618e-05
