# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,7.755850421008074480e-02,1.387778780781445676e-17,1.157997758127748966e-05
1.000000000000000000e+02,1.000000000000000000e+00,1.048755324120187182e-01,1.387778780781445676e-17,4.211699706502258778e-05
1.000000000000000000e+02,2.000000000000000000e+00,1.369233632308091975e-01,0.000000000000000000e+00,1.061300281435251236e-05
1.000000000000000000e+02,3.000000000000000000e+00,1.966298643928320322e-01,0.000000000000000000e+00,1.010997220873832703e-05
1.000000000000000000e+02,4.000000000000000000e+00,7.008855384148847401e-02,0.000000000000000000e+00,9.857001714408397675e-06
1.000000000000000000e+02,5.000000000000000000e+00,6.024652371483683183e-02,6.938893903907228378e-18,9.768002200871706009e-06
1.000000000000000000e+02,6.000000000000000000e+00,3.324772972051137643e-01,0.000000000000000000e+00,9.472976671531796455e-06
1.000000000000000000e+02,7.000000000000000000e+00,9.700319890995177941e-02,1.387778780781445676e-17,9.368988685309886932e-06
1.000000000000000000e+02,8.000000000000000000e+00,7.403212063029551704e-02,2.775557561562891351e-17,9.253999451175332069e-06
1.000000000000000000e+02,9.000000000000000000e+00,7.059660820546267979e-02,0.000000000000000000e+00,9.456009138375520706e-06
1.000000000000000000e+02,1.000000000000000000e+01,8.319556124631589944e-02,1.387778780781445676e-17,9.296985808759927750e-06
1.000000000000000000e+02,1.100000000000000000e+01,2.867412624874664528e-01,0.000000000000000000e+00,9.276991477236151695e-06
1.000000000000000000e+02,1.200000000000000000e+01,1.329179962296393458e-01,0.000000000000000000e+00,9.231996955350041389e-06
1.000000000000000000e+02,1.300000000000000000e+01,3.826390576926444465e-01,0.000000000000000000e+00,9.373005013912916183e-06
1.000000000000000000e+02,1.400000000000000000e+01,2.028182064254165640e-01,2.775557561562891351e-17,9.232986485585570335e-06
1.000000000000000000e+02,1.500000000000000000e+01,8.101742690593484453e-02,0.000000000000000000e+00,9.425013558939099312e-06
1.000000000000000000e+02,1.600000000000000000e+01,1.083423967485351164e-01,0.000000000000000000e+00,9.092007530853152275e-06
1.000000000000000000e+02,1.700000000000000000e+01,1.796190873559075640e-01,2.775557561562891351e-17,9.716022759675979614e-06
1.000000000000000000e+02,1.800000000000000000e+01,5.538037564666774271e-02,6.938893903907228378e-18,9.331997716799378395e-06
1.000000000000000000e+02,1.900000000000000000e+01,6.488085788689670896e-02,1.387778780781445676e-17,9.256007615476846695e-06
1.000000000000000000e+02,2.000000000000000000e+01,3.067734761986920522e-01,0.000000000000000000e+00,9.175011655315756798e-06
1.000000000000000000e+02,2.100000000000000000e+01,1.335074851257788131e-01,0.000000000000000000e+00,9.422015864402055740e-06
1.000000000000000000e+02,2.200000000000000000e+01,1.718270320170911247e-01,2.775557561562891351e-17,9.260984370484948158e-06
1.000000000000000000e+02,2.300000000000000000e+01,3.432468986941467071e-01,5.551115123125782702e-17,9.297975338995456696e-06
1.000000000000000000e+02,2.400000000000000000e+01,6.566675920857024951e-02,1.387778780781445676e-17,9.281997336074709892e-06
1.000000000000000000e+02,2.500000000000000000e+01,8.756278986090676453e-02,2.775557561562891351e-17,9.343988494947552681e-06
1.000000000000000000e+02,2.600000000000000000e+01,4.382777091309500439e-01,5.551115123125782702e-17,9.352981578558683395e-06
1.000000000000000000e+02,2.700000000000000000e+01,3.319051924387231844e-01,5.551115123125782702e-17,9.507988579571247101e-06
1.000000000000000000e+02,2.800000000000000000e+01,9.729612151593430847e-02,0.000000000000000000e+00,9.345996659249067307e-06
1.000000000000000000e+02,2.900000000000000000e+01,1.804527785253123850e-01,0.000000000000000000e+00,9.360024705529212952e-06
1.000000000000000000e+02,3.000000000000000000e+01,3.300192720459435014e-01,0.000000000000000000e+00,9.120994945988059044e-06
1.000000000000000000e+02,3.100000000000000000e+01,8.330257323236446576e-02,1.387778780781445676e-17,9.253999451175332069e-06
1.000000000000000000e+02,3.200000000000000000e+01,1.231278441368119925e-01,0.000000000000000000e+00,1.763901673257350922e-05
1.000000000000000000e+02,3.300000000000000000e+01,8.207508833080315314e-02,0.000000000000000000e+00,9.537994628772139549e-06
1.000000000000000000e+02,3.400000000000000000e+01,8.310899903832313917e-02,0.000000000000000000e+00,9.156996384263038635e-06
1.000000000000000000e+02,3.500000000000000000e+01,1.447117722379231419e-01,0.000000000000000000e+00,9.359006071463227272e-06
1.000000000000000000e+02,3.600000000000000000e+01,5.025712310609522504e-01,0.000000000000000000e+00,9.203009540215134621e-06
1.000000000000000000e+02,3.700000000000000000e+01,1.283831473740523477e-01,0.000000000000000000e+00,9.261013474315404892e-06
1.000000000000000000e+02,3.800000000000000000e+01,7.253388807488775347e-02,0.000000000000000000e+00,9.169016266241669655e-06
1.000000000000000000e+02,3.900000000000000000e+01,9.793559397403686639e-02,1.387778780781445676e-17,9.519979357719421387e-06
1.000000000000000000e+02,4.000000000000000000e+01,8.069916406187004065e-02,1.387778780781445676e-17,9.288982255384325981e-06
1.000000000000000000e+02,4.100000000000000000e+01,5.724916778710067294e-02,0.000000000000000000e+00,9.338022209703922272e-06
1.000000000000000000e+02,4.200000000000000000e+01,6.167488595860497469e-01,0.000000000000000000e+00,9.281007805839180946e-06
1.000000000000000000e+02,4.300000000000000000e+01,7.091080691434938077e-02,0.000000000000000000e+00,9.378010872751474380e-06
1.000000000000000000e+02,4.400000000000000000e+01,3.095355114561064713e-01,0.000000000000000000e+00,9.226001566275954247e-06
1.000000000000000000e+02,4.500000000000000000e+01,1.450051378592851214e-01,0.000000000000000000e+00,9.344017598778009415e-06
1.000000000000000000e+02,4.600000000000000000e+01,1.063414728106508861e-01,2.775557561562891351e-17,9.178998880088329315e-06
1.000000000000000000e+02,4.700000000000000000e+01,6.141542685877051516e-02,0.000000000000000000e+00,9.276001947000622749e-06
1.000000000000000000e+02,4.800000000000000000e+01,8.876145936814468229e-02,1.387778780781445676e-17,9.481009328737854958e-06
1.000000000000000000e+02,4.900000000000000000e+01,2.700815731891926252e-01,5.551115123125782702e-17,9.287003194913268089e-06
2.000000000000000000e+02,0.000000000000000000e+00,8.826984203713103549e-02,0.000000000000000000e+00,1.686901669017970562e-05
2.000000000000000000e+02,1.000000000000000000e+00,9.175184475399182638e-02,0.000000000000000000e+00,1.708601485006511211e-05
2.000000000000000000e+02,2.000000000000000000e+00,1.382542659660641604e-01,0.000000000000000000e+00,1.661901478655636311e-05
2.000000000000000000e+02,3.000000000000000000e+00,1.332902668584437511e-01,2.775557561562891351e-17,1.644800067879259586e-05
2.000000000000000000e+02,4.000000000000000000e+00,8.103539567722981007e-02,1.387778780781445676e-17,1.668100594542920589e-05
2.000000000000000000e+02,5.000000000000000000e+00,1.698458987387226893e-01,2.775557561562891351e-17,1.674698432907462120e-05
2.000000000000000000e+02,6.000000000000000000e+00,1.194615596763620585e-01,2.775557561562891351e-17,1.680600689724087715e-05
2.000000000000000000e+02,7.000000000000000000e+00,1.372552346457709405e-01,0.000000000000000000e+00,1.699698623269796371e-05
2.000000000000000000e+02,8.000000000000000000e+00,7.811816780862941567e-02,0.000000000000000000e+00,1.652899663895368576e-05
2.000000000000000000e+02,9.000000000000000000e+00,1.221787067545360428e-01,0.000000000000000000e+00,1.717099803499877453e-05
2.000000000000000000e+02,1.000000000000000000e+01,8.394238108093220185e-02,1.387778780781445676e-17,1.667899778112769127e-05
2.000000000000000000e+02,1.100000000000000000e+01,1.441988297771574778e-01,2.775557561562891351e-17,1.674899249337613583e-05
2.000000000000000000e+02,1.200000000000000000e+01,1.605626325283657785e-01,2.775557561562891351e-17,1.676002284511923790e-05
2.000000000000000000e+02,1.300000000000000000e+01,8.446253336454681571e-02,1.387778780781445676e-17,1.700001303106546402e-05
2.000000000000000000e+02,1.400000000000000000e+01,2.161814418761967282e-01,0.000000000000000000e+00,1.671997597441077232e-05
2.000000000000000000e+02,1.500000000000000000e+01,4.241662372727149632e-01,0.000000000000000000e+00,1.672399230301380157e-05
2.000000000000000000e+02,1.600000000000000000e+01,7.513678929461720113e-02,0.000000000000000000e+00,1.662899740040302277e-05
2.000000000000000000e+02,1.700000000000000000e+01,7.689348432359954799e-02,0.000000000000000000e+00,1.674800296314060688e-05
2.000000000000000000e+02,1.800000000000000000e+01,8.516215567865662028e-02,2.775557561562891351e-17,1.725801848806440830e-05
2.000000000000000000e+02,1.900000000000000000e+01,1.537865767246903159e-01,0.000000000000000000e+00,2.410201705060899258e-05
2.000000000000000000e+02,2.000000000000000000e+01,1.991168411726354781e-01,2.775557561562891351e-17,1.739099388942122459e-05
2.000000000000000000e+02,2.100000000000000000e+01,1.843214575889856321e-01,2.775557561562891351e-17,1.676598913036286831e-05
2.000000000000000000e+02,2.200000000000000000e+01,9.918788554206578456e-02,0.000000000000000000e+00,1.678400440141558647e-05
2.000000000000000000e+02,2.300000000000000000e+01,1.142221775678298329e-01,1.387778780781445676e-17,1.672698999755084515e-05
2.000000000000000000e+02,2.400000000000000000e+01,1.808729530360305426e-01,2.775557561562891351e-17,1.678999979048967361e-05
2.000000000000000000e+02,2.500000000000000000e+01,1.213970325707967174e-01,0.000000000000000000e+00,1.704398891888558865e-05
2.000000000000000000e+02,2.600000000000000000e+01,8.406195218482213904e-02,1.387778780781445676e-17,1.684401649981737137e-05
2.000000000000000000e+02,2.700000000000000000e+01,1.170442471251255112e-01,2.775557561562891351e-17,1.691901707090437412e-05
2.000000000000000000e+02,2.800000000000000000e+01,1.150897821990077702e-01,2.775557561562891351e-17,1.670498750172555447e-05
2.000000000000000000e+02,2.900000000000000000e+01,6.470920873960039899e-02,0.000000000000000000e+00,1.670798519626259804e-05
2.000000000000000000e+02,3.000000000000000000e+01,4.660470782668333367e-01,5.551115123125782702e-17,1.700400025583803654e-05
2.000000000000000000e+02,3.100000000000000000e+01,7.684248663927670253e-02,0.000000000000000000e+00,1.712501398287713528e-05
2.000000000000000000e+02,3.200000000000000000e+01,9.058689822176604900e-02,1.387778780781445676e-17,1.702900044620037079e-05
2.000000000000000000e+02,3.300000000000000000e+01,1.840634173176036448e-01,2.775557561562891351e-17,1.668999902904033661e-05
2.000000000000000000e+02,3.400000000000000000e+01,1.096380473222191565e-01,0.000000000000000000e+00,1.679098932072520256e-05
2.000000000000000000e+02,3.500000000000000000e+01,4.133233370355731684e-01,5.551115123125782702e-17,1.665699528530240059e-05
2.000000000000000000e+02,3.600000000000000000e+01,1.397569992195186461e-01,0.000000000000000000e+00,1.668298500590026379e-05
2.000000000000000000e+02,3.700000000000000000e+01,3.779934355504923627e-01,1.110223024625156540e-16,1.710798824205994606e-05
2.000000000000000000e+02,3.800000000000000000e+01,8.508097962511304568e-02,0.000000000000000000e+00,1.673802034929394722e-05
2.000000000000000000e+02,3.900000000000000000e+01,5.064799574768085177e-01,1.110223024625156540e-16,1.673799124546349049e-05
2.000000000000000000e+02,4.000000000000000000e+01,7.121741910009617982e-01,0.000000000000000000e+00,1.720502041280269623e-05
2.000000000000000000e+02,4.100000000000000000e+01,1.819570871752407837e-01,2.775557561562891351e-17,1.665999297983944416e-05
2.000000000000000000e+02,4.200000000000000000e+01,1.606374218795874054e-01,0.000000000000000000e+00,1.637602690607309341e-05
2.000000000000000000e+02,4.300000000000000000e+01,8.004388689005571822e-02,1.387778780781445676e-17,1.677402178756892681e-05
2.000000000000000000e+02,4.400000000000000000e+01,2.116672508405485487e-01,2.775557561562891351e-17,1.637401874177157879e-05
2.000000000000000000e+02,4.500000000000000000e+01,1.273679671301251592e-01,2.775557561562891351e-17,1.641502603888511658e-05
2.000000000000000000e+02,4.600000000000000000e+01,1.882591872153542290e-01,2.775557561562891351e-17,1.623900607228279114e-05
2.000000000000000000e+02,4.700000000000000000e+01,7.824760971383531993e-02,0.000000000000000000e+00,1.649101614020764828e-05
2.000000000000000000e+02,4.800000000000000000e+01,8.239247366258918570e-02,0.000000000000000000e+00,1.615099608898162842e-05
2.000000000000000000e+02,4.900000000000000000e+01,6.034583690072364143e-02,6.938893903907228378e-18,1.659299596212804317e-05
5.000000000000000000e+02,0.000000000000000000e+00,8.774037660974905173e-02,4.163336342344337027e-17,3.829199704341590405e-05
5.000000000000000000e+02,1.000000000000000000e+00,9.497591332775932871e-02,0.000000000000000000e+00,3.838801058009266853e-05
5.000000000000000000e+02,2.000000000000000000e+00,2.244768260165514451e-01,0.000000000000000000e+00,3.821897553279995918e-05
5.000000000000000000e+02,3.000000000000000000e+00,2.315001131401866752e-01,2.775557561562891351e-17,3.823800943791866302e-05
5.000000000000000000e+02,4.000000000000000000e+00,1.677805899158612890e+00,0.000000000000000000e+00,3.829298657365143299e-05
5.000000000000000000e+02,5.000000000000000000e+00,9.165704114759473664e-02,4.163336342344337027e-17,5.378501373343169689e-05
5.000000000000000000e+02,6.000000000000000000e+00,1.803397667687002270e-01,5.551115123125782702e-17,3.906598431058228016e-05
5.000000000000000000e+02,7.000000000000000000e+00,2.625162966542575749e-01,1.110223024625156540e-16,3.946098149754106998e-05
5.000000000000000000e+02,8.000000000000000000e+00,2.163787342840782779e-01,2.775557561562891351e-17,3.919299342669546604e-05
5.000000000000000000e+02,9.000000000000000000e+00,9.182092915272752065e-02,0.000000000000000000e+00,3.906097845174372196e-05
5.000000000000000000e+02,1.000000000000000000e+01,1.399017787009335101e-01,2.775557561562891351e-17,3.915501292794942856e-05
5.000000000000000000e+02,1.100000000000000000e+01,1.254003235052918164e-01,2.775557561562891351e-17,4.008799442090094090e-05
5.000000000000000000e+02,1.200000000000000000e+01,1.197901371492029882e-01,1.387778780781445676e-17,4.044899833388626575e-05
5.000000000000000000e+02,1.300000000000000000e+01,2.238333118625857598e-01,0.000000000000000000e+00,3.911097883246839046e-05
5.000000000000000000e+02,1.400000000000000000e+01,8.754693733470275685e-02,0.000000000000000000e+00,3.902599564753472805e-05
5.000000000000000000e+02,1.500000000000000000e+01,3.990298413463128635e-01,5.551115123125782702e-17,3.937800647690892220e-05
5.000000000000000000e+02,1.600000000000000000e+01,2.018298143580625759e-01,0.000000000000000000e+00,3.914997796528041363e-05
5.000000000000000000e+02,1.700000000000000000e+01,1.453013434973890461e-01,2.775557561562891351e-17,3.984599607065320015e-05
5.000000000000000000e+02,1.800000000000000000e+01,1.127957732939943863e-01,0.000000000000000000e+00,3.915699198842048645e-05
5.000000000000000000e+02,1.900000000000000000e+01,1.373850294090824820e+00,2.220446049250313081e-16,3.914500121027231216e-05
5.000000000000000000e+02,2.000000000000000000e+01,1.813357362604972600e-01,0.000000000000000000e+00,4.321499727666378021e-05
5.000000000000000000e+02,2.100000000000000000e+01,1.933954527540712731e-01,2.775557561562891351e-17,3.939200541935861111e-05
5.000000000000000000e+02,2.200000000000000000e+01,4.181716218965620402e-01,0.000000000000000000e+00,3.938900772482156754e-05
5.000000000000000000e+02,2.300000000000000000e+01,4.275252839597242227e-01,0.000000000000000000e+00,4.039899795316159725e-05
5.000000000000000000e+02,2.400000000000000000e+01,2.090982169823997205e-01,0.000000000000000000e+00,3.914599074050784111e-05
5.000000000000000000e+02,2.500000000000000000e+01,6.829693797693825452e-01,2.220446049250313081e-16,3.912698593921959400e-05
5.000000000000000000e+02,2.600000000000000000e+01,7.085974842745131896e-01,1.110223024625156540e-16,3.944197669625282288e-05
5.000000000000000000e+02,2.700000000000000000e+01,1.378978892786791588e-01,2.775557561562891351e-17,3.927500802092254162e-05
5.000000000000000000e+02,2.800000000000000000e+01,1.873259136248449086e-01,2.775557561562891351e-17,3.913798718713223934e-05
5.000000000000000000e+02,2.900000000000000000e+01,2.360149736284161970e-01,2.775557561562891351e-17,4.053700831718742847e-05
5.000000000000000000e+02,3.000000000000000000e+01,3.164146640240021457e-01,5.551115123125782702e-17,3.925801138393580914e-05
