# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,7.755850421008074480e-02,1.387778780781445676e-17,1.030298881232738495e-05
1.000000000000000000e+02,1.000000000000000000e+00,1.048755324120187182e-01,1.387778780781445676e-17,9.444978786632418633e-06
1.000000000000000000e+02,2.000000000000000000e+00,1.369233632308091975e-01,0.000000000000000000e+00,8.978007826954126358e-06
1.000000000000000000e+02,3.000000000000000000e+00,1.966298643928320322e-01,8.326672684688674053e-17,8.567993063479661942e-06
1.000000000000000000e+02,4.000000000000000000e+00,7.008855384148847401e-02,0.000000000000000000e+00,8.657982107251882553e-06
1.000000000000000000e+02,5.000000000000000000e+00,6.024652371483683183e-02,2.081668171172168513e-17,8.670001989230513573e-06
1.000000000000000000e+02,6.000000000000000000e+00,3.324772972051137643e-01,1.110223024625156540e-16,8.461996912956237793e-06
1.000000000000000000e+02,7.000000000000000000e+00,9.700319890995177941e-02,0.000000000000000000e+00,8.750997949391603470e-06
1.000000000000000000e+02,8.000000000000000000e+00,7.403212063029551704e-02,5.551115123125782702e-17,8.489994797855615616e-06
1.000000000000000000e+02,9.000000000000000000e+00,7.059660820546267979e-02,2.775557561562891351e-17,8.255010470747947693e-06
1.000000000000000000e+02,1.000000000000000000e+01,8.319556124631589944e-02,0.000000000000000000e+00,8.526025339961051941e-06
1.000000000000000000e+02,1.100000000000000000e+01,2.867412624874664528e-01,5.551115123125782702e-17,8.549977792426943779e-06
1.000000000000000000e+02,1.200000000000000000e+01,1.329179962296393458e-01,0.000000000000000000e+00,8.637987775728106499e-06
1.000000000000000000e+02,1.300000000000000000e+01,3.826390576926444465e-01,5.551115123125782702e-17,8.491013431921601295e-06
1.000000000000000000e+02,1.400000000000000000e+01,2.028182064254165640e-01,1.665334536937734811e-16,8.348026312887668610e-06
1.000000000000000000e+02,1.500000000000000000e+01,8.101742690593484453e-02,1.387778780781445676e-17,8.280010661110281944e-06
1.000000000000000000e+02,1.600000000000000000e+01,1.083423967485351164e-01,0.000000000000000000e+00,8.307979442179203033e-06
1.000000000000000000e+02,1.700000000000000000e+01,1.796190873559075640e-01,2.775557561562891351e-17,8.536997484043240547e-06
