# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,9.877387588948598918e+00,1.776356839400250465e-15,1.130998134613037109e-05
1.000000000000000000e+02,1.000000000000000000e+00,4.944568585557916229e+00,8.881784197001252323e-16,9.976996807381510735e-06
1.000000000000000000e+02,2.000000000000000000e+00,1.440949838882364498e+00,4.440892098500626162e-16,9.661976946517825127e-06
1.000000000000000000e+02,3.000000000000000000e+00,-6.677079570965295474e+00,3.552713678800500929e-15,9.172013960778713226e-06
1.000000000000000000e+02,4.000000000000000000e+00,3.451032749956279844e+00,0.000000000000000000e+00,9.278999641537666321e-06
1.000000000000000000e+02,5.000000000000000000e+00,-1.731373760313745125e+00,6.661338147750939243e-16,9.419018169865012169e-06
1.000000000000000000e+02,6.000000000000000000e+00,-1.624935951877333196e-01,1.110223024625156540e-15,9.271025191992521286e-06
1.000000000000000000e+02,7.000000000000000000e+00,-3.865599286916999944e+00,8.881784197001252323e-16,9.321025572717189789e-06
1.000000000000000000e+02,8.000000000000000000e+00,-3.634718141367674349e+00,8.881784197001252323e-16,8.881994290277361870e-06
1.000000000000000000e+02,9.000000000000000000e+00,4.385935548645711890e+00,1.776356839400250465e-15,9.437993867322802544e-06
1.000000000000000000e+02,1.000000000000000000e+01,5.481567835779477704e+00,0.000000000000000000e+00,9.131006663665175438e-06
1.000000000000000000e+02,1.100000000000000000e+01,-1.181157948297590643e+01,0.000000000000000000e+00,9.354989742860198021e-06
1.000000000000000000e+02,1.200000000000000000e+01,3.339866240278829501e+00,0.000000000000000000e+00,9.014998795464634895e-06
1.000000000000000000e+02,1.300000000000000000e+01,-3.248267462016460883e+00,2.664535259100375697e-15,9.252020390704274178e-06
1.000000000000000000e+02,1.400000000000000000e+01,-7.588084077000435634e+00,8.881784197001252323e-16,9.246985428035259247e-06
1.000000000000000000e+02,1.500000000000000000e+01,-9.536717635636435819e-01,4.440892098500626162e-16,9.051000233739614487e-06
1.000000000000000000e+02,1.600000000000000000e+01,4.117023220426838215e+00,8.881784197001252323e-16,8.973001968115568161e-06
1.000000000000000000e+02,1.700000000000000000e+01,-1.937210051788147203e+00,8.881784197001252323e-16,9.098002919927239418e-06
1.000000000000000000e+02,1.800000000000000000e+01,6.609915372579624027e+00,8.881784197001252323e-16,9.208975825458765030e-06
1.000000000000000000e+02,1.900000000000000000e+01,-8.162036139696662307e-01,6.661338147750939243e-16,9.014998795464634895e-06
1.000000000000000000e+02,2.000000000000000000e+01,-9.522987151820043294e+00,0.000000000000000000e+00,9.000010322779417038e-06
1.000000000000000000e+02,2.100000000000000000e+01,-2.587478094410395890e+00,1.332267629550187849e-15,9.095994755625724792e-06
1.000000000000000000e+02,2.200000000000000000e+01,1.526869829910336485e+00,2.220446049250313081e-16,9.188981493934988976e-06
1.000000000000000000e+02,2.300000000000000000e+01,-4.025887630627234870e+00,1.776356839400250465e-15,9.092007530853152275e-06
1.000000000000000000e+02,2.400000000000000000e+01,6.169117834520463362e+00,1.776356839400250465e-15,8.977018296718597412e-06
1.000000000000000000e+02,2.500000000000000000e+01,-1.749565699749953573e+00,2.220446049250313081e-16,9.003008017316460609e-06
1.000000000000000000e+02,2.600000000000000000e+01,-3.757159908092020828e+00,1.332267629550187849e-15,9.123992640525102615e-06
1.000000000000000000e+02,2.700000000000000000e+01,2.980049902853472599e+00,4.440892098500626162e-16,9.059003787115216255e-06
1.000000000000000000e+02,2.800000000000000000e+01,-8.185723914435634185e-01,8.881784197001252323e-16,9.067996870726346970e-06
1.000000000000000000e+02,2.900000000000000000e+01,2.453090551131509311e+00,4.440892098500626162e-16,8.972012437880039215e-06
1.000000000000000000e+02,3.000000000000000000e+01,-1.392287519577902799e+01,3.552713678800500929e-15,9.033014066517353058e-06
1.000000000000000000e+02,3.100000000000000000e+01,3.319878308269585077e+00,8.881784197001252323e-16,8.887989679351449013e-06
1.000000000000000000e+02,3.200000000000000000e+01,1.313107110484767759e+01,3.552713678800500929e-15,9.055976988747715950e-06
1.000000000000000000e+02,3.300000000000000000e+01,7.233491257549143683e+00,8.881784197001252323e-16,8.958013495430350304e-06
1.000000000000000000e+02,3.400000000000000000e+01,-1.003943691711425279e+00,0.000000000000000000e+00,9.175011655315756798e-06
1.000000000000000000e+02,3.500000000000000000e+01,7.904392411553079256e+00,8.881784197001252323e-16,9.006005711853504181e-06
1.000000000000000000e+02,3.600000000000000000e+01,-1.097343254354519182e-01,8.881784197001252323e-16,9.026000043377280235e-06
1.000000000000000000e+02,3.700000000000000000e+01,-3.503592480646342988e+00,4.440892098500626162e-16,9.012001100927591324e-06
1.000000000000000000e+02,3.800000000000000000e+01,2.474055163017127690e+00,8.881784197001252323e-16,9.007984772324562073e-06
1.000000000000000000e+02,3.900000000000000000e+01,-1.647599254959192461e+00,2.220446049250313081e-16,9.206996764987707138e-06
1.000000000000000000e+02,4.000000000000000000e+01,3.930900541113069302e+00,4.440892098500626162e-16,9.065988706424832344e-06
1.000000000000000000e+02,4.100000000000000000e+01,-3.140905805321870137e+00,4.440892098500626162e-16,9.161012712866067886e-06
1.000000000000000000e+02,4.200000000000000000e+01,3.707749313652819900e+00,0.000000000000000000e+00,9.059003787115216255e-06
1.000000000000000000e+02,4.300000000000000000e+01,-2.660971819795597604e+00,1.332267629550187849e-15,8.937000529840588570e-06
1.000000000000000000e+02,4.400000000000000000e+01,-4.125093752993938878e+00,0.000000000000000000e+00,9.075010893866419792e-06
1.000000000000000000e+02,4.500000000000000000e+01,3.593197938900829502e+00,2.220446049250313081e-15,8.942995918914675713e-06
1.000000000000000000e+02,4.600000000000000000e+01,-6.741641710392062947e+00,8.881784197001252323e-16,8.997012628242373466e-06
1.000000000000000000e+02,4.700000000000000000e+01,1.178270449619981397e+00,2.220446049250313081e-16,9.170005796477198601e-06
1.000000000000000000e+02,4.800000000000000000e+01,-3.366696958869526135e+00,3.552713678800500929e-15,8.914998034015297890e-06
1.000000000000000000e+02,4.900000000000000000e+01,-8.931199920467404851e+00,0.000000000000000000e+00,8.666014764457941055e-06
2.000000000000000000e+02,0.000000000000000000e+00,4.967764324456837244e+00,8.881784197001252323e-16,1.593900378793478012e-05
2.000000000000000000e+02,1.000000000000000000e+00,-1.458377077175088843e+01,3.552713678800500929e-15,1.604302087798714638e-05
2.000000000000000000e+02,2.000000000000000000e+00,1.945881376367140092e-01,8.881784197001252323e-16,1.591100590303540230e-05
2.000000000000000000e+02,3.000000000000000000e+00,-8.631632922747195735e+00,0.000000000000000000e+00,1.584799611009657383e-05
2.000000000000000000e+02,4.000000000000000000e+00,-3.143992885353415367e+00,1.776356839400250465e-15,1.603399869054555893e-05
2.000000000000000000e+02,5.000000000000000000e+00,-1.550414299220041059e+01,5.329070518200751394e-15,1.584802521392703056e-05
