# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,9.877387588948598918e+00,1.421085471520200372e-14,1.103300019167363644e-05
1.000000000000000000e+02,1.000000000000000000e+00,4.944568585557916229e+00,7.993605777301127091e-15,1.014300505630671978e-05
1.000000000000000000e+02,2.000000000000000000e+00,1.440949838882364498e+00,1.820765760385256726e-14,9.629991836845874786e-06
1.000000000000000000e+02,3.000000000000000000e+00,-6.677079570965295474e+00,1.865174681370262988e-14,9.434996172785758972e-06
1.000000000000000000e+02,4.000000000000000000e+00,3.451032749956279844e+00,4.440892098500626162e-15,9.137991582974791527e-06
1.000000000000000000e+02,5.000000000000000000e+00,-1.731373760313745125e+00,1.021405182655144017e-14,9.412993676960468292e-06
1.000000000000000000e+02,6.000000000000000000e+00,-1.624935951877333196e-01,8.215650382226158399e-15,9.370007319375872612e-06
1.000000000000000000e+02,7.000000000000000000e+00,-3.865599286916999944e+00,6.217248937900876626e-15,9.408977348357439041e-06
1.000000000000000000e+02,8.000000000000000000e+00,-3.634718141367674349e+00,8.881784197001252323e-15,9.178009349852800369e-06
1.000000000000000000e+02,9.000000000000000000e+00,4.385935548645711890e+00,8.881784197001252323e-16,9.177980246022343636e-06
1.000000000000000000e+02,1.000000000000000000e+01,5.481567835779477704e+00,3.552713678800500929e-15,9.278999641537666321e-06
1.000000000000000000e+02,1.100000000000000000e+01,-1.181157948297590643e+01,0.000000000000000000e+00,9.178998880088329315e-06
1.000000000000000000e+02,1.200000000000000000e+01,3.339866240278829501e+00,1.243449787580175325e-14,9.143986972048878670e-06
1.000000000000000000e+02,1.300000000000000000e+01,-3.248267462016460883e+00,8.881784197001252323e-16,9.243987733498215675e-06
1.000000000000000000e+02,1.400000000000000000e+01,-7.588084077000435634e+00,6.217248937900876626e-15,9.114999556913971901e-06
1.000000000000000000e+02,1.500000000000000000e+01,-9.536717635636435819e-01,8.437694987151189707e-15,9.062001481652259827e-06
1.000000000000000000e+02,1.600000000000000000e+01,4.117023220426838215e+00,1.243449787580175325e-14,8.983974112197756767e-06
1.000000000000000000e+02,1.700000000000000000e+01,-1.937210051788147203e+00,3.552713678800500929e-15,1.042301300913095474e-05
1.000000000000000000e+02,1.800000000000000000e+01,6.609915372579624027e+00,1.776356839400250465e-15,9.074021363630890846e-06
1.000000000000000000e+02,1.900000000000000000e+01,-8.162036139696662307e-01,5.995204332975845318e-15,9.103008778765797615e-06
1.000000000000000000e+02,2.000000000000000000e+01,-9.522987151820043294e+00,0.000000000000000000e+00,8.859002264216542244e-06
1.000000000000000000e+02,2.100000000000000000e+01,-2.587478094410395890e+00,1.509903313490212895e-14,8.900999091565608978e-06
