# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,9.877387588948598918e+00,8.881784197001252323e-15,1.062301453202962875e-05
1.000000000000000000e+02,1.000000000000000000e+00,4.944568585557916229e+00,8.881784197001252323e-16,9.481998858973383904e-06
1.000000000000000000e+02,2.000000000000000000e+00,1.440949838882364498e+00,1.110223024625156540e-14,9.101990144699811935e-06
1.000000000000000000e+02,3.000000000000000000e+00,-6.677079570965295474e+00,8.881784197001252323e-16,8.919014362618327141e-06
1.000000000000000000e+02,4.000000000000000000e+00,3.451032749956279844e+00,9.769962616701377556e-15,8.794013410806655884e-06
1.000000000000000000e+02,5.000000000000000000e+00,-1.731373760313745125e+00,6.661338147750939243e-16,8.995004463940858841e-06
1.000000000000000000e+02,6.000000000000000000e+00,-1.624935951877333196e-01,1.021405182655144017e-14,8.967996109277009964e-06
1.000000000000000000e+02,7.000000000000000000e+00,-3.865599286916999944e+00,1.332267629550187849e-14,8.775008609518408775e-06
1.000000000000000000e+02,8.000000000000000000e+00,-3.634718141367674349e+00,8.881784197001252323e-16,8.767994586378335953e-06
1.000000000000000000e+02,9.000000000000000000e+00,4.385935548645711890e+00,8.881784197001252323e-16,8.849980076774954796e-06
1.000000000000000000e+02,1.000000000000000000e+01,5.481567835779477704e+00,7.105427357601001859e-15,9.011971997097134590e-06
1.000000000000000000e+02,1.100000000000000000e+01,-1.181157948297590643e+01,7.105427357601001859e-15,8.956994861364364624e-06
1.000000000000000000e+02,1.200000000000000000e+01,3.339866240278829501e+00,7.549516567451064475e-15,8.837989298626780510e-06
1.000000000000000000e+02,1.300000000000000000e+01,-3.248267462016460883e+00,2.220446049250313081e-15,8.914998034015297890e-06
1.000000000000000000e+02,1.400000000000000000e+01,-7.588084077000435634e+00,4.440892098500626162e-15,8.697999874129891396e-06
1.000000000000000000e+02,1.500000000000000000e+01,-9.536717635636435819e-01,7.771561172376095783e-15,8.722010534256696701e-06
1.000000000000000000e+02,1.600000000000000000e+01,4.117023220426838215e+00,1.332267629550187849e-14,8.699018508195877075e-06
1.000000000000000000e+02,1.700000000000000000e+01,-1.937210051788147203e+00,3.774758283725532237e-15,8.739996701478958130e-06
1.000000000000000000e+02,1.800000000000000000e+01,6.609915372579624027e+00,4.440892098500626162e-15,8.693023119121789932e-06
1.000000000000000000e+02,1.900000000000000000e+01,-8.162036139696662307e-01,7.327471962526033167e-15,8.759001502767205238e-06
1.000000000000000000e+02,2.000000000000000000e+01,-9.522987151820043294e+00,1.598721155460225418e-14,8.589006029069423676e-06
1.000000000000000000e+02,2.100000000000000000e+01,-2.587478094410395890e+00,7.993605777301127091e-15,8.734001312404870987e-06
1.000000000000000000e+02,2.200000000000000000e+01,1.526869829910336485e+00,3.774758283725532237e-15,8.578994311392307281e-06
1.000000000000000000e+02,2.300000000000000000e+01,-4.025887630627234870e+00,4.440892098500626162e-15,8.620991138741374016e-06
1.000000000000000000e+02,2.400000000000000000e+01,6.169117834520463362e+00,3.552713678800500929e-15,8.643983164802193642e-06
1.000000000000000000e+02,2.500000000000000000e+01,-1.749565699749953573e+00,1.931788062847772380e-14,8.694012649357318878e-06
