# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,9.877387588948598918e+00,1.776356839400250465e-15,1.108300057239830494e-05
1.000000000000000000e+02,1.000000000000000000e+00,4.944568585557916229e+00,8.881784197001252323e-16,9.557988960295915604e-06
1.000000000000000000e+02,2.000000000000000000e+00,1.440949838882364498e+00,8.881784197001252323e-16,8.823000825941562653e-06
1.000000000000000000e+02,3.000000000000000000e+00,-6.677079570965295474e+00,1.776356839400250465e-15,8.905975846573710442e-06
1.000000000000000000e+02,4.000000000000000000e+00,3.451032749956279844e+00,1.776356839400250465e-15,8.697010343894362450e-06
1.000000000000000000e+02,5.000000000000000000e+00,-1.731373760313745125e+00,4.440892098500626162e-16,8.577015250921249390e-06
1.000000000000000000e+02,6.000000000000000000e+00,-1.624935951877333196e-01,1.998401444325281773e-15,8.350005373358726501e-06
1.000000000000000000e+02,7.000000000000000000e+00,-3.865599286916999944e+00,1.776356839400250465e-15,8.329981938004493713e-06
1.000000000000000000e+02,8.000000000000000000e+00,-3.634718141367674349e+00,2.220446049250313081e-15,8.281989721581339836e-06
1.000000000000000000e+02,9.000000000000000000e+00,4.385935548645711890e+00,3.552713678800500929e-15,8.427014108747243881e-06
1.000000000000000000e+02,1.000000000000000000e+01,5.481567835779477704e+00,8.881784197001252323e-16,1.311901723966002464e-05
1.000000000000000000e+02,1.100000000000000000e+01,-1.181157948297590643e+01,1.776356839400250465e-15,8.566974429413676262e-06
1.000000000000000000e+02,1.200000000000000000e+01,3.339866240278829501e+00,2.220446049250313081e-15,8.467992302030324936e-06
1.000000000000000000e+02,1.300000000000000000e+01,-3.248267462016460883e+00,1.332267629550187849e-15,8.347997209057211876e-06
1.000000000000000000e+02,1.400000000000000000e+01,-7.588084077000435634e+00,8.881784197001252323e-16,8.358998456969857216e-06
1.000000000000000000e+02,1.500000000000000000e+01,-9.536717635636435819e-01,1.332267629550187849e-15,8.441013051196932793e-06
1.000000000000000000e+02,1.600000000000000000e+01,4.117023220426838215e+00,1.776356839400250465e-15,8.384988177567720413e-06
1.000000000000000000e+02,1.700000000000000000e+01,-1.937210051788147203e+00,4.440892098500626162e-16,8.436007192358374596e-06
1.000000000000000000e+02,1.800000000000000000e+01,6.609915372579624027e+00,1.776356839400250465e-15,8.398987120017409325e-06
1.000000000000000000e+02,1.900000000000000000e+01,-8.162036139696662307e-01,2.220446049250313081e-16,8.595001418143510818e-06
1.000000000000000000e+02,2.000000000000000000e+01,-9.522987151820043294e+00,0.000000000000000000e+00,8.549977792426943779e-06
1.000000000000000000e+02,2.100000000000000000e+01,-2.587478094410395890e+00,8.881784197001252323e-16,8.570001227781176567e-06
1.000000000000000000e+02,2.200000000000000000e+01,1.526869829910336485e+00,4.440892098500626162e-16,8.522998541593551636e-06
1.000000000000000000e+02,2.300000000000000000e+01,-4.025887630627234870e+00,8.881784197001252323e-16,8.403992978855967522e-06
1.000000000000000000e+02,2.400000000000000000e+01,6.169117834520463362e+00,1.776356839400250465e-15,8.379982318729162216e-06
1.000000000000000000e+02,2.500000000000000000e+01,-1.749565699749953573e+00,1.110223024625156540e-15,8.392002200707793236e-06
1.000000000000000000e+02,2.600000000000000000e+01,-3.757159908092020828e+00,8.881784197001252323e-16,8.573988452553749084e-06
1.000000000000000000e+02,2.700000000000000000e+01,2.980049902853472599e+00,8.881784197001252323e-16,8.367991540580987930e-06
1.000000000000000000e+02,2.800000000000000000e+01,-8.185723914435634185e-01,1.998401444325281773e-15,8.289003744721412659e-06
1.000000000000000000e+02,2.900000000000000000e+01,2.453090551131509311e+00,1.776356839400250465e-15,8.280010661110281944e-06
1.000000000000000000e+02,3.000000000000000000e+01,-1.392287519577902799e+01,1.776356839400250465e-15,8.383009117096662521e-06
1.000000000000000000e+02,3.100000000000000000e+01,3.319878308269585077e+00,0.000000000000000000e+00,8.369010174646973610e-06
1.000000000000000000e+02,3.200000000000000000e+01,1.313107110484767759e+01,8.881784197001252323e-15,8.433999028056859970e-06
1.000000000000000000e+02,3.300000000000000000e+01,7.233491257549143683e+00,8.881784197001252323e-16,8.425995474681258202e-06
1.000000000000000000e+02,3.400000000000000000e+01,-1.003943691711425279e+00,1.998401444325281773e-15,8.352013537660241127e-06
1.000000000000000000e+02,3.500000000000000000e+01,7.904392411553079256e+00,4.440892098500626162e-15,8.284987416118383408e-06
