# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,6.146728992462158203e-08,0.000000000000000000e+00,1.027570106089115143e-04
1.000000000000000000e+02,1.000000000000000000e+00,3.038439899682998657e-08,8.149072527885437012e-10,6.220498471520841122e-05
1.000000000000000000e+02,2.000000000000000000e+00,4.714820533990859985e-09,1.455191522836685181e-09,6.622797809541225433e-05
1.000000000000000000e+02,3.000000000000000000e+00,-7.904600352048873901e-08,1.047737896442413330e-09,6.121999467723071575e-05
1.000000000000000000e+02,4.000000000000000000e+00,-1.513399183750152588e-09,8.149072527885437012e-10,6.529901293106377125e-05
1.000000000000000000e+02,5.000000000000000000e+00,1.498847268521785736e-09,1.309672370553016663e-10,6.517700967378914356e-05
1.000000000000000000e+02,6.000000000000000000e+00,-5.669426172971725464e-08,2.910383045673370361e-09,6.845200550742447376e-05
1.000000000000000000e+02,7.000000000000000000e+00,-5.896436050534248352e-08,1.688022166490554810e-09,6.083800690248608589e-05
1.000000000000000000e+02,8.000000000000000000e+00,-1.664739102125167847e-08,4.074536263942718506e-09,6.543198833242058754e-05
1.000000000000000000e+02,9.000000000000000000e+00,1.319131115451455116e-08,2.641172613948583603e-09,2.837630163412541151e-04
1.000000000000000000e+02,1.000000000000000000e+01,4.621688276529312134e-08,5.820766091346740723e-10,1.452849828638136387e-04
1.000000000000000000e+02,1.100000000000000000e+01,-3.050081431865692139e-08,1.629814505577087402e-09,2.003269910346716642e-04
1.000000000000000000e+02,1.200000000000000000e+01,2.361775841563940048e-08,1.731677912175655365e-09,2.061290142592042685e-04
1.000000000000000000e+02,1.300000000000000000e+01,1.018651119011337869e-08,5.236984179646242410e-10,2.015329955611377954e-04
1.000000000000000000e+02,1.400000000000000000e+01,-5.663605406880378723e-08,7.566995918750762939e-10,2.014269994106143713e-04
1.000000000000000000e+02,1.500000000000000000e+01,-6.234040483832359314e-08,2.386514097452163696e-09,1.108779979404062033e-04
1.000000000000000000e+02,1.600000000000000000e+01,2.443266566842794418e-08,3.477907739579677582e-09,7.215599180199205875e-05
1.000000000000000000e+02,1.700000000000000000e+01,-5.238689482212066650e-09,3.492459654808044434e-10,6.092799594625830650e-05
1.000000000000000000e+02,1.800000000000000000e+01,5.040783435106277466e-08,3.492459654808044434e-10,6.049597868695855141e-05
1.000000000000000000e+02,1.900000000000000000e+01,-8.993083611130714417e-09,2.939486876130104065e-09,6.475302507169544697e-05
1.000000000000000000e+02,2.000000000000000000e+01,-4.167668521404266357e-08,2.328306436538696289e-10,6.439199205487966537e-05
1.000000000000000000e+02,2.100000000000000000e+01,3.523018676787614822e-08,3.186869435012340546e-09,6.462601595558226109e-05
1.000000000000000000e+02,2.200000000000000000e+01,-2.028536982834339142e-08,6.693881005048751831e-10,6.457598647102713585e-05
1.000000000000000000e+02,2.300000000000000000e+01,-7.636117516085505486e-09,6.511982064694166183e-10,1.095030165743082762e-04
1.000000000000000000e+02,2.400000000000000000e+01,5.400215741246938705e-08,1.877197064459323883e-09,3.381769929546862841e-04
1.000000000000000000e+02,2.500000000000000000e+01,-3.208697307854890823e-09,2.975866664201021194e-09,1.635789813008159399e-04
1.000000000000000000e+02,2.600000000000000000e+01,2.255546860396862030e-09,5.384208634495735168e-10,7.023400394245982170e-05
1.000000000000000000e+02,2.700000000000000000e+01,3.296736394986510277e-08,3.710738383233547211e-10,6.988999666646122932e-05
1.000000000000000000e+02,2.800000000000000000e+01,1.259468263015151024e-08,2.182787284255027771e-11,6.981799378991127014e-05
1.000000000000000000e+02,2.900000000000000000e+01,5.157198756933212280e-08,3.492459654808044434e-10,6.968399975448846817e-05
1.000000000000000000e+02,3.000000000000000000e+01,-5.559419236078610993e-08,1.804991711651382502e-10,1.494869939051568508e-04
1.000000000000000000e+02,3.100000000000000000e+01,9.385985322296619415e-09,7.275957614183425903e-11,3.060020098928362131e-04
1.000000000000000000e+02,3.200000000000000000e+01,6.530899554491043091e-08,3.841705620288848877e-09,2.238979795947670937e-04
1.000000000000000000e+02,3.300000000000000000e+01,1.295120455324649811e-08,8.731149137020111084e-11,2.018309896811842918e-04
1.000000000000000000e+02,3.400000000000000000e+01,-6.689515430480241776e-08,1.600710675120353699e-10,6.094499258324503899e-05
1.000000000000000000e+02,3.500000000000000000e+01,3.597961040213704109e-09,1.735315890982747078e-09,6.096699507907032967e-05
1.000000000000000000e+02,3.600000000000000000e+01,4.889443516731262207e-09,6.984919309616088867e-10,6.491900421679019928e-05
1.000000000000000000e+02,3.700000000000000000e+01,-1.082662492990493774e-08,1.164153218269348145e-10,6.107799708843231201e-05
1.000000000000000000e+02,3.800000000000000000e+01,2.581509761512279510e-08,7.275957614183425903e-10,6.098797894082963467e-05
1.000000000000000000e+02,3.900000000000000000e+01,-8.927599992603063583e-09,3.856257535517215729e-10,6.082898471504449844e-05
1.000000000000000000e+02,4.000000000000000000e+01,-7.945345714688301086e-09,9.022187441587448120e-10,6.491999374702572823e-05
1.000000000000000000e+02,4.100000000000000000e+01,-2.719025360420346260e-08,2.975866664201021194e-09,1.940410002134740353e-04
1.000000000000000000e+02,4.200000000000000000e+01,1.792795956134796143e-08,1.629814505577087402e-09,1.901759824249893427e-04
1.000000000000000000e+02,4.300000000000000000e+01,2.807064447551965714e-08,5.966285243630409241e-10,6.092200055718421936e-05
1.000000000000000000e+02,4.400000000000000000e+01,-4.254980012774467468e-08,5.413312464952468872e-09,6.536798900924623013e-05
1.000000000000000000e+02,4.500000000000000000e+01,-9.400537237524986267e-09,5.529727786779403687e-10,6.071498501114547253e-05
1.000000000000000000e+02,4.600000000000000000e+01,-4.307366907596588135e-08,4.889443516731262207e-09,6.071600364521145821e-05
1.000000000000000000e+02,4.700000000000000000e+01,-4.912726581096649170e-08,6.984919309616088867e-10,6.067598587833344936e-05
1.000000000000000000e+02,4.800000000000000000e+01,2.584420144557952881e-08,1.396983861923217773e-09,6.207299884408712387e-05
1.000000000000000000e+02,4.900000000000000000e+01,-4.514004103839397430e-08,5.558831617236137390e-09,6.114901043474674225e-05
2.000000000000000000e+02,0.000000000000000000e+00,1.840817276388406754e-08,7.130438461899757385e-10,2.408040163572877645e-04
2.000000000000000000e+02,1.000000000000000000e+00,-1.032021827995777130e-07,4.016328603029251099e-09,2.936599776148796082e-04
2.000000000000000000e+02,2.000000000000000000e+00,-5.750916898250579834e-08,4.656612873077392578e-10,2.145439793821424246e-04
2.000000000000000000e+02,3.000000000000000000e+00,-2.643355401232838631e-08,1.986336428672075272e-09,3.040699812117964029e-04
2.000000000000000000e+02,4.000000000000000000e+00,-2.532033249735832214e-09,1.254375092685222626e-08,2.375699987169355154e-04
2.000000000000000000e+02,5.000000000000000000e+00,8.149072527885437012e-10,4.423782229423522949e-09,4.724729806184768677e-04
2.000000000000000000e+02,6.000000000000000000e+00,8.588540367782115936e-08,3.230525180697441101e-09,3.423400048632174730e-04
2.000000000000000000e+02,7.000000000000000000e+00,6.306800059974193573e-08,1.891748979687690735e-09,2.804659889079630375e-04
2.000000000000000000e+02,8.000000000000000000e+00,1.320295268669724464e-07,2.808519639074802399e-09,1.393669808749109507e-04
2.000000000000000000e+02,9.000000000000000000e+00,3.137029125355184078e-08,1.691660145297646523e-09,1.771280076354742050e-04
2.000000000000000000e+02,1.000000000000000000e+01,4.569301381707191467e-08,2.270098775625228882e-09,1.192009949591010809e-04
2.000000000000000000e+02,1.100000000000000000e+01,3.090826794505119324e-08,9.895302355289459229e-10,1.194679934997111559e-04
2.000000000000000000e+02,1.200000000000000000e+01,-3.293507688795216382e-08,2.899923856602981687e-09,1.193490170408040285e-04
2.000000000000000000e+02,1.300000000000000000e+01,3.488094080239534378e-08,4.365574568510055542e-11,1.194039941765367985e-04
2.000000000000000000e+02,1.400000000000000000e+01,2.675369614735245705e-08,1.884473022073507309e-09,1.811319962143898010e-04
2.000000000000000000e+02,1.500000000000000000e+01,1.939770299941301346e-08,6.257323548197746277e-10,1.197399978991597891e-04
2.000000000000000000e+02,1.600000000000000000e+01,1.442094799131155014e-08,2.080923877656459808e-09,1.200170081574469805e-04
2.000000000000000000e+02,1.700000000000000000e+01,1.469743438065052032e-08,5.849869921803474426e-09,1.194130163639783859e-04
2.000000000000000000e+02,1.800000000000000000e+01,-2.879824023693799973e-08,3.332388587296009064e-09,3.387260076124221087e-04
2.000000000000000000e+02,1.900000000000000000e+01,-4.060711944475769997e-08,9.174982551485300064e-09,5.556769901886582375e-04
2.000000000000000000e+02,2.000000000000000000e+01,4.142930265516042709e-08,7.348717190325260162e-09,4.238440014887601137e-04
2.000000000000000000e+02,2.100000000000000000e+01,-3.422610461711883545e-08,1.001171767711639404e-08,4.325289919506758451e-04
2.000000000000000000e+02,2.200000000000000000e+01,6.232994564925320446e-08,5.519268597709015012e-09,4.590800090227276087e-04
2.000000000000000000e+02,2.300000000000000000e+01,7.803464541211724281e-09,3.961758920922875404e-09,2.222509938292205334e-04
2.000000000000000000e+02,2.400000000000000000e+01,-8.320785127580165863e-08,1.542503014206886292e-09,1.191640039905905724e-04
2.000000000000000000e+02,2.500000000000000000e+01,-8.138886187225580215e-08,2.692104317247867584e-09,1.193050120491534472e-04
2.000000000000000000e+02,2.600000000000000000e+01,4.615867510437965393e-08,9.487848728895187378e-09,1.194629876408725977e-04
2.000000000000000000e+02,2.700000000000000000e+01,-1.338776201009750366e-08,2.444721758365631104e-09,1.194259966723620892e-04
2.000000000000000000e+02,2.800000000000000000e+01,2.374872565269470215e-08,1.396983861923217773e-09,1.189149916172027588e-04
2.000000000000000000e+02,2.900000000000000000e+01,2.418164513073861599e-08,4.984030965715646744e-10,1.199090038426220417e-04
2.000000000000000000e+02,3.000000000000000000e+01,-3.378954716026782990e-08,3.055902197957038879e-09,1.195929944515228271e-04
2.000000000000000000e+02,3.100000000000000000e+01,3.987224772572517395e-08,1.105945557355880737e-09,1.191619958262890577e-04
2.000000000000000000e+02,3.200000000000000000e+01,-6.033224053680896759e-08,5.791662260890007019e-09,1.196360099129378796e-04
2.000000000000000000e+02,3.300000000000000000e+01,-2.115120878443121910e-08,4.292814992368221283e-10,1.192539930343627930e-04
2.000000000000000000e+02,3.400000000000000000e+01,-6.199115887284278870e-09,2.473825588822364807e-09,1.231459900736808777e-04
2.000000000000000000e+02,3.500000000000000000e+01,7.756170816719532013e-09,4.263711161911487579e-09,1.196009980048984289e-04
2.000000000000000000e+02,3.600000000000000000e+01,-1.135049387812614441e-09,4.394678398966789246e-09,1.462439831811934710e-04
2.000000000000000000e+02,3.700000000000000000e+01,1.300941221415996552e-08,1.658918336033821106e-09,1.199039979837834835e-04
2.000000000000000000e+02,3.800000000000000000e+01,2.291926648467779160e-10,4.692992661148309708e-10,1.195399963762611151e-04
2.000000000000000000e+02,3.900000000000000000e+01,-4.432513378560543060e-08,3.346940502524375916e-09,1.197759993374347687e-04
2.000000000000000000e+02,4.000000000000000000e+01,5.110632628202438354e-08,2.095475792884826660e-09,1.192800118587911129e-04
2.000000000000000000e+02,4.100000000000000000e+01,-1.420266926288604736e-08,6.752088665962219238e-09,1.195259974338114262e-04
2.000000000000000000e+02,4.200000000000000000e+01,1.734588295221328735e-08,2.677552402019500732e-09,1.191619958262890577e-04
2.000000000000000000e+02,4.300000000000000000e+01,8.504139259457588196e-08,6.111804395914077759e-09,1.291869848500937223e-04
2.000000000000000000e+02,4.400000000000000000e+01,-1.110602170228958130e-07,4.423782229423522949e-09,1.194770156871527433e-04
2.000000000000000000e+02,4.500000000000000000e+01,6.210029823705554008e-09,3.801687853410840034e-09,1.246079918928444386e-04
2.000000000000000000e+02,4.600000000000000000e+01,-8.256756700575351715e-08,4.045432433485984802e-09,1.195819932036101818e-04
2.000000000000000000e+02,4.700000000000000000e+01,1.142598193837329745e-08,1.961780071724206209e-09,1.191850169561803341e-04
2.000000000000000000e+02,4.800000000000000000e+01,-2.141678123734891415e-08,4.194589564576745033e-09,1.193280040752142668e-04
2.000000000000000000e+02,4.900000000000000000e+01,-5.890615284442901611e-08,4.656612873077392578e-10,1.294069807045161724e-04
5.000000000000000000e+02,0.000000000000000000e+00,9.748328011482954025e-08,2.633896656334400177e-09,3.553160058800131083e-04
5.000000000000000000e+02,1.000000000000000000e+00,4.009780241176486015e-08,5.638867150992155075e-09,3.036860143765807152e-04
5.000000000000000000e+02,2.000000000000000000e+00,1.153530320152640343e-07,8.250935934484004974e-09,3.014429821632802486e-04
5.000000000000000000e+02,3.000000000000000000e+00,1.766602508723735809e-07,7.275957614183425903e-09,3.145789960399270058e-04
5.000000000000000000e+02,4.000000000000000000e+00,3.631470235632150434e-08,6.978041255933931097e-09,3.019139985553920269e-04
5.000000000000000000e+02,5.000000000000000000e+00,5.626861820928752422e-08,7.526978151872754097e-09,3.411259967833757401e-04
5.000000000000000000e+02,6.000000000000000000e+00,-7.967173587530851364e-09,1.252192305400967598e-08,3.019430150743573904e-04
5.000000000000000000e+02,7.000000000000000000e+00,-3.895547706633806229e-08,8.687493391335010529e-09,3.018440038431435823e-04
5.000000000000000000e+02,8.000000000000000000e+00,-9.462746675126254559e-08,1.298758434131741524e-09,3.019549767486751080e-04
5.000000000000000000e+02,9.000000000000000000e+00,-8.986535249277949333e-08,1.258013071492314339e-08,3.635899920482188463e-04
5.000000000000000000e+02,1.000000000000000000e+01,1.334301487077027559e-07,3.976310836151242256e-09,4.844390205107629299e-04
5.000000000000000000e+02,1.100000000000000000e+01,1.047374098561704159e-07,1.964508555829524994e-10,3.177339967805892229e-04
5.000000000000000000e+02,1.200000000000000000e+01,1.478474587202072144e-07,6.984919309616088867e-10,1.039388997014611959e-03
5.000000000000000000e+02,1.300000000000000000e+01,2.595479600131511688e-07,9.953510016202926636e-09,3.038140130229294300e-04
5.000000000000000000e+02,1.400000000000000000e+01,-8.811730367597192526e-08,8.240021998062729836e-10,3.011399821843951941e-04
5.000000000000000000e+02,1.500000000000000000e+01,-4.785943019669502974e-08,9.416908142156898975e-09,3.514699928928166628e-04
5.000000000000000000e+02,1.600000000000000000e+01,-1.605803845450282097e-07,4.583853296935558319e-09,3.162020002491772175e-04
5.000000000000000000e+02,1.700000000000000000e+01,-5.059519025962799788e-08,7.146809366531670094e-09,9.530980023555457592e-04
5.000000000000000000e+02,1.800000000000000000e+01,4.842149792239069939e-08,1.351145328953862190e-08,3.026410122402012348e-04
5.000000000000000000e+02,1.900000000000000000e+01,-7.709604687988758087e-08,2.997694537043571472e-09,3.018959832843393087e-04
5.000000000000000000e+02,2.000000000000000000e+01,6.392292561940848827e-08,9.651557775214314461e-09,3.581740020308643579e-04
5.000000000000000000e+02,2.100000000000000000e+01,-4.607136361300945282e-08,3.288732841610908508e-09,3.016039845533668995e-04
5.000000000000000000e+02,2.200000000000000000e+01,5.048786988481879234e-08,2.131855580955743790e-09,3.875270194839686155e-04
5.000000000000000000e+02,2.300000000000000000e+01,-7.798007573001086712e-08,5.336914910003542900e-09,3.268450091127306223e-04
5.000000000000000000e+02,2.400000000000000000e+01,-1.897933543659746647e-08,5.009496817365288734e-09,3.078549925703555346e-04
5.000000000000000000e+02,2.500000000000000000e+01,3.826608008239418268e-08,6.903064786456525326e-09,3.014359972439706326e-04
5.000000000000000000e+02,2.600000000000000000e+01,-9.358336683362722397e-08,1.455191522836685181e-11,3.026670019607990980e-04
5.000000000000000000e+02,2.700000000000000000e+01,-1.375155989080667496e-08,1.149601303040981293e-09,3.053370164707303047e-04
5.000000000000000000e+02,2.800000000000000000e+01,-4.498360794968903065e-09,7.292328518815338612e-09,3.021339944098144770e-04
5.000000000000000000e+02,2.900000000000000000e+01,-4.955836629960685968e-08,5.389665602706372738e-09,3.014889953192323446e-04
5.000000000000000000e+02,3.000000000000000000e+01,-2.786691766232252121e-08,2.255546860396862030e-09,3.014880057889968157e-04
5.000000000000000000e+02,3.100000000000000000e+01,-8.818460628390312195e-09,3.230525180697441101e-09,3.016260161530226469e-04
5.000000000000000000e+02,3.200000000000000000e+01,8.669667295180261135e-08,3.808963811025023460e-09,3.535540017765015364e-04
5.000000000000000000e+02,3.300000000000000000e+01,-5.829861038364470005e-09,5.811671144329011440e-09,3.025349869858473539e-04
5.000000000000000000e+02,3.400000000000000000e+01,-1.632433850318193436e-07,6.781192496418952942e-09,3.025429905392229557e-04
5.000000000000000000e+02,3.500000000000000000e+01,-9.192444849759340286e-08,8.571078069508075714e-09,3.023949975613504648e-04
5.000000000000000000e+02,3.600000000000000000e+01,1.660082489252090454e-07,6.286427378654479980e-09,3.014219983015209436e-04
5.000000000000000000e+02,3.700000000000000000e+01,1.188163878396153450e-08,6.759364623576402664e-09,3.050819796044379473e-04
