# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,6.146728992462158203e-08,5.774199962615966797e-08,6.321698310784995556e-05
1.000000000000000000e+02,1.000000000000000000e+00,3.038439899682998657e-08,2.922024577856063843e-08,6.152901914902031422e-05
1.000000000000000000e+02,2.000000000000000000e+00,4.714820533990859985e-09,2.508750185370445251e-08,6.104502244852483273e-05
1.000000000000000000e+02,3.000000000000000000e+00,-7.904600352048873901e-08,1.036096364259719849e-08,6.077397847548127174e-05
1.000000000000000000e+02,4.000000000000000000e+00,-1.513399183750152588e-09,1.513399183750152588e-09,6.970998947508633137e-05
1.000000000000000000e+02,5.000000000000000000e+00,1.498847268521785736e-09,3.130116965621709824e-08,6.268400466069579124e-05
1.000000000000000000e+02,6.000000000000000000e+00,-5.669426172971725464e-08,6.251502782106399536e-08,6.052799290046095848e-05
1.000000000000000000e+02,7.000000000000000000e+00,-5.896436050534248352e-08,2.916203811764717102e-08,6.037199636921286583e-05
1.000000000000000000e+02,8.000000000000000000e+00,-1.664739102125167847e-08,1.315493136644363403e-08,5.996899562887847424e-05
1.000000000000000000e+02,9.000000000000000000e+00,1.319131115451455116e-08,1.661101123318076134e-08,6.034699617885053158e-05
1.000000000000000000e+02,1.000000000000000000e+01,4.621688276529312134e-08,1.641456037759780884e-08,6.036297418177127838e-05
1.000000000000000000e+02,1.100000000000000000e+01,-3.050081431865692139e-08,6.984919309616088867e-10,6.015200051479041576e-05
1.000000000000000000e+02,1.200000000000000000e+01,2.361775841563940048e-08,5.342008080333471298e-08,6.100500468164682388e-05
1.000000000000000000e+02,1.300000000000000000e+01,1.018651119011337869e-08,1.018651119011337869e-08,6.044399924576282501e-05
1.000000000000000000e+02,1.400000000000000000e+01,-5.663605406880378723e-08,2.968590706586837769e-09,8.057002560235559940e-05
1.000000000000000000e+02,1.500000000000000000e+01,-6.234040483832359314e-08,6.234040483832359314e-08,6.094999844208359718e-05
1.000000000000000000e+02,1.600000000000000000e+01,2.443266566842794418e-08,3.517197910696268082e-08,6.056798156350851059e-05
1.000000000000000000e+02,1.700000000000000000e+01,-5.238689482212066650e-09,5.238689482212066650e-09,6.059798761270940304e-05
1.000000000000000000e+02,1.800000000000000000e+01,5.040783435106277466e-08,5.040783435106277466e-08,6.053599645383656025e-05
1.000000000000000000e+02,1.900000000000000000e+01,-8.993083611130714417e-09,8.993083611130714417e-09,6.103300256654620171e-05
1.000000000000000000e+02,2.000000000000000000e+01,-4.167668521404266357e-08,1.792795956134796143e-08,6.085500353947281837e-05
1.000000000000000000e+02,2.100000000000000000e+01,3.523018676787614822e-08,5.427864380180835724e-09,6.082700565457344055e-05
1.000000000000000000e+02,2.200000000000000000e+01,-2.028536982834339142e-08,2.028536982834339142e-08,6.030700751580297947e-05
1.000000000000000000e+02,2.300000000000000000e+01,-7.636117516085505486e-09,7.636117516085505486e-09,6.036899867467582226e-05
1.000000000000000000e+02,2.400000000000000000e+01,5.400215741246938705e-08,5.602487362921237946e-09,6.069199298508465290e-05
1.000000000000000000e+02,2.500000000000000000e+01,-3.208697307854890823e-09,3.208697307854890823e-09,1.000089978333562613e-04
1.000000000000000000e+02,2.600000000000000000e+01,2.255546860396862030e-09,2.255546860396862030e-09,6.096099968999624252e-05
1.000000000000000000e+02,2.700000000000000000e+01,3.296736394986510277e-08,3.296736394986510277e-08,6.067199865356087685e-05
1.000000000000000000e+02,2.800000000000000000e+01,1.259468263015151024e-08,1.259468263015151024e-08,6.054100231267511845e-05
1.000000000000000000e+02,2.900000000000000000e+01,5.157198756933212280e-08,5.157198756933212280e-08,6.048998329788446426e-05
1.000000000000000000e+02,3.000000000000000000e+01,-5.559419236078610993e-08,4.010452414604515070e-09,6.074202246963977814e-05
1.000000000000000000e+02,3.100000000000000000e+01,9.385985322296619415e-09,9.385985322296619415e-09,6.076498539187014103e-05
1.000000000000000000e+02,3.200000000000000000e+01,6.530899554491043091e-08,5.704350769519805908e-09,6.058800499886274338e-05
1.000000000000000000e+02,3.300000000000000000e+01,1.295120455324649811e-08,1.295120455324649811e-08,1.033279986586421728e-04
1.000000000000000000e+02,3.400000000000000000e+01,-6.689515430480241776e-08,6.689515430480241776e-08,6.047400529496371746e-05
1.000000000000000000e+02,3.500000000000000000e+01,3.597961040213704109e-09,5.600668373517692089e-08,6.035398109816014767e-05
1.000000000000000000e+02,3.600000000000000000e+01,4.889443516731262207e-09,2.491287887096405029e-08,6.053902325220406055e-05
1.000000000000000000e+02,3.700000000000000000e+01,-1.082662492990493774e-08,1.082662492990493774e-08,6.035101250745356083e-05
1.000000000000000000e+02,3.800000000000000000e+01,2.581509761512279510e-08,3.987224772572517395e-09,6.053299875929951668e-05
1.000000000000000000e+02,3.900000000000000000e+01,-8.927599992603063583e-09,8.927599992603063583e-09,6.076498539187014103e-05
1.000000000000000000e+02,4.000000000000000000e+01,-7.945345714688301086e-09,7.945345714688301086e-09,6.061600288376212120e-05
1.000000000000000000e+02,4.100000000000000000e+01,-2.719025360420346260e-08,2.612068783491849899e-09,6.044001202099025249e-05
1.000000000000000000e+02,4.200000000000000000e+01,1.792795956134796143e-08,4.167668521404266357e-08,6.473899702541530132e-05
1.000000000000000000e+02,4.300000000000000000e+01,2.807064447551965714e-08,1.731677912175655365e-09,6.051998934708535671e-05
1.000000000000000000e+02,4.400000000000000000e+01,-4.254980012774467468e-08,1.705484464764595032e-08,6.050401134416460991e-05
1.000000000000000000e+02,4.500000000000000000e+01,-9.400537237524986267e-09,6.900518201291561127e-08,6.075901910662651062e-05
1.000000000000000000e+02,4.600000000000000000e+01,-4.307366907596588135e-08,4.307366907596588135e-08,6.080500315874814987e-05
1.000000000000000000e+02,4.700000000000000000e+01,-4.912726581096649170e-08,1.047737896442413330e-08,6.055401172488927841e-05
1.000000000000000000e+02,4.800000000000000000e+01,2.584420144557952881e-08,2.584420144557952881e-08,6.035499973222613335e-05
1.000000000000000000e+02,4.900000000000000000e+01,-4.514004103839397430e-08,4.426692612469196320e-08,6.435299292206764221e-05
2.000000000000000000e+02,0.000000000000000000e+00,1.840817276388406754e-08,4.119647201150655746e-08,1.182600099127739668e-04
2.000000000000000000e+02,1.000000000000000000e+00,-1.032021827995777130e-07,1.600710675120353699e-08,1.230089983437210321e-04
2.000000000000000000e+02,2.000000000000000000e+00,-5.750916898250579834e-08,6.170012056827545166e-08,1.182040141429752111e-04
2.000000000000000000e+02,3.000000000000000000e+00,-2.643355401232838631e-08,2.643355401232838631e-08,1.185139990411698818e-04
2.000000000000000000e+02,4.000000000000000000e+00,-2.532033249735832214e-09,2.532033249735832214e-09,1.191690098494291306e-04
2.000000000000000000e+02,5.000000000000000000e+00,8.149072527885437012e-10,1.183943822979927063e-07,1.187820162158459425e-04
2.000000000000000000e+02,6.000000000000000000e+00,8.588540367782115936e-08,3.332388587296009064e-08,1.189300091937184334e-04
2.000000000000000000e+02,7.000000000000000000e+00,6.306800059974193573e-08,3.463355824351310730e-09,1.223790168296545744e-04
2.000000000000000000e+02,8.000000000000000000e+00,1.320295268669724464e-07,7.242488209158182144e-08,1.189260219689458609e-04
2.000000000000000000e+02,9.000000000000000000e+00,3.137029125355184078e-08,3.137029125355184078e-08,1.194850192405283451e-04
2.000000000000000000e+02,1.000000000000000000e+01,4.569301381707191467e-08,1.052976585924625397e-07,1.191079791169613600e-04
2.000000000000000000e+02,1.100000000000000000e+01,3.090826794505119324e-08,9.051291272044181824e-08,1.191330084111541510e-04
2.000000000000000000e+02,1.200000000000000000e+01,-3.293507688795216382e-08,3.293507688795216382e-08,1.190269831568002701e-04
2.000000000000000000e+02,1.300000000000000000e+01,3.488094080239534378e-08,3.488094080239534378e-08,1.226830063387751579e-04
2.000000000000000000e+02,1.400000000000000000e+01,2.675369614735245705e-08,2.675369614735245705e-08,1.192899944726377726e-04
2.000000000000000000e+02,1.500000000000000000e+01,1.939770299941301346e-08,1.939770299941301346e-08,1.190420007333159447e-04
2.000000000000000000e+02,1.600000000000000000e+01,1.442094799131155014e-08,1.442094799131155014e-08,1.190940092783421278e-04
2.000000000000000000e+02,1.700000000000000000e+01,1.469743438065052032e-08,4.490721039474010468e-08,1.192429917864501476e-04
2.000000000000000000e+02,1.800000000000000000e+01,-2.879824023693799973e-08,2.879824023693799973e-08,1.202849962282925844e-04
2.000000000000000000e+02,1.900000000000000000e+01,-4.060711944475769997e-08,4.060711944475769997e-08,1.784060150384902954e-04
2.000000000000000000e+02,2.000000000000000000e+01,4.142930265516042709e-08,1.010339474305510521e-07,1.189800095744431019e-04
