# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,6.146728992462158203e-08,1.862645149230957031e-09,8.927099406719207764e-05
1.000000000000000000e+02,1.000000000000000000e+00,3.038439899682998657e-08,2.922024577856063843e-08,6.716599455103278160e-05
1.000000000000000000e+02,2.000000000000000000e+00,4.714820533990859985e-09,2.508750185370445251e-08,6.680999649688601494e-05
1.000000000000000000e+02,3.000000000000000000e+00,-7.904600352048873901e-08,1.944135874509811401e-08,6.617599865421652794e-05
1.000000000000000000e+02,4.000000000000000000e+00,-1.513399183750152588e-09,2.828892320394515991e-08,6.571802077814936638e-05
1.000000000000000000e+02,5.000000000000000000e+00,1.498847268521785736e-09,5.810579750686883926e-08,6.742199184373021126e-05
1.000000000000000000e+02,6.000000000000000000e+00,-5.669426172971725464e-08,2.910383045673370361e-09,6.604602094739675522e-05
1.000000000000000000e+02,7.000000000000000000e+00,-5.896436050534248352e-08,6.402842700481414795e-10,7.576998905278742313e-05
1.000000000000000000e+02,8.000000000000000000e+00,-1.664739102125167847e-08,1.315493136644363403e-08,6.568498793058097363e-05
1.000000000000000000e+02,9.000000000000000000e+00,1.319131115451455116e-08,1.661101123318076134e-08,6.642300286330282688e-05
1.000000000000000000e+02,1.000000000000000000e+01,4.621688276529312134e-08,1.641456037759780884e-08,6.568699609488248825e-05
1.000000000000000000e+02,1.100000000000000000e+01,-3.050081431865692139e-08,6.984919309616088867e-10,6.610699347220361233e-05
1.000000000000000000e+02,1.200000000000000000e+01,2.361775841563940048e-08,5.342008080333471298e-08,6.641601794399321079e-05
1.000000000000000000e+02,1.300000000000000000e+01,1.018651119011337869e-08,1.961581119758193381e-08,6.645199027843773365e-05
1.000000000000000000e+02,1.400000000000000000e+01,-5.663605406880378723e-08,2.683373168110847473e-08,6.638199556618928909e-05
1.000000000000000000e+02,1.500000000000000000e+01,-6.234040483832359314e-08,6.234040483832359314e-08,6.565399235114455223e-05
1.000000000000000000e+02,1.600000000000000000e+01,2.443266566842794418e-08,2.443266566842794418e-08,7.665800512768328190e-05
1.000000000000000000e+02,1.700000000000000000e+01,-5.238689482212066650e-09,2.456363290548324585e-08,6.623801891691982746e-05
1.000000000000000000e+02,1.800000000000000000e+01,5.040783435106277466e-08,5.040783435106277466e-08,6.606199895031750202e-05
1.000000000000000000e+02,1.900000000000000000e+01,-8.993083611130714417e-09,8.993083611130714417e-09,6.606799433939158916e-05
1.000000000000000000e+02,2.000000000000000000e+01,-4.167668521404266357e-08,1.792795956134796143e-08,6.601799395866692066e-05
1.000000000000000000e+02,2.100000000000000000e+01,3.523018676787614822e-08,5.427864380180835724e-09,6.616898463107645512e-05
