# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,6.146728992462158203e-08,9.313225746154785156e-09,6.582701462320983410e-05
1.000000000000000000e+02,1.000000000000000000e+00,3.038439899682998657e-08,3.376044332981109619e-09,8.045800495892763138e-05
1.000000000000000000e+02,2.000000000000000000e+00,4.714820533990859985e-09,9.895302355289459229e-10,6.377999670803546906e-05
1.000000000000000000e+02,3.000000000000000000e+00,-7.904600352048873901e-08,6.635673344135284424e-09,6.381800631061196327e-05
1.000000000000000000e+02,4.000000000000000000e+00,-1.513399183750152588e-09,1.513399183750152588e-09,6.863698945380747318e-05
1.000000000000000000e+02,5.000000000000000000e+00,1.498847268521785736e-09,5.224137566983699799e-09,6.724501145072281361e-05
1.000000000000000000e+02,6.000000000000000000e+00,-5.669426172971725464e-08,1.047737896442413330e-09,5.934498040005564690e-05
1.000000000000000000e+02,7.000000000000000000e+00,-5.896436050534248352e-08,6.228219717741012573e-09,5.958601832389831543e-05
1.000000000000000000e+02,8.000000000000000000e+00,-1.664739102125167847e-08,1.746229827404022217e-09,6.364600267261266708e-05
1.000000000000000000e+02,9.000000000000000000e+00,1.319131115451455116e-08,1.709850039333105087e-09,5.924102151766419411e-05
1.000000000000000000e+02,1.000000000000000000e+01,4.621688276529312134e-08,2.211891114711761475e-09,5.957100074738264084e-05
1.000000000000000000e+02,1.100000000000000000e+01,-3.050081431865692139e-08,4.423782229423522949e-09,5.926098674535751343e-05
1.000000000000000000e+02,1.200000000000000000e+01,2.361775841563940048e-08,8.716597221791744232e-09,5.940900882706046104e-05
1.000000000000000000e+02,1.300000000000000000e+01,1.018651119011337869e-08,9.893597052723634988e-10,5.941299605183303356e-05
1.000000000000000000e+02,1.400000000000000000e+01,-5.663605406880378723e-08,6.693881005048751831e-09,5.937402602285146713e-05
1.000000000000000000e+02,1.500000000000000000e+01,-6.234040483832359314e-08,8.440110832452774048e-09,5.949600017629563808e-05
1.000000000000000000e+02,1.600000000000000000e+01,2.443266566842794418e-08,2.182787284255027771e-10,5.947798490524291992e-05
1.000000000000000000e+02,1.700000000000000000e+01,-5.238689482212066650e-09,5.238689482212066650e-09,5.968601908534765244e-05
1.000000000000000000e+02,1.800000000000000000e+01,5.040783435106277466e-08,1.746229827404022217e-09,5.931200576014816761e-05
1.000000000000000000e+02,1.900000000000000000e+01,-8.993083611130714417e-09,2.182787284255027771e-09,5.949000478722155094e-05
1.000000000000000000e+02,2.000000000000000000e+01,-4.167668521404266357e-08,4.423782229423522949e-09,5.939399125054478645e-05
1.000000000000000000e+02,2.100000000000000000e+01,3.523018676787614822e-08,2.022716216742992401e-09,5.935502122156322002e-05
1.000000000000000000e+02,2.200000000000000000e+01,-2.028536982834339142e-08,5.384208634495735168e-09,5.920100375078618526e-05
1.000000000000000000e+02,2.300000000000000000e+01,-7.636117516085505486e-09,7.636117516085505486e-09,5.929000326432287693e-05
1.000000000000000000e+02,2.400000000000000000e+01,5.400215741246938705e-08,5.602487362921237946e-09,9.637299808673560619e-05
1.000000000000000000e+02,2.500000000000000000e+01,-3.208697307854890823e-09,3.208697307854890823e-09,7.384302443824708462e-05
1.000000000000000000e+02,2.600000000000000000e+01,2.255546860396862030e-09,5.195033736526966095e-09,6.473300163634121418e-05
1.000000000000000000e+02,2.700000000000000000e+01,3.296736394986510277e-08,6.890331860631704330e-09,6.094900891184806824e-05
1.000000000000000000e+02,2.800000000000000000e+01,1.259468263015151024e-08,1.418811734765768051e-09,6.071600364521145821e-05
1.000000000000000000e+02,2.900000000000000000e+01,5.157198756933212280e-08,6.868503987789154053e-09,6.083899643272161484e-05
1.000000000000000000e+02,3.000000000000000000e+01,-5.559419236078610993e-08,2.851621161426010076e-10,6.094897980801761150e-05
1.000000000000000000e+02,3.100000000000000000e+01,9.385985322296619415e-09,1.935404725372791290e-09,6.088698864914476871e-05
1.000000000000000000e+02,3.200000000000000000e+01,6.530899554491043091e-08,1.746229827404022217e-09,6.079199374653398991e-05
1.000000000000000000e+02,3.300000000000000000e+01,1.295120455324649811e-08,9.400537237524986267e-09,6.086498615331947803e-05
1.000000000000000000e+02,3.400000000000000000e+01,-6.689515430480241776e-08,1.133594196289777756e-08,7.732299854978919029e-05
1.000000000000000000e+02,3.500000000000000000e+01,3.597961040213704109e-09,3.597961040213704109e-09,5.965400487184524536e-05
1.000000000000000000e+02,3.600000000000000000e+01,4.889443516731262207e-09,1.001171767711639404e-08,5.944201257079839706e-05
1.000000000000000000e+02,3.700000000000000000e+01,-1.082662492990493774e-08,3.492459654808044434e-10,5.930202314630150795e-05
1.000000000000000000e+02,3.800000000000000000e+01,2.581509761512279510e-08,1.091393642127513885e-08,5.938200047239661217e-05
1.000000000000000000e+02,3.900000000000000000e+01,-8.927599992603063583e-09,1.477019395679235458e-09,5.945097655057907104e-05
1.000000000000000000e+02,4.000000000000000000e+01,-7.945345714688301086e-09,4.947651177644729614e-10,5.913901259191334248e-05
1.000000000000000000e+02,4.100000000000000000e+01,-2.719025360420346260e-08,2.612068783491849899e-09,5.926599260419607162e-05
