# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.793967723846435547e-09,8.508801693096756935e-05
1.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,1.396983861923217773e-09,8.056199294514954090e-05
1.000000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,2.328306436538696289e-09,7.999499212019145489e-05
1.000000000000000000e+02,3.000000000000000000e+00,0.000000000000000000e+00,1.396983861923217773e-09,8.442997932434082031e-05
1.000000000000000000e+02,4.000000000000000000e+00,0.000000000000000000e+00,2.328306436538696289e-09,9.854999370872974396e-05
1.000000000000000000e+02,5.000000000000000000e+00,0.000000000000000000e+00,1.862645149230957031e-09,8.107500616461038589e-05
1.000000000000000000e+02,6.000000000000000000e+00,0.000000000000000000e+00,3.958120942115783691e-09,7.939900388009846210e-05
1.000000000000000000e+02,7.000000000000000000e+00,0.000000000000000000e+00,1.862645149230957031e-09,8.086097659543156624e-05
1.000000000000000000e+02,8.000000000000000000e+00,0.000000000000000000e+00,4.656612873077392578e-10,8.072101627476513386e-05
1.000000000000000000e+02,9.000000000000000000e+00,0.000000000000000000e+00,1.862645149230957031e-09,8.889799937605857849e-05
1.000000000000000000e+02,1.000000000000000000e+01,0.000000000000000000e+00,1.862645149230957031e-09,8.271299884654581547e-05
1.000000000000000000e+02,1.100000000000000000e+01,0.000000000000000000e+00,4.656612873077392578e-10,8.290098048746585846e-05
1.000000000000000000e+02,1.200000000000000000e+01,0.000000000000000000e+00,2.793967723846435547e-09,8.228298975154757500e-05
1.000000000000000000e+02,1.300000000000000000e+01,0.000000000000000000e+00,4.656612873077392578e-10,8.273299317806959152e-05
1.000000000000000000e+02,1.400000000000000000e+01,0.000000000000000000e+00,1.862645149230957031e-09,9.949601371772587299e-05
1.000000000000000000e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.963899406604468822e-05
1.000000000000000000e+02,1.600000000000000000e+01,0.000000000000000000e+00,1.862645149230957031e-09,8.000500383786857128e-05
1.000000000000000000e+02,1.700000000000000000e+01,0.000000000000000000e+00,4.656612873077392578e-10,1.032520085573196411e-04
1.000000000000000000e+02,1.800000000000000000e+01,0.000000000000000000e+00,4.656612873077392578e-10,8.017697837203741074e-05
