# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.960464477539062500e-08,6.344899884425103664e-05
1.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.192299770191311836e-05
1.000000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.185201345942914486e-05
1.000000000000000000e+02,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.074499106034636497e-05
1.000000000000000000e+02,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.068797665648162365e-05
1.000000000000000000e+02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.160399061627686024e-05
1.000000000000000000e+02,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.663699893280863762e-05
1.000000000000000000e+02,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.048099021427333355e-05
1.000000000000000000e+02,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.120200851000845432e-05
1.000000000000000000e+02,9.000000000000000000e+00,0.000000000000000000e+00,2.980232238769531250e-08,6.062799366191029549e-05
1.000000000000000000e+02,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.058000144548714161e-05
1.000000000000000000e+02,1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.088100003078579903e-05
1.000000000000000000e+02,1.200000000000000000e+01,0.000000000000000000e+00,5.960464477539062500e-08,5.937399691902101040e-05
1.000000000000000000e+02,1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.914201028645038605e-05
1.000000000000000000e+02,1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.900600808672606945e-05
1.000000000000000000e+02,1.500000000000000000e+01,0.000000000000000000e+00,2.980232238769531250e-08,5.913298809900879860e-05
1.000000000000000000e+02,1.600000000000000000e+01,0.000000000000000000e+00,2.980232238769531250e-08,7.542900857515633106e-05
1.000000000000000000e+02,1.700000000000000000e+01,0.000000000000000000e+00,2.980232238769531250e-08,5.917000817134976387e-05
1.000000000000000000e+02,1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.892099579796195030e-05
1.000000000000000000e+02,1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.897099617868661880e-05
1.000000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.935301305726170540e-05
1.000000000000000000e+02,2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.072298856452107430e-05
1.000000000000000000e+02,2.200000000000000000e+01,0.000000000000000000e+00,2.980232238769531250e-08,6.074699922464787960e-05
1.000000000000000000e+02,2.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.087499787099659443e-05
1.000000000000000000e+02,2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.082301842980086803e-05
1.000000000000000000e+02,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.447901250794529915e-05
1.000000000000000000e+02,2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.432900019921362400e-05
1.000000000000000000e+02,2.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.032700184732675552e-05
1.000000000000000000e+02,2.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.054100231267511845e-05
1.000000000000000000e+02,2.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.035197293385863304e-05
1.000000000000000000e+02,3.000000000000000000e+01,0.000000000000000000e+00,5.960464477539062500e-08,6.045997724868357182e-05
1.000000000000000000e+02,3.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.056801066733896732e-05
1.000000000000000000e+02,3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.033899262547492981e-05
1.000000000000000000e+02,3.300000000000000000e+01,0.000000000000000000e+00,2.980232238769531250e-08,6.092200055718421936e-05
1.000000000000000000e+02,3.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.033098907209932804e-05
1.000000000000000000e+02,3.500000000000000000e+01,0.000000000000000000e+00,5.960464477539062500e-08,9.393700747750699520e-05
1.000000000000000000e+02,3.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.082499749027192593e-05
1.000000000000000000e+02,3.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.045200279913842678e-05
1.000000000000000000e+02,3.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.039699655957520008e-05
1.000000000000000000e+02,3.900000000000000000e+01,0.000000000000000000e+00,2.980232238769531250e-08,6.043398752808570862e-05
1.000000000000000000e+02,4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.024297908879816532e-05
1.000000000000000000e+02,4.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.085701170377433300e-05
1.000000000000000000e+02,4.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.070299423299729824e-05
1.000000000000000000e+02,4.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.051998934708535671e-05
1.000000000000000000e+02,4.400000000000000000e+01,0.000000000000000000e+00,2.980232238769531250e-08,6.037802086211740971e-05
1.000000000000000000e+02,4.500000000000000000e+01,0.000000000000000000e+00,2.980232238769531250e-08,1.057019981089979410e-04
1.000000000000000000e+02,4.600000000000000000e+01,0.000000000000000000e+00,2.980232238769531250e-08,6.034498801454901695e-05
1.000000000000000000e+02,4.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.032499368302524090e-05
1.000000000000000000e+02,4.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.089999806135892868e-05
1.000000000000000000e+02,4.900000000000000000e+01,0.000000000000000000e+00,2.980232238769531250e-08,6.006899639032781124e-05
2.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.187770103570073843e-04
2.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.187739835586398840e-04
2.000000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.195520162582397461e-04
2.000000000000000000e+02,3.000000000000000000e+00,0.000000000000000000e+00,5.960464477539062500e-08,1.361299946438521147e-04
2.000000000000000000e+02,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.188880123663693666e-04
