# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.960464477539062500e-08,6.468701758421957493e-05
1.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.224800017662346363e-05
1.000000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.186598329804837704e-05
1.000000000000000000e+02,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.073199958540499210e-05
1.000000000000000000e+02,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.182398647069931030e-05
1.000000000000000000e+02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.891497807577252388e-05
1.000000000000000000e+02,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.104898056946694851e-05
1.000000000000000000e+02,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.100599421188235283e-05
1.000000000000000000e+02,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.071099778637290001e-05
1.000000000000000000e+02,9.000000000000000000e+00,0.000000000000000000e+00,2.980232238769531250e-08,6.083198240958154202e-05
1.000000000000000000e+02,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.580702029168605804e-05
1.000000000000000000e+02,1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.112901610322296619e-05
1.000000000000000000e+02,1.200000000000000000e+01,0.000000000000000000e+00,5.960464477539062500e-08,6.092400872148573399e-05
1.000000000000000000e+02,1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.553600542247295380e-05
1.000000000000000000e+02,1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.543800842948257923e-05
1.000000000000000000e+02,1.500000000000000000e+01,0.000000000000000000e+00,2.980232238769531250e-08,6.268001743592321873e-05
1.000000000000000000e+02,1.600000000000000000e+01,0.000000000000000000e+00,2.980232238769531250e-08,6.302699330262839794e-05
1.000000000000000000e+02,1.700000000000000000e+01,0.000000000000000000e+00,2.980232238769531250e-08,6.304497946985065937e-05
1.000000000000000000e+02,1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.300798850134015083e-05
1.000000000000000000e+02,1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.288901204243302345e-05
1.000000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.246898556128144264e-05
1.000000000000000000e+02,2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.242300150915980339e-05
1.000000000000000000e+02,2.200000000000000000e+01,0.000000000000000000e+00,2.980232238769531250e-08,6.289899465627968311e-05
1.000000000000000000e+02,2.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.251200102269649506e-05
1.000000000000000000e+02,2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.277702050283551216e-05
1.000000000000000000e+02,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.256799679249525070e-05
1.000000000000000000e+02,2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.241802475415170193e-05
1.000000000000000000e+02,2.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.254701293073594570e-05
1.000000000000000000e+02,2.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.376198143698275089e-05
1.000000000000000000e+02,2.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.243301322683691978e-05
1.000000000000000000e+02,3.000000000000000000e+01,0.000000000000000000e+00,5.960464477539062500e-08,6.225000834092497826e-05
1.000000000000000000e+02,3.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.243100506253540516e-05
1.000000000000000000e+02,3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.257399218156933784e-05
1.000000000000000000e+02,3.300000000000000000e+01,0.000000000000000000e+00,2.980232238769531250e-08,6.222800584509968758e-05
1.000000000000000000e+02,3.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.244899122975766659e-05
1.000000000000000000e+02,3.500000000000000000e+01,0.000000000000000000e+00,5.960464477539062500e-08,6.684198160655796528e-05
1.000000000000000000e+02,3.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.222000229172408581e-05
1.000000000000000000e+02,3.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.271598977036774158e-05
1.000000000000000000e+02,3.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.238700007088482380e-05
1.000000000000000000e+02,3.900000000000000000e+01,0.000000000000000000e+00,2.980232238769531250e-08,6.732999463565647602e-05
1.000000000000000000e+02,4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.694201147183775902e-05
1.000000000000000000e+02,4.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.217299960553646088e-05
1.000000000000000000e+02,4.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.272099562920629978e-05
1.000000000000000000e+02,4.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.258898065425455570e-05
1.000000000000000000e+02,4.400000000000000000e+01,0.000000000000000000e+00,2.980232238769531250e-08,6.238499190658330917e-05
1.000000000000000000e+02,4.500000000000000000e+01,0.000000000000000000e+00,2.980232238769531250e-08,6.253499304875731468e-05
1.000000000000000000e+02,4.600000000000000000e+01,0.000000000000000000e+00,2.980232238769531250e-08,6.270600715652108192e-05
1.000000000000000000e+02,4.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.263999966904520988e-05
1.000000000000000000e+02,4.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.297300569713115692e-05
1.000000000000000000e+02,4.900000000000000000e+01,0.000000000000000000e+00,2.980232238769531250e-08,6.628298433497548103e-05
2.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.319319999311119318e-04
2.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.227490138262510300e-04
2.000000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.378660090267658234e-04
2.000000000000000000e+02,3.000000000000000000e+00,0.000000000000000000e+00,5.960464477539062500e-08,1.263619924429804087e-04
2.000000000000000000e+02,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.262779987882822752e-04
2.000000000000000000e+02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.258980191778391600e-04
2.000000000000000000e+02,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.321700110565871000e-04
2.000000000000000000e+02,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.259279961232095957e-04
2.000000000000000000e+02,8.000000000000000000e+00,0.000000000000000000e+00,1.192092895507812500e-07,1.256349787581712008e-04
2.000000000000000000e+02,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.270829816348850727e-04
2.000000000000000000e+02,1.000000000000000000e+01,0.000000000000000000e+00,5.960464477539062500e-08,1.256129762623459101e-04
2.000000000000000000e+02,1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.255529932677745819e-04
2.000000000000000000e+02,1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.485320099163800478e-04
2.000000000000000000e+02,1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.688560005277395248e-04
2.000000000000000000e+02,1.400000000000000000e+01,0.000000000000000000e+00,5.960464477539062500e-08,1.227739849127829075e-04
2.000000000000000000e+02,1.500000000000000000e+01,0.000000000000000000e+00,5.960464477539062500e-08,1.225970045197755098e-04
2.000000000000000000e+02,1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.226569875143468380e-04
2.000000000000000000e+02,1.700000000000000000e+01,0.000000000000000000e+00,5.960464477539062500e-08,1.290460058953613043e-04
2.000000000000000000e+02,1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.593590131960809231e-04
2.000000000000000000e+02,1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.379669993184506893e-04
2.000000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.258219999726861715e-04
2.000000000000000000e+02,2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.339369919151067734e-04
2.000000000000000000e+02,2.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.258169941138476133e-04
2.000000000000000000e+02,2.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.257120165973901749e-04
2.000000000000000000e+02,2.400000000000000000e+01,0.000000000000000000e+00,5.960464477539062500e-08,1.250960049219429493e-04
2.000000000000000000e+02,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.255400129593908787e-04
2.000000000000000000e+02,2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.261809957213699818e-04
2.000000000000000000e+02,2.700000000000000000e+01,0.000000000000000000e+00,5.960464477539062500e-08,2.162090095225721598e-04
2.000000000000000000e+02,2.800000000000000000e+01,0.000000000000000000e+00,1.192092895507812500e-07,1.266659819521009922e-04
2.000000000000000000e+02,2.900000000000000000e+01,0.000000000000000000e+00,5.960464477539062500e-08,1.254629751201719046e-04
2.000000000000000000e+02,3.000000000000000000e+01,0.000000000000000000e+00,5.960464477539062500e-08,1.365880016237497330e-04
2.000000000000000000e+02,3.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.252549991477280855e-04
2.000000000000000000e+02,3.200000000000000000e+01,0.000000000000000000e+00,1.192092895507812500e-07,1.257219992112368345e-04
2.000000000000000000e+02,3.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.415949955116957426e-04
2.000000000000000000e+02,3.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.616119989193975925e-04
2.000000000000000000e+02,3.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.243149887770414352e-04
2.000000000000000000e+02,3.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.795580076053738594e-04
2.000000000000000000e+02,3.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.360619789920747280e-04
2.000000000000000000e+02,3.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.261190045624971390e-04
2.000000000000000000e+02,3.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.259010168723762035e-04
2.000000000000000000e+02,4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.356480061076581478e-04
2.000000000000000000e+02,4.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.348980003967881203e-04
2.000000000000000000e+02,4.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.258599804714322090e-04
2.000000000000000000e+02,4.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.224520092364400625e-04
2.000000000000000000e+02,4.400000000000000000e+01,0.000000000000000000e+00,1.192092895507812500e-07,1.222889986820518970e-04
2.000000000000000000e+02,4.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.224679872393608093e-04
2.000000000000000000e+02,4.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.325060147792100906e-04
2.000000000000000000e+02,4.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.295419933740049601e-04
2.000000000000000000e+02,4.800000000000000000e+01,0.000000000000000000e+00,5.960464477539062500e-08,1.227699976880103350e-04
2.000000000000000000e+02,4.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.225059968419373035e-04
5.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.092279948759824038e-04
5.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,2.384185791015625000e-07,3.712069883476942778e-04
5.000000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.161419881507754326e-04
5.000000000000000000e+02,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.237889904994517565e-04
5.000000000000000000e+02,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.166740061715245247e-04
5.000000000000000000e+02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.161560161970555782e-04
5.000000000000000000e+02,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.229720168747007847e-04
5.000000000000000000e+02,7.000000000000000000e+00,0.000000000000000000e+00,2.384185791015625000e-07,3.161509812343865633e-04
5.000000000000000000e+02,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.159090119879692793e-04
5.000000000000000000e+02,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.165579983033239841e-04
5.000000000000000000e+02,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.154430014546960592e-04
5.000000000000000000e+02,1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.223069943487644196e-04
5.000000000000000000e+02,1.200000000000000000e+01,0.000000000000000000e+00,2.384185791015625000e-07,3.168509865645319223e-04
5.000000000000000000e+02,1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.158760082442313433e-04
5.000000000000000000e+02,1.400000000000000000e+01,0.000000000000000000e+00,2.384185791015625000e-07,3.223450039513409138e-04
5.000000000000000000e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.169449919369071722e-04
5.000000000000000000e+02,1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.784970031119883060e-04
5.000000000000000000e+02,1.700000000000000000e+01,0.000000000000000000e+00,2.384185791015625000e-07,4.936190089210867882e-04
