# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.394300726242363453e-05
1.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,7.450580596923828125e-09,7.109800935722887516e-05
1.000000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.199098424986004829e-05
1.000000000000000000e+02,3.000000000000000000e+00,0.000000000000000000e+00,1.862645149230957031e-09,6.128801032900810242e-05
1.000000000000000000e+02,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.072601536288857460e-05
1.000000000000000000e+02,5.000000000000000000e+00,0.000000000000000000e+00,7.450580596923828125e-09,6.179901538416743279e-05
1.000000000000000000e+02,6.000000000000000000e+00,0.000000000000000000e+00,1.117587089538574219e-08,6.208501872606575489e-05
1.000000000000000000e+02,7.000000000000000000e+00,0.000000000000000000e+00,1.117587089538574219e-08,6.091600516811013222e-05
1.000000000000000000e+02,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.080398452468216419e-05
1.000000000000000000e+02,9.000000000000000000e+00,0.000000000000000000e+00,7.450580596923828125e-09,6.107499939389526844e-05
1.000000000000000000e+02,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.097700679674744606e-05
1.000000000000000000e+02,1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.013099972624331713e-04
1.000000000000000000e+02,1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.064600893296301365e-05
1.000000000000000000e+02,1.300000000000000000e+01,0.000000000000000000e+00,1.117587089538574219e-08,6.072301766835153103e-05
1.000000000000000000e+02,1.400000000000000000e+01,0.000000000000000000e+00,7.450580596923828125e-09,6.532797124236822128e-05
1.000000000000000000e+02,1.500000000000000000e+01,0.000000000000000000e+00,7.450580596923828125e-09,6.114999996498227119e-05
1.000000000000000000e+02,1.600000000000000000e+01,0.000000000000000000e+00,3.725290298461914062e-09,6.082898471504449844e-05
1.000000000000000000e+02,1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.060599116608500481e-05
1.000000000000000000e+02,1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.070599192753434181e-05
1.000000000000000000e+02,1.900000000000000000e+01,0.000000000000000000e+00,1.862645149230957031e-09,6.542899063788354397e-05
1.000000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,7.450580596923828125e-09,1.998720108531415462e-04
1.000000000000000000e+02,2.100000000000000000e+01,0.000000000000000000e+00,7.450580596923828125e-09,6.288598524406552315e-05
1.000000000000000000e+02,2.200000000000000000e+01,0.000000000000000000e+00,1.490116119384765625e-08,6.231502629816532135e-05
1.000000000000000000e+02,2.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.271598977036774158e-05
1.000000000000000000e+02,2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.249902071431279182e-05
1.000000000000000000e+02,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.291098543442785740e-05
1.000000000000000000e+02,2.600000000000000000e+01,0.000000000000000000e+00,7.450580596923828125e-09,6.235198816284537315e-05
1.000000000000000000e+02,2.700000000000000000e+01,0.000000000000000000e+00,1.490116119384765625e-08,6.247000419534742832e-05
1.000000000000000000e+02,2.800000000000000000e+01,0.000000000000000000e+00,1.117587089538574219e-08,1.849480031523853540e-04
1.000000000000000000e+02,2.900000000000000000e+01,0.000000000000000000e+00,7.450580596923828125e-09,6.074699922464787960e-05
1.000000000000000000e+02,3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.105500506237149239e-05
1.000000000000000000e+02,3.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.062898319214582443e-05
1.000000000000000000e+02,3.200000000000000000e+01,0.000000000000000000e+00,3.725290298461914062e-09,6.073000258766114712e-05
1.000000000000000000e+02,3.300000000000000000e+01,0.000000000000000000e+00,1.117587089538574219e-08,6.087397923693060875e-05
1.000000000000000000e+02,3.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.114898133091628551e-05
1.000000000000000000e+02,3.500000000000000000e+01,0.000000000000000000e+00,3.725290298461914062e-09,6.067901267670094967e-05
1.000000000000000000e+02,3.600000000000000000e+01,0.000000000000000000e+00,3.725290298461914062e-09,6.086399662308394909e-05
1.000000000000000000e+02,3.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.558999302797019482e-05
1.000000000000000000e+02,3.800000000000000000e+01,0.000000000000000000e+00,7.450580596923828125e-09,1.005969825200736523e-04
1.000000000000000000e+02,3.900000000000000000e+01,0.000000000000000000e+00,9.313225746154785156e-10,6.094499258324503899e-05
1.000000000000000000e+02,4.000000000000000000e+01,0.000000000000000000e+00,3.725290298461914062e-09,6.072799442335963249e-05
1.000000000000000000e+02,4.100000000000000000e+01,0.000000000000000000e+00,7.450580596923828125e-09,8.371399599127471447e-05
1.000000000000000000e+02,4.200000000000000000e+01,0.000000000000000000e+00,2.980232238769531250e-08,6.547299562953412533e-05
1.000000000000000000e+02,4.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.550200098194181919e-05
1.000000000000000000e+02,4.400000000000000000e+01,0.000000000000000000e+00,3.725290298461914062e-09,6.528000812977552414e-05
1.000000000000000000e+02,4.500000000000000000e+01,0.000000000000000000e+00,5.587935447692871094e-09,6.155500886961817741e-05
1.000000000000000000e+02,4.600000000000000000e+01,0.000000000000000000e+00,3.725290298461914062e-09,6.089598173275589943e-05
1.000000000000000000e+02,4.700000000000000000e+01,0.000000000000000000e+00,1.490116119384765625e-08,1.208329922519624233e-04
1.000000000000000000e+02,4.800000000000000000e+01,0.000000000000000000e+00,7.450580596923828125e-09,6.114901043474674225e-05
1.000000000000000000e+02,4.900000000000000000e+01,0.000000000000000000e+00,3.725290298461914062e-09,6.460997974500060081e-05
2.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.117587089538574219e-08,1.194939832203090191e-04
2.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,1.490116119384765625e-08,1.193129864986985922e-04
2.000000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,7.450580596923828125e-09,1.192740164697170258e-04
