# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,1.436801617529630560e+17,1.600000000000000000e+01,6.446801126003265381e-05
1.000000000000000000e+02,1.000000000000000000e+00,3.485786052982228400e+16,0.000000000000000000e+00,1.917920017149299383e-04
1.000000000000000000e+02,2.000000000000000000e+00,9.283393543295738000e+15,0.000000000000000000e+00,6.247498095035552979e-05
1.000000000000000000e+02,3.000000000000000000e+00,7.754763181983553536e+18,0.000000000000000000e+00,6.140099139884114265e-05
1.000000000000000000e+02,4.000000000000000000e+00,-1.696953319656212275e+19,0.000000000000000000e+00,6.155899609439074993e-05
1.000000000000000000e+02,5.000000000000000000e+00,3.396715341083664384e+18,0.000000000000000000e+00,6.214101449586451054e-05
1.000000000000000000e+02,6.000000000000000000e+00,1.141500947011899802e+19,0.000000000000000000e+00,6.615597521886229515e-05
1.000000000000000000e+02,7.000000000000000000e+00,6.473215499982864800e+16,0.000000000000000000e+00,8.161700679920613766e-05
1.000000000000000000e+02,8.000000000000000000e+00,1.392733188930961600e+17,0.000000000000000000e+00,6.123600178398191929e-05
1.000000000000000000e+02,9.000000000000000000e+00,-6.616273326038612992e+18,1.024000000000000000e+03,6.913999095559120178e-05
1.000000000000000000e+02,1.000000000000000000e+01,1.687991304100623616e+18,0.000000000000000000e+00,8.381699444726109505e-05
1.000000000000000000e+02,1.100000000000000000e+01,5.207157869179537408e+18,1.024000000000000000e+03,6.144997314549982548e-05
1.000000000000000000e+02,1.200000000000000000e+01,5.182324802168692480e+17,0.000000000000000000e+00,7.898200419731438160e-05
1.000000000000000000e+02,1.300000000000000000e+01,1.776353912580294451e+19,2.048000000000000000e+03,6.145099177956581116e-05
1.000000000000000000e+02,1.400000000000000000e+01,-1.300871445649094656e+19,0.000000000000000000e+00,6.735901115462183952e-05
1.000000000000000000e+02,1.500000000000000000e+01,2.208512637043944448e+18,2.560000000000000000e+02,6.129199755378067493e-05
1.000000000000000000e+02,1.600000000000000000e+01,6.798121549735666688e+18,1.024000000000000000e+03,6.119598401710391045e-05
1.000000000000000000e+02,1.700000000000000000e+01,-9.234450098411997184e+18,0.000000000000000000e+00,6.139499600976705551e-05
1.000000000000000000e+02,1.800000000000000000e+01,8.612483461007268864e+18,0.000000000000000000e+00,6.120899342931807041e-05
1.000000000000000000e+02,1.900000000000000000e+01,5.769634004789411840e+18,1.024000000000000000e+03,6.563399801962077618e-05
1.000000000000000000e+02,2.000000000000000000e+01,5.094653230049203840e+17,0.000000000000000000e+00,6.576601299457252026e-05
1.000000000000000000e+02,2.100000000000000000e+01,-1.062003113499361485e+19,2.048000000000000000e+03,6.589599070139229298e-05
1.000000000000000000e+02,2.200000000000000000e+01,6.836724908341138432e+18,0.000000000000000000e+00,6.595300510525703430e-05
1.000000000000000000e+02,2.300000000000000000e+01,-1.525857884318773453e+19,2.048000000000000000e+03,6.617599865421652794e-05
1.000000000000000000e+02,2.400000000000000000e+01,1.133168828244550560e+17,1.600000000000000000e+01,6.141202175058424473e-05
1.000000000000000000e+02,2.500000000000000000e+01,2.989371462635728000e+17,0.000000000000000000e+00,6.156999734230339527e-05
1.000000000000000000e+02,2.600000000000000000e+01,2.117343590316254720e+17,0.000000000000000000e+00,6.571199628524482250e-05
1.000000000000000000e+02,2.700000000000000000e+01,1.093917395906412339e+19,0.000000000000000000e+00,6.082697655074298382e-05
1.000000000000000000e+02,2.800000000000000000e+01,2.835493790388858368e+18,0.000000000000000000e+00,6.131400004960596561e-05
1.000000000000000000e+02,2.900000000000000000e+01,-6.498928146929266688e+18,1.024000000000000000e+03,6.116699660196900368e-05
1.000000000000000000e+02,3.000000000000000000e+01,3.676949500193540096e+18,5.120000000000000000e+02,6.086300709284842014e-05
1.000000000000000000e+02,3.100000000000000000e+01,1.426850262619722496e+18,2.560000000000000000e+02,1.001439813990145922e-04
1.000000000000000000e+02,3.200000000000000000e+01,1.366918982197706957e+19,0.000000000000000000e+00,6.604701047763228416e-05
1.000000000000000000e+02,3.300000000000000000e+01,-1.746932308309775360e+18,0.000000000000000000e+00,6.135000148788094521e-05
1.000000000000000000e+02,3.400000000000000000e+01,2.575956869966893056e+18,5.120000000000000000e+02,6.155701703391969204e-05
1.000000000000000000e+02,3.500000000000000000e+01,-1.174297177691290214e+19,0.000000000000000000e+00,6.111597758717834949e-05
1.000000000000000000e+02,3.600000000000000000e+01,-9.473801594198939648e+18,2.048000000000000000e+03,6.165998638607561588e-05
1.000000000000000000e+02,3.700000000000000000e+01,5.260099926941820928e+18,0.000000000000000000e+00,6.601601489819586277e-05
1.000000000000000000e+02,3.800000000000000000e+01,1.376687486533856256e+19,0.000000000000000000e+00,6.600801134482026100e-05
1.000000000000000000e+02,3.900000000000000000e+01,4.287680135397499520e+17,6.400000000000000000e+01,1.342440082225948572e-04
1.000000000000000000e+02,4.000000000000000000e+01,-1.702198478597029069e+19,2.048000000000000000e+03,6.120899342931807041e-05
1.000000000000000000e+02,4.100000000000000000e+01,-2.975060926353152819e+19,0.000000000000000000e+00,6.154397851787507534e-05
1.000000000000000000e+02,4.200000000000000000e+01,1.549108046284176589e+19,0.000000000000000000e+00,6.159898475743830204e-05
1.000000000000000000e+02,4.300000000000000000e+01,8.460692702059624000e+16,0.000000000000000000e+00,6.143900100141763687e-05
1.000000000000000000e+02,4.400000000000000000e+01,1.681128161796410880e+18,2.560000000000000000e+02,6.106699584051966667e-05
1.000000000000000000e+02,4.500000000000000000e+01,8.534980303933027328e+18,0.000000000000000000e+00,6.096900324337184429e-05
1.000000000000000000e+02,4.600000000000000000e+01,-1.656036208789614387e+19,2.048000000000000000e+03,6.106100045144557953e-05
1.000000000000000000e+02,4.700000000000000000e+01,9.052409319439964160e+17,1.280000000000000000e+02,7.994499173946678638e-05
1.000000000000000000e+02,4.800000000000000000e+01,-1.834475642829806720e+17,2.240000000000000000e+02,6.144799408502876759e-05
1.000000000000000000e+02,4.900000000000000000e+01,-1.929613659577270272e+19,4.096000000000000000e+03,6.035299156792461872e-05
2.000000000000000000e+02,0.000000000000000000e+00,7.020415269959422400e+16,8.000000000000000000e+00,1.190479961223900318e-04
2.000000000000000000e+02,1.000000000000000000e+00,1.510099938747019264e+19,0.000000000000000000e+00,1.191040209960192442e-04
2.000000000000000000e+02,2.000000000000000000e+00,1.144995775138385920e+19,0.000000000000000000e+00,1.190360053442418575e-04
2.000000000000000000e+02,3.000000000000000000e+00,6.152494552043504640e+18,0.000000000000000000e+00,1.826260122470557690e-04
2.000000000000000000e+02,4.000000000000000000e+00,-2.893887471873401651e+19,0.000000000000000000e+00,1.193580101244151592e-04
2.000000000000000000e+02,5.000000000000000000e+00,1.028990990542543667e+19,0.000000000000000000e+00,1.195579825434833765e-04
2.000000000000000000e+02,6.000000000000000000e+00,4.397124917475326464e+18,5.120000000000000000e+02,1.199959951918572187e-04
2.000000000000000000e+02,7.000000000000000000e+00,1.135778547967046451e+19,0.000000000000000000e+00,1.192350173369050026e-04
2.000000000000000000e+02,8.000000000000000000e+00,-5.961318343965599744e+18,1.024000000000000000e+03,2.289809926878660917e-04
2.000000000000000000e+02,9.000000000000000000e+00,-8.134500841397450752e+18,1.024000000000000000e+03,1.199249818455427885e-04
2.000000000000000000e+02,1.000000000000000000e+01,-6.505313900547742720e+18,1.024000000000000000e+03,1.197259989567101002e-04
2.000000000000000000e+02,1.100000000000000000e+01,-2.656739727995482112e+18,5.120000000000000000e+02,1.211510098073631525e-04
2.000000000000000000e+02,1.200000000000000000e+01,-9.925337325195393024e+18,2.048000000000000000e+03,1.192959898617118597e-04
2.000000000000000000e+02,1.300000000000000000e+01,1.289540151402174259e+19,2.048000000000000000e+03,2.306030073668807745e-04
2.000000000000000000e+02,1.400000000000000000e+01,5.215770712438395904e+18,1.024000000000000000e+03,1.197050150949507952e-04
2.000000000000000000e+02,1.500000000000000000e+01,7.302753146797126656e+18,0.000000000000000000e+00,1.198179961647838354e-04
2.000000000000000000e+02,1.600000000000000000e+01,1.298055910475286323e+19,0.000000000000000000e+00,1.192349882330745459e-04
2.000000000000000000e+02,1.700000000000000000e+01,1.383646192713940224e+18,2.560000000000000000e+02,3.273409965913742781e-04
2.000000000000000000e+02,1.800000000000000000e+01,2.043719800101307187e+19,0.000000000000000000e+00,1.192449999507516623e-04
2.000000000000000000e+02,1.900000000000000000e+01,7.397228954197113856e+18,1.024000000000000000e+03,1.192369963973760605e-04
2.000000000000000000e+02,2.000000000000000000e+01,1.258033502413227827e+19,2.048000000000000000e+03,1.189549802802503109e-04
2.000000000000000000e+02,2.100000000000000000e+01,-1.574044845238576947e+19,4.096000000000000000e+03,2.548239717725664377e-04
2.000000000000000000e+02,2.200000000000000000e+01,-2.787595954813600973e+19,8.192000000000000000e+03,1.332800020463764668e-04
2.000000000000000000e+02,2.300000000000000000e+01,2.243107159014565888e+19,0.000000000000000000e+00,1.193000061903148890e-04
2.000000000000000000e+02,2.400000000000000000e+01,5.587522492465684480e+18,0.000000000000000000e+00,1.185610017273575068e-04
2.000000000000000000e+02,2.500000000000000000e+01,1.522241867533160243e+19,0.000000000000000000e+00,1.259940036106854677e-04
2.000000000000000000e+02,2.600000000000000000e+01,1.877381873544347648e+19,0.000000000000000000e+00,1.192119962070137262e-04
2.000000000000000000e+02,2.700000000000000000e+01,8.612383489542658048e+18,1.024000000000000000e+03,1.388690143357962370e-04
2.000000000000000000e+02,2.800000000000000000e+01,5.212100268851096960e+17,0.000000000000000000e+00,1.197340025100857019e-04
2.000000000000000000e+02,2.900000000000000000e+01,-2.480530019628632883e+19,0.000000000000000000e+00,1.191849878523498774e-04
2.000000000000000000e+02,3.000000000000000000e+01,8.747073182428518400e+18,0.000000000000000000e+00,1.890250132419168949e-04
2.000000000000000000e+02,3.100000000000000000e+01,1.456381894583445709e+19,2.048000000000000000e+03,2.841330133378505707e-04
2.000000000000000000e+02,3.200000000000000000e+01,-8.062650717867746304e+18,1.024000000000000000e+03,1.434870064258575439e-04
2.000000000000000000e+02,3.300000000000000000e+01,8.646646933173064960e+17,0.000000000000000000e+00,1.192879863083362579e-04
2.000000000000000000e+02,3.400000000000000000e+01,1.065578459483188224e+19,2.048000000000000000e+03,1.289600040763616562e-04
2.000000000000000000e+02,3.500000000000000000e+01,1.791984592928123085e+19,0.000000000000000000e+00,1.192339987028390169e-04
2.000000000000000000e+02,3.600000000000000000e+01,1.083882170380412518e+19,0.000000000000000000e+00,1.193000061903148890e-04
2.000000000000000000e+02,3.700000000000000000e+01,2.032041310835825869e+19,0.000000000000000000e+00,1.200349943246692419e-04
2.000000000000000000e+02,3.800000000000000000e+01,6.443017142651308032e+18,0.000000000000000000e+00,1.194430224131792784e-04
2.000000000000000000e+02,3.900000000000000000e+01,1.189651746425776538e+19,2.048000000000000000e+03,1.299530267715454102e-04
2.000000000000000000e+02,4.000000000000000000e+01,1.249225017312846438e+19,0.000000000000000000e+00,1.193060015793889761e-04
2.000000000000000000e+02,4.100000000000000000e+01,2.118039297678518272e+18,2.560000000000000000e+02,1.228860055562108755e-04
2.000000000000000000e+02,4.200000000000000000e+01,-8.938862896615656448e+18,1.024000000000000000e+03,1.351110113319009542e-04
