# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,1.436801617529630560e+17,0.000000000000000000e+00,7.850301335565745831e-05
1.000000000000000000e+02,1.000000000000000000e+00,3.485786052982228400e+16,0.000000000000000000e+00,6.749501335434615612e-05
1.000000000000000000e+02,2.000000000000000000e+00,9.283393543295738000e+15,0.000000000000000000e+00,6.693301838822662830e-05
1.000000000000000000e+02,3.000000000000000000e+00,7.754763181983553536e+18,0.000000000000000000e+00,6.649701390415430069e-05
1.000000000000000000e+02,4.000000000000000000e+00,-1.696953319656212275e+19,0.000000000000000000e+00,7.368798833340406418e-05
1.000000000000000000e+02,5.000000000000000000e+00,3.396715341083664384e+18,5.120000000000000000e+02,6.719399243593215942e-05
1.000000000000000000e+02,6.000000000000000000e+00,1.141500947011899802e+19,2.048000000000000000e+03,6.622800719924271107e-05
1.000000000000000000e+02,7.000000000000000000e+00,6.473215499982864800e+16,0.000000000000000000e+00,6.652300362475216389e-05
1.000000000000000000e+02,8.000000000000000000e+00,1.392733188930961600e+17,0.000000000000000000e+00,6.627102266065776348e-05
1.000000000000000000e+02,9.000000000000000000e+00,-6.616273326038612992e+18,1.024000000000000000e+03,6.603400106541812420e-05
1.000000000000000000e+02,1.000000000000000000e+01,1.687991304100623616e+18,2.560000000000000000e+02,6.593801663257181644e-05
1.000000000000000000e+02,1.100000000000000000e+01,5.207157869179537408e+18,1.024000000000000000e+03,6.582599598914384842e-05
1.000000000000000000e+02,1.200000000000000000e+01,5.182324802168692480e+17,6.400000000000000000e+01,6.590300472453236580e-05
1.000000000000000000e+02,1.300000000000000000e+01,1.776353912580294451e+19,2.048000000000000000e+03,8.033402264118194580e-05
1.000000000000000000e+02,1.400000000000000000e+01,-1.300871445649094656e+19,0.000000000000000000e+00,6.600198685191571712e-05
1.000000000000000000e+02,1.500000000000000000e+01,2.208512637043944448e+18,0.000000000000000000e+00,6.625900277867913246e-05
1.000000000000000000e+02,1.600000000000000000e+01,6.798121549735666688e+18,0.000000000000000000e+00,6.613298319280147552e-05
1.000000000000000000e+02,1.700000000000000000e+01,-9.234450098411997184e+18,0.000000000000000000e+00,6.610198761336505413e-05
1.000000000000000000e+02,1.800000000000000000e+01,8.612483461007268864e+18,0.000000000000000000e+00,6.637797923758625984e-05
1.000000000000000000e+02,1.900000000000000000e+01,5.769634004789411840e+18,1.024000000000000000e+03,6.585899973288178444e-05
1.000000000000000000e+02,2.000000000000000000e+01,5.094653230049203840e+17,0.000000000000000000e+00,6.582500645890831947e-05
1.000000000000000000e+02,2.100000000000000000e+01,-1.062003113499361485e+19,0.000000000000000000e+00,6.589299300685524940e-05
1.000000000000000000e+02,2.200000000000000000e+01,6.836724908341138432e+18,0.000000000000000000e+00,7.076299516484141350e-05
1.000000000000000000e+02,2.300000000000000000e+01,-1.525857884318773453e+19,0.000000000000000000e+00,6.609098636545240879e-05
1.000000000000000000e+02,2.400000000000000000e+01,1.133168828244550560e+17,0.000000000000000000e+00,6.614101585000753403e-05
1.000000000000000000e+02,2.500000000000000000e+01,2.989371462635728000e+17,0.000000000000000000e+00,6.620501517318189144e-05
1.000000000000000000e+02,2.600000000000000000e+01,2.117343590316254720e+17,0.000000000000000000e+00,6.597500760108232498e-05
1.000000000000000000e+02,2.700000000000000000e+01,1.093917395906412339e+19,2.048000000000000000e+03,6.643601227551698685e-05
1.000000000000000000e+02,2.800000000000000000e+01,2.835493790388858368e+18,5.120000000000000000e+02,6.602899520657956600e-05
1.000000000000000000e+02,2.900000000000000000e+01,-6.498928146929266688e+18,0.000000000000000000e+00,6.642201333306729794e-05
1.000000000000000000e+02,3.000000000000000000e+01,3.676949500193540096e+18,0.000000000000000000e+00,6.608900730498135090e-05
1.000000000000000000e+02,3.100000000000000000e+01,1.426850262619722496e+18,0.000000000000000000e+00,7.079698843881487846e-05
1.000000000000000000e+02,3.200000000000000000e+01,1.366918982197706957e+19,0.000000000000000000e+00,6.612599827349185944e-05
1.000000000000000000e+02,3.300000000000000000e+01,-1.746932308309775360e+18,1.024000000000000000e+03,6.591100827790796757e-05
1.000000000000000000e+02,3.400000000000000000e+01,2.575956869966893056e+18,5.120000000000000000e+02,6.606100942008197308e-05
1.000000000000000000e+02,3.500000000000000000e+01,-1.174297177691290214e+19,0.000000000000000000e+00,6.611901335418224335e-05
