# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,1.436801617529630560e+17,1.600000000000000000e+01,6.637300248257815838e-05
1.000000000000000000e+02,1.000000000000000000e+00,3.485786052982228400e+16,0.000000000000000000e+00,6.420401041395962238e-05
1.000000000000000000e+02,2.000000000000000000e+00,9.283393543295738000e+15,0.000000000000000000e+00,6.903000758029520512e-05
1.000000000000000000e+02,3.000000000000000000e+00,7.754763181983553536e+18,0.000000000000000000e+00,6.340901018120348454e-05
1.000000000000000000e+02,4.000000000000000000e+00,-1.696953319656212275e+19,0.000000000000000000e+00,6.293700425885617733e-05
1.000000000000000000e+02,5.000000000000000000e+00,3.396715341083664384e+18,0.000000000000000000e+00,6.878099520690739155e-05
1.000000000000000000e+02,6.000000000000000000e+00,1.141500947011899802e+19,0.000000000000000000e+00,6.334000499919056892e-05
1.000000000000000000e+02,7.000000000000000000e+00,6.473215499982864800e+16,0.000000000000000000e+00,6.352699710987508297e-05
1.000000000000000000e+02,8.000000000000000000e+00,1.392733188930961600e+17,0.000000000000000000e+00,6.306500290520489216e-05
1.000000000000000000e+02,9.000000000000000000e+00,-6.616273326038612992e+18,3.072000000000000000e+03,6.283901166170835495e-05
1.000000000000000000e+02,1.000000000000000000e+01,1.687991304100623616e+18,0.000000000000000000e+00,6.318700616247951984e-05
1.000000000000000000e+02,1.100000000000000000e+01,5.207157869179537408e+18,1.024000000000000000e+03,6.284099072217941284e-05
1.000000000000000000e+02,1.200000000000000000e+01,5.182324802168692480e+17,0.000000000000000000e+00,6.342399865388870239e-05
1.000000000000000000e+02,1.300000000000000000e+01,1.776353912580294451e+19,2.048000000000000000e+03,6.306200521066784859e-05
1.000000000000000000e+02,1.400000000000000000e+01,-1.300871445649094656e+19,0.000000000000000000e+00,8.577699190936982632e-05
1.000000000000000000e+02,1.500000000000000000e+01,2.208512637043944448e+18,2.560000000000000000e+02,6.156400195322930813e-05
1.000000000000000000e+02,1.600000000000000000e+01,6.798121549735666688e+18,1.024000000000000000e+03,6.154700531624257565e-05
1.000000000000000000e+02,1.700000000000000000e+01,-9.234450098411997184e+18,0.000000000000000000e+00,6.142997881397604942e-05
1.000000000000000000e+02,1.800000000000000000e+01,8.612483461007268864e+18,0.000000000000000000e+00,6.164901424199342728e-05
1.000000000000000000e+02,1.900000000000000000e+01,5.769634004789411840e+18,1.024000000000000000e+03,6.171100540086627007e-05
1.000000000000000000e+02,2.000000000000000000e+01,5.094653230049203840e+17,0.000000000000000000e+00,6.160500925034284592e-05
1.000000000000000000e+02,2.100000000000000000e+01,-1.062003113499361485e+19,0.000000000000000000e+00,6.148597458377480507e-05
1.000000000000000000e+02,2.200000000000000000e+01,6.836724908341138432e+18,0.000000000000000000e+00,7.525697583332657814e-05
1.000000000000000000e+02,2.300000000000000000e+01,-1.525857884318773453e+19,0.000000000000000000e+00,6.333598867058753967e-05
1.000000000000000000e+02,2.400000000000000000e+01,1.133168828244550560e+17,1.600000000000000000e+01,6.348500028252601624e-05
1.000000000000000000e+02,2.500000000000000000e+01,2.989371462635728000e+17,0.000000000000000000e+00,6.321500404737889767e-05
1.000000000000000000e+02,2.600000000000000000e+01,2.117343590316254720e+17,0.000000000000000000e+00,6.346599548123776913e-05
1.000000000000000000e+02,2.700000000000000000e+01,1.093917395906412339e+19,0.000000000000000000e+00,6.809001206420361996e-05
1.000000000000000000e+02,2.800000000000000000e+01,2.835493790388858368e+18,0.000000000000000000e+00,6.323802517727017403e-05
1.000000000000000000e+02,2.900000000000000000e+01,-6.498928146929266688e+18,0.000000000000000000e+00,6.290001329034566879e-05
1.000000000000000000e+02,3.000000000000000000e+01,3.676949500193540096e+18,5.120000000000000000e+02,6.314399070106446743e-05
1.000000000000000000e+02,3.100000000000000000e+01,1.426850262619722496e+18,2.560000000000000000e+02,6.675301119685173035e-05
1.000000000000000000e+02,3.200000000000000000e+01,1.366918982197706957e+19,0.000000000000000000e+00,6.307999137789011002e-05
1.000000000000000000e+02,3.300000000000000000e+01,-1.746932308309775360e+18,0.000000000000000000e+00,6.770499749109148979e-05
1.000000000000000000e+02,3.400000000000000000e+01,2.575956869966893056e+18,5.120000000000000000e+02,6.316002691164612770e-05
1.000000000000000000e+02,3.500000000000000000e+01,-1.174297177691290214e+19,0.000000000000000000e+00,6.359801045618951321e-05
1.000000000000000000e+02,3.600000000000000000e+01,-9.473801594198939648e+18,0.000000000000000000e+00,6.311800098046660423e-05
1.000000000000000000e+02,3.700000000000000000e+01,5.260099926941820928e+18,0.000000000000000000e+00,6.305798888206481934e-05
1.000000000000000000e+02,3.800000000000000000e+01,1.376687486533856256e+19,0.000000000000000000e+00,6.309201125986874104e-05
1.000000000000000000e+02,3.900000000000000000e+01,4.287680135397499520e+17,6.400000000000000000e+01,6.287600263021886349e-05
1.000000000000000000e+02,4.000000000000000000e+01,-1.702198478597029069e+19,0.000000000000000000e+00,6.911598029546439648e-05
1.000000000000000000e+02,4.100000000000000000e+01,-2.975060926353152819e+19,0.000000000000000000e+00,6.159499753266572952e-05
1.000000000000000000e+02,4.200000000000000000e+01,1.549108046284176589e+19,0.000000000000000000e+00,6.158000905998051167e-05
1.000000000000000000e+02,4.300000000000000000e+01,8.460692702059624000e+16,0.000000000000000000e+00,6.319800741039216518e-05
1.000000000000000000e+02,4.400000000000000000e+01,1.681128161796410880e+18,2.560000000000000000e+02,6.159598706290125847e-05
1.000000000000000000e+02,4.500000000000000000e+01,8.534980303933027328e+18,0.000000000000000000e+00,6.145800580270588398e-05
1.000000000000000000e+02,4.600000000000000000e+01,-1.656036208789614387e+19,0.000000000000000000e+00,6.184697849676012993e-05
1.000000000000000000e+02,4.700000000000000000e+01,9.052409319439964160e+17,1.280000000000000000e+02,6.127197411842644215e-05
1.000000000000000000e+02,4.800000000000000000e+01,-1.834475642829806720e+17,3.200000000000000000e+02,7.513098535127937794e-05
1.000000000000000000e+02,4.900000000000000000e+01,-1.929613659577270272e+19,0.000000000000000000e+00,6.221301737241446972e-05
2.000000000000000000e+02,0.000000000000000000e+00,7.020415269959422400e+16,8.000000000000000000e+00,1.231269852723926306e-04
2.000000000000000000e+02,1.000000000000000000e+00,1.510099938747019264e+19,4.096000000000000000e+03,1.236289972439408302e-04
2.000000000000000000e+02,2.000000000000000000e+00,1.144995775138385920e+19,0.000000000000000000e+00,1.225910091307014227e-04
2.000000000000000000e+02,3.000000000000000000e+00,6.152494552043504640e+18,0.000000000000000000e+00,1.226339954882860184e-04
2.000000000000000000e+02,4.000000000000000000e+00,-2.893887471873401651e+19,0.000000000000000000e+00,1.274420064873993397e-04
2.000000000000000000e+02,5.000000000000000000e+00,1.028990990542543667e+19,0.000000000000000000e+00,1.234929950442165136e-04
2.000000000000000000e+02,6.000000000000000000e+00,4.397124917475326464e+18,5.120000000000000000e+02,1.301190059166401625e-04
2.000000000000000000e+02,7.000000000000000000e+00,1.135778547967046451e+19,0.000000000000000000e+00,1.225840242113918066e-04
2.000000000000000000e+02,8.000000000000000000e+00,-5.961318343965599744e+18,2.048000000000000000e+03,1.228489854838699102e-04
2.000000000000000000e+02,9.000000000000000000e+00,-8.134500841397450752e+18,0.000000000000000000e+00,1.224610023200511932e-04
2.000000000000000000e+02,1.000000000000000000e+01,-6.505313900547742720e+18,1.024000000000000000e+03,1.265890023205429316e-04
2.000000000000000000e+02,1.100000000000000000e+01,-2.656739727995482112e+18,0.000000000000000000e+00,1.228740147780627012e-04
2.000000000000000000e+02,1.200000000000000000e+01,-9.925337325195393024e+18,0.000000000000000000e+00,1.226820168085396290e-04
2.000000000000000000e+02,1.300000000000000000e+01,1.289540151402174259e+19,2.048000000000000000e+03,1.234639785252511501e-04
2.000000000000000000e+02,1.400000000000000000e+01,5.215770712438395904e+18,1.024000000000000000e+03,1.223600120283663273e-04
2.000000000000000000e+02,1.500000000000000000e+01,7.302753146797126656e+18,0.000000000000000000e+00,1.291820080950856209e-04
2.000000000000000000e+02,1.600000000000000000e+01,1.298055910475286323e+19,2.048000000000000000e+03,1.233459915965795517e-04
2.000000000000000000e+02,1.700000000000000000e+01,1.383646192713940224e+18,2.560000000000000000e+02,1.227680186275392771e-04
2.000000000000000000e+02,1.800000000000000000e+01,2.043719800101307187e+19,0.000000000000000000e+00,1.229080080520361662e-04
2.000000000000000000e+02,1.900000000000000000e+01,7.397228954197113856e+18,1.024000000000000000e+03,1.230449997819960117e-04
2.000000000000000000e+02,2.000000000000000000e+01,1.258033502413227827e+19,2.048000000000000000e+03,1.231000060215592384e-04
2.000000000000000000e+02,2.100000000000000000e+01,-1.574044845238576947e+19,4.096000000000000000e+03,1.221910060849040747e-04
2.000000000000000000e+02,2.200000000000000000e+01,-2.787595954813600973e+19,4.096000000000000000e+03,1.227059983648359776e-04
2.000000000000000000e+02,2.300000000000000000e+01,2.243107159014565888e+19,0.000000000000000000e+00,1.225800078827887774e-04
2.000000000000000000e+02,2.400000000000000000e+01,5.587522492465684480e+18,0.000000000000000000e+00,1.229050103574991226e-04
2.000000000000000000e+02,2.500000000000000000e+01,1.522241867533160243e+19,0.000000000000000000e+00,1.229390036314725876e-04
2.000000000000000000e+02,2.600000000000000000e+01,1.877381873544347648e+19,0.000000000000000000e+00,1.269259955734014511e-04
2.000000000000000000e+02,2.700000000000000000e+01,8.612383489542658048e+18,1.024000000000000000e+03,1.224890002049505711e-04
2.000000000000000000e+02,2.800000000000000000e+01,5.212100268851096960e+17,0.000000000000000000e+00,1.227290194947272539e-04
2.000000000000000000e+02,2.900000000000000000e+01,-2.480530019628632883e+19,4.096000000000000000e+03,1.325730117969214916e-04
2.000000000000000000e+02,3.000000000000000000e+01,8.747073182428518400e+18,0.000000000000000000e+00,1.223460130859166384e-04
2.000000000000000000e+02,3.100000000000000000e+01,1.456381894583445709e+19,2.048000000000000000e+03,1.229280023835599422e-04
2.000000000000000000e+02,3.200000000000000000e+01,-8.062650717867746304e+18,0.000000000000000000e+00,1.229509944096207619e-04
2.000000000000000000e+02,3.300000000000000000e+01,8.646646933173064960e+17,1.280000000000000000e+02,1.229470071848481894e-04
2.000000000000000000e+02,3.400000000000000000e+01,1.065578459483188224e+19,2.048000000000000000e+03,1.226149906869977713e-04
