# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,1.436801617529630560e+17,0.000000000000000000e+00,7.129501318559050560e-05
1.000000000000000000e+02,1.000000000000000000e+00,3.485786052982228400e+16,0.000000000000000000e+00,6.908900104463100433e-05
1.000000000000000000e+02,2.000000000000000000e+00,9.283393543295738000e+15,0.000000000000000000e+00,6.889100768603384495e-05
1.000000000000000000e+02,3.000000000000000000e+00,7.754763181983553536e+18,0.000000000000000000e+00,7.388499216176569462e-05
1.000000000000000000e+02,4.000000000000000000e+00,-1.696953319656212275e+19,0.000000000000000000e+00,6.809900514781475067e-05
1.000000000000000000e+02,5.000000000000000000e+00,3.396715341083664384e+18,0.000000000000000000e+00,6.926001515239477158e-05
1.000000000000000000e+02,6.000000000000000000e+00,1.141500947011899802e+19,0.000000000000000000e+00,6.838599801994860172e-05
1.000000000000000000e+02,7.000000000000000000e+00,6.473215499982864800e+16,0.000000000000000000e+00,7.307299529202282429e-05
1.000000000000000000e+02,8.000000000000000000e+00,1.392733188930961600e+17,1.600000000000000000e+01,8.932201308198273182e-05
1.000000000000000000e+02,9.000000000000000000e+00,-6.616273326038612992e+18,0.000000000000000000e+00,8.453600457869470119e-05
1.000000000000000000e+02,1.000000000000000000e+01,1.687991304100623616e+18,0.000000000000000000e+00,1.201420091092586517e-04
1.000000000000000000e+02,1.100000000000000000e+01,5.207157869179537408e+18,0.000000000000000000e+00,6.998199387453496456e-05
1.000000000000000000e+02,1.200000000000000000e+01,5.182324802168692480e+17,0.000000000000000000e+00,6.965699139982461929e-05
1.000000000000000000e+02,1.300000000000000000e+01,1.776353912580294451e+19,0.000000000000000000e+00,7.581498357467353344e-05
1.000000000000000000e+02,1.400000000000000000e+01,-1.300871445649094656e+19,0.000000000000000000e+00,6.971802213229238987e-05
1.000000000000000000e+02,1.500000000000000000e+01,2.208512637043944448e+18,0.000000000000000000e+00,6.992398994043469429e-05
1.000000000000000000e+02,1.600000000000000000e+01,6.798121549735666688e+18,1.024000000000000000e+03,7.004200597293674946e-05
1.000000000000000000e+02,1.700000000000000000e+01,-9.234450098411997184e+18,2.048000000000000000e+03,6.977401790209114552e-05
1.000000000000000000e+02,1.800000000000000000e+01,8.612483461007268864e+18,0.000000000000000000e+00,7.708801422268152237e-05
1.000000000000000000e+02,1.900000000000000000e+01,5.769634004789411840e+18,1.024000000000000000e+03,7.078199996612966061e-05
1.000000000000000000e+02,2.000000000000000000e+01,5.094653230049203840e+17,0.000000000000000000e+00,6.997099262662231922e-05
1.000000000000000000e+02,2.100000000000000000e+01,-1.062003113499361485e+19,0.000000000000000000e+00,6.994101568125188351e-05
1.000000000000000000e+02,2.200000000000000000e+01,6.836724908341138432e+18,1.024000000000000000e+03,7.003900827839970589e-05
1.000000000000000000e+02,2.300000000000000000e+01,-1.525857884318773453e+19,0.000000000000000000e+00,7.025999366305768490e-05
