# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,7.755850421008074480e-02,1.387778780781445676e-17,6.002598092891275883e-05
1.000000000000000000e+02,1.000000000000000000e+00,1.048755324120187182e-01,2.775557561562891351e-17,7.615698268637061119e-05
1.000000000000000000e+02,2.000000000000000000e+00,1.369233632308091975e-01,2.775557561562891351e-17,5.797200719825923443e-05
1.000000000000000000e+02,3.000000000000000000e+00,1.966298643928320322e-01,0.000000000000000000e+00,5.684699863195419312e-05
1.000000000000000000e+02,4.000000000000000000e+00,7.008855384148847401e-02,0.000000000000000000e+00,5.710800178349018097e-05
1.000000000000000000e+02,5.000000000000000000e+00,6.024652371483683183e-02,1.387778780781445676e-17,5.775099270977079868e-05
1.000000000000000000e+02,6.000000000000000000e+00,3.324772972051137643e-01,0.000000000000000000e+00,5.709999823011457920e-05
1.000000000000000000e+02,7.000000000000000000e+00,9.700319890995177941e-02,1.387778780781445676e-17,6.066801142878830433e-05
1.000000000000000000e+02,8.000000000000000000e+00,7.403212063029551704e-02,0.000000000000000000e+00,6.038398714736104012e-05
1.000000000000000000e+02,9.000000000000000000e+00,7.059660820546267979e-02,0.000000000000000000e+00,6.043098983354866505e-05
1.000000000000000000e+02,1.000000000000000000e+01,8.319556124631589944e-02,0.000000000000000000e+00,7.540200022049248219e-05
1.000000000000000000e+02,1.100000000000000000e+01,2.867412624874664528e-01,0.000000000000000000e+00,5.696798325516283512e-05
1.000000000000000000e+02,1.200000000000000000e+01,1.329179962296393458e-01,2.775557561562891351e-17,5.703201168216764927e-05
1.000000000000000000e+02,1.300000000000000000e+01,3.826390576926444465e-01,0.000000000000000000e+00,5.682700430043041706e-05
1.000000000000000000e+02,1.400000000000000000e+01,2.028182064254165640e-01,2.775557561562891351e-17,6.122101331129670143e-05
1.000000000000000000e+02,1.500000000000000000e+01,8.101742690593484453e-02,0.000000000000000000e+00,6.041501183062791824e-05
1.000000000000000000e+02,1.600000000000000000e+01,1.083423967485351164e-01,0.000000000000000000e+00,5.716699524782598019e-05
1.000000000000000000e+02,1.700000000000000000e+01,1.796190873559075640e-01,2.775557561562891351e-17,5.659600719809532166e-05
1.000000000000000000e+02,1.800000000000000000e+01,5.538037564666774271e-02,0.000000000000000000e+00,5.669699748978018761e-05
1.000000000000000000e+02,1.900000000000000000e+01,6.488085788689670896e-02,0.000000000000000000e+00,5.792599404230713844e-05
1.000000000000000000e+02,2.000000000000000000e+01,3.067734761986920522e-01,0.000000000000000000e+00,5.692100967280566692e-05
1.000000000000000000e+02,2.100000000000000000e+01,1.335074851257788131e-01,0.000000000000000000e+00,5.693201092071831226e-05
1.000000000000000000e+02,2.200000000000000000e+01,1.718270320170911247e-01,0.000000000000000000e+00,5.790300201624631882e-05
1.000000000000000000e+02,2.300000000000000000e+01,3.432468986941467071e-01,0.000000000000000000e+00,6.016800762154161930e-05
1.000000000000000000e+02,2.400000000000000000e+01,6.566675920857024951e-02,1.387778780781445676e-17,6.018800195306539536e-05
1.000000000000000000e+02,2.500000000000000000e+01,8.756278986090676453e-02,0.000000000000000000e+00,5.669298116117715836e-05
1.000000000000000000e+02,2.600000000000000000e+01,4.382777091309500439e-01,0.000000000000000000e+00,5.686300573870539665e-05
1.000000000000000000e+02,2.700000000000000000e+01,3.319051924387231844e-01,0.000000000000000000e+00,6.427100743167102337e-05
1.000000000000000000e+02,2.800000000000000000e+01,9.729612151593430847e-02,1.387778780781445676e-17,5.728797987103462219e-05
1.000000000000000000e+02,2.900000000000000000e+01,1.804527785253123850e-01,0.000000000000000000e+00,5.691300611943006516e-05
1.000000000000000000e+02,3.000000000000000000e+01,3.300192720459435014e-01,5.551115123125782702e-17,5.676998989656567574e-05
1.000000000000000000e+02,3.100000000000000000e+01,8.330257323236446576e-02,1.387778780781445676e-17,5.695299478247761726e-05
1.000000000000000000e+02,3.200000000000000000e+01,1.231278441368119925e-01,2.775557561562891351e-17,5.671899998560547829e-05
1.000000000000000000e+02,3.300000000000000000e+01,8.207508833080315314e-02,0.000000000000000000e+00,5.711000994779169559e-05
1.000000000000000000e+02,3.400000000000000000e+01,8.310899903832313917e-02,0.000000000000000000e+00,5.684400093741714954e-05
1.000000000000000000e+02,3.500000000000000000e+01,1.447117722379231419e-01,0.000000000000000000e+00,7.560499943792819977e-05
1.000000000000000000e+02,3.600000000000000000e+01,5.025712310609522504e-01,0.000000000000000000e+00,7.398700108751654625e-05
1.000000000000000000e+02,3.700000000000000000e+01,1.283831473740523477e-01,0.000000000000000000e+00,7.332800305448472500e-05
1.000000000000000000e+02,3.800000000000000000e+01,7.253388807488775347e-02,0.000000000000000000e+00,5.669999518431723118e-05
1.000000000000000000e+02,3.900000000000000000e+01,9.793559397403686639e-02,0.000000000000000000e+00,5.667199729941785336e-05
1.000000000000000000e+02,4.000000000000000000e+01,8.069916406187004065e-02,0.000000000000000000e+00,5.709799006581306458e-05
1.000000000000000000e+02,4.100000000000000000e+01,5.724916778710067294e-02,6.938893903907228378e-18,5.646399222314357758e-05
1.000000000000000000e+02,4.200000000000000000e+01,6.167488595860497469e-01,0.000000000000000000e+00,5.696099833585321903e-05
1.000000000000000000e+02,4.300000000000000000e+01,7.091080691434938077e-02,1.387778780781445676e-17,5.666300421580672264e-05
1.000000000000000000e+02,4.400000000000000000e+01,3.095355114561064713e-01,0.000000000000000000e+00,5.649399827234447002e-05
1.000000000000000000e+02,4.500000000000000000e+01,1.450051378592851214e-01,2.775557561562891351e-17,5.683299968950450420e-05
1.000000000000000000e+02,4.600000000000000000e+01,1.063414728106508861e-01,0.000000000000000000e+00,5.694199353456497192e-05
1.000000000000000000e+02,4.700000000000000000e+01,6.141542685877051516e-02,6.938893903907228378e-18,5.688899545930325985e-05
1.000000000000000000e+02,4.800000000000000000e+01,8.876145936814468229e-02,1.387778780781445676e-17,5.696399603039026260e-05
1.000000000000000000e+02,4.900000000000000000e+01,2.700815731891926252e-01,5.551115123125782702e-17,5.583598976954817772e-05
2.000000000000000000e+02,0.000000000000000000e+00,8.826984203713103549e-02,1.387778780781445676e-17,1.150459866039454937e-04
2.000000000000000000e+02,1.000000000000000000e+00,9.175184475399182638e-02,0.000000000000000000e+00,1.112980244215577841e-04
2.000000000000000000e+02,2.000000000000000000e+00,1.382542659660641604e-01,2.775557561562891351e-17,1.150449970737099648e-04
2.000000000000000000e+02,3.000000000000000000e+00,1.332902668584437511e-01,0.000000000000000000e+00,1.115699997171759605e-04
2.000000000000000000e+02,4.000000000000000000e+00,8.103539567722981007e-02,0.000000000000000000e+00,1.119099906645715237e-04
2.000000000000000000e+02,5.000000000000000000e+00,1.698458987387226893e-01,0.000000000000000000e+00,1.114829792641103268e-04
2.000000000000000000e+02,6.000000000000000000e+00,1.194615596763620585e-01,0.000000000000000000e+00,1.342329778708517551e-04
2.000000000000000000e+02,7.000000000000000000e+00,1.372552346457709405e-01,0.000000000000000000e+00,1.114039914682507515e-04
2.000000000000000000e+02,8.000000000000000000e+00,7.811816780862941567e-02,0.000000000000000000e+00,1.113819889724254608e-04
2.000000000000000000e+02,9.000000000000000000e+00,1.221787067545360428e-01,1.387778780781445676e-17,1.111259916797280312e-04
2.000000000000000000e+02,1.000000000000000000e+01,8.394238108093220185e-02,0.000000000000000000e+00,1.205090084113180637e-04
2.000000000000000000e+02,1.100000000000000000e+01,1.441988297771574778e-01,2.775557561562891351e-17,1.112599857151508331e-04
2.000000000000000000e+02,1.200000000000000000e+01,1.605626325283657785e-01,0.000000000000000000e+00,1.189370232168585062e-04
2.000000000000000000e+02,1.300000000000000000e+01,8.446253336454681571e-02,0.000000000000000000e+00,1.116719795390963554e-04
2.000000000000000000e+02,1.400000000000000000e+01,2.161814418761967282e-01,2.775557561562891351e-17,1.115750055760145187e-04
