# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,7.755850421008074480e-02,1.387778780781445676e-17,6.022100569680333138e-05
1.000000000000000000e+02,1.000000000000000000e+00,1.048755324120187182e-01,0.000000000000000000e+00,5.857099313288927078e-05
1.000000000000000000e+02,2.000000000000000000e+00,1.369233632308091975e-01,2.775557561562891351e-17,5.728399264626204967e-05
1.000000000000000000e+02,3.000000000000000000e+00,1.966298643928320322e-01,0.000000000000000000e+00,5.689301178790628910e-05
1.000000000000000000e+02,4.000000000000000000e+00,7.008855384148847401e-02,0.000000000000000000e+00,5.651899846270680428e-05
1.000000000000000000e+02,5.000000000000000000e+00,6.024652371483683183e-02,6.938893903907228378e-18,1.154890051111578941e-04
1.000000000000000000e+02,6.000000000000000000e+00,3.324772972051137643e-01,0.000000000000000000e+00,5.655200220644474030e-05
1.000000000000000000e+02,7.000000000000000000e+00,9.700319890995177941e-02,1.387778780781445676e-17,5.687100929208099842e-05
1.000000000000000000e+02,8.000000000000000000e+00,7.403212063029551704e-02,1.387778780781445676e-17,5.651699029840528965e-05
1.000000000000000000e+02,9.000000000000000000e+00,7.059660820546267979e-02,1.387778780781445676e-17,5.679298192262649536e-05
1.000000000000000000e+02,1.000000000000000000e+01,8.319556124631589944e-02,0.000000000000000000e+00,5.668899393640458584e-05
1.000000000000000000e+02,1.100000000000000000e+01,2.867412624874664528e-01,0.000000000000000000e+00,5.663099000230431557e-05
1.000000000000000000e+02,1.200000000000000000e+01,1.329179962296393458e-01,2.775557561562891351e-17,5.650598905049264431e-05
1.000000000000000000e+02,1.300000000000000000e+01,3.826390576926444465e-01,0.000000000000000000e+00,5.697700544260442257e-05
1.000000000000000000e+02,1.400000000000000000e+01,2.028182064254165640e-01,2.775557561562891351e-17,5.690701073035597801e-05
1.000000000000000000e+02,1.500000000000000000e+01,8.101742690593484453e-02,1.387778780781445676e-17,5.672298721037805080e-05
1.000000000000000000e+02,1.600000000000000000e+01,1.083423967485351164e-01,1.387778780781445676e-17,5.663497722707688808e-05
1.000000000000000000e+02,1.700000000000000000e+01,1.796190873559075640e-01,0.000000000000000000e+00,5.717901512980461121e-05
1.000000000000000000e+02,1.800000000000000000e+01,5.538037564666774271e-02,0.000000000000000000e+00,5.668398807756602764e-05
1.000000000000000000e+02,1.900000000000000000e+01,6.488085788689670896e-02,0.000000000000000000e+00,5.672100814990699291e-05
1.000000000000000000e+02,2.000000000000000000e+01,3.067734761986920522e-01,5.551115123125782702e-17,6.011800724081695080e-05
