# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,7.755850421008074480e-02,1.387778780781445676e-17,6.013899110257625580e-05
1.000000000000000000e+02,1.000000000000000000e+00,1.048755324120187182e-01,2.775557561562891351e-17,8.128499030135571957e-05
1.000000000000000000e+02,2.000000000000000000e+00,1.369233632308091975e-01,2.775557561562891351e-17,5.780701758340001106e-05
1.000000000000000000e+02,3.000000000000000000e+00,1.966298643928320322e-01,0.000000000000000000e+00,7.364401244558393955e-05
1.000000000000000000e+02,4.000000000000000000e+00,7.008855384148847401e-02,0.000000000000000000e+00,5.717299063690006733e-05
1.000000000000000000e+02,5.000000000000000000e+00,6.024652371483683183e-02,1.387778780781445676e-17,5.784200038760900497e-05
1.000000000000000000e+02,6.000000000000000000e+00,3.324772972051137643e-01,0.000000000000000000e+00,5.684400093741714954e-05
1.000000000000000000e+02,7.000000000000000000e+00,9.700319890995177941e-02,1.387778780781445676e-17,5.695599247701466084e-05
1.000000000000000000e+02,8.000000000000000000e+00,7.403212063029551704e-02,0.000000000000000000e+00,5.688698729500174522e-05
1.000000000000000000e+02,9.000000000000000000e+00,7.059660820546267979e-02,0.000000000000000000e+00,5.671198596246540546e-05
1.000000000000000000e+02,1.000000000000000000e+01,8.319556124631589944e-02,0.000000000000000000e+00,5.694699939340353012e-05
1.000000000000000000e+02,1.100000000000000000e+01,2.867412624874664528e-01,0.000000000000000000e+00,6.060599116608500481e-05
1.000000000000000000e+02,1.200000000000000000e+01,1.329179962296393458e-01,2.775557561562891351e-17,5.697700544260442257e-05
1.000000000000000000e+02,1.300000000000000000e+01,3.826390576926444465e-01,0.000000000000000000e+00,5.687799421139061451e-05
1.000000000000000000e+02,1.400000000000000000e+01,2.028182064254165640e-01,2.775557561562891351e-17,5.684001371264457703e-05
1.000000000000000000e+02,1.500000000000000000e+01,8.101742690593484453e-02,0.000000000000000000e+00,6.041198503226041794e-05
1.000000000000000000e+02,1.600000000000000000e+01,1.083423967485351164e-01,0.000000000000000000e+00,5.676798173226416111e-05
1.000000000000000000e+02,1.700000000000000000e+01,1.796190873559075640e-01,2.775557561562891351e-17,5.686999065801501274e-05
