# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,7.755850421008074480e-02,0.000000000000000000e+00,9.260998922400176525e-05
1.000000000000000000e+02,1.000000000000000000e+00,1.048755324120187182e-01,0.000000000000000000e+00,1.526050036773085594e-04
1.000000000000000000e+02,2.000000000000000000e+00,1.369233632308091975e-01,2.775557561562891351e-17,8.169698412530124187e-05
1.000000000000000000e+02,3.000000000000000000e+00,1.966298643928320322e-01,0.000000000000000000e+00,5.689798854291439056e-05
1.000000000000000000e+02,4.000000000000000000e+00,7.008855384148847401e-02,0.000000000000000000e+00,5.685799987986683846e-05
1.000000000000000000e+02,5.000000000000000000e+00,6.024652371483683183e-02,6.938893903907228378e-18,5.823699757456779480e-05
1.000000000000000000e+02,6.000000000000000000e+00,3.324772972051137643e-01,5.551115123125782702e-17,5.699400207959115505e-05
1.000000000000000000e+02,7.000000000000000000e+00,9.700319890995177941e-02,0.000000000000000000e+00,5.683099152520298958e-05
1.000000000000000000e+02,8.000000000000000000e+00,7.403212063029551704e-02,0.000000000000000000e+00,5.684798816218972206e-05
1.000000000000000000e+02,9.000000000000000000e+00,7.059660820546267979e-02,0.000000000000000000e+00,5.766798858530819416e-05
1.000000000000000000e+02,1.000000000000000000e+01,8.319556124631589944e-02,1.387778780781445676e-17,5.739700281992554665e-05
1.000000000000000000e+02,1.100000000000000000e+01,2.867412624874664528e-01,0.000000000000000000e+00,5.688398960046470165e-05
1.000000000000000000e+02,1.200000000000000000e+01,1.329179962296393458e-01,0.000000000000000000e+00,8.617999264970421791e-05
1.000000000000000000e+02,1.300000000000000000e+01,3.826390576926444465e-01,5.551115123125782702e-17,5.669301026500761509e-05
1.000000000000000000e+02,1.400000000000000000e+01,2.028182064254165640e-01,2.775557561562891351e-17,5.683500785380601883e-05
1.000000000000000000e+02,1.500000000000000000e+01,8.101742690593484453e-02,1.387778780781445676e-17,5.680599133484065533e-05
1.000000000000000000e+02,1.600000000000000000e+01,1.083423967485351164e-01,1.387778780781445676e-17,5.706900265067815781e-05
1.000000000000000000e+02,1.700000000000000000e+01,1.796190873559075640e-01,2.775557561562891351e-17,5.660299211740493774e-05
1.000000000000000000e+02,1.800000000000000000e+01,5.538037564666774271e-02,0.000000000000000000e+00,5.686600343324244022e-05
1.000000000000000000e+02,1.900000000000000000e+01,6.488085788689670896e-02,0.000000000000000000e+00,5.674999556504189968e-05
1.000000000000000000e+02,2.000000000000000000e+01,3.067734761986920522e-01,5.551115123125782702e-17,6.322498666122555733e-05
1.000000000000000000e+02,2.100000000000000000e+01,1.335074851257788131e-01,0.000000000000000000e+00,5.702298949472606182e-05
1.000000000000000000e+02,2.200000000000000000e+01,1.718270320170911247e-01,0.000000000000000000e+00,5.669399979524314404e-05
1.000000000000000000e+02,2.300000000000000000e+01,3.432468986941467071e-01,0.000000000000000000e+00,5.688401870429515839e-05
1.000000000000000000e+02,2.400000000000000000e+01,6.566675920857024951e-02,0.000000000000000000e+00,5.679999594576656818e-05
1.000000000000000000e+02,2.500000000000000000e+01,8.756278986090676453e-02,0.000000000000000000e+00,5.674699787050485611e-05
1.000000000000000000e+02,2.600000000000000000e+01,4.382777091309500439e-01,0.000000000000000000e+00,5.691999103873968124e-05
1.000000000000000000e+02,2.700000000000000000e+01,3.319051924387231844e-01,0.000000000000000000e+00,5.658998270519077778e-05
1.000000000000000000e+02,2.800000000000000000e+01,9.729612151593430847e-02,0.000000000000000000e+00,5.682901246473193169e-05
1.000000000000000000e+02,2.900000000000000000e+01,1.804527785253123850e-01,0.000000000000000000e+00,5.673200939781963825e-05
1.000000000000000000e+02,3.000000000000000000e+01,3.300192720459435014e-01,0.000000000000000000e+00,7.009698310866951942e-05
1.000000000000000000e+02,3.100000000000000000e+01,8.330257323236446576e-02,1.387778780781445676e-17,6.026099435985088348e-05
1.000000000000000000e+02,3.200000000000000000e+01,1.231278441368119925e-01,0.000000000000000000e+00,6.091798422858119011e-05
1.000000000000000000e+02,3.300000000000000000e+01,8.207508833080315314e-02,0.000000000000000000e+00,5.685200449079275131e-05
1.000000000000000000e+02,3.400000000000000000e+01,8.310899903832313917e-02,0.000000000000000000e+00,5.661399336531758308e-05
1.000000000000000000e+02,3.500000000000000000e+01,1.447117722379231419e-01,0.000000000000000000e+00,5.671000690199434757e-05
1.000000000000000000e+02,3.600000000000000000e+01,5.025712310609522504e-01,1.110223024625156540e-16,5.677097942680120468e-05
1.000000000000000000e+02,3.700000000000000000e+01,1.283831473740523477e-01,0.000000000000000000e+00,5.681999027729034424e-05
1.000000000000000000e+02,3.800000000000000000e+01,7.253388807488775347e-02,1.387778780781445676e-17,5.680500180460512638e-05
1.000000000000000000e+02,3.900000000000000000e+01,9.793559397403686639e-02,0.000000000000000000e+00,7.049200939945876598e-05
1.000000000000000000e+02,4.000000000000000000e+01,8.069916406187004065e-02,0.000000000000000000e+00,5.734700243920087814e-05
1.000000000000000000e+02,4.100000000000000000e+01,5.724916778710067294e-02,6.938893903907228378e-18,5.695500294677913189e-05
1.000000000000000000e+02,4.200000000000000000e+01,6.167488595860497469e-01,0.000000000000000000e+00,5.664600757881999016e-05
1.000000000000000000e+02,4.300000000000000000e+01,7.091080691434938077e-02,0.000000000000000000e+00,5.681000766344368458e-05
1.000000000000000000e+02,4.400000000000000000e+01,3.095355114561064713e-01,0.000000000000000000e+00,5.667100776918232441e-05
1.000000000000000000e+02,4.500000000000000000e+01,1.450051378592851214e-01,2.775557561562891351e-17,5.656300345435738564e-05
1.000000000000000000e+02,4.600000000000000000e+01,1.063414728106508861e-01,1.387778780781445676e-17,5.675398278981447220e-05
1.000000000000000000e+02,4.700000000000000000e+01,6.141542685877051516e-02,0.000000000000000000e+00,7.915298920124769211e-05
1.000000000000000000e+02,4.800000000000000000e+01,8.876145936814468229e-02,0.000000000000000000e+00,5.794200114905834198e-05
1.000000000000000000e+02,4.900000000000000000e+01,2.700815731891926252e-01,0.000000000000000000e+00,5.792101728729903698e-05
2.000000000000000000e+02,0.000000000000000000e+00,8.826984203713103549e-02,0.000000000000000000e+00,1.190399925690144300e-04
2.000000000000000000e+02,1.000000000000000000e+00,9.175184475399182638e-02,1.387778780781445676e-17,1.117840001825243235e-04
2.000000000000000000e+02,2.000000000000000000e+00,1.382542659660641604e-01,0.000000000000000000e+00,1.109430158976465464e-04
2.000000000000000000e+02,3.000000000000000000e+00,1.332902668584437511e-01,0.000000000000000000e+00,1.113929902203381062e-04
2.000000000000000000e+02,4.000000000000000000e+00,8.103539567722981007e-02,0.000000000000000000e+00,1.160800165962427855e-04
2.000000000000000000e+02,5.000000000000000000e+00,1.698458987387226893e-01,0.000000000000000000e+00,1.110720040742307901e-04
2.000000000000000000e+02,6.000000000000000000e+00,1.194615596763620585e-01,0.000000000000000000e+00,1.113480248022824526e-04
2.000000000000000000e+02,7.000000000000000000e+00,1.372552346457709405e-01,0.000000000000000000e+00,1.114309998229146004e-04
2.000000000000000000e+02,8.000000000000000000e+00,7.811816780862941567e-02,1.387778780781445676e-17,1.111279998440295458e-04
2.000000000000000000e+02,9.000000000000000000e+00,1.221787067545360428e-01,0.000000000000000000e+00,1.369940000586211681e-04
2.000000000000000000e+02,1.000000000000000000e+01,8.394238108093220185e-02,0.000000000000000000e+00,1.187300076708197594e-04
