# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,9.877387588948598918e+00,1.776356839400250465e-15,7.066401303745806217e-05
1.000000000000000000e+02,1.000000000000000000e+00,4.944568585557916229e+00,0.000000000000000000e+00,6.380199920386075974e-05
1.000000000000000000e+02,2.000000000000000000e+00,1.440949838882364498e+00,4.440892098500626162e-16,6.395200034603476524e-05
1.000000000000000000e+02,3.000000000000000000e+00,-6.677079570965295474e+00,0.000000000000000000e+00,6.640498759225010872e-05
1.000000000000000000e+02,4.000000000000000000e+00,3.451032749956279844e+00,0.000000000000000000e+00,6.261101225391030312e-05
1.000000000000000000e+02,5.000000000000000000e+00,-1.731373760313745125e+00,0.000000000000000000e+00,6.350100738927721977e-05
1.000000000000000000e+02,6.000000000000000000e+00,-1.624935951877333196e-01,4.440892098500626162e-16,6.643001688644289970e-05
1.000000000000000000e+02,7.000000000000000000e+00,-3.865599286916999944e+00,4.440892098500626162e-16,6.221202784217894077e-05
1.000000000000000000e+02,8.000000000000000000e+00,-3.634718141367674349e+00,4.440892098500626162e-16,6.630501593463122845e-05
1.000000000000000000e+02,9.000000000000000000e+00,4.385935548645711890e+00,8.881784197001252323e-16,6.675298209302127361e-05
1.000000000000000000e+02,1.000000000000000000e+01,5.481567835779477704e+00,0.000000000000000000e+00,6.256601773202419281e-05
1.000000000000000000e+02,1.100000000000000000e+01,-1.181157948297590643e+01,0.000000000000000000e+00,6.233499152585864067e-05
1.000000000000000000e+02,1.200000000000000000e+01,3.339866240278829501e+00,0.000000000000000000e+00,6.242201197892427444e-05
1.000000000000000000e+02,1.300000000000000000e+01,-3.248267462016460883e+00,4.440892098500626162e-16,6.227099220268428326e-05
1.000000000000000000e+02,1.400000000000000000e+01,-7.588084077000435634e+00,8.881784197001252323e-16,6.237599882297217846e-05
1.000000000000000000e+02,1.500000000000000000e+01,-9.536717635636435819e-01,2.220446049250313081e-16,6.702300743199884892e-05
1.000000000000000000e+02,1.600000000000000000e+01,4.117023220426838215e+00,8.881784197001252323e-16,6.616298924200236797e-05
1.000000000000000000e+02,1.700000000000000000e+01,-1.937210051788147203e+00,0.000000000000000000e+00,6.613900768570601940e-05
1.000000000000000000e+02,1.800000000000000000e+01,6.609915372579624027e+00,0.000000000000000000e+00,6.268700235523283482e-05
1.000000000000000000e+02,1.900000000000000000e+01,-8.162036139696662307e-01,6.661338147750939243e-16,6.242399103939533234e-05
1.000000000000000000e+02,2.000000000000000000e+01,-9.522987151820043294e+00,1.776356839400250465e-15,6.295100320130586624e-05
1.000000000000000000e+02,2.100000000000000000e+01,-2.587478094410395890e+00,4.440892098500626162e-16,6.256002234295010567e-05
1.000000000000000000e+02,2.200000000000000000e+01,1.526869829910336485e+00,6.661338147750939243e-16,6.309698801487684250e-05
1.000000000000000000e+02,2.300000000000000000e+01,-4.025887630627234870e+00,0.000000000000000000e+00,6.612800643779337406e-05
1.000000000000000000e+02,2.400000000000000000e+01,6.169117834520463362e+00,0.000000000000000000e+00,7.592100882902741432e-05
1.000000000000000000e+02,2.500000000000000000e+01,-1.749565699749953573e+00,2.220446049250313081e-16,7.074198219925165176e-05
1.000000000000000000e+02,2.600000000000000000e+01,-3.757159908092020828e+00,8.881784197001252323e-16,6.996298907324671745e-05
1.000000000000000000e+02,2.700000000000000000e+01,2.980049902853472599e+00,4.440892098500626162e-16,7.091098814271390438e-05
1.000000000000000000e+02,2.800000000000000000e+01,-8.185723914435634185e-01,8.881784197001252323e-16,6.576100713573396206e-05
1.000000000000000000e+02,2.900000000000000000e+01,2.453090551131509311e+00,4.440892098500626162e-16,6.928600487299263477e-05
1.000000000000000000e+02,3.000000000000000000e+01,-1.392287519577902799e+01,0.000000000000000000e+00,6.589098484255373478e-05
1.000000000000000000e+02,3.100000000000000000e+01,3.319878308269585077e+00,4.440892098500626162e-16,6.568399840034544468e-05
1.000000000000000000e+02,3.200000000000000000e+01,1.313107110484767759e+01,0.000000000000000000e+00,6.572599522769451141e-05
1.000000000000000000e+02,3.300000000000000000e+01,7.233491257549143683e+00,0.000000000000000000e+00,6.963999476283788681e-05
1.000000000000000000e+02,3.400000000000000000e+01,-1.003943691711425279e+00,4.440892098500626162e-16,7.876698509790003300e-05
1.000000000000000000e+02,3.500000000000000000e+01,7.904392411553079256e+00,8.881784197001252323e-16,6.850800127722322941e-05
1.000000000000000000e+02,3.600000000000000000e+01,-1.097343254354519182e-01,1.110223024625156540e-15,6.391599890775978565e-05
1.000000000000000000e+02,3.700000000000000000e+01,-3.503592480646342988e+00,0.000000000000000000e+00,6.397502147592604160e-05
1.000000000000000000e+02,3.800000000000000000e+01,2.474055163017127690e+00,8.881784197001252323e-16,6.441900040954351425e-05
1.000000000000000000e+02,3.900000000000000000e+01,-1.647599254959192461e+00,0.000000000000000000e+00,6.829199264757335186e-05
1.000000000000000000e+02,4.000000000000000000e+01,3.930900541113069302e+00,0.000000000000000000e+00,6.393299554474651814e-05
1.000000000000000000e+02,4.100000000000000000e+01,-3.140905805321870137e+00,4.440892098500626162e-16,6.424100138247013092e-05
1.000000000000000000e+02,4.200000000000000000e+01,3.707749313652819900e+00,8.881784197001252323e-16,6.401800783351063728e-05
1.000000000000000000e+02,4.300000000000000000e+01,-2.660971819795597604e+00,8.881784197001252323e-16,6.413899245671927929e-05
1.000000000000000000e+02,4.400000000000000000e+01,-4.125093752993938878e+00,0.000000000000000000e+00,6.414900417439639568e-05
1.000000000000000000e+02,4.500000000000000000e+01,3.593197938900829502e+00,8.881784197001252323e-16,6.433200906030833721e-05
1.000000000000000000e+02,4.600000000000000000e+01,-6.741641710392062947e+00,1.776356839400250465e-15,6.789201870560646057e-05
1.000000000000000000e+02,4.700000000000000000e+01,1.178270449619981397e+00,2.220446049250313081e-16,6.917200516909360886e-05
1.000000000000000000e+02,4.800000000000000000e+01,-3.366696958869526135e+00,0.000000000000000000e+00,6.417199620045721531e-05
1.000000000000000000e+02,4.900000000000000000e+01,-8.931199920467404851e+00,0.000000000000000000e+00,6.678700447082519531e-05
2.000000000000000000e+02,0.000000000000000000e+00,4.967764324456837244e+00,8.881784197001252323e-16,1.254800008609890938e-04
2.000000000000000000e+02,1.000000000000000000e+00,-1.458377077175088843e+01,0.000000000000000000e+00,1.251130015589296818e-04
2.000000000000000000e+02,2.000000000000000000e+00,1.945881376367140092e-01,6.661338147750939243e-16,1.393049897160381079e-04
2.000000000000000000e+02,3.000000000000000000e+00,-8.631632922747195735e+00,1.776356839400250465e-15,1.286840124521404505e-04
2.000000000000000000e+02,4.000000000000000000e+00,-3.143992885353415367e+00,0.000000000000000000e+00,1.283389865420758724e-04
2.000000000000000000e+02,5.000000000000000000e+00,-1.550414299220041059e+01,0.000000000000000000e+00,1.281259756069630384e-04
2.000000000000000000e+02,6.000000000000000000e+00,1.002473394200508494e+01,0.000000000000000000e+00,1.286779879592359066e-04
