# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,9.877387588948598918e+00,1.776356839400250465e-15,6.207599653862416744e-05
1.000000000000000000e+02,1.000000000000000000e+00,4.944568585557916229e+00,8.881784197001252323e-16,6.106999353505671024e-05
1.000000000000000000e+02,2.000000000000000000e+00,1.440949838882364498e+00,2.220446049250313081e-16,5.981800495646893978e-05
1.000000000000000000e+02,3.000000000000000000e+00,-6.677079570965295474e+00,1.776356839400250465e-15,6.357498932629823685e-05
1.000000000000000000e+02,4.000000000000000000e+00,3.451032749956279844e+00,0.000000000000000000e+00,5.900699761696159840e-05
1.000000000000000000e+02,5.000000000000000000e+00,-1.731373760313745125e+00,2.442490654175344389e-15,6.444600876420736313e-05
1.000000000000000000e+02,6.000000000000000000e+00,-1.624935951877333196e-01,3.552713678800500929e-15,5.893499474041163921e-05
1.000000000000000000e+02,7.000000000000000000e+00,-3.865599286916999944e+00,3.552713678800500929e-15,5.882198456674814224e-05
1.000000000000000000e+02,8.000000000000000000e+00,-3.634718141367674349e+00,0.000000000000000000e+00,6.311602191999554634e-05
1.000000000000000000e+02,9.000000000000000000e+00,4.385935548645711890e+00,0.000000000000000000e+00,5.910301115363836288e-05
1.000000000000000000e+02,1.000000000000000000e+01,5.481567835779477704e+00,1.776356839400250465e-15,5.897399387322366238e-05
1.000000000000000000e+02,1.100000000000000000e+01,-1.181157948297590643e+01,5.329070518200751394e-15,5.923301796428859234e-05
1.000000000000000000e+02,1.200000000000000000e+01,3.339866240278829501e+00,7.993605777301127091e-15,5.885300925001502037e-05
1.000000000000000000e+02,1.300000000000000000e+01,-3.248267462016460883e+00,0.000000000000000000e+00,5.890501779504120350e-05
1.000000000000000000e+02,1.400000000000000000e+01,-7.588084077000435634e+00,8.881784197001252323e-16,5.885897553525865078e-05
1.000000000000000000e+02,1.500000000000000000e+01,-9.536717635636435819e-01,6.661338147750939243e-16,5.897600203752517700e-05
1.000000000000000000e+02,1.600000000000000000e+01,4.117023220426838215e+00,6.217248937900876626e-15,5.891101318411529064e-05
1.000000000000000000e+02,1.700000000000000000e+01,-1.937210051788147203e+00,1.998401444325281773e-15,5.927702295593917370e-05
1.000000000000000000e+02,1.800000000000000000e+01,6.609915372579624027e+00,2.664535259100375697e-15,5.878802039660513401e-05
1.000000000000000000e+02,1.900000000000000000e+01,-8.162036139696662307e-01,2.220446049250313081e-16,6.339600076898932457e-05
1.000000000000000000e+02,2.000000000000000000e+01,-9.522987151820043294e+00,3.552713678800500929e-15,5.927798338234424591e-05
1.000000000000000000e+02,2.100000000000000000e+01,-2.587478094410395890e+00,8.881784197001252323e-16,5.882899858988821507e-05
1.000000000000000000e+02,2.200000000000000000e+01,1.526869829910336485e+00,8.881784197001252323e-16,5.907399463467299938e-05
1.000000000000000000e+02,2.300000000000000000e+01,-4.025887630627234870e+00,0.000000000000000000e+00,5.899398820474743843e-05
1.000000000000000000e+02,2.400000000000000000e+01,6.169117834520463362e+00,3.552713678800500929e-15,5.859602242708206177e-05
1.000000000000000000e+02,2.500000000000000000e+01,-1.749565699749953573e+00,8.881784197001252323e-16,5.910699837841093540e-05
1.000000000000000000e+02,2.600000000000000000e+01,-3.757159908092020828e+00,0.000000000000000000e+00,5.904800491407513618e-05
1.000000000000000000e+02,2.700000000000000000e+01,2.980049902853472599e+00,3.996802888650563546e-15,5.927000893279910088e-05
1.000000000000000000e+02,2.800000000000000000e+01,-8.185723914435634185e-01,0.000000000000000000e+00,5.916898953728377819e-05
1.000000000000000000e+02,2.900000000000000000e+01,2.453090551131509311e+00,3.996802888650563546e-15,5.878999945707619190e-05
1.000000000000000000e+02,3.000000000000000000e+01,-1.392287519577902799e+01,0.000000000000000000e+00,5.874701309949159622e-05
1.000000000000000000e+02,3.100000000000000000e+01,3.319878308269585077e+00,1.776356839400250465e-15,5.926200537942349911e-05
1.000000000000000000e+02,3.200000000000000000e+01,1.313107110484767759e+01,3.552713678800500929e-15,5.874398630112409592e-05
1.000000000000000000e+02,3.300000000000000000e+01,7.233491257549143683e+00,3.552713678800500929e-15,5.903598503209650517e-05
1.000000000000000000e+02,3.400000000000000000e+01,-1.003943691711425279e+00,1.998401444325281773e-15,5.919698742218315601e-05
1.000000000000000000e+02,3.500000000000000000e+01,7.904392411553079256e+00,3.552713678800500929e-15,5.891598993912339211e-05
1.000000000000000000e+02,3.600000000000000000e+01,-1.097343254354519182e-01,1.332267629550187849e-15,5.890900501981377602e-05
1.000000000000000000e+02,3.700000000000000000e+01,-3.503592480646342988e+00,3.108624468950438313e-15,5.902099655941128731e-05
1.000000000000000000e+02,3.800000000000000000e+01,2.474055163017127690e+00,8.881784197001252323e-16,5.911098560318350792e-05
1.000000000000000000e+02,3.900000000000000000e+01,-1.647599254959192461e+00,3.108624468950438313e-15,5.882000550627708435e-05
1.000000000000000000e+02,4.000000000000000000e+01,3.930900541113069302e+00,8.881784197001252323e-16,5.894200876355171204e-05
1.000000000000000000e+02,4.100000000000000000e+01,-3.140905805321870137e+00,1.332267629550187849e-15,5.916698137298226357e-05
1.000000000000000000e+02,4.200000000000000000e+01,3.707749313652819900e+00,8.881784197001252323e-16,6.491699605248868465e-05
1.000000000000000000e+02,4.300000000000000000e+01,-2.660971819795597604e+00,8.881784197001252323e-16,5.888298619538545609e-05
1.000000000000000000e+02,4.400000000000000000e+01,-4.125093752993938878e+00,1.776356839400250465e-15,5.905699799768626690e-05
1.000000000000000000e+02,4.500000000000000000e+01,3.593197938900829502e+00,4.440892098500626162e-16,5.908301682211458683e-05
1.000000000000000000e+02,4.600000000000000000e+01,-6.741641710392062947e+00,3.552713678800500929e-15,5.876997602172195911e-05
1.000000000000000000e+02,4.700000000000000000e+01,1.178270449619981397e+00,1.998401444325281773e-15,5.934701766818761826e-05
1.000000000000000000e+02,4.800000000000000000e+01,-3.366696958869526135e+00,8.881784197001252323e-16,5.906200385652482510e-05
1.000000000000000000e+02,4.900000000000000000e+01,-8.931199920467404851e+00,1.776356839400250465e-15,5.830600275658071041e-05
2.000000000000000000e+02,0.000000000000000000e+00,4.967764324456837244e+00,0.000000000000000000e+00,1.158899976871907711e-04
2.000000000000000000e+02,1.000000000000000000e+00,-1.458377077175088843e+01,3.552713678800500929e-15,1.815980067476630211e-04
2.000000000000000000e+02,2.000000000000000000e+00,1.945881376367140092e-01,7.105427357601001859e-15,1.207889872603118420e-04
2.000000000000000000e+02,3.000000000000000000e+00,-8.631632922747195735e+00,5.329070518200751394e-15,1.155860081780701876e-04
2.000000000000000000e+02,4.000000000000000000e+00,-3.143992885353415367e+00,9.769962616701377556e-15,1.154320198111236095e-04
2.000000000000000000e+02,5.000000000000000000e+00,-1.550414299220041059e+01,3.552713678800500929e-15,1.160299871116876602e-04
2.000000000000000000e+02,6.000000000000000000e+00,1.002473394200508494e+01,7.105427357601001859e-15,1.160599931608885527e-04
2.000000000000000000e+02,7.000000000000000000e+00,9.407885748464668296e+00,3.552713678800500929e-15,1.159929961431771517e-04
2.000000000000000000e+02,8.000000000000000000e+00,1.292399601506174101e+01,1.776356839400250465e-15,1.655390078667551279e-04
2.000000000000000000e+02,9.000000000000000000e+00,1.234785713998491019e+01,7.105427357601001859e-15,1.160000101663172245e-04
2.000000000000000000e+02,1.000000000000000000e+01,8.678554457105612130e+00,7.105427357601001859e-15,1.160049869213253260e-04
2.000000000000000000e+02,1.100000000000000000e+01,-3.283945652976234530e-01,1.998401444325281773e-15,1.161340042017400265e-04
2.000000000000000000e+02,1.200000000000000000e+01,-1.204920242807710595e+00,1.110223024625156540e-15,1.158629893325269222e-04
2.000000000000000000e+02,1.300000000000000000e+01,1.453809515672118202e+01,1.776356839400250465e-15,1.159160165116190910e-04
2.000000000000000000e+02,1.400000000000000000e+01,8.872122773668477791e+00,5.329070518200751394e-15,1.210109912790358067e-04
2.000000000000000000e+02,1.500000000000000000e+01,8.516052945637616389e+00,1.776356839400250465e-15,1.162169792223721743e-04
2.000000000000000000e+02,1.600000000000000000e+01,-4.443079872726945823e+00,1.776356839400250465e-15,1.166149741038680077e-04
2.000000000000000000e+02,1.700000000000000000e+01,6.660858584631322188e+00,1.776356839400250465e-15,1.160980027634650469e-04
2.000000000000000000e+02,1.800000000000000000e+01,-3.837167304920541255e-02,7.105427357601001859e-15,1.161599939223378897e-04
2.000000000000000000e+02,1.900000000000000000e+01,4.186737764614800739e+00,3.552713678800500929e-15,1.156689831987023354e-04
2.000000000000000000e+02,2.000000000000000000e+01,3.796075179295292923e+00,6.661338147750939243e-15,1.162129919975996017e-04
2.000000000000000000e+02,2.100000000000000000e+01,4.113650218214873533e+00,1.776356839400250465e-15,1.194329815916717052e-04
2.000000000000000000e+02,2.200000000000000000e+01,1.432354331902763001e+01,1.776356839400250465e-15,1.159530074801295996e-04
2.000000000000000000e+02,2.300000000000000000e+01,-5.892326866169223187e+00,2.664535259100375697e-15,1.160130195785313845e-04
2.000000000000000000e+02,2.400000000000000000e+01,3.976362848305567965e-01,4.440892098500626162e-15,1.156479993369430304e-04
2.000000000000000000e+02,2.500000000000000000e+01,-3.955513281322413199e+00,2.664535259100375697e-15,1.159270177595317364e-04
2.000000000000000000e+02,2.600000000000000000e+01,2.399287844244388346e+00,9.769962616701377556e-15,1.160559768322855234e-04
2.000000000000000000e+02,2.700000000000000000e+01,1.013642960906630819e+01,3.552713678800500929e-15,1.196280063595622778e-04
2.000000000000000000e+02,2.800000000000000000e+01,8.900319505179615120e+00,5.329070518200751394e-15,1.153110060840845108e-04
2.000000000000000000e+02,2.900000000000000000e+01,-3.142288108084974496e+00,1.776356839400250465e-15,1.160560059361159801e-04
