# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,9.877387588948598918e+00,1.776356839400250465e-15,6.466501508839428425e-05
1.000000000000000000e+02,1.000000000000000000e+00,4.944568585557916229e+00,2.664535259100375697e-15,6.200800999067723751e-05
1.000000000000000000e+02,2.000000000000000000e+00,1.440949838882364498e+00,2.220446049250313081e-16,1.372199913021177053e-04
1.000000000000000000e+02,3.000000000000000000e+00,-6.677079570965295474e+00,1.776356839400250465e-15,8.170300861820578575e-05
1.000000000000000000e+02,4.000000000000000000e+00,3.451032749956279844e+00,0.000000000000000000e+00,6.097700679674744606e-05
1.000000000000000000e+02,5.000000000000000000e+00,-1.731373760313745125e+00,4.662936703425657470e-15,6.237899651750922203e-05
1.000000000000000000e+02,6.000000000000000000e+00,-1.624935951877333196e-01,0.000000000000000000e+00,6.163201760500669479e-05
1.000000000000000000e+02,7.000000000000000000e+00,-3.865599286916999944e+00,0.000000000000000000e+00,1.327949867118149996e-04
1.000000000000000000e+02,8.000000000000000000e+00,-3.634718141367674349e+00,0.000000000000000000e+00,6.015200051479041576e-05
1.000000000000000000e+02,9.000000000000000000e+00,4.385935548645711890e+00,0.000000000000000000e+00,6.008800119161605835e-05
1.000000000000000000e+02,1.000000000000000000e+01,5.481567835779477704e+00,1.776356839400250465e-15,5.944399163126945496e-05
1.000000000000000000e+02,1.100000000000000000e+01,-1.181157948297590643e+01,1.776356839400250465e-15,5.945400334894657135e-05
1.000000000000000000e+02,1.200000000000000000e+01,3.339866240278829501e+00,6.217248937900876626e-15,5.922597483731806278e-05
1.000000000000000000e+02,1.300000000000000000e+01,-3.248267462016460883e+00,3.552713678800500929e-15,5.928601603955030441e-05
1.000000000000000000e+02,1.400000000000000000e+01,-7.588084077000435634e+00,8.881784197001252323e-16,5.970499478280544281e-05
1.000000000000000000e+02,1.500000000000000000e+01,-9.536717635636435819e-01,4.218847493575594854e-15,5.956200766377151012e-05
1.000000000000000000e+02,1.600000000000000000e+01,4.117023220426838215e+00,6.217248937900876626e-15,5.980499554425477982e-05
1.000000000000000000e+02,1.700000000000000000e+01,-1.937210051788147203e+00,1.998401444325281773e-15,1.006829843390733004e-04
1.000000000000000000e+02,1.800000000000000000e+01,6.609915372579624027e+00,2.664535259100375697e-15,5.957100074738264084e-05
1.000000000000000000e+02,1.900000000000000000e+01,-8.162036139696662307e-01,2.220446049250313081e-16,1.271179935429245234e-04
1.000000000000000000e+02,2.000000000000000000e+01,-9.522987151820043294e+00,3.552713678800500929e-15,9.909798973239958286e-05
1.000000000000000000e+02,2.100000000000000000e+01,-2.587478094410395890e+00,8.881784197001252323e-16,6.103600026108324528e-05
1.000000000000000000e+02,2.200000000000000000e+01,1.526869829910336485e+00,2.664535259100375697e-15,5.940700066275894642e-05
1.000000000000000000e+02,2.300000000000000000e+01,-4.025887630627234870e+00,0.000000000000000000e+00,5.967600736767053604e-05
1.000000000000000000e+02,2.400000000000000000e+01,6.169117834520463362e+00,0.000000000000000000e+00,5.939701804891228676e-05
1.000000000000000000e+02,2.500000000000000000e+01,-1.749565699749953573e+00,8.881784197001252323e-16,1.805479987524449825e-04
1.000000000000000000e+02,2.600000000000000000e+01,-3.757159908092020828e+00,7.105427357601001859e-15,5.940199480392038822e-05
1.000000000000000000e+02,2.700000000000000000e+01,2.980049902853472599e+00,3.996802888650563546e-15,5.932399653829634190e-05
1.000000000000000000e+02,2.800000000000000000e+01,-8.185723914435634185e-01,0.000000000000000000e+00,5.932399653829634190e-05
1.000000000000000000e+02,2.900000000000000000e+01,2.453090551131509311e+00,7.549516567451064475e-15,5.988401244394481182e-05
1.000000000000000000e+02,3.000000000000000000e+01,-1.392287519577902799e+01,0.000000000000000000e+00,5.947399768047034740e-05
1.000000000000000000e+02,3.100000000000000000e+01,3.319878308269585077e+00,1.776356839400250465e-15,5.928199971094727516e-05
1.000000000000000000e+02,3.200000000000000000e+01,1.313107110484767759e+01,3.552713678800500929e-15,5.927600432187318802e-05
1.000000000000000000e+02,3.300000000000000000e+01,7.233491257549143683e+00,3.552713678800500929e-15,5.944599979557096958e-05
