# N,TRIAL,REFERENCE_RES,ERROR,TIMING
1.000000000000000000e+02,0.000000000000000000e+00,9.877387588948598918e+00,1.776356839400250465e-15,6.597899482585489750e-05
1.000000000000000000e+02,1.000000000000000000e+00,4.944568585557916229e+00,8.881784197001252323e-16,5.920100375078618526e-05
1.000000000000000000e+02,2.000000000000000000e+00,1.440949838882364498e+00,2.220446049250313081e-16,7.681999704800546169e-05
1.000000000000000000e+02,3.000000000000000000e+00,-6.677079570965295474e+00,0.000000000000000000e+00,5.801100633107125759e-05
1.000000000000000000e+02,4.000000000000000000e+00,3.451032749956279844e+00,8.881784197001252323e-16,5.825198604725301266e-05
1.000000000000000000e+02,5.000000000000000000e+00,-1.731373760313745125e+00,2.220446049250313081e-16,5.951200728304684162e-05
1.000000000000000000e+02,6.000000000000000000e+00,-1.624935951877333196e-01,8.881784197001252323e-16,5.810201400890946388e-05
1.000000000000000000e+02,7.000000000000000000e+00,-3.865599286916999944e+00,8.881784197001252323e-16,5.782101652584969997e-05
1.000000000000000000e+02,8.000000000000000000e+00,-3.634718141367674349e+00,0.000000000000000000e+00,5.789301940239965916e-05
1.000000000000000000e+02,9.000000000000000000e+00,4.385935548645711890e+00,0.000000000000000000e+00,5.782497464679181576e-05
1.000000000000000000e+02,1.000000000000000000e+01,5.481567835779477704e+00,8.881784197001252323e-16,6.231499719433486462e-05
1.000000000000000000e+02,1.100000000000000000e+01,-1.181157948297590643e+01,1.776356839400250465e-15,5.801900988444685936e-05
1.000000000000000000e+02,1.200000000000000000e+01,3.339866240278829501e+00,8.881784197001252323e-16,5.782902007922530174e-05
1.000000000000000000e+02,1.300000000000000000e+01,-3.248267462016460883e+00,8.881784197001252323e-16,5.770399002358317375e-05
1.000000000000000000e+02,1.400000000000000000e+01,-7.588084077000435634e+00,8.881784197001252323e-16,5.814700853079557419e-05
1.000000000000000000e+02,1.500000000000000000e+01,-9.536717635636435819e-01,6.661338147750939243e-16,5.781100480817258358e-05
1.000000000000000000e+02,1.600000000000000000e+01,4.117023220426838215e+00,0.000000000000000000e+00,5.777401383966207504e-05
1.000000000000000000e+02,1.700000000000000000e+01,-1.937210051788147203e+00,0.000000000000000000e+00,5.772500298917293549e-05
1.000000000000000000e+02,1.800000000000000000e+01,6.609915372579624027e+00,8.881784197001252323e-16,5.794898606836795807e-05
